Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,25/02/2016 01:52:12 AM,119751660,3382,6178,940252.0,6299129.0,1460.0,0.0,278.01655824955554,399.14965776870724,1420.0,0.0,1019.6065069601868,558.0003601082307,60453.28306931194,79.83187873971852,12527.634689821074,107944.90990628263,6805498.0,-1.0,1.1975166E8,35419.00621118017,180265.8918356594,6805611.0,0.0,1.19712617E8,19380.38157681715,134378.53795501377,6805652.0,0.0,1,0,0,0,67640,123560,28.241779696415065,51.59009904330345,0.0,1460.0,757.2350172576059,619.0803143863433,383260.4356606936,0,0,0,4394,9560,0,0,0,1.0,757.3142259414226,278.01655824955645,1019.6065069601813,0,0,0,658076,569,78784,307,85477,561,572648,65535,65535,1333,20,2.0441538E7,0.0,2.0441538E7,2.0441538E7,6805498.0,0.0,6805498.0,6805498.0,0
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,25/02/2016 01:54:12 AM,119555213,513,618,264822.0,360903.0,1460.0,0.0,516.2222222222221,528.9608523637012,1420.0,0.0,583.9854368932035,592.933381523874,5233.774289708304,9.460064280091242,105801.07345132741,395287.93393555866,5218545.0,1.0,1.19555078E8,233506.0117187501,562591.2190732076,5218545.0,17.0,1.19420228E8,193549.80226904372,519793.0312284425,5218759.0,3.0,1,0,0,0,10260,12360,4.290904487786744,5.169159792304498,0.0,1460.0,553.6943462897518,565.5265773385279,319820.30967622995,0,0,0,508,1131,0,0,0,1.0,554.183908045977,516.2222222222222,583.9854368932039,0,0,0,37734,39,12105,17,8827,20,12030,65535,65535,317,20,3.06043625E7,1.9715495411607604E7,4.4545323E7,1.6663402E7,5165500.0,75016.95841608083,5218545.0,5112455.0,0
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,25/02/2016 01:56:12 AM,114238504,135,128,53198.0,46263.0,1460.0,0.0,394.05925925925936,473.14900563856264,1420.0,0.0,361.4296875,419.89323134088,870.6434040837929,2.3022010162177895,436024.82442748116,1723772.0282114325,1.7365017E7,10.0,1.14238504E8,852526.1492537317,2339728.302712224,1.7365017E7,33.0,1.14238345E8,899514.5275590547,2396373.3552623335,1.7365272E7,54.0,1,0,0,0,2700,2560,1.181738164218257,1.1204628519995323,0.0,1460.0,380.75,448.5676210410065,201212.910646388,0,0,0,125,263,0,0,0,0.0,382.1977186311787,394.05925925925925,361.4296875,0,0,0,6814,9,5701,5,2216,5,1927,65535,65535,68,20,1.23221298E7,1.1459601344848638E7,3.0908191E7,720576.0,1.05000176E7,5897185.835860381,1.7365017E7,5074152.0,0
10.0.2.15-37.97.149.8-51024-443-6,10.0.2.15,51024,37.97.149.8,443,6,25/02/2016 01:53:43 AM,6472320,19,25,5797.0,6652.0,1057.0,0.0,305.10526315789474,314.3326077645995,1338.0,0.0,266.08000000000004,352.0119458200247,1923.4215860773263,6.798180559675665,150519.06976744192,661742.7939620028,4357249.0,19.0,6472320.0,359573.3333333334,1002096.1409749184,4357370.0,182.0,6305857.0,262744.0416666666,877082.8627870063,4357428.0,37.0,0,0,0,0,392,504,2.9355779689508554,3.86260259072481,0.0,1338.0,276.6444444444444,331.90566537356773,110161.3707070707,0,2,0,24,43,0,0,0,1.0,282.9318181818182,305.10526315789474,266.08,0,0,0,6224,12,6389,19,5797,25,6652,14600,65535,12,20,0,0,0,0,0,0,0,0,0
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,25/02/2016 01:58:16 AM,119291649,80,76,46176.0,5886.0,1460.0,0.0,577.1999999999998,337.8493559883934,1057.0,0.0,77.4473684210526,241.38867108113377,436.4261910739451,1.3077193693583697,769623.5419354842,1605928.9928402416,1.7696833E7,37.0,1.19291301E8,1510016.4683544305,1990002.06014028,1.7696833E7,41.0,1.19291441E8,1590552.5466666666,2011089.7369865498,1.7697151E7,473.0,0,0,0,0,1600,1520,0.6706253176196768,0.6370940517386929,0.0,1460.0,340.904458598726,395.3392211603673,156293.09978768582,0,0,0,76,156,0,0,0,0.0,343.0897435897436,577.2,77.44736842105263,0,0,0,0,0,0,1,942,1,120,65535,65535,71,20,296714.0,0.0,296714.0,296714.0,1.7696833E7,0.0,1.7696833E7,1.7696833E7,0
10.0.2.15-37.97.149.8-51024-443-6,10.0.2.15,51024,37.97.149.8,443,6,25/02/2016 01:58:48 AM,115780080,353,493,106143.0,432602.0,1460.0,0.0,300.6883852691219,424.6584915418253,1420.0,0.0,877.4888438133873,595.5657302106147,4653.1752266883905,7.306956429810724,137017.84615384619,1454445.4461376204,3.1013202E7,0.0,1.15779719E8,328919.6562499998,2241420.9568370627,3.1013371E7,23.0,1.15417347E8,234588.10365853668,1901128.0275536687,3.1013358E7,3.0,1,0,0,0,7060,9860,3.0488837112567206,4.258072718554003,0.0,1460.0,636.7036599763878,601.8461988473188,362218.8470669664,0,0,0,373,846,0,0,0,1.0,637.4562647754137,300.6883852691218,877.4888438133875,0,0,0,75743,71,33820,29,8845,41,36050,65535,65535,150,20,5000620.2,6373459.809942846,1.4321808E7,231363.0,1.5380855E7,1.155637646391755E7,3.1013202E7,5904039.0,0
10.0.2.15-195.154.82.180-40414-443-6,10.0.2.15,40414,195.154.82.180,443,6,25/02/2016 01:59:47 AM,119796265,224,249,120438.0,118893.0,1460.0,0.0,537.6696428571427,550.665123932474,1420.0,0.0,477.481927710843,519.1245894675162,1997.8168768450334,3.9483701766494974,253805.64618644025,1796890.7852040972,3.2052154E7,0.0,1.197961E8,537202.2421524661,2588273.402445279,3.2052154E7,19.0,1.19666154E8,482524.81451612886,2459460.6583740776,3.2052541E7,4.0,0,0,0,0,4492,4984,1.8698412675887683,2.078528909060729,0.0,1460.0,504.9177215189878,534.5109198589839,285701.9234484972,0,2,0,210,472,0,0,0,1.0,505.985200845666,537.6696428571429,477.48192771084337,0,0,0,25878,29,10656,17,9264,19,9145,14600,65535,134,20,3481045.285714286,5291716.569325929,1.424519E7,348.0,1.2088121714285715E7,9066775.517178653,3.2052154E7,5629332.0,0
10.0.2.15-195.154.107.23-58167-443-6,10.0.2.15,58167,195.154.107.23,443,6,25/02/2016 02:00:16 AM,113925009,24,24,9231.0,5857.0,543.0,0.0,384.625,252.11795246773232,1057.0,0.0,244.04166666666666,413.0581050995196,132.43799699853435,0.42132978896670525,2423936.361702128,5468599.2508449955,2.4273006E7,35.0,1.13925009E8,4953261.2608695645,7031162.337893974,2.4273045E7,1951.0,1.13924658E8,4953245.999999999,7031104.482162186,2.4273077E7,1667.0,1,0,0,0,480,480,0.21066489448335263,0.21066489448335263,0.0,1057.0,318.99999999999994,343.8306269080752,118219.5,0,0,0,24,48,0,0,0,1.0,325.6458333333333,384.625,244.04166666666666,0,0,0,0,0,0,1,485,1,308,65535,65535,16,20,5797689.2,1.296388461429074E7,2.8988191E7,39.0,1.69872844E7,6247060.471171205,2.4273006E7,1.0426935E7,0
10.0.2.15-37.97.149.8-51024-443-6,10.0.2.15,51024,37.97.149.8,443,6,25/02/2016 02:00:49 AM,119057904,105,110,40340.0,61074.0,1460.0,0.0,384.1904761904762,498.0643319437548,1420.0,0.0,555.2181818181816,545.0211574349291,851.8040095851176,1.8058439866369562,556345.3457943927,2131189.948146041,1.6579026E7,6.0,1.19057904E8,1144787.5384615385,2951819.4024999375,1.6579026E7,27.0,1.190577E8,1092272.4770642202,2895180.719811154,1.6579204E7,6.0,0,0,0,0,2100,2200,0.8819238074273507,0.9239201792096055,0.0,1460.0,476.26851851851825,531.4346988956902,282422.83919035294,0,0,0,96,215,0,0,0,1.0,478.48372093023255,384.1904761904762,555.2181818181818,0,0,0,9541,10,8291,5,2123,5,3214,65535,65535,55,20,5851533.714285714,6309935.573692379,1.8889335E7,422043.0,1.0978903142857144E7,4182572.444090336,1.6579026E7,5783177.0,0
10.0.2.15-195.154.82.180-40414-443-6,10.0.2.15,40414,195.154.82.180,443,6,25/02/2016 02:01:47 AM,118524760,28,27,9115.0,8145.0,1057.0,0.0,325.5357142857142,392.3046324008609,543.0,0.0,301.6666666666666,274.9587381632155,145.62358109816043,0.46403806259552854,2194902.9629629627,6280689.068300431,3.3077469E7,37.0,1.1852476E8,4389805.925925925,8390988.886380568,3.3077469E7,54.0,1.18396376E8,4553706.769230769,8512969.791302089,3.307769E7,348.0,1,0,0,0,560,540,0.2362375591395418,0.22780050345598674,0.0,1057.0,317.91071428571433,335.219237720126,112371.93733766234,0,0,0,28,55,0,0,0,0.0,323.6909090909091,325.5357142857143,301.6666666666667,0,0,0,4315,7,4354,3,1139,3,1018,65535,65535,12,20,1709947.1666666665,1913827.8858862326,5333955.0,365023.0,1.8002541666666664E7,8729552.511727223,3.3077469E7,1.0667233E7,0
