Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:29:08 PM,15161974,15,10,1688.0,1086.0,609.0,0.0,112.53333333333335,154.77858225158133,336.0,0.0,108.60000000000002,98.85927146988064,182.95770722202795,1.648861817069466,631748.9166666667,2436658.725989465,1.1840593E7,10.0,1.5161974E7,1082998.142857143,3158825.9664063086,1.1840593E7,14.0,1.4959593E7,1662177.0,3991387.105661796,1.2058597E7,226.0,0,0,0,0,312,224,0.9893170902416796,0.6595447268277864,0.0,609.0,106.69230769230768,131.95143628798263,17411.181538461537,0,2,0,17,24,0,0,0,0.0,110.96,112.53333333333333,108.6,0,0,0,1315,7,9119,7,844,5,543,8192,251,9,20,3118961.0,0.0,3118961.0,3118961.0,1.1840593E7,0.0,1.1840593E7,1.1840593E7,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:31:23 PM,269,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,3717.4721189591082,7434.9442379182165,269.0,0.0,269.0,269.0,269.0,269.0,0.0,269.0,269.0,0,0,0,0,0,0,0,0,0,52,0,7434.9442379182165,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,251,0,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:33:23 PM,333,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,3003.003003003003,6006.006006006006,333.0,0.0,333.0,333.0,333.0,333.0,0.0,333.0,333.0,0,0,0,0,0,0,0,0,0,52,0,6006.006006006006,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,251,0,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:35:23 PM,291,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,3436.426116838488,6872.852233676976,291.0,0.0,291.0,291.0,291.0,291.0,0.0,291.0,291.0,0,0,0,0,0,0,0,0,0,52,0,6872.852233676976,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,251,0,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:37:25 PM,2594641,2,2,1.0,2.0,1.0,0.0,0.5,0.7071067811865476,1.0,1.0,1.0,0.0,1.156229320356843,1.5416390938091242,864880.3333333333,822508.5122053956,1695575.0,50810.0,2594641.0,2594641.0,0.0,2594641.0,2594641.0,848256.0,848256.0,0.0,848256.0,848256.0,0,0,0,0,52,40,0.7708195469045621,0.7708195469045621,0.0,1.0,0.8,0.4472135954999579,0.2,0,0,0,0,4,0,0,0,1.0,1.0,0.5,1.0,0,0,0,0,0,0,2,1,2,2,251,251,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:39:27 PM,290,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,3448.2758620689656,6896.551724137931,290.0,0.0,290.0,290.0,290.0,290.0,0.0,290.0,290.0,0,0,0,0,0,0,0,0,0,52,0,6896.551724137931,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,251,0,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:41:27 PM,258,2,0,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0,0,0,0,3875.9689922480625,7751.937984496125,258.0,0.0,258.0,258.0,258.0,258.0,0.0,258.0,258.0,0,0,0,0,0,0,0,0,0,52,0,7751.937984496125,0.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,0.0,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,251,0,0,20,0,0,0,0,0,0,0,0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:43:27 PM,118887074,28600,86152,652622.0,2.71482267E8,1460.0,0.0,22.81895104895113,56.167196484481224,26280.0,0.0,3151.200981985318,5153.629569937614,2289019.9905163785,965.218472783677,1036.0439037568176,169737.94313116858,5.5397847E7,-34.0,1.18684943E8,4149.968285604339,339987.8230589424,5.5397847E7,0.0,6.3488739E7,736.947208970292,57272.64732803062,1.1195396E7,0.0,0,0,0,0,572324,1723124,240.56441998059435,724.6540528030827,0.0,26280.0,2371.483882774334,4666.064388760432,2.1772156880058266E7,0,0,0,10096,114752,0,0,0,3.0,2371.5045489403233,22.81895104895105,3151.2009819853283,0,0,0,15118596,5009,22785038,1682,38389,5067,15969545,251,254,5045,20,5065166.5,5734090.824178988,1.0094786E7,243.0,1.95804305E7,2.3920991461598944E7,5.5397847E7,5801429.0,0
192.168.10.103-192.168.10.100-50169-445-6,192.168.10.103,50169,192.168.10.100,445,6,27/07/2022 04:44:18 PM,117062323,20959,185587,664979.0,5.46493999E8,643.0,0.0,31.72761105014569,68.7303773735039,26280.0,0.0,2944.6782317727157,5500.72912231043,4674082.693540944,1764.410569573269,566.7642547628868,48267.89278958991,1.2953255E7,-277.0,1.17062323E8,5585.567468269849,152327.4382165717,1.2953255E7,0.0,1.17062093E8,630.7700634746298,53474.73794264443,1.3001771E7,0.0,0,0,0,0,430632,3711824,179.04138123074833,1585.3691883425206,0.0,26280.0,2649.077343171315,5287.877981861134,2.7961653551051777E7,0,2,0,8985,206545,0,0,0,8.0,2649.090168775963,31.727611050145523,2944.6782317726997,0,0,0,17098695,5932,28778292,616,19558,5458,16073352,64240,255,4527,20,1.449995525E7,1.6941733289754473E7,3.8912863E7,2946938.0,8547940.5,3372853.3370712996,1.2953255E7,5293133.0,0
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,27/07/2022 04:45:29 PM,116813174,83436,247038,1979100.0,8.2981345E8,300.0,0.0,23.71997698835024,52.06534488831795,26280.0,0.0,3359.0518462746772,5312.087854386925,7120708.405714581,2829.081589718639,353.47267098976863,29664.036914341686,7755582.0,-1248.0,1.16813174E8,1400.050026967092,59567.892980335,7757590.0,0.0,1.16603962E8,472.01011184559457,34742.52022328396,7756789.0,0.0,1,0,0,0,1674996,4940760,714.2687519132046,2114.8128378054344,0.0,26280.0,2516.960974355123,4816.019492684397,2.3194043753916077E7,0,0,0,30978,330474,0,0,0,2.0,2516.968590569909,23.719976988350354,3359.0518462746622,0,0,0,28682501,8943,19790896,3209,76119,9501,31915901,254,252,15775,20,3.1507366E7,9439549.013928737,3.992934E7,2.1304063E7,6601085.0,1097170.8320343737,7755582.0,5572022.0,0
