Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
24.140.134.21-10.0.2.15-45411-56917-6,24.140.134.21,45411,10.0.2.15,56917,6,06/06/2015 02:14:34 AM,5360280,2,3,20.0,4.0,14.0,6.0,10.0,5.656854249492381,4.0,0.0,1.3333333333333335,2.309401076758503,4.477378047415433,0.9327870932115486,1340070.0,2679505.3415401136,5359328.0,92.0,952.0,952.0,0.0,952.0,952.0,5360188.0,2680094.0,3789380.997738021,5359591.0,597.0,1,0,0,0,40,60,0.3731148372846194,0.5596722559269292,0.0,14.0,6.333333333333333,6.377042156569663,40.666666666666664,1,0,0,2,5,0,0,0,1.0,7.6,10.0,1.3333333333333333,0,0,0,0,0,0,2,20,3,4,65535,31772,1,20,952.0,0.0,952.0,952.0,5359328.0,0.0,5359328.0,5359328.0,normal
10.0.2.15-74.125.207.16-42846-465-6,10.0.2.15,42846,74.125.207.16,465,6,06/06/2015 02:15:38 AM,3385144,18,22,1029.0,4558.0,391.0,0.0,57.166666666666664,97.94371132561443,2840.0,2.0,207.18181818181824,606.1822479658388,1650.446775676308,11.816336321290912,86798.5641025641,210424.81844627333,1024037.0,25.0,3334901.0,196170.64705882352,293228.5993009424,1024432.0,514.0,3325467.0,158355.57142857142,269835.7506970808,1024037.0,37.0,0,0,0,0,380,444,5.31735134458091,6.498984976710001,0.0,2840.0,136.26829268292678,450.5969387595883,203037.60121951217,1,2,0,19,39,0,0,0,1.0,139.675,57.166666666666664,207.1818181818182,0,0,0,2793,15,2427,18,1029,22,4558,29200,65535,9,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42848-465-6,10.0.2.15,42848,74.125.207.16,465,6,06/06/2015 02:16:07 AM,2618232,15,21,1318.0,946.0,517.0,0.0,87.86666666666665,152.52019382301324,239.0,2.0,45.04761904761905,59.38137434455032,864.7056486972889,13.749736463384453,74806.62857142856,202194.30181257738,986562.0,75.0,2566387.0,183313.35714285716,297771.6385160866,988633.0,210.0,2567662.0,128383.1,257134.28898901097,986562.0,768.0,0,0,0,0,320,424,5.729056859743522,8.02067960364093,0.0,517.0,61.1891891891892,107.50809732755476,11557.990990990987,1,2,0,19,35,0,0,0,1.0,62.888888888888886,87.86666666666666,45.04761904761905,0,0,0,2264,31,881,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42849-465-6,10.0.2.15,42849,74.125.207.16,465,6,06/06/2015 02:16:19 AM,2373765,18,21,1318.0,946.0,517.0,0.0,73.22222222222221,142.45228532660067,239.0,2.0,45.04761904761905,59.38137434455032,953.7591126333061,16.429596021510132,62467.49999999999,158046.50654222857,675315.0,40.0,2313209.0,136071.11764705883,224219.63869381577,676510.0,465.0,2298908.0,114945.40000000001,206076.62707464705,675315.0,59.0,0,0,0,0,380,424,7.582890471466214,8.846705550043916,0.0,517.0,56.60000000000001,104.57209511587246,10935.323076923078,1,2,0,19,38,0,0,0,1.0,58.05128205128205,73.22222222222223,45.04761904761905,0,0,0,2264,31,984,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42850-465-6,10.0.2.15,42850,74.125.207.16,465,6,06/06/2015 02:16:44 AM,2577795,13,21,1318.0,940.0,517.0,0.0,101.38461538461537,160.17102238000612,239.0,2.0,44.76190476190476,59.22913536588625,875.9424236605315,13.189567052461502,78114.99999999999,206628.19942910137,973341.0,20.0,2526153.0,210512.75,308767.1822022438,974295.0,414.0,2519539.0,125976.94999999998,256170.38452550434,973341.0,20.0,0,0,0,0,280,424,5.043069755352928,8.146497297108574,0.0,517.0,64.51428571428573,109.5507863500576,12001.374789915968,1,2,0,19,33,0,0,0,1.0,66.41176470588235,101.38461538461539,44.76190476190476,0,0,0,2258,31,896,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42851-465-6,10.0.2.15,42851,74.125.207.16,465,6,06/06/2015 02:16:56 AM,2759670,13,21,1318.0,946.0,517.0,0.0,101.38461538461537,160.17102238000612,239.0,2.0,45.04761904761905,59.38137434455032,820.3879449354453,12.320313660691316,83626.36363636363,210204.71106977155,972230.0,16.0,2700572.0,225047.66666666666,310377.6818113797,974851.0,155.0,2705513.0,135275.65000000002,259134.93540752187,972230.0,16.0,0,0,0,0,280,424,4.710708164381973,7.609605496309341,0.0,517.0,64.68571428571425,109.5675379761326,12005.04537815126,1,2,0,19,33,0,0,0,1.0,66.58823529411765,101.38461538461539,45.04761904761905,0,0,0,2264,31,836,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42852-465-6,10.0.2.15,42852,74.125.207.16,465,6,06/06/2015 02:17:10 AM,2528015,16,21,1316.0,940.0,517.0,0.0,82.25,148.70395645935812,239.0,2.0,44.76190476190476,59.22913536588625,892.3997681975779,14.635989106077298,70222.63888888889,199223.24754751934,995304.0,37.0,2479155.0,165277.0,289258.71820791456,997201.0,260.0,2471725.0,123586.24999999997,257370.65654418888,995304.0,37.0,0,0,0,0,340,424,6.3290763701955886,8.30691273588171,0.0,517.0,59.36842105263157,106.31885268040368,11303.698435277382,1,2,0,19,36,0,0,0,1.0,60.972972972972975,82.25,44.76190476190476,0,0,0,2256,31,912,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-74.125.207.16-42853-465-6,10.0.2.15,42853,74.125.207.16,465,6,06/06/2015 02:17:21 AM,3074119,14,20,1289.0,940.0,517.0,0.0,92.07142857142858,157.89844072193236,239.0,2.0,47.0,60.22851221979941,725.0857888064841,11.060079326792488,93155.12121212119,242901.59480869994,1176637.0,80.0,3014314.0,231870.30769230772,358869.7461258018,1177009.0,381.0,3020865.0,158992.8947368421,306568.3535869094,1176637.0,986.0,0,0,0,0,300,404,4.554150311032202,6.505929015760287,0.0,517.0,63.685714285714276,110.33925530156618,12174.751260504201,1,2,0,18,33,0,0,0,1.0,65.55882352941177,92.07142857142857,47.0,0,0,0,1114,14,1208,14,1289,20,940,29200,65535,9,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-157.56.52.13-34332-40011-6,10.0.2.15,34332,157.56.52.13,40011,6,06/06/2015 02:14:32 AM,59240081,7,7,837.0,42.0,398.0,0.0,119.57142857142857,190.7230602582858,6.0,6.0,6.0,0.0,14.837927044697997,0.23632648307823886,4556929.307692308,1.5587017195940837E7,5.6386405E7,30.0,5.9240081E7,9873346.833333332,2.280580478482144E7,5.6386405E7,2161.0,5.9239469E7,9873244.833333334,2.2806899548823584E7,5.638686E7,2915.0,1,0,0,0,140,140,0.11816324153911943,0.11816324153911943,0.0,398.0,85.13333333333334,162.18898441838357,26305.266666666666,0,0,0,7,14,0,0,0,1.0,91.21428571428571,119.57142857142857,6.0,0,0,0,418,5,2009,3,418,3,21,31088,65535,3,20,2645515.0,0.0,2645515.0,2645515.0,5.6386405E7,0.0,5.6386405E7,5.6386405E7,normal
10.0.2.15-74.125.207.16-42854-465-6,10.0.2.15,42854,74.125.207.16,465,6,06/06/2015 02:17:31 AM,2593765,13,21,1318.0,952.0,517.0,0.0,101.38461538461537,160.17102238000612,239.0,2.0,45.33333333333333,59.53682333928586,875.1756616347279,13.108357927568612,78598.93939393938,208312.7915923461,991375.0,19.0,2537814.0,211484.5,312019.7268800047,992183.0,318.0,2527460.0,126373.00000000001,258410.42319270247,991375.0,220.0,0,0,0,0,280,424,5.012019207599764,8.096338719968848,0.0,517.0,64.85714285714289,109.58562133492399,12009.008403361346,1,2,0,19,33,0,0,0,1.0,66.76470588235294,101.38461538461539,45.333333333333336,0,0,0,2270,31,898,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,normal
