Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80.239.235.110-10.8.8.246-11666-60245-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:33:22 AM,119999408,5995,6001,497585.0,498083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8297.274266553048,99.96715983798853,10004.119049604058,6898.771999279914,24445.0,6.0,1.19977599E8,20016.28278278279,5647.241339286714,114866.0,65.0,1.19998216E8,19999.702666666613,3233.657762557309,26060.0,5612.0,0,0,0,0,47960,48008,49.95857979566033,50.008580042328205,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.006918972991,83.0,83.0,0,0,0,995668,11996,8297,0,0,0,0,0,0,5994,8,0,0,0,0,0,0,0,0,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:33:23 AM,84002921,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.035713043835701855,4.20014605E7,10393.762576661062,4.200881E7,4.1994111E7,8.4002921E7,4.20014605E7,10393.762576661062,4.200881E7,4.1994111E7,0,0,0,0,0,0,0,0,0,0,0,0.035713043835701855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.20014605E7,10393.762576661062,4.200881E7,4.1994111E7,normal
10.8.8.246-77.72.169.160-19729-6901-17,10.8.8.246,19729,77.72.169.160,6901,17,23/05/2015 12:34:30 AM,134745,1,1,30.0,42.0,30.0,30.0,30.0,0.0,42.0,42.0,42.0,0.0,534.3426472225315,14.842851311736984,134745.0,0.0,134745.0,134745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.421425655868492,7.421425655868492,30.0,42.0,34.0,6.928203230275509,48.0,0,0,0,0,0,0,0,0,1.0,51.0,30.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
80.239.235.110-10.8.8.246-11666-60245-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:35:22 AM,119982390,5993,5999,497419.0,497917.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8295.684058302222,99.94800070243642,10006.03702777086,7048.286270275422,24185.0,1.0,1.19980973E8,20023.526869158894,5675.18340793341,198767.0,91.0,1.19965676E8,20000.946315438472,3372.0821697973984,34170.0,5473.0,0,0,0,0,47944,47992,49.94899668192974,49.999004020506675,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.0069212808539,83.0,83.0,0,0,0,995336,11992,8295,0,0,0,0,0,0,5992,8,0,0,0,0,0,0,0,0,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:35:29 AM,84002103,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03571339160401734,4.20010515E7,10662.46315351195,4.2008591E7,4.1993512E7,8.4002103E7,4.20010515E7,10662.46315351195,4.2008591E7,4.1993512E7,0,0,0,0,0,0,0,0,0,0,0,0.03571339160401734,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.20010515E7,10662.46315351195,4.2008591E7,4.1993512E7,normal
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,23/05/2015 12:33:47 AM,81014002,48,0,2400.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,29.624508612721044,0.5924901722544209,1723702.170212766,2191284.9708975637,9010942.0,66437.0,8.1014002E7,1723702.170212766,2191284.9708975637,9010942.0,66437.0,0,0,0,0,0,0,0,0,0,384,0,0.5924901722544209,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.041666666666664,50.0,0.0,0,0,0,300,6,113,3,184,0,0,0,0,47,8,1.212668725E7,1.0685622965760281E7,2.7656226E7,3718970.0,7751467.0,1071242.5509155244,9010942.0,6549396.0,normal
10.8.8.246-8.8.8.8-64162-53-17,10.8.8.246,64162,8.8.8.8,53,17,23/05/2015 12:33:50 AM,107585027,2,2,80.0,216.0,40.0,40.0,40.0,0.0,108.0,108.0,108.0,0.0,2.7513122248879487,0.03717989493091822,3.586167566666667E7,6.19065688152999E7,1.07345224E8,119041.0,1.07464265E8,1.07464265E8,0.0,1.07464265E8,1.07464265E8,1.07465986E8,1.07465986E8,0.0,1.07465986E8,1.07465986E8,0,0,0,0,16,16,0.01858994746545911,0.01858994746545911,40.0,108.0,67.2,37.2451339103513,1387.2,0,0,0,0,0,0,0,0,1.0,84.0,40.0,108.0,0,0,0,0,0,0,2,80,2,216,0,0,1,8,119041.0,0.0,119041.0,119041.0,1.07345224E8,0.0,1.07345224E8,1.07345224E8,normal
80.239.235.110-10.8.8.246-11666-60245-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:37:22 AM,119995160,5998,6000,497834.0,498000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8298.951391039438,99.98736615710168,10002.097190964378,7158.211109277559,24410.0,10.0,1.19978729E8,20006.45806236452,6199.108365735928,206433.0,90.0,1.19971161E8,19998.526587764653,3418.28712596578,25728.0,5887.0,0,0,0,0,47984,48000,49.985349409092834,50.002016748008835,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.00691781963661,83.0,83.0,0,0,0,995834,11998,8298,0,0,0,0,0,0,5997,8,0,0,0,0,0,0,0,0,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:37:35 AM,84004010,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.035712580863699245,4.2002005E7,17660.69896691521,4.2014493E7,4.1989517E7,8.400401E7,4.2002005E7,17660.69896691521,4.2014493E7,4.1989517E7,0,0,0,0,0,0,0,0,0,0,0,0.035712580863699245,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.2002005E7,17660.69896691521,4.2014493E7,4.1989517E7,normal
10.8.8.246-77.72.169.133-60245-11113-17,10.8.8.246,60245,77.72.169.133,11113,17,23/05/2015 12:36:05 AM,80845147,3,3,244.0,103.0,118.0,18.0,81.33333333333333,55.07570547286102,67.0,18.0,34.333333333333336,28.29016319029166,4.292156213161441,0.07421595757627851,1.61690294E7,3.60061636334315E7,8.0578703E7,62.0,8.0710423E7,4.03552115E7,5.688460720529891E7,8.0578703E7,131720.0,8.0713582E7,4.0356791E7,5.707298964419516E7,8.0713489E7,93.0,0,0,0,0,24,24,0.037107978788139255,0.037107978788139255,18.0,118.0,65.0,46.7938742429676,2189.6666666666665,0,0,0,0,0,0,0,0,1.0,75.83333333333333,81.33333333333333,34.333333333333336,0,0,0,211,4,1601,3,244,3,103,0,0,2,8,131720.0,0.0,131720.0,131720.0,8.0578703E7,0.0,8.0578703E7,8.0578703E7,normal
