Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:17:42 AM,119814478,622,1460,74362.0,1740568.0,1057.0,0.0,119.55305466237935,227.1140078088292,1420.0,0.0,1192.1698630136987,423.32173486489995,15147.835472771496,17.376864922785042,57575.43392599709,671260.1830564418,1.5059017E7,0.0,1.19814258E8,192937.61352657,1218937.1182524355,1.5059136E7,22.0,1.19814329E8,82120.85606579858,801047.8383857723,1.5059178E7,3.0,1,0,0,0,12440,29200,5.1913592612739174,12.185505661511124,0.0,1420.0,871.5664906385025,618.098273160412,382045.4752838833,0,0,0,748,2082,0,0,0,2.0,871.9851104707012,119.55305466237942,1192.1698630136987,0,0,0,257961,206,82424,38,4647,91,108785,65535,65535,135,20,3472210.8571428573,3725803.5079966052,9422396.0,119.0,1.1013537857142856E7,2727377.042430659,1.5059017E7,7082520.0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:19:43 AM,119971744,563,1694,81102.0,2046450.0,1460.0,0.0,144.05328596802858,263.69676994494404,1420.0,0.0,1208.0578512396717,414.45482400417296,17733.77571305457,18.812763111954094,53178.96453900712,678800.8224512674,1.5076725E7,-3.0,1.19971744E8,213472.8540925269,1348466.6861781944,1.5077385E7,21.0,1.19971259E8,70863.11813349085,783248.1572845186,1.5077091E7,3.0,1,0,0,0,11260,33880,4.692771657966396,14.1199914539877,0.0,1460.0,942.4689991142602,598.4897772211019,358190.01343816426,0,0,0,709,2257,0,0,0,3.0,942.8865750996898,144.05328596802843,1208.0578512396694,0,0,0,353510,280,98489,43,6238,130,157419,65535,65535,138,20,1953104.7142857143,1715846.6868394462,4017475.0,178.0,1.1675395E7,2585507.322008455,1.5076725E7,9103888.0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:21:43 AM,99315529,412,1131,59605.0,1359490.0,1460.0,0.0,144.67233009708747,276.4156430082548,1420.0,0.0,1202.0247568523414,411.026910932179,14288.752366208511,15.536341753765416,64406.95784695209,753088.9111392203,1.5713583E7,1.0,9.9314953E7,241642.22141119203,1445419.6772172283,1.5713996E7,25.0,9.9314631E7,87889.05398230079,879159.9124806855,1.5713583E7,3.0,1,0,0,0,8240,22620,4.148394557713124,11.387947196052291,0.0,1460.0,919.9695595854931,602.4939449543134,362998.95370661124,0,0,0,543,1543,0,0,0,2.0,920.5657809462086,144.67233009708738,1202.024756852343,0,0,0,281978,223,112762,27,3973,75,90632,65535,65535,97,20,5526236.333333334,5730508.721286293,1.6185501E7,658188.0,1.1026255833333334E7,4446652.793214213,1.5713583E7,5033558.0,normal
37.97.149.8-10.0.2.15-443-59708-6,37.97.149.8,443,10.0.2.15,59708,6,25/02/2016 12:19:46 AM,131877,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,8234.94619986806,30.33129355384184,43959.0,75720.28871445222,131393.0,58.0,131877.0,131877.0,0.0,131877.0,131877.0,131393.0,131393.0,0.0,131393.0,131393.0,1,0,0,0,40,40,15.16564677692092,15.16564677692092,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,0,0,2,4,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,0,0,0,0,65535,34752,0,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:23:43 AM,119998730,997,2220,105305.0,2681659.0,1460.0,0.0,105.6218655967905,238.99159057336962,1420.0,0.0,1207.9545045045043,399.279972954559,23224.94579734302,26.808617057863863,37313.037935323344,477757.7864699734,1.0008296E7,-24.0,1.19994264E8,120476.16867469896,853066.9811797901,1.0008296E7,42.0,1.19998583E8,54077.775123929685,575234.3520191499,1.000926E7,3.0,1,0,0,0,19940,44400,8.308421264125046,18.50019579373882,0.0,1460.0,866.2234307022997,622.5447945710708,387562.02124753676,0,0,0,1201,3217,0,0,0,2.0,866.492695057507,105.62186559679037,1207.9545045045045,0,0,0,396831,315,118154,62,6581,138,167603,65535,65535,176,20,5768912.375,6741447.514726873,1.7444456E7,141.0,8953671.625,1133714.250414216,1.0008296E7,7480241.0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:25:43 AM,119594327,831,2078,108246.0,2489662.0,1460.0,0.0,130.25992779783397,242.58538145547507,1420.0,0.0,1198.104908565928,424.53009232823064,21722.669169750836,24.32389623297098,41125.97214580461,471004.44584207993,1.1675518E7,-1.0,1.19594109E8,144089.28795180726,873755.6723988237,1.1675518E7,21.0,1.19594073E8,57580.19884448735,556927.8648120208,1.1675796E7,3.0,0,0,0,0,16620,41560,6.94849012361598,17.375406109355,0.0,1460.0,893.239862542956,615.0238720645982,378254.3632093313,0,0,0,979,2909,0,0,0,2.0,893.5469233413544,130.25992779783394,1198.1049085659288,0,0,0,235290,187,110437,41,5412,103,124483,65535,65535,193,20,7972969.000000001,1.0140395160359895E7,2.4681818E7,143.0,8608221.714285715,2114151.6355923726,1.1675518E7,5272020.0,normal
37.97.149.8-10.0.2.15-443-59708-6,37.97.149.8,443,10.0.2.15,59708,6,25/02/2016 12:24:46 AM,4130751,3,3,543.0,1086.0,543.0,0.0,181.0,313.5011961699668,543.0,0.0,362.0,313.5011961699668,394.3592823677825,1.4525203770452395,826150.2,1775624.5502354095,4000908.0,53.0,4130751.0,2065375.5,2737703.2033996126,4001224.0,129527.0,4130382.0,2065191.0,2737722.2952827048,4001053.0,129329.0,1,0,0,0,60,60,0.7262601885226198,0.7262601885226198,0.0,543.0,310.2857142857143,290.2457087168929,84242.57142857143,0,0,0,3,6,0,0,0,1.0,362.0,181.0,362.0,0,0,0,0,0,0,3,543,3,1086,65535,35838,0,20,0,0,0,0,0,0,0,0,normal
37.97.149.8-10.0.2.15-443-59708-6,37.97.149.8,443,10.0.2.15,59708,6,25/02/2016 12:28:36 AM,563,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3552.3978685612788,563.0,0.0,563.0,563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1776.1989342806394,1776.1989342806394,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,35838,0,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:27:46 AM,107948684,653,1766,77077.0,2129205.0,1057.0,0.0,118.03522205206744,225.9889927211586,1420.0,0.0,1205.6653454133636,404.5498958774678,20438.24823283626,22.408795645901527,44643.78990901567,600694.191409306,1.8249684E7,-54.0,1.07948684E8,165565.46625766894,1148938.4075003462,1.8249684E7,33.0,1.07948369E8,61160.549008498696,702991.1288308018,1.8249968E7,3.0,1,0,0,0,13060,35320,6.049170548480239,16.35962509742129,0.0,1420.0,911.9111570247926,605.2793409410002,366363.0805699715,0,0,0,851,2419,0,0,0,2.0,912.2881355932203,118.03522205206738,1205.6653454133636,0,0,0,365999,291,132949,46,5505,126,152086,65535,65535,140,20,8138689.8,1.3987845111699896E7,3.2549067E7,58.0,1.18595308E7,4128504.027264743,1.8249684E7,8506031.0,normal
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,25/02/2016 12:29:52 AM,119957893,752,2136,94764.0,2601614.0,1057.0,0.0,126.01595744680853,243.16148352193747,1420.0,0.0,1217.9840823970017,397.91585818043984,22477.70390565296,24.075114423691986,41551.05403533083,631949.2141231052,1.8254379E7,0.0,1.19957893E8,159730.88282290281,1232141.9412734406,1.8254379E7,18.0,1.19917637E8,56167.51147540983,735330.6754742851,1.8255E7,1.0,1,0,0,0,15040,42720,6.2688663596317085,17.806248064060277,0.0,1420.0,933.5136725510549,601.7641296775653,362120.06776659755,0,0,0,938,2888,0,0,0,2.0,933.8369113573407,126.01595744680851,1217.9840823970037,0,0,0,383572,302,172167,44,5574,125,153036,65535,65535,165,20,1.0483805E7,1.261134136240971E7,3.2384799E7,381.0,1.33368668E7,6234054.349843062,1.8254379E7,5322563.0,normal
