Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
24.140.134.21-10.0.2.15-45411-45733-6,24.140.134.21,45411,10.0.2.15,45733,6,06/06/2015 02:14:34 AM,5377804,2,3,20.0,4.0,14.0,6.0,10.0,5.656854249492381,4.0,0.0,1.3333333333333335,2.309401076758503,4.46278815665279,0.9297475326359979,1344451.0,2688396.002984803,5377045.0,157.0,759.0,759.0,0.0,759.0,759.0,5377647.0,2688823.5,3801959.7202685485,5377215.0,432.0,1,0,0,0,40,60,0.37189901305439915,0.5578485195815988,0.0,14.0,6.333333333333333,6.377042156569663,40.666666666666664,1,0,0,2,5,0,0,0,1.0,7.6,10.0,1.3333333333333333,0,0,0,0,0,0,2,20,3,4,65535,31136,1,20,759.0,0.0,759.0,759.0,5377045.0,0.0,5377045.0,5377045.0,NeedManualLabel
10.0.2.15-67.71.163.47-35273-30582-6,10.0.2.15,35273,67.71.163.47,30582,6,06/06/2015 02:14:40 AM,51735,1,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,231.9512902290519,57.98782255726297,25867.5,36114.06463554054,51404.0,331.0,0,0,0,0,0,51404.0,51404.0,0.0,51404.0,51404.0,0,0,0,0,20,40,19.329274185754322,38.658548371508644,0.0,6.0,3.0,3.4641016151377544,12.0,2,0,0,0,3,0,0,0,2.0,4.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,29200,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-206.75.168.220-38166-55632-6,10.0.2.15,38166,206.75.168.220,55632,6,06/06/2015 02:14:40 AM,101915,1,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,117.74517980670166,29.436294951675414,50957.5,71480.7174033669,101502.0,413.0,0,0,0,0,0,101502.0,101502.0,0.0,101502.0,101502.0,0,0,0,0,20,40,9.812098317225137,19.624196634450275,0.0,6.0,3.0,3.4641016151377544,12.0,2,0,0,0,3,0,0,0,2.0,4.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,29200,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-74.125.207.16-48937-465-6,10.0.2.15,48937,74.125.207.16,465,6,06/06/2015 02:14:52 AM,1252374,12,20,1743.0,947.0,845.0,0.0,145.25,261.2501848629185,240.0,2.0,47.35,60.546871795415875,2147.920669065311,25.551472643156117,40399.16129032258,81562.99719157652,416714.0,42.0,1197063.0,108823.9090909091,121621.77582444235,423312.0,909.0,1202716.0,63300.84210526316,97674.34552763311,416714.0,1071.0,0,0,0,0,260,404,9.581802241183544,15.969670401972573,0.0,845.0,81.51515151515152,167.62646740821563,28098.632575757576,1,2,0,18,31,0,0,0,1.0,84.0625,145.25,47.35,0,0,0,2690,29,2236,0,0,0,0,29200,65535,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-74.125.207.16-48938-465-6,10.0.2.15,48938,74.125.207.16,465,6,06/06/2015 02:15:22 AM,1356969,16,21,1826.0,959.0,896.0,0.0,114.12499999999999,242.94879433054749,240.0,2.0,45.66666666666667,59.857608817370355,2052.368182323988,27.266650896225336,37693.58333333333,88234.01299413963,494432.0,25.0,1306757.0,87117.13333333333,124838.46378183899,498068.0,397.0,1303789.0,65189.45,111965.92273049915,494432.0,170.0,0,0,0,0,340,424,11.790984171340686,15.47566672488465,0.0,896.0,73.28947368421053,164.81732851279284,27164.751778093876,1,2,0,19,36,0,0,0,1.0,75.27027027027027,114.125,45.666666666666664,0,0,0,2785,31,2136,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-74.125.207.16-48939-465-6,10.0.2.15,48939,74.125.207.16,465,6,06/06/2015 02:15:48 AM,1411634,15,20,1750.0,947.0,852.0,0.0,116.66666666666667,240.78018032656934,240.0,2.0,47.35,60.546871795415875,1910.5518852620437,24.793962174331305,41518.64705882353,90259.09781823972,465973.0,23.0,1356615.0,96901.07142857143,129333.2702549528,479548.0,457.0,1358032.0,71475.36842105263,112598.08128531543,465973.0,33.0,0,0,0,0,320,404,10.62598378899913,14.167978385332175,0.0,852.0,74.91666666666667,162.85495299279575,26521.735714285714,1,2,0,18,34,0,0,0,1.0,77.05714285714286,116.66666666666667,47.35,0,0,0,2697,29,1985,0,0,0,0,29200,65535,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-74.125.207.16-48940-465-6,10.0.2.15,48940,74.125.207.16,465,6,06/06/2015 02:16:28 AM,1150741,14,20,1858.0,941.0,960.0,0.0,132.71428571428572,272.44348138549867,240.0,2.0,47.050000000000004,60.3964751498489,2432.34576677115,29.546179374854983,34870.9393939394,74042.88339449788,397425.0,50.0,1099459.0,84573.76923076922,103860.8968413633,398081.0,204.0,1099159.0,57850.47368421052,92958.36352748258,397425.0,803.0,0,0,0,0,300,404,12.166073860234405,17.380105514620578,0.0,960.0,79.97142857142856,179.9718091836617,32389.852100840337,1,2,0,18,33,0,0,0,1.0,82.32352941176471,132.71428571428572,47.05,0,0,0,2799,29,2546,0,0,0,0,29200,65535,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-64.4.23.162-46839-40019-6,10.0.2.15,46839,64.4.23.162,40019,6,06/06/2015 02:14:35 AM,99643502,3,3,36.0,18.0,34.0,0.0,12.0,19.078784028338912,6.0,6.0,6.0,0.0,0.5419319766581467,0.06021466407312742,1.99287004E7,4.450733870540497E7,9.9545813E7,54.0,9.9643175E7,4.98215875E7,7.032067408059809E7,9.9545813E7,97362.0,9.9643182E7,4.9821591E7,7.03212079462179E7,9.9546194E7,96988.0,1,0,0,0,60,60,0.03010733203656371,0.03010733203656371,0.0,34.0,12.571428571428571,14.819549507965739,219.6190476190476,0,0,0,3,6,0,0,0,1.0,14.666666666666666,12.0,6.0,0,0,0,0,0,0,3,36,3,18,64800,65535,1,20,97362.0,0.0,97362.0,97362.0,9.9545813E7,0.0,9.9545813E7,9.9545813E7,NeedManualLabel
10.0.2.15-74.125.207.16-48941-465-6,10.0.2.15,48941,74.125.207.16,465,6,06/06/2015 02:16:42 AM,1572967,19,21,1773.0,953.0,843.0,0.0,93.3157894736842,215.52753178901375,240.0,2.0,45.38095238095238,59.699645049594885,1733.0306357348882,25.429649827364464,40332.487179487194,100009.91936194492,617099.0,44.0,1518432.0,84357.33333333333,138841.59613196107,617326.0,746.0,1520167.0,76008.35,132529.24878335942,617099.0,338.0,0,0,0,0,400,424,12.079083667998121,13.350566159366345,0.0,843.0,66.48780487804879,152.8782394507504,23371.75609756098,1,2,0,19,39,0,0,0,1.0,68.15,93.3157894736842,45.38095238095238,0,0,0,2726,31,1793,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-74.125.207.16-48942-465-6,10.0.2.15,48942,74.125.207.16,465,6,06/06/2015 02:17:09 AM,1267235,15,21,1774.0,953.0,844.0,0.0,118.26666666666665,238.0679574847325,240.0,2.0,45.38095238095238,59.699645049594885,2151.9292001878107,28.40830627310641,36206.71428571428,71662.01574079265,401709.0,13.0,1214537.0,86752.64285714286,104520.8037323797,418821.0,226.0,1200918.0,60045.90000000001,89290.37837474575,401709.0,13.0,0,0,0,0,320,424,11.836794280461005,16.571511992645405,0.0,844.0,73.70270270270271,159.58415837295254,25467.103603603602,1,2,0,19,35,0,0,0,1.0,75.75,118.26666666666667,45.38095238095238,0,0,0,2727,31,2270,0,0,0,0,29200,65535,10,20,0,0,0,0,0,0,0,0,NeedManualLabel
