Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64.233.171.95-131.202.240.150-443-35273-6,64.233.171.95,443,131.202.240.150,35273,6,02/04/2015 01:48:39 AM,154,2,1,63.0,0.0,63.0,0.0,31.5,44.54772721475249,0.0,0.0,0.0,0.0,409090.90909090906,19480.51948051948,77.0,79.19595949289332,133.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,1,0,0,0,64,32,12987.012987012988,6493.506493506494,0.0,63.0,31.5,36.373066958946424,1323.0,2,0,0,1,3,0,0,0,0.0,42.0,31.5,0.0,0,0,0,0,0,0,0,0,0,0,366,357,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
131.202.240.150-23.203.88.184-33049-443-6,131.202.240.150,33049,23.203.88.184,443,6,02/04/2015 01:48:40 AM,36491,2,1,0.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,0.0,1452.4129237346194,82.21205228686524,18245.5,25743.636582658637,36449.0,42.0,36491.0,36491.0,0.0,36491.0,36491.0,0,0,0,0,0,0,0,0,0,52,32,54.808034857910165,27.404017428955083,0.0,53.0,13.25,26.5,702.25,1,0,1,1,2,0,0,0,0.0,17.666666666666668,0.0,53.0,0,0,0,0,0,0,0,0,0,0,1216,1320,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
23.203.88.184-131.202.240.150-443-33049-6,23.203.88.184,443,131.202.240.150,33049,6,02/04/2015 01:48:40 AM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1320,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.203.88.184-131.202.240.150-443-33049-6,23.203.88.184,443,131.202.240.150,33049,6,02/04/2015 01:48:40 AM,28,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,35714.28571428572,35714.28571428572,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1320,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.203.88.184-131.202.240.150-443-33049-6,23.203.88.184,443,131.202.240.150,33049,6,02/04/2015 01:48:40 AM,47,1,1,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,1127659.574468085,42553.19148936171,47.0,0.0,47.0,47.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,21276.595744680853,21276.595744680853,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,1,0,1,1,1,0,0,0,1.0,53.0,53.0,0.0,0,0,0,0,0,0,0,0,0,0,1320,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
23.203.88.184-131.202.240.150-443-33049-6,23.203.88.184,443,131.202.240.150,33049,6,02/04/2015 01:48:40 AM,17,1,1,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,3117647.0588235296,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,58823.529411764706,58823.529411764706,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,1,0,1,1,1,0,0,0,1.0,53.0,53.0,0.0,0,0,0,0,0,0,0,0,0,0,1320,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
131.202.240.150-23.21.110.135-34498-443-6,131.202.240.150,34498,23.21.110.135,443,6,02/04/2015 01:48:38 AM,19186384,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6157291545921315,0.260601476547118,4796596.0,6647652.521325102,1.4127838E7,24.0,1.4185984E7,1.4185984E7,0.0,1.4185984E7,1.4185984E7,1.9128262E7,9564131.0,6454056.334097031,1.4127838E7,5000424.0,0,0,0,0,64,96,0.1042405906188472,0.1563608859282708,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,1,0,1,15,1910,166,0,32,29073.0,41081.48977337604,58122.0,24.0,9564119.0,6454073.304659779,1.4127838E7,5000400.0,NeedManualLabel
131.202.240.150-23.21.110.135-34525-443-6,131.202.240.150,34525,23.21.110.135,443,6,02/04/2015 01:48:40 AM,19017968,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6300374466925174,0.2629092655955673,4754492.0,6565221.7475967,1.3952283E7,10.0,1.4012232E7,1.4012232E7,0.0,1.4012232E7,1.4012232E7,1.8958029E7,9479014.5,6326156.980836351,1.3952283E7,5005746.0,0,0,0,0,64,96,0.10516370623822692,0.1577455593573404,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,1,0,1,15,349,154,0,32,29974.5,42376.20228972861,59939.0,10.0,9479009.5,6326164.051904163,1.3952283E7,5005736.0,NeedManualLabel
131.202.240.150-23.21.251.225-33968-443-6,131.202.240.150,33968,23.21.251.225,443,6,02/04/2015 01:48:45 AM,20767188,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.4927394118067405,0.24076442125915168,5191797.0,7392798.012327809,1.5708419E7,27.0,1.576501E7,1.576501E7,0.0,1.576501E7,1.576501E7,2.0710624E7,1.0355312E7,7570436.520234352,1.5708419E7,5002205.0,0,0,0,0,64,96,0.09630576850366067,0.14445865275549102,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,1,0,1,15,384,136,0,32,28295.5,39977.696087943834,56564.0,27.0,1.03552985E7,7570455.612117444,1.5708419E7,5002178.0,NeedManualLabel
131.202.240.150-23.23.148.16-48890-80-6,131.202.240.150,48890,23.23.148.16,80,6,02/04/2015 01:49:15 AM,15134843,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198218111677802,7567421.5,1.0621545005405027E7,1.5077988E7,56855.0,0,0,0,0,0,1.5077988E7,1.5077988E7,0.0,1.5077988E7,1.5077988E7,0,0,0,0,32,64,0.06607270389260067,0.13214540778520134,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,290,166,0,32,56855.0,0.0,56855.0,56855.0,1.5077988E7,0.0,1.5077988E7,1.5077988E7,NeedManualLabel
