Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-204.236.238.164-59805-1878-6,10.8.8.138,59805,204.236.238.164,1878,6,23/05/2015 03:40:44 AM,2881278,219,94,270331.0,4226.0,1308.0,0.0,1234.388127853881,295.85650818663305,1308.0,0.0,44.95744680851061,231.41648508177772,95290.00672618192,108.63234995026512,9234.865384615383,45565.14923038185,338827.0,0.0,2881278.0,13216.871559633022,61089.00132319609,560598.0,0.0,2655265.0,28551.236559139797,78366.9481083256,338827.0,13.0,0,0,0,0,7028,3016,76.00793814411522,32.62441180614991,0.0,1308.0,874.3853503184712,613.6805799645251,376603.85422559595,1,2,1,17,311,0,0,0,0.0,877.1789137380192,1234.3881278538813,44.95744680851064,0,0,0,274557,217,103418,0,0,0,0,29200,2999,210,20,0,0,0,0,0,0,0,0,NeedManualLabel
204.236.238.164-10.8.8.138-1878-59805-6,204.236.238.164,1878,10.8.8.138,59805,6,23/05/2015 03:40:47 AM,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.33333333333,24.0,0.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,41666.666666666664,41666.666666666664,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2999,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-204.236.238.164-44296-1901-6,10.8.8.138,44296,204.236.238.164,1901,6,23/05/2015 03:40:46 AM,1904945,78,42,85844.0,4226.0,1308.0,0.0,1100.564102564103,469.66873072061827,1308.0,0.0,100.6190476190476,340.2028772322769,47282.20499804456,62.99394470706503,16007.941176470595,57255.29197024679,263435.0,1.0,1904945.0,24739.545454545445,72655.82369956122,263485.0,1.0,1682722.0,41042.0,89789.32287026115,272917.0,35.0,0,0,0,0,2492,1352,40.94606405959227,22.04788064747276,0.0,1308.0,744.380165289256,642.8213107880802,413219.23760330555,1,2,1,10,118,0,0,0,0.0,750.5833333333334,1100.5641025641025,100.61904761904762,0,0,0,90070,76,53531,0,0,0,0,29200,1392,69,20,0,0,0,0,0,0,0,0,NeedManualLabel
204.236.238.164-10.8.8.138-1901-44296-6,204.236.238.164,1901,10.8.8.138,44296,6,23/05/2015 03:40:48 AM,34,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.529411764706,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,29411.764705882353,29411.764705882353,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1392,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-204.236.238.164-53875-1879-6,10.8.8.138,53875,204.236.238.164,1879,6,23/05/2015 03:40:48 AM,2373772,179,88,218236.0,4226.0,1308.0,0.0,1219.1955307262565,322.05143141165416,1308.0,0.0,48.022727272727245,238.95197311289445,93716.66697559832,112.47921030326417,8923.954887218046,42298.827144606235,272057.0,1.0,2373772.0,13335.797752808981,53654.50730518597,272111.0,1.0,2154202.0,24760.942528735653,69787.43836812634,281607.0,16.0,0,0,0,0,5724,2824,75.40741065275013,37.07179965051403,0.0,1308.0,830.0820895522385,627.2308685997974,393418.56252445636,1,2,1,14,265,0,0,0,0.0,833.1910112359551,1219.195530726257,48.02272727272727,0,0,0,222462,177,103289,0,0,0,0,29200,1627,170,20,0,0,0,0,0,0,0,0,NeedManualLabel
204.236.238.164-10.8.8.138-1879-53875-6,204.236.238.164,1879,10.8.8.138,53875,6,23/05/2015 03:40:50 AM,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.33333333333,24.0,0.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,41666.666666666664,41666.666666666664,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1627,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,6,23/05/2015 03:40:50 AM,1056416,9,10,465.0,4487.0,267.0,0.0,51.66666666666667,91.51092830913694,1308.0,0.0,448.7,605.1883177986832,4687.54732983976,17.985339108835912,58689.77777777779,108081.55050187283,280798.0,12.0,785822.0,98227.75,134663.47891980852,280848.0,27.0,814156.0,90461.77777777778,127843.06118125631,285016.0,35.0,0,0,0,0,296,328,8.51937115681701,9.465967952018902,0.0,1308.0,247.60000000000005,468.73271476902147,219710.35789473684,1,2,0,6,18,0,0,0,1.0,260.63157894736844,51.666666666666664,448.7,0,0,0,4952,9,6084,0,0,0,0,29200,235,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-204.236.238.164-35158-1335-6,10.8.8.138,35158,204.236.238.164,1335,6,23/05/2015 03:40:51 AM,243369,3,1,53.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,0.0,0.0,0.0,0.0,217.7762985425424,16.43594705981452,81123.0,140396.57695613522,243239.0,38.0,130.0,65.0,38.18376618407357,92.0,38.0,0,0,0,0,0,0,0,0,0,96,20,12.326960294860891,4.10898676495363,0.0,53.0,10.6,23.70232056149777,561.8,1,0,1,1,3,0,0,0,0.0,13.25,17.666666666666668,0.0,0,0,0,0,0,0,0,0,0,0,10780,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-204.236.238.164-32797-1742-6,10.8.8.138,32797,204.236.238.164,1742,6,23/05/2015 03:40:51 AM,2358793,273,136,341423.0,4226.0,1308.0,0.0,1250.6336996337006,262.58540186370624,1308.0,0.0,31.073529411764703,193.2022019793594,146536.38534623428,173.393765370679,5781.355392156868,34301.496090016764,258275.0,2.0,2358793.0,8672.033088235294,43545.08001503163,261790.0,2.0,2139668.0,15849.392592592596,56881.00645404686,265181.0,18.0,0,0,0,0,8732,4360,115.7371587926537,57.65660657802529,0.0,1308.0,843.046341463415,624.5235956820203,390029.7215635996,1,2,1,20,407,0,0,0,0.0,845.1075794621026,1250.6336996336997,31.073529411764707,0,0,0,345649,271,161573,0,0,0,0,29200,3980,264,20,0,0,0,0,0,0,0,0,NeedManualLabel
204.236.238.164-10.8.8.138-1742-32797-6,204.236.238.164,1742,10.8.8.138,32797,6,23/05/2015 03:40:53 AM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3980,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
