Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-74.125.136.16-50591-465-6,10.152.152.11,50591,74.125.136.16,465,6,14/07/2015 03:15:15 AM,7669425,20,25,3322.0,4513.0,1460.0,0.0,166.1,393.87065736970317,1460.0,0.0,180.51999999999995,404.6044488139002,1021.5889717938437,5.86745420940944,174305.11363636362,366787.5361527887,1644140.0,12.0,7281656.0,383245.05263157893,490965.2832101351,1644140.0,55.0,7669072.0,319544.6666666666,457252.2930444481,1681973.0,23.0,0,0,0,0,412,512,2.607757426404196,3.2596967830052446,0.0,1460.0,170.3260869565217,391.8170805843987,153520.62463768118,1,2,0,20,44,0,0,0,1.0,174.11111111111111,166.1,180.52,0,0,0,3815,10,1810,10,1661,12,2256,14600,1412,10,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-74.125.136.16-50591-465-6,10.152.152.11,50591,74.125.136.16,465,6,14/07/2015 03:15:23 AM,219,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,141552.5114155251,13698.630136986301,109.5,91.21677477306463,174.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,40,20,9132.4200913242,4566.2100456621,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,0,0,0,1825,0,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-74.125.136.16-50593-465-6,10.152.152.11,50593,74.125.136.16,465,6,14/07/2015 03:15:42 AM,5867410,15,21,3610.0,895.0,1460.0,0.0,240.66666666666669,452.6606528810149,244.0,0.0,42.61904761904762,62.82075786750442,767.8004434665381,6.135586229699306,167640.28571428574,321197.9954720591,1589684.0,41.0,5480451.0,391460.7857142857,421633.63300020376,1598232.0,287.0,5867043.0,293352.14999999997,384077.9959341146,1589684.0,97.0,0,0,0,0,312,432,2.5564942623747107,3.579091967324595,0.0,1460.0,121.75675675675676,303.0396385335135,91833.02252252251,1,2,0,18,35,0,0,0,1.0,125.13888888888889,240.66666666666666,42.61904761904762,0,0,0,4303,16,1108,15,3610,21,895,14600,1412,10,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-74.125.136.16-50593-465-6,10.152.152.11,50593,74.125.136.16,465,6,14/07/2015 03:15:48 AM,239,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,129707.11297071129,12552.301255230124,119.5,105.35891039679558,194.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,40,20,8368.200836820084,4184.100418410042,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,0,0,0,1047,0,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-216.58.213.10-46669-443-6,10.152.152.11,46669,216.58.213.10,443,6,14/07/2015 03:15:17 AM,85722083,17,21,1520.0,5041.0,282.0,0.0,89.41176470588235,100.61191456751618,1460.0,0.0,240.04761904761915,450.05871574612087,76.53803746229545,0.4432930077072439,2316813.0540540535,1.0325884890053282E7,5.8377734E7,7.0,8.4958653E7,5309915.8125,1.5460550671334421E7,5.8378102E7,22.0,8.5721787E7,4286089.350000001,1.3897543522033338E7,5.8378015E7,7.0,0,0,0,0,352,432,0.19831529292166175,0.24497771478558214,0.0,1460.0,168.23076923076923,342.40807153072876,117243.28744939268,1,2,0,17,37,0,0,0,1.0,172.6578947368421,89.41176470588235,240.04761904761904,0,0,0,3227,8,4243,8,760,10,2520,14600,1248,11,20,761267.5,481431.5306505173,1101691.0,420844.0,4.1718059E7,2.3560338329727992E7,5.8377734E7,2.5058384E7,normal
10.152.152.11-216.58.213.10-46669-443-6,10.152.152.11,46669,216.58.213.10,443,6,14/07/2015 03:16:43 AM,437,3,1,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0.0,0.0,0.0,0.0,176201.37299771167,9153.318077803204,145.66666666666666,110.81666541334536,268.0,52.0,320.0,160.0,152.73506473629428,268.0,52.0,0,0,0,0,0,1,0,0,0,60,20,6864.988558352403,2288.329519450801,0.0,46.0,24.6,23.276597689524987,541.8,1,0,1,2,3,0,0,0,0.0,30.75,25.666666666666668,0.0,0,0,0,0,0,0,0,0,0,0,2008,0,1,20,0,0,0,0,0,0,0,0,normal
216.58.213.10-10.152.152.11-443-46669-6,216.58.213.10,443,10.152.152.11,46669,6,14/07/2015 03:16:43 AM,13,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,153846.15384615384,13.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,40,0,153846.15384615384,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-173.194.65.16-60312-995-6,10.152.152.11,60312,173.194.65.16,995,6,14/07/2015 03:16:23 AM,27943525,3232,5130,1003.0,6468073.0,517.0,0.0,0.3103341584158419,9.439601528461237,1460.0,0.0,1260.832943469787,313.3584945038283,231505.36662786818,299.2464264977307,3342.1271379021696,33273.970476978844,1473833.0,-198.0,2.6938801E7,8337.6047663262,50346.18402056819,1479107.0,17.0,2.7943194E7,5448.078377851428,42400.64463570685,1473833.0,-198.0,0,0,0,0,64652,102612,115.66185726389207,183.5845692338386,0.0,1460.0,773.5353342102121,661.1347868981582,437099.206446873,1,2,0,1935,8361,0,0,0,1.0,773.6278402296101,0.3103341584158416,1260.8329434697855,0,0,0,3234516,2563,254047,1616,501,2565,3234036,14600,980,13,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-173.194.65.16-60312-995-6,10.152.152.11,60312,173.194.65.16,995,6,14/07/2015 03:16:51 AM,410,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,75609.75609756098,7317.073170731707,205.0,52.32590180780452,242.0,168.0,168.0,168.0,0.0,168.0,168.0,0,0,0,0,0,1,0,0,0,40,20,4878.048780487805,2439.0243902439024,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,0,0,0,0,11952,0,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-74.125.136.16-50595-465-6,10.152.152.11,50595,74.125.136.16,465,6,14/07/2015 03:16:57 AM,16867692,1118,245,1594201.0,901.0,1460.0,0.0,1425.94007155635,179.33584071334934,244.0,0.0,3.677551020408164,21.680950932147354,94565.51613581751,80.80536448021459,12384.502202643189,174972.73911016065,6097253.0,2.0,1.637447E7,14659.328558639247,202005.971542604,6412650.0,10.0,1.6867403E7,69128.70081967213,409776.98437335395,6097253.0,3.0,0,0,0,0,22372,4912,66.28055575119583,14.524808729018764,0.0,1460.0,1169.4296187683265,570.6940557259562,325691.70524094085,1,2,0,113,1362,0,0,0,0.0,1170.2876008804108,1425.9400715563506,3.6775510204081634,0,0,0,797449,559,181565,559,797100,122,450,14600,8723,1113,20,1.0267049E7,0.0,1.0267049E7,1.0267049E7,6097253.0,0.0,6097253.0,6097253.0,normal
