Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-68.232.34.151-45412-80-6,10.152.152.11,45412,68.232.34.151,80,6,22/07/2015 12:07:00 AM,35087972,1868,3088,2764.0,3592837.0,396.0,0.0,1.4796573875802983,24.132914258448785,1460.0,0.0,1163.483484455958,405.8786423973237,102473.89048304074,141.24498275363422,7081.326337033292,180938.42843791482,1.261071E7,0.0,2.2477262E7,12039.240492769144,41264.70368478941,871526.0,0.0,3.5087667E7,11366.267249757031,229191.25445726103,1.2611541E7,0.0,0,0,0,0,37372,61772,53.23761658268537,88.00736617094884,0.0,1460.0,725.3582812184776,648.1088702418353,420045.1076861482,1,2,0,1241,4955,0,0,0,1.0,725.5046408393866,1.4796573875802999,1163.4834844559587,0,0,0,3595601,3086,160016,1868,2764,3088,3592837,14600,1382,7,20,2.2477262E7,0.0,2.2477262E7,2.2477262E7,1.261071E7,0.0,1.261071E7,1.261071E7,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,22/07/2015 12:06:00 AM,90066763,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9541059780287653,0.044411499500653755,3.0022254333333332E7,34566.606563753594,3.0062165E7,3.0001847E7,9.0066763E7,3.0022254333333332E7,34566.606563753594,3.0062165E7,3.0001847E7,0,0,0,0,0,0,0,0,0,32,0,0.044411499500653755,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0022254333333332E7,34566.606563753594,3.0062165E7,3.0001847E7,normal
10.152.152.11-194.132.197.178-55157-4070-6,10.152.152.11,55157,194.132.197.178,4070,6,22/07/2015 12:05:36 AM,106990275,56,61,3764.0,31909.0,393.0,0.0,67.21428571428574,119.45767059898274,1460.0,0.0,523.0983606557377,626.851436543993,333.42282744856954,1.0935573350007746,922329.9568965515,4162571.5961183785,3.3439816E7,0.0,1.06987187E8,1945221.581818182,5905455.480315164,3.3439853E7,14.0,1.06989911E8,1783165.1833333333,5675961.656524665,3.3439816E7,3.0,1,0,0,0,1120,1220,0.5234120577781486,0.5701452772226261,0.0,1460.0,302.4661016949153,510.6637825821248,260777.4988410836,0,0,0,45,117,0,0,0,1.0,305.05128205128204,67.21428571428571,523.0983606557377,0,0,0,7023,11,5462,7,470,7,3988,6220,2640,25,20,3277838.4,2981058.5010686726,6678432.0,37.0,1.8119599E7,1.017018976424747E7,3.3439816E7,6437762.0,normal
10.152.152.11-68.232.34.151-45413-80-6,10.152.152.11,45413,68.232.34.151,80,6,22/07/2015 12:08:15 AM,27228200,1358,2637,2764.0,3232124.0,396.0,0.0,2.03534609720177,28.286880483843504,1460.0,0.0,1225.682214637847,373.58873426970774,118806.53146370307,146.72288289347074,6817.275913870804,248663.10630940713,1.5675743E7,0.0,1.1552457E7,8513.232866617538,30728.971381963325,483544.0,0.0,2.7227531E7,10329.108877086503,306856.48391363263,1.5717058E7,0.0,0,0,0,0,27172,52752,49.87476219507716,96.84812069839357,0.0,1460.0,809.5315315315315,654.5894908327214,428487.4015086414,1,2,0,903,3994,0,0,0,1.0,809.7341677096371,2.035346097201767,1225.682214637846,0,0,0,3234888,2635,281050,1358,2764,2637,3232124,14600,1382,7,20,1.1552457E7,0.0,1.1552457E7,1.1552457E7,1.5675743E7,0.0,1.5675743E7,1.5675743E7,normal
10.152.152.11-68.232.34.151-45414-80-6,10.152.152.11,45414,68.232.34.151,80,6,22/07/2015 12:09:22 AM,31132459,1930,3476,3556.0,4199536.0,396.0,0.0,1.8424870466321248,26.92564224868145,1460.0,0.0,1208.1518987341803,382.1353686087132,135006.74649567515,173.64513352446718,5759.936910268272,208149.83528696766,1.5238728E7,0.0,1.5893731E7,8239.362882322446,32377.19736793906,506226.0,0.0,3.1132217E7,8958.911366906479,260202.7686972335,1.5276369E7,0.0,0,0,0,0,38612,69532,61.99317567558669,111.65195784888049,0.0,1460.0,777.3427039023493,654.4315062470539,428280.5963687878,1,2,0,1261,5405,0,0,0,1.0,777.4864964853866,1.8424870466321244,1208.1518987341772,0,0,0,4203092,3474,265089,1930,3556,3476,4199536,14600,1516,9,20,1.5893731E7,0.0,1.5893731E7,1.5893731E7,1.5238728E7,0.0,1.5238728E7,1.5238728E7,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,22/07/2015 12:08:00 AM,90015538,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9552179980305178,0.04443677268251176,3.0005179333333332E7,2572.4271288674695,3.000735E7,3.0002338E7,9.0015538E7,3.0005179333333332E7,2572.4271288674695,3.000735E7,3.0002338E7,0,0,0,0,0,0,0,0,0,32,0,0.04443677268251176,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0005179333333332E7,2572.4271288674695,3.000735E7,3.0002338E7,normal
10.152.152.11-194.132.197.178-55157-4070-6,10.152.152.11,55157,194.132.197.178,4070,6,22/07/2015 12:08:11 AM,87985946,76,93,3184.0,76536.0,526.0,0.0,41.89473684210526,106.23440484103925,1460.0,0.0,822.9677419354838,630.1873332867483,906.0537918180706,1.920761299764851,523725.8690476193,3304480.320265503,3.4697224E7,0.0,8.7984809E7,1173130.7866666664,4885911.126939794,3.4697224E7,0.0,8.7985705E7,956366.3586956521,4430829.0346694775,3.4697424E7,0.0,1,0,0,0,1520,1860,0.8637743123202881,1.056986987444563,0.0,1460.0,469.0117647058822,611.08062192152,373419.5264879916,0,0,0,54,169,0,0,0,1.0,471.7869822485207,41.89473684210526,822.9677419354839,0,0,0,19771,22,16067,12,530,15,12756,6220,2640,18,20,2355296.75,2719251.3308398416,4744760.0,44.0,1.96409055E7,1.0246989744356291E7,3.4697224E7,1.1708814E7,normal
10.152.152.11-68.232.34.151-45415-80-6,10.152.152.11,45415,68.232.34.151,80,6,22/07/2015 12:10:23 AM,22903211,906,1770,1972.0,2226535.0,396.0,0.0,2.176600441501102,29.23521950645237,1460.0,0.0,1257.9293785310733,347.44542838422376,97301.07276224282,116.83951215399448,8561.948037383176,299559.82738297526,1.5458439E7,0.0,7444772.0,8226.267403314912,35407.40546549385,503817.0,0.0,2.2902579E7,12946.624646693052,368369.6768718578,1.545991E7,0.0,0,0,0,0,18132,35412,39.557772052137146,77.28174010185734,0.0,1460.0,832.4643257377663,658.3940362478852,433482.70696678164,1,2,0,561,2675,0,0,0,1.0,832.7754110612855,2.1766004415011038,1257.9293785310736,0,0,0,2228507,1768,299743,906,1972,1770,2226535,14600,1248,5,20,7444772.0,0.0,7444772.0,7444772.0,1.5458439E7,0.0,1.5458439E7,1.5458439E7,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,22/07/2015 12:10:00 AM,90023168,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9550522816526519,0.044433006401196636,3.0007722666666668E7,8515.24564139716,3.0017261E7,3.0000886E7,9.0023168E7,3.0007722666666668E7,8515.24564139716,3.0017261E7,3.0000886E7,0,0,0,0,0,0,0,0,0,32,0,0.044433006401196636,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0007722666666668E7,8515.24564139716,3.0017261E7,3.0000886E7,normal
10.152.152.11-194.132.197.178-55157-4070-6,10.152.152.11,55157,194.132.197.178,4070,6,22/07/2015 12:10:19 AM,116184335,103,126,5236.0,98138.0,477.0,0.0,50.83495145631068,113.10190590507467,1460.0,0.0,778.873015873016,624.4664792813396,889.7412891333414,1.9710058158873138,509580.4166666668,3846586.2634053966,5.3254453E7,0.0,1.16183565E8,1139054.5588235296,5703663.531081022,5.3254453E7,0.0,1.16183493E8,929467.9440000003,5166723.046932302,5.3255443E7,0.0,1,0,0,0,2060,2520,0.8865222665344686,1.084483549352845,0.0,1460.0,449.5043478260869,592.0893561430316,350569.8056578698,0,0,0,79,229,0,0,0,1.0,451.46724890829694,50.83495145631068,778.8730158730159,0,0,0,20349,23,16316,11,581,14,10904,6220,2640,30,20,3756315.2,4137444.091722896,9930943.0,44.0,1.94803978E7,1.9232767585023694E7,5.3254453E7,7541584.0,normal
