Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:44:16 PM,1074424,10,9,1450.0,1014.0,609.0,0.0,144.99999999999997,177.12393652154665,336.0,0.0,112.66666666666669,103.96513838782691,2293.3218170852474,17.683893881745007,59690.22222222221,147050.0769116168,584175.0,57.0,1074424.0,119380.44444444444,260203.9152866993,787915.0,105.0,864288.0,108036.0,205056.4325670932,584175.0,203.0,0,0,0,0,212,192,9.307312569339478,8.37658131240553,0.0,609.0,123.20000000000002,143.2251080605191,20513.43157894737,0,2,0,14,18,0,0,0,0.0,129.68421052631578,145.0,112.66666666666667,0,0,0,2464,14,2851,0,0,0,0,8192,251,7,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:46:17 PM,119999648,61795,361619,2314877.0,9.59563831E8,445.0,0.0,37.46058742616732,62.703537468320945,26280.0,0.0,2653.521609760538,4651.662894831252,8015679.412659611,3528.4603501503607,283.41040071986953,40124.14978530927,2.3352944E7,0.0,1.19999647E8,1941.9303977732277,105038.13913466461,2.3352944E7,0.0,1.18328561E8,327.21977611734746,43977.07203014132,2.3553605E7,0.0,0,0,0,0,1235912,7232380,514.9598438822087,3013.500506268152,0.0,26280.0,2271.716186247526,4396.9987864186005,1.933359832776665E7,0,0,0,36053,423414,0,0,0,5.0,2271.7215514838904,37.460587426167166,2653.521609760549,0,0,0,31028340,12147,24167622,2130,79823,12469,33088407,251,254,18194,20,7535077.5,8009438.815586551,1.3198606E7,1871549.0,1.4297486E7,1.2806351517099943E7,2.3352944E7,5242028.0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:48:17 PM,119273678,96921,555234,3554314.0,1.480758577E9,300.0,0.0,36.67227948535371,61.568108307116724,26280.0,0.0,2666.909045555644,4664.951705987564,1.244459729832428E7,5467.719373925905,182.89189056572488,12911.479874034661,2729100.0,0.0,1.19273678E8,1230.640507635164,33616.543334050904,2729100.0,0.0,1.19271262E8,214.81299202317808,14319.868570052018,2729565.0,0.0,1,0,0,0,1950648,11104680,812.5933703494915,4655.1260035764135,0.0,26280.0,2276.009394991448,4404.940628463958,1.940350194029245E7,0,0,0,55660,652155,0,0,0,5.0,2276.0128849736643,36.67227948535405,2666.9090455555674,0,0,0,51183203,19945,20487997,3461,126939,19829,52884234,254,256,28138,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:50:17 PM,119999918,95314,583905,3336069.0,1.484112584E9,300.0,0.0,35.00082883941504,58.55327800632642,26280.0,0.0,2541.702133052475,4366.275282079743,1.2395413911866173E7,5660.1622011108375,176.67364233573855,14284.244649587945,4780662.0,0.0,1.19999918E8,1259.0089284777362,38220.375431562825,4780662.0,0.0,1.19999627E8,205.51259624869843,15930.42539129425,4987789.0,0.0,1,0,0,0,1925924,11678100,794.283876093982,4865.878325016855,0.0,26280.0,2189.936647919623,4140.962044059845,1.714756665034429E7,0,0,0,52874,679219,0,0,0,6.0,2189.9398721178295,35.000828839414986,2541.702133052466,0,0,0,40201314,16390,24320373,2723,95316,16683,42403216,256,256,27057,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:52:17 PM,120000000,97950,601489,3598341.0,1.535341882E9,1460.0,0.0,36.73650842266465,61.19162455249126,26280.0,0.0,2552.5685124748334,4401.211696495956,1.2824501858333332E7,5828.658333333334,171.5663146697804,15169.372037457788,3794430.0,0.0,1.19999947E8,1225.1268211007816,40821.06141106524,3794430.0,0.0,1.19999998E8,199.5052237118651,17211.054369827798,3999752.0,0.0,0,0,0,0,1959000,12029780,816.25,5012.408333333334,0.0,26280.0,2200.24831722513,4173.814253060588,1.7420725419051718E7,0,0,0,56645,699439,0,0,0,6.0,2200.2514629581706,36.73650842266463,2552.5685124748748,0,0,0,37535127,15244,33801389,2647,97252,16256,41495726,256,254,28667,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:54:17 PM,118070264,90968,562837,3379743.0,1.405653828E9,1460.0,0.0,37.15309779262996,61.1703059845426,26280.0,0.0,2497.443892281382,4264.694557314884,1.193385636031101E7,5537.4230382003725,180.58969354730883,13636.0583484059,3321461.0,0.0,1.18070264E8,1297.9461123264723,36773.787816268945,3321461.0,0.0,1.17852297E8,209.39011896894056,15087.136811866067,3539668.0,0.0,0,0,0,0,1819360,11256740,770.4564800498795,4766.966558150492,0.0,26280.0,2155.1271034527863,4047.538944784673,1.6382571509548623E7,0,0,0,52558,653805,0,0,0,6.0,2155.1303997369246,37.153097792630376,2497.4438922814243,0,0,0,39139821,16249,23132637,2756,102416,17055,42595570,254,254,27002,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:56:17 PM,118174408,89847,555532,3218179.0,1.428248257E9,300.0,0.0,35.818435785279576,59.73270242288988,26280.0,0.0,2570.955871128888,4441.302131747103,1.2113167818873271E7,5461.241659023161,183.10882614529436,14301.722436450724,4053450.0,0.0,1.18174408E8,1315.299601540416,38537.00795119083,4053450.0,0.0,1.17969184E8,212.35391724314047,15935.558346673446,4177951.0,0.0,1,0,0,0,1796940,11110640,760.2915176016791,4700.950141421483,0.0,26280.0,2218.0212092100364,4213.045308046968,1.774975076765657E7,0,0,0,51222,645379,0,0,0,6.0,2218.024645983213,35.81843578527942,2570.955871128936,0,0,0,42101954,16966,22830617,2807,100568,17360,44632758,254,255,25885,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 06:58:18 PM,119457321,90776,574982,3378401.0,1.425835916E9,300.0,0.0,37.21689653653007,61.10250058092103,26280.0,0.0,2479.79226480137,4227.339349515184,1.196422542407426E7,5573.187096670283,179.43081484685516,13703.633199669139,3692433.0,0.0,1.19457321E8,1315.971589093914,37232.40326386805,3692433.0,0.0,1.19252087E8,207.40178718949198,15263.544012268354,3902347.0,0.0,1,0,0,0,1815772,11499640,759.9031958870064,4813.283900783276,0.0,26280.0,2146.7444540742044,4017.0671495677143,1.613682848413608E7,0,0,0,52865,665758,0,0,0,6.0,2146.7476785859126,37.21689653652948,2479.7922648013327,0,0,0,40834694,17057,22255319,2836,105575,17968,44557372,256,252,26980,20,0,0,0,0,0,0,0,0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 07:00:19 PM,119418590,71222,438661,2591474.0,1.103614066E9,300.0,0.0,36.38586391845238,60.316308387019326,26280.0,0.0,2515.8700363151297,4310.307668434374,9263260.770370845,4269.712110987075,234.2082874076702,20421.08842428567,7205912.0,0.0,1.1941859E8,1676.7328456494654,54837.28709361198,7205912.0,0.0,1.19418366E8,272.23445493092777,22435.42731051128,7407579.0,0.0,1,0,0,0,1442184,8773220,596.4063049145029,3673.305806072572,0.0,26280.0,2169.524160397201,4089.3633165678984,1.6722892334891202E7,0,0,0,40602,509883,0,0,0,6.0,2169.528415342343,36.385863918452166,2515.8700363150588,0,0,0,26980622,11113,25558893,1826,66448,11247,28297796,251,254,20777,20,9.5572257E7,0.0,9.5572257E7,9.5572257E7,7205912.0,0.0,7205912.0,7205912.0,normal
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,26/07/2022 07:02:23 PM,119786843,63293,393458,2413455.0,9.80478906E8,300.0,0.0,38.13146793484275,62.18652957704976,26280.0,0.0,2491.953158914024,4260.562136239042,8205344.897519337,3813.0314528783433,262.2590979748158,21789.051963931113,8350635.0,0.0,1.19786843E8,1892.6063799532303,58602.04964620189,8350678.0,0.0,1.19571356E8,303.899424841854,24160.256282070717,8350730.0,0.0,1,0,0,0,1265860,7869160,528.3802328774956,3284.6512200008474,0.0,26280.0,2151.917130083751,4044.284050521461,1.6356233481302274E7,0,0,0,37355,456751,0,0,0,6.0,2151.92184144096,38.13146793484272,2491.9531589140392,0,0,0,28082638,11689,19258345,1917,73135,11922,29711482,256,253,19140,20,3.1963896E7,0.0,3.1963896E7,3.1963896E7,8350635.0,0.0,8350635.0,8350635.0,normal
