Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2.16.162.49-10.152.152.11-443-56691-6,2.16.162.49,443,10.152.152.11,56691,6,09/07/2015 09:14:06 PM,6646468,2,3,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,7.974160110302194,0.7522792556888862,1661617.0,3298750.8693389785,6609676.0,73.0,196.0,196.0,0.0,196.0,196.0,6646395.0,3323197.5,4647782.467147586,6609676.0,36719.0,1,0,0,0,40,60,0.30091170227555447,0.45136755341333173,0.0,53.0,17.666666666666664,27.36908231319908,749.0666666666666,2,0,0,1,5,0,0,0,1.0,21.2,26.5,0.0,0,0,0,0,0,0,2,53,3,0,1583,2640,0,20,36792.0,0.0,36792.0,36792.0,6609676.0,0.0,6609676.0,6609676.0,NeedManualLabel
10.152.152.11-2.16.162.49-56716-443-6,10.152.152.11,56716,2.16.162.49,443,6,09/07/2015 09:14:40 PM,14450973,2,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,3.667573110820981,0.3459974632849982,3612743.2500000005,7224929.841001659,1.4450138E7,35.0,1.4450938E7,1.4450938E7,0.0,1.4450938E7,1.4450938E7,1.4450224E7,7225112.0,1.0217729757698234E7,1.4450138E7,86.0,0,0,0,0,40,60,0.13839898531399927,0.20759847797099892,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,1,0,0,1,5,0,0,0,1.0,10.6,0.0,17.666666666666668,0,0,0,0,0,0,2,0,3,53,1087,1047,0,20,749.0,0.0,749.0,749.0,1.4450138E7,0.0,1.4450138E7,1.4450138E7,NeedManualLabel
10.152.152.11-2.16.162.49-56714-443-6,10.152.152.11,56714,2.16.162.49,443,6,09/07/2015 09:14:40 PM,14451728,2,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,3.6673815062115755,0.3459793873784505,3612931.9999999995,7225242.6774581075,1.4450796E7,21.0,1.4451707E7,1.4451707E7,0.0,1.4451707E7,1.4451707E7,1.4450859E7,7225429.5,1.0218211297416221E7,1.4450796E7,63.0,0,0,0,0,40,60,0.1383917549513802,0.20758763242707032,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,1,0,0,1,5,0,0,0,1.0,10.6,0.0,17.666666666666668,0,0,0,0,0,0,2,0,3,53,1101,1047,0,20,869.0,0.0,869.0,869.0,1.4450796E7,0.0,1.4450796E7,1.4450796E7,NeedManualLabel
10.152.152.11-2.16.162.49-56690-443-6,10.152.152.11,56690,2.16.162.49,443,6,09/07/2015 09:14:40 PM,14390160,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,3.683072321642011,0.2779677223880763,4796720.0,8307129.59326728,1.4388967E7,152.0,0,0,0,0,0,1.4389119E7,7194559.5,1.0174428659738712E7,1.4388967E7,152.0,0,0,0,0,20,60,0.06949193059701908,0.2084757917910572,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,1,4,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,6205,1516,0,20,1041.0,0.0,1041.0,1041.0,1.4388967E7,0.0,1.4388967E7,1.4388967E7,NeedManualLabel
10.152.152.11-2.16.162.49-56717-443-6,10.152.152.11,56717,2.16.162.49,443,6,09/07/2015 09:14:40 PM,14422848,2,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,3.674724991901738,0.3466721690473338,3605712.0000000005,7210527.341969056,1.4421503E7,40.0,1.4422444E7,1.4422444E7,0.0,1.4422444E7,1.4422444E7,1.4421947E7,7210973.5,1.0197228610791292E7,1.4421503E7,444.0,0,0,0,0,40,60,0.13866886761893352,0.20800330142840026,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,1,0,0,1,5,0,0,0,1.0,10.6,0.0,17.666666666666668,0,0,0,0,0,0,2,0,3,53,2075,1047,0,20,901.0,0.0,901.0,901.0,1.4421503E7,0.0,1.4421503E7,1.4421503E7,NeedManualLabel
10.152.152.11-2.16.162.49-56718-443-6,10.152.152.11,56718,2.16.162.49,443,6,09/07/2015 09:14:40 PM,83230016,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07208937698630263,1.66460032E7,2.2921573652725376E7,4.5053975E7,723.0,8.3228856E7,4.1614428E7,4865276.4922252875,4.5054698E7,3.8174158E7,8.3229293E7,4.16146465E7,4865533.171986858,4.5055098E7,3.8174195E7,0,0,0,0,60,60,0.03604468849315132,0.03604468849315132,0.0,0.0,0.0,0.0,0.0,2,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1527,1047,0,20,923.0,282.842712474619,1123.0,723.0,4.1613505E7,4865559.3349377625,4.5053975E7,3.8173035E7,NeedManualLabel
10.152.152.11-74.125.71.188-60776-5228-6,10.152.152.11,60776,74.125.71.188,5228,6,09/07/2015 09:14:20 PM,90112091,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665837395782992,1.80224182E7,2.4677281806957938E7,4.5055683E7,295.0,9.0110898E7,4.5055449E7,748.1189744953673,4.5055978E7,4.505492E7,9.011154E7,4.505577E7,1564.120199984643,4.5056876E7,4.5054664E7,0,0,0,0,60,60,0.0332918697891496,0.0332918697891496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,2190,1114,0,20,423.0,181.01933598375618,551.0,295.0,4.5055026E7,929.1383104791234,4.5055683E7,4.5054369E7,NeedManualLabel
10.152.152.11-216.58.208.78-34115-443-6,10.152.152.11,34115,216.58.208.78,443,6,09/07/2015 09:14:28 PM,90113408,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658276646245584,1.80226816E7,2.467772145341585E7,4.505685E7,302.0,9.0113106E7,4.5056553E7,2119.9061299972695,4.5058052E7,4.5055054E7,9.0113046E7,4.5056523E7,889.5403307326768,4.5057152E7,4.5055894E7,0,0,0,0,60,60,0.03329138323122792,0.03329138323122792,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,2640,2640,0,20,782.0,593.9696961966999,1202.0,362.0,4.5055771E7,1525.9364338005696,4.505685E7,4.5054692E7,NeedManualLabel
10.152.152.11-31.13.90.2-59684-443-6,10.152.152.11,59684,31.13.90.2,443,6,09/07/2015 09:14:12 PM,113079602,50,50,9391.0,16088.0,1413.0,0.0,187.81999999999996,317.83814967331267,1460.0,0.0,321.7599999999999,498.15383903663616,225.31915172464085,0.8843327906300908,1142218.2020202016,6052651.567733508,4.4972013E7,5.0,1.13079602E8,2307746.9795918376,8488320.415150987,4.4972013E7,28.0,1.13041057E8,2306960.346938776,8493207.534100506,4.5013065E7,10.0,1,0,0,0,1000,1000,0.4421663953150454,0.4421663953150454,0.0,1460.0,257.8613861386138,420.1608508584057,176535.14059405946,0,0,0,42,100,0,0,0,1.0,260.44,187.82,321.76,0,0,0,4472,8,7903,6,1173,6,2011,9329,2640,18,20,3215952.0,3454250.4908305844,7530899.0,272878.0,2.495671625E7,2.002123314439377E7,4.4972013E7,7474677.0,NeedManualLabel
10.152.152.11-216.58.208.78-34115-443-6,10.152.152.11,34115,216.58.208.78,443,6,09/07/2015 09:16:43 PM,14518681,1,3,0.0,154.0,0.0,0.0,0.0,0.0,154.0,0.0,51.33333333333333,88.91194145520237,10.607024150472071,0.2755071207914824,4839560.333333334,8381804.935995011,1.4518035E7,40.0,0,0,0,0,0,1.4518075E7,7259037.5,1.0265772713732392E7,1.4518035E7,40.0,0,0,0,0,20,60,0.0688767801978706,0.20663034059361177,0.0,154.0,30.8,68.87089370699353,4743.2,1,0,0,1,4,0,0,0,3.0,38.5,0.0,51.333333333333336,0,0,0,0,0,0,1,0,3,154,2640,2640,0,20,606.0,0.0,606.0,606.0,1.4518035E7,0.0,1.4518035E7,1.4518035E7,NeedManualLabel
10.152.152.11-216.58.208.78-34073-443-6,10.152.152.11,34073,216.58.208.78,443,6,09/07/2015 09:14:44 PM,94078889,9,9,372.0,292.0,165.0,0.0,41.333333333333336,57.15330261673423,223.0,0.0,32.44444444444444,75.01351730040244,7.0579064767654724,0.19132879003279896,5534052.294117647,1.4890625486231986E7,4.505425E7,5.0,9.4078436E7,1.17598045E7,2.0570689265602786E7,4.5054583E7,151.0,9.4078532E7,1.17598165E7,2.057067026852526E7,4.5054703E7,5.0,0,0,0,0,180,180,0.09566439501639948,0.09566439501639948,0.0,223.0,34.94736842105263,63.59286620037618,4044.0526315789466,0,0,0,6,18,0,0,0,1.0,36.888888888888886,41.333333333333336,32.44444444444444,0,0,0,664,6,1340,3,124,3,97,2640,2640,4,20,2006767.5,2837526.8819132796,4013202.0,333.0,4.50324505E7,30829.148552952287,4.505425E7,4.5010651E7,NeedManualLabel
10.152.152.11-216.58.208.67-60423-80-6,10.152.152.11,60423,216.58.208.67,80,6,09/07/2015 09:15:39 PM,90437336,7,6,280.0,2447.0,280.0,0.0,40.0,105.83005244258362,1460.0,0.0,407.8333333333333,649.2766487920744,30.15347555129222,0.14374594138863178,7536444.666666667,1.750919782490836E7,4.5042874E7,6.0,9.0436067E7,1.5072677833333332E7,2.319851463572343E7,4.5043991E7,31.0,9.0437055E7,1.8087411E7,2.45881641941811E7,4.5044143E7,65.0,0,0,0,0,152,132,0.07740166074772481,0.06634428064090699,0.0,1460.0,194.78571428571428,451.7477476120135,204076.02747252744,0,2,0,2,12,0,0,0,0.0,209.76923076923077,40.0,407.8333333333333,0,0,0,0,0,0,3,140,3,1223,14600,980,1,20,197410.5,277600.92990568315,393704.0,1117.0,4.5020623E7,31467.665976363736,4.5042874E7,4.4998372E7,NeedManualLabel
10.152.152.11-216.58.208.78-34116-443-6,10.152.152.11,34116,216.58.208.78,443,6,09/07/2015 09:15:37 PM,93238997,20,21,2786.0,5694.0,965.0,0.0,139.3,264.05125100611576,1460.0,0.0,271.14285714285717,470.6810263558842,90.9490693041239,0.4397301699845613,2330974.925,9932765.780270865,4.5127843E7,6.0,9.3238679E7,4907298.894736841,1.4157225539107613E7,4.5128979E7,33.0,9.3238731E7,4661936.55,1.382321838805592E7,4.5128161E7,21.0,0,0,0,0,412,432,0.21450252194368843,0.22522764804087286,0.0,1460.0,201.9047619047619,381.76022416859905,145740.86875725898,0,2,0,16,40,0,0,0,1.0,206.82926829268294,139.3,271.14285714285717,0,0,0,4240,9,5792,6,928,7,1898,14600,1476,10,20,1553001.5,2194669.237078904,3104867.0,1136.0,4.5066338E7,86981.20515375721,4.5127843E7,4.5004833E7,NeedManualLabel
