Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
173.252.100.27-10.8.8.178-443-47132-6,173.252.100.27,443,10.8.8.178,47132,6,2015-06-03 17:57:04.906446,119788766,317,364,114121.0,134449.0,1308.0,0.0,360.0031545741324,466.04044140824504,1308.0,0.0,369.365384615385,525.9822253536769,2075.069376705993,5.6850072234653455,176159.94999999992,750428.2627257761,7204879.0,0.0,1.19767587E8,379011.3512658225,1105134.132023499,7474292.0,18.0,1.19788369E8,329995.50688705244,1003432.3801257873,7204879.0,0.0,238,137,0,0,0,0,10144,11648,2.646324948367863,3.038682275097483,0.0,1308.0,365.00734214390627,498.63734753604075,248639.20435777828,0,0,0,375,681,0,0,0,1.1482649842271293,365.00734214390604,360.0031545741325,369.36538461538464,2527,5,11291,4049,5,47723,0,167,0,197,951,1444,273,32,1.0285092333333334E7,8423718.503701407,2.1190251E7,308179.0,6023246.666666667,654968.35444063,7204879.0,5253441.0,-1,-1,119788766,0
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,6,2015-06-03 17:57:30.724168,1363272,2,2,2.0,2.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,2.9341173294837715,2.9341173294837715,454424.0,567927.4883398408,1091132.0,78.0,1363272.0,1363272.0,0.0,1363272.0,1363272.0,1091132.0,1091132.0,0.0,1091132.0,1091132.0,1,1,0,0,0,0,64,64,1.4670586647418857,1.4670586647418857,0.0,2.0,1.0,1.1547005383792515,1.3333333333333333,0,0,0,2,4,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1444,83,0,32,0,0,0,0,0,0,0,0,-1,-1,1363272,0
10.8.8.178-23.192.162.144-44001-443-6,10.8.8.178,44001,23.192.162.144,443,6,2015-06-03 17:57:31.621333,117374398,6,3,123.0,123.0,41.0,0.0,20.5,22.456624857711812,41.0,41.0,41.0,0.0,2.0958573947275965,0.07667770956320474,1.4671799749999998E7,2.7044029777118E7,5.8876551E7,31.0,1.17374398E8,2.34748796E7,3.1962480600363642E7,5.8876551E7,130630.0,1.17234848E8,5.8617424E7,551191.1501484761,5.9007175E7,5.8227673E7,3,3,0,0,0,0,192,96,0.0511184730421365,0.02555923652106825,0.0,41.0,27.333333333333332,20.5,420.24999999999994,0,0,0,6,9,0,0,0,0.5,27.333333333333332,20.5,41.0,0,0,0,0,0,0,0,13,0,13,772,1131,2,32,135071.0,6280.522430498915,139512.0,130630.0,5.84867205E7,551303.5801266849,5.8876551E7,5.809689E7,-1,-1,117374398,0
10.8.8.178-198.7.63.141-19320-53-17,10.8.8.178,19320,198.7.63.141,53,17,2015-06-03 17:57:38.902072,128798,1,1,34.0,141.0,34.0,34.0,34.0,0.0,141.0,141.0,141.0,0.0,1358.7167502600973,15.528191431543968,128798.0,0.0,128798.0,128798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7.764095715771984,7.764095715771984,34.0,141.0,87.5,75.66042558696059,5724.5,0,0,0,0,0,0,0,0,1.0,87.5,34.0,141.0,0,0,0,0,0,0,0,17,0,70,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,0
134.170.25.26-10.8.8.178-443-54269-6,134.170.25.26,443,10.8.8.178,54269,6,2015-06-03 17:58:31.494635,27,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,37037.03703703704,37037.03703703704,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,65400,65400,0,20,0,0,0,0,0,0,0,0,-1,-1,27,0
173.252.100.27-10.8.8.178-443-47132-6,173.252.100.27,443,10.8.8.178,47132,6,2015-06-03 17:59:04.923046,119367878,407,474,145160.0,173035.0,1308.0,0.0,356.6584766584768,466.8841047957986,1308.0,0.0,365.05274261603404,522.5901576756291,2665.6668890436335,7.38054504076884,135645.31590909086,746775.3879710962,1.3977535E7,8.0,1.19329634E8,293915.35467980284,1100609.4378106964,1.3977547E7,18.0,1.19326918E8,252276.78224101473,1005284.4700024455,1.3977595E7,26.0,304,178,0,0,0,0,13024,15168,3.409627504645764,3.9709175361230766,0.0,1308.0,361.1748013620887,497.37052344462415,247377.43759157942,0,0,0,482,881,0,0,0,1.1646191646191646,361.17480136208854,356.6584766584767,365.05274261603375,2850,6,13390,4143,5,38750,0,164,0,196,2043,1444,350,32,1.3120878E7,1.2700082221901184E7,3.3587933E7,2075158.0,8207863.0,3500473.2908366835,1.3977535E7,5903078.0,-1,-1,239384478,0
10.8.8.178-78.46.223.24-0-0-1,10.8.8.178,0,78.46.223.24,0,1,2015-06-03 17:58:04.260259,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,6,2015-06-03 17:59:30.771259,86669231,6,6,347.0,17.0,341.0,0.0,57.83333333333333,138.73199582888824,10.0,0.0,2.833333333333333,3.920034013457876,4.199875732138434,0.13845744171884947,7879021.000000002,2.5761197078147E7,8.5550858E7,22.0,8.6362339E7,1.72724678E7,3.816902955758259E7,8.5550988E7,1837.0,8.6399107E7,1.72798214E7,3.816488419549013E7,8.5550887E7,793.0,3,3,0,0,0,0,192,192,0.06922872085942473,0.06922872085942473,0.0,341.0,30.333333333333336,97.8796416136892,9580.42424242424,0,0,0,6,12,0,0,0,1.0,30.333333333333332,57.833333333333336,2.8333333333333335,0,0,0,0,0,0,0,28,0,1,1444,83,2,32,539790.0,0.0,539790.0,539790.0,8.5550858E7,0.0,8.5550858E7,8.5550858E7,-1,-1,206716322,0
10.8.8.178-198.7.63.141-0-0-1,10.8.8.178,0,198.7.63.141,0,1,2015-06-03 17:58:50.956797,23942636,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08353299110423765,2.3942636E7,0.0,2.3942636E7,2.3942636E7,2.3942636E7,2.3942636E7,0.0,2.3942636E7,2.3942636E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08353299110423765,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3942636E7,0.0,2.3942636E7,2.3942636E7,3,3,0,0
173.252.100.27-10.8.8.178-443-47132-6,173.252.100.27,443,10.8.8.178,47132,6,2015-06-03 18:01:06.152728,117454069,386,453,138067.0,163028.0,1308.0,0.0,357.68652849740954,468.7705031220159,1308.0,0.0,359.8852097130243,519.7013566158682,2563.5127208747444,7.143217830963353,140159.98687350834,745312.7761892669,1.2559162E7,7.0,1.17184022E8,304374.0831168834,1099479.5965566733,1.2595439E7,18.0,1.17454069E8,259854.13495575186,1000659.7747987529,1.2559399E7,25.0,289,168,0,0,0,0,12352,14508,3.2863910402286702,3.856826790734683,0.0,1308.0,358.8736591179979,496.6277551819114,246639.12721702454,0,0,0,457,839,0,0,0,1.1735751295336787,358.8736591179976,357.6865284974093,359.88520971302427,2679,6,10600,4055,5,40369,0,164,0,194,0,1444,337,0,1.11368588E7,8347904.951083787,2.4677516E7,2598042.0,8199477.4,2870522.296534169,1.2559162E7,5838243.0,-1,-1,358700351,0
