Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:42:48.681608,119325251,3872,5909,1033788.0,5442233.0,1460.0,0.0,266.9907024793389,377.87751671018043,1420.0,6.0,921.0074462684047,589.493325191693,54272.00819380636,81.96923884953739,12200.94591002045,117909.87104987922,6932855.0,0.0,1.19325251E8,30825.432963058665,186853.20697217967,6933065.0,15.0,1.19324687E8,20197.137271496245,151867.87491474164,6933160.0,0.0,1458,2590,0,0,0,0,77440,118180,32.44912512272864,49.52011372680876,0.0,1460.0,662.1021367958291,607.2458864091815,368747.5665608725,0,0,0,4048,9781,0,0,0,1.5260847107438016,662.1021367958286,266.99070247933884,921.0074462684041,0,0,0,10487,9,114408,0,105,0,556,65535,65535,1602,20,9.3843406E7,0.0,9.3843406E7,9.3843406E7,6932855.0,0.0,6932855.0,6932855.0,-1,-1,119325251,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:44:48.682315,107913689,292,365,65115.0,302446.0,1460.0,0.0,222.99657534246586,371.989639754189,1420.0,6.0,828.6191780821924,582.7609448667266,3406.0646374529924,6.088198875306728,164502.574695122,1188397.17002531,1.4830254E7,5.0,1.0791365E8,370837.2852233677,1765517.1374239228,1.4830309E7,23.0,1.07913634E8,296466.0274725275,1585256.9717050963,1.4830299E7,8.0,83,173,0,0,0,0,5840,7300,2.70586616680299,3.3823327085037374,0.0,1460.0,559.4535768645356,583.546399750465,340526.4006617294,0,0,0,256,657,0,0,0,1.25,559.4535768645358,222.99657534246575,828.6191780821918,0,0,0,11097,10,34438,0,99,0,460,0,65535,95,0,3234149.6249999995,3026255.5315474286,8342262.0,38.0,1.0255054625E7,3304976.950974737,1.4830254E7,5053217.0,-1,-1,227914396,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:46:52.459356,113237298,416,626,79009.0,601025.0,1460.0,0.0,189.9254807692307,318.70070822239325,1420.0,6.0,960.1038338658142,561.635022057277,6005.3887898314215,9.201915079252421,108777.42363112394,952138.9635918731,2.2141603E7,3.0,1.13237173E8,272860.65783132514,1494611.2799150809,2.2141646E7,28.0,1.13237298E8,181179.6768000002,1225237.5778701296,2.2141646E7,3.0,119,203,0,0,0,0,8320,12520,3.673701221659316,5.528213857593105,0.0,1460.0,652.6238003838769,610.1476573858175,372280.163813401,0,0,0,322,1042,0,0,0,1.5048076923076923,652.6238003838772,189.92548076923077,960.1038338658147,0,0,0,13021,11,70611,0,75,0,576,0,65535,127,0,1.26755675E7,1.6443071043714806E7,3.6890254E7,197571.0,1.3131988E7,7310575.147338181,2.2141603E7,5089707.0,-1,-1,357015046,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:48:55.009274,119964408,3817,6177,974631.0,5827968.0,1460.0,0.0,255.33953366518176,332.9062767344523,1420.0,6.0,943.494900437106,592.9925318461864,56705.14374563495,83.30804249873846,12004.8441909337,108851.64414738138,5662280.0,0.0,1.19964408E8,31437.213836477946,175366.41521159053,5662280.0,0.0,1.19964131E8,19424.244009067283,138791.09647419883,5701130.0,0.0,1545,2152,0,0,0,0,76340,123540,31.817770484058904,51.490272014679555,0.0,1460.0,680.6683009805877,609.462903763241,371445.0310635216,0,0,0,3697,9994,0,0,0,1.6182866125229238,680.6683009805884,255.33953366518207,943.4949004371053,0,0,0,13365,11,151543,0,97,0,583,65535,65535,1598,20,7845082.0,0.0,7845082.0,7845082.0,5662280.0,0.0,5662280.0,5662280.0,-1,-1,486292074,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:50:55.077626,117300793,2731,4716,652777.0,4828092.0,1460.0,0.0,239.024899304284,351.2231105329938,1420.0,6.0,1023.7684478371468,559.3798833542257,46724.910035348184,63.48635682283921,15753.531157668509,366924.96783127787,2.8079422E7,0.0,1.17300764E8,42967.312820512845,605462.2705930677,2.8079729E7,8.0,1.17260849E8,24869.745281018073,461040.16460630676,2.8079422E7,0.0,957,1660,0,0,0,0,54620,94320,23.282025041382287,40.20433178145692,0.0,1460.0,735.9834832818574,621.6143000523757,386404.3380296049,0,0,0,2617,7447,0,0,0,1.7268399853533505,735.9834832818584,239.02489930428413,1023.7684478371501,0,0,0,14031,11,179688,0,87,0,648,0,65535,1014,0,1.9598165E7,2.551371239293045E7,4.8988048E7,3135286.0,1.4575382333333332E7,1.1750489218176506E7,2.8079422E7,6681136.0,-1,-1,603696811,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:52:57.181851,117708103,83,83,10831.0,51314.0,1057.0,0.0,130.49397590361446,247.20759388712725,1420.0,6.0,618.2409638554218,415.5607023358789,527.9585552406702,1.4102682463585368,713382.4424242426,2072388.075328973,1.4977992E7,18.0,1.17708042E8,1435463.9268292685,2765788.6800954025,1.4978337E7,89.0,1.17708052E8,1435464.0487804879,2768203.703578603,1.4977992E7,122.0,19,63,0,0,0,0,1660,1660,0.7051341231792684,0.7051341231792684,0.0,1420.0,374.367469879518,419.5561766433909,176027.38535962027,0,0,0,82,166,0,0,0,1.0,374.36746987951807,130.49397590361446,618.2409638554217,0,0,0,4260,5,3076,0,65,0,309,0,65535,19,0,1.0052909666666666E7,1.1487881057613902E7,2.6165837E7,60.0,9501087.0,4017630.099707189,1.4977992E7,5231737.0,-1,-1,726208346,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:55:13.712550,110829885,101,98,38023.0,48435.0,1460.0,0.0,376.4653465346535,500.26150290336034,1420.0,6.0,494.2346938775509,494.33737386151284,780.0964514219247,1.7955445861917116,559746.8939393944,2196801.859429415,2.2374866E7,13.0,1.10829885E8,1108298.8499999996,2998625.1613246333,2.2374866E7,47.0,1.10792731E8,1142193.103092784,3042715.0124136824,2.2414637E7,13.0,35,49,0,0,0,0,2020,1960,0.9113065487706677,0.8842380374210439,0.0,1460.0,434.46231155778884,499.5950353336022,249595.1993299832,0,0,0,84,199,0,0,0,0.9702970297029703,434.46231155778895,376.46534653465346,494.234693877551,0,0,0,7218,8,13076,0,191,0,243,65535,65535,44,20,3232291.111111111,5038213.566475285,1.5110739E7,54.0,9040344.222222222,5091818.149365063,2.2374866E7,6007783.0,-1,-1,855860827,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:57:23.699806,81534762,1844,2777,452350.0,2564581.0,1460.0,0.0,245.3091106290671,331.57662292081955,1420.0,6.0,923.5077421678101,594.6515096235188,37001.77600322179,56.67521296008689,17648.216883116915,221754.50785545667,1.0776631E7,0.0,8.1534762E7,44240.23982637004,350159.08139687224,1.0788765E7,26.0,8.1497403E7,29357.85410662826,285905.1955700769,1.0776631E7,4.0,710,1056,0,0,0,0,36880,55540,22.61612047141316,34.05909248867373,0.0,1460.0,652.8740532352303,605.5207033861161,366655.3222292168,0,0,0,1766,4621,0,0,0,1.5059652928416485,652.8740532352305,245.30911062906725,923.507742167807,0,0,0,10195,9,107869,0,97,0,554,65535,65535,733,20,3.19734945E7,1.2864206286829844E7,4.1069862E7,2.2877127E7,8617161.5,3053951.0544310464,1.0776631E7,6457692.0,-1,-1,956552960,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 17:59:35.226083,115910749,25,25,5401.0,10798.0,1057.0,0.0,216.04,310.188716751593,1057.0,6.0,431.92,373.2534795551141,139.7540792355677,0.4313663782812757,2365525.4897959195,7087652.389957858,3.2528063E7,35.0,1.15910484E8,4829603.500000001,9613813.877600886,3.2528099E7,417.0,1.15910749E8,4829614.541666667,9623551.757023586,3.2528115E7,346.0,9,16,0,0,0,0,500,500,0.21568318914063786,0.21568318914063786,0.0,1057.0,323.98,356.7253840026481,127252.99959183675,0,0,0,25,50,0,0,0,1.0,323.98,216.04,431.92,0,0,0,0,0,0,0,108,0,215,0,65535,9,0,456227.0,453116.39595891914,1335569.0,52.0,1.8842471666666668E7,1.0529405463162366E7,3.2528063E7,5633966.0,-1,-1,1122455224,NeedManualLabel
10.0.2.15-198.52.200.39-43731-443-6,10.0.2.15,43731,198.52.200.39,443,6,2015-07-28 18:01:41.817472,75464896,40,44,7573.0,23535.0,1057.0,0.0,189.325,287.4145926652352,1420.0,6.0,534.8863636363637,472.9010032549017,412.2181523976393,1.1131003215057766,909215.6144578315,3575457.578890195,2.6759922E7,12.0,7.5462332E7,1934931.5897435897,5055124.85513547,2.6759963E7,75.0,7.5425821E7,1754088.8604651163,4850886.21990772,2.6799938E7,36.0,13,28,0,0,0,0,800,880,0.5300477721456079,0.5830525493601688,0.0,1420.0,370.33333333333326,429.90582699042506,184819.02008032126,0,0,0,41,84,0,0,0,1.1,370.3333333333333,189.325,534.8863636363636,0,0,0,3327,5,6763,0,90,0,280,0,65535,13,0,2112266.6,4162870.1615260355,9551853.0,114930.0,1.29102986E7,8124993.080273164,2.6759922E7,7432782.0,-1,-1,1208600760,NeedManualLabel
