Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:05:38.355210,118761163,1800,3306,143265.0,3941607.0,1057.0,0.0,79.59166666666664,194.4477919345335,1420.0,6.0,1192.2586206896508,419.2463347748933,34395.68876569523,42.993853133620796,23263.695004897207,604519.4319915721,3.3385816E7,5.0,1.18761163E8,66015.09894385783,1017191.7884474765,3.3385857E7,28.0,1.1875959E8,35933.31013615741,751595.3511659462,3.3423221E7,5.0,261,1856,0,0,0,0,36000,66120,15.156469964848695,27.837383168772103,0.0,1420.0,800.0141010575811,640.1202851253332,409753.97942893795,0,0,0,2117,5106,0,0,0,1.8366666666666667,800.0141010575793,79.59166666666667,1192.2586206896551,0,0,0,17090,14,164329,0,28,0,771,65535,65535,260,20,1.025178125E7,1.260648261457145E7,2.8601193E7,41.0,1.943849825E7,1.0268439787542226E7,3.3385816E7,1.1592166E7,-1,-1,118761163,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:08:12.659896,110029127,3433,6506,267670.0,7869480.0,1057.0,0.0,77.96970579667904,190.85896259840254,1420.0,6.0,1209.5727021211212,411.87823475290156,73954.508427573,90.33062672577599,11071.556349366072,415412.75324006606,3.4680651E7,0.0,1.10028854E8,32059.689393939403,706527.8702151184,3.4680651E7,0.0,1.10028797E8,16914.496079938508,513435.8545576594,3.4681035E7,0.0,492,3287,0,0,0,0,68660,130120,31.200829213159167,59.12979751261682,0.0,1420.0,818.7091256665632,642.7897440607333,413178.65506966296,0,0,0,3779,9939,0,0,0,1.8951354500436937,818.709125666566,77.96970579667929,1209.572702121119,0,0,0,17152,14,287092,0,26,0,791,65535,65535,491,20,9533279.75,1.0679362279431088E7,2.0898981E7,43.0,1.797393375E7,1.1661496022561295E7,3.4680651E7,7529527.0,-1,-1,264333813,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:10:20.511732,116126196,3228,6138,258953.0,7402812.0,1057.0,0.0,80.22087980173481,193.57885396663877,1420.0,6.0,1206.0625610948125,414.55789305779643,65977.92112298246,80.65363649731539,12400.020928990936,425886.9359874561,3.4381295E7,0.0,1.16125998E8,35985.744654477865,725044.1296397425,3.4381523E7,0.0,1.16125777E8,18922.238390092916,526081.5800436768,3.4381586E7,0.0,475,3042,0,0,0,0,64560,122760,27.797345570503317,52.85629092681207,0.0,1420.0,818.0402519752279,641.758659151842,411854.1765963701,0,0,0,3517,9366,0,0,0,1.9014869888475836,818.0402519752296,80.22087980173482,1206.062561094819,0,0,0,17446,14,259697,0,27,0,790,65535,65535,474,20,4668461.75,5590441.623486905,1.2746462E7,228.0,1.78029175E7,1.1631552576205365E7,3.4381295E7,7691926.0,-1,-1,398282718,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:12:29.962930,109733752,1847,3528,155812.0,4263817.0,1057.0,0.0,84.35950189496485,197.49925091502104,1420.0,6.0,1208.5649092970516,420.6551956540926,40275.93078198948,48.982194648734875,20419.380721994727,681001.6671211813,4.536037E7,0.0,1.09733558E8,59443.964247020696,1161179.0697732202,4.536037E7,20.0,1.09733521E8,31112.424440033872,840505.356714576,4.5360642E7,0.0,286,1411,0,0,0,0,36940,70560,16.831649026272245,32.15054562246263,0.0,1420.0,822.2565581395346,643.9269034152877,414641.8569420012,0,0,0,1697,5375,0,0,0,1.910124526258798,822.2565581395348,84.35950189496481,1208.564909297052,0,0,0,19315,15,264679,0,28,0,793,65535,65535,285,20,3788037.9999999995,4750043.425404094,9844633.0,40.0,2.009522375E7,1.6934219776030354E7,4.536037E7,9773238.0,-1,-1,521341472,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:14:34.195815,100756052,1904,3522,149868.0,4257328.0,543.0,0.0,78.71218487394957,191.21797061063947,1420.0,6.0,1208.7813742191918,408.3825333795294,43741.253379002985,53.85284449216014,18572.544147465436,428392.25614359305,2.0612477E7,4.0,1.00755747E8,52945.74198633737,722223.3200954451,2.061252E7,26.0,1.00756052E8,28615.748934961655,531969.3481237548,2.0650834E7,4.0,276,1720,0,0,0,0,38080,70440,18.897127886670273,34.95571660548986,0.0,1420.0,812.236638407668,641.870880128488,411998.22675691976,0,0,0,1996,5426,0,0,0,1.8497899159663866,812.2366384076668,78.71218487394958,1208.7813742191936,0,0,0,16993,13,233875,0,27,0,784,0,65535,276,0,6848427.8,1.1771303053715238E7,2.760101E7,39.0,1.32503924E7,4482380.319105386,2.0612477E7,8626860.0,-1,-1,636596657,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:16:45.055138,38210,1,1,0.0,543.0,0.0,0.0,0.0,0.0,543.0,543.0,543.0,0.0,14210.939544621826,52.34231876472128,38210.0,0.0,38210.0,38210.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,20,26.17115938236064,26.17115938236064,0.0,543.0,271.5,383.9589821842953,147424.5,0,0,0,1,2,0,0,0,1.0,271.5,0.0,543.0,0,0,0,0,0,0,0,0,0,271,0,65535,0,0,0,0,0,0,0,0,0,0,-1,-1,666738138,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:18:45.075796,119977544,2,2,0.0,1086.0,0.0,0.0,0.0,0.0,543.0,543.0,543.0,0.0,9.051693873646888,0.03333957227862574,3.999251466666667E7,6.926897119629166E7,1.19977433E8,42.0,1.19977475E8,1.19977475E8,0.0,1.19977475E8,1.19977475E8,1.19977502E8,1.19977502E8,0.0,1.19977502E8,1.19977502E8,0,2,0,0,0,0,40,40,0.01666978613931287,0.01666978613931287,0.0,543.0,271.5,313.5011961699668,98283.0,0,0,0,2,4,0,0,0,1.0,271.5,0.0,543.0,0,0,0,0,0,0,0,0,0,271,0,65535,0,0,69.0,0.0,69.0,69.0,1.19977433E8,0.0,1.19977433E8,1.19977433E8,-1,-1,906698130,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:21:14.689889,90420315,6,6,1629.0,1647.0,543.0,0.0,271.5,297.4133487253052,543.0,6.0,274.5,294.1270133802742,36.23079614354363,0.13271353898733929,8220028.636363635,2.118076960681937E7,6.9971651E7,54.0,9.0420315E7,1.8084063E7,2.998284291388531E7,6.9972789E7,292.0,9.0382305E7,1.8076461E7,2.998215346345318E7,6.9971651E7,1439.0,3,3,0,0,0,0,120,120,0.06635676949366964,0.06635676949366964,0.0,543.0,273.0,282.0145063967133,79532.18181818182,0,0,0,6,12,0,0,0,1.0,273.0,271.5,274.5,0,0,0,0,0,0,0,135,0,137,65535,65535,2,20,1132409.5,1600050.4168570752,2263816.0,1003.0,4.40592445E7,3.664567670602474E7,6.9971651E7,1.8146838E7,-1,-1,1026754994,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2015-07-21 16:18:50.078374,119984885,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.016668766236680562,1.19984885E8,0.0,1.19984885E8,1.19984885E8,1.19984885E8,1.19984885E8,0.0,1.19984885E8,1.19984885E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016668766236680562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.19984885E8,0.0,1.19984885E8,1.19984885E8,-1,-1,0,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:24:45.073904,109826140,5,5,1086.0,1641.0,543.0,0.0,217.2,297.41334872530524,543.0,6.0,328.2,294.1270133802742,24.83015427838946,0.09105300432119348,1.2202904444444446E7,2.7480705958464853E7,8.1016956E7,43.0,1.09825358E8,2.7456339500000004E7,3.8150217039683126E7,8.1017003E7,327.0,1.0982614E8,2.7456534999999996E7,3.815031618566119E7,8.1017079E7,1029.0,2,3,0,0,0,0,100,100,0.04552650216059674,0.04552650216059674,0.0,543.0,272.7,284.92964043777545,81184.9,0,0,0,5,10,0,0,0,1.0,272.7,217.2,328.2,0,0,0,0,0,0,0,108,0,164,0,65535,2,0,85.0,53.74011537017761,123.0,47.0,5.48081385E7,3.7064865162261315E7,8.1016956E7,2.8599321E7,-1,-1,1256544834,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:31:00.413800,23575851,79,111,29148.0,42178.0,1057.0,0.0,368.96202531645577,326.84676261475033,1420.0,6.0,379.9819819819819,393.9668879021546,3025.383898125247,8.059094028037418,124739.95238095237,587590.737115683,5700755.0,19.0,2.3575851E7,302254.49999999994,889873.3323907406,5700755.0,59.0,2.3574034E7,214309.4,759910.54740321,5702516.0,78.0,48,62,0,0,0,0,1580,2220,3.350886464289242,4.708207563748176,0.0,1420.0,375.4000000000001,366.6763461925826,134451.54285714272,0,0,0,110,190,0,0,0,1.4050632911392404,375.4,368.9620253164557,379.98198198198196,0,0,0,4919,6,10212,0,153,0,221,65535,65535,47,20,4282035.0,452003.8677378768,4601650.0,3962420.0,5698482.0,3214.507427274045,5700755.0,5696209.0,-1,-1,1545634441,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2015-07-21 16:24:50.079452,81023879,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.024684081096635724,8.1023879E7,0.0,8.1023879E7,8.1023879E7,8.1023879E7,8.1023879E7,0.0,8.1023879E7,8.1023879E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024684081096635724,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.1023879E7,0.0,8.1023879E7,8.1023879E7,-1,-1,0,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:36:22.690339,1119088,2,2,543.0,549.0,543.0,0.0,271.5,383.9589821842953,543.0,6.0,274.5,379.716341497176,975.7945755829746,3.5743391046995407,373029.3333333334,644634.8655714592,1117389.0,59.0,1119088.0,1119088.0,0.0,1119088.0,1119088.0,1117389.0,1117389.0,0.0,1117389.0,1117389.0,1,1,0,0,0,0,40,40,1.7871695523497704,1.7871695523497704,0.0,543.0,273.0,311.77876771839357,97206.0,0,0,0,2,4,0,0,0,1.0,273.0,271.5,274.5,0,0,0,0,0,0,0,135,0,137,65535,65535,0,20,0,0,0,0,0,0,0,0,-1,-1,1845454217,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:41:02.690071,37159375,6,7,2172.0,1653.0,543.0,0.0,362.0,280.403994265417,543.0,6.0,236.14285714285714,287.0385738139438,102.93499285173661,0.3498444201496931,3096614.583333333,5927623.189170182,1.6260592E7,105.0,3.7159375E7,7431875.0,7516800.064142554,1.6262273E7,394.0,3.7119728E7,6186621.333333333,7375631.215572934,1.6262888E7,947.0,4,3,0,0,0,0,120,140,0.1614666554537045,0.18837776469598858,0.0,543.0,294.2307692307692,279.6805182841528,78221.19230769233,0,0,0,7,13,0,0,0,1.1666666666666667,294.2307692307692,362.0,236.14285714285714,0,0,0,0,0,0,0,167,0,127,65535,65535,3,20,207531.6666666667,355908.2371965186,618499.0,1800.0,1.2166311E7,5344826.0122077875,1.6260592E7,6119819.0,-1,-1,2161494236,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:46:33.688995,6108106,2,2,543.0,549.0,543.0,0.0,271.5,383.9589821842953,543.0,6.0,274.5,379.716341497176,178.77882276437245,0.6548674826533789,2036035.3333333335,3524913.740537821,6106255.0,44.0,6108106.0,6108106.0,0.0,6108106.0,6108106.0,6106255.0,6106255.0,0.0,6106255.0,6106255.0,1,1,0,0,0,0,40,40,0.32743374132668945,0.32743374132668945,0.0,543.0,273.0,311.77876771839357,97206.0,0,0,0,2,4,0,0,0,1.0,273.0,271.5,274.5,0,0,0,0,0,0,0,135,0,137,65535,65535,0,20,1807.0,0.0,1807.0,1807.0,6106255.0,0.0,6106255.0,6106255.0,-1,-1,2461441891,normal
10.0.2.15-82.161.239.177-57188-110-6,10.0.2.15,57188,82.161.239.177,110,6,2015-07-21 16:51:33.689948,6153793,2,2,543.0,549.0,543.0,0.0,271.5,383.9589821842953,543.0,6.0,274.5,379.716341497176,177.451532737614,0.6500056144234946,2051264.3333333335,3552014.1920358837,6152777.0,56.0,6153793.0,6153793.0,0.0,6153793.0,6153793.0,6152777.0,6152777.0,0.0,6152777.0,6152777.0,1,1,0,0,0,0,40,40,0.3250028072117473,0.3250028072117473,0.0,543.0,273.0,311.77876771839357,97206.0,0,0,0,2,4,0,0,0,1.0,273.0,271.5,274.5,0,0,0,0,0,0,0,135,0,137,65535,65535,0,20,960.0,0.0,960.0,960.0,6152777.0,0.0,6152777.0,6152777.0,-1,-1,2761488531,normal
