Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
74.125.136.16-10.152.152.11-993-36753-6,74.125.136.16,993,10.152.152.11,36753,6,2015-07-13 16:22:33.147590,118863042,1109,571,1234493.0,1386.0,1460.0,6.0,1113.1587015329112,480.7296275361987,81.0,0.0,2.427320490367779,9.965179182581986,10397.50438155537,14.133913887211468,70793.94997022038,1870832.8447156001,7.504451E7,0.0,1.1882518E8,107242.94223826719,2302562.176349429,7.5044537E7,0.0,1.18863019E8,208531.61228070184,3208397.573208887,7.5044532E7,10.0,436,33,0,0,0,0,22180,11420,9.330065774355667,4.803848112855803,0.0,1460.0,735.6422619047612,655.3675616455995,429506.6408572986,0,0,0,469,1680,0,0,0,0.5148782687105501,735.6422619047619,1113.1587015329126,2.4273204903677756,409959,346,161802,0,0,0,0,734,0,0,1114,24367,1108,20,1.13754345E7,9539483.539785815,1.8120868E7,4630001.0,4.5017337E7,4.246483529632322E7,7.504451E7,1.4990164E7,-1,-1,118863042,NeedManualLabel
10.152.152.11-74.125.22.16-55291-993-6,10.152.152.11,55291,74.125.22.16,993,6,2015-07-13 16:24:03.829724,99712410,4679,6337,2416826.0,7272691.0,1460.0,0.0,516.5261808078651,693.9334150722514,1460.0,0.0,1147.6551996212702,473.15330977096386,97174.63453144899,110.4777228832399,9052.420335905546,204631.327354973,1.9960073E7,0.0,9.971241E7,21315.179563916154,314220.7384426805,1.9960094E7,0.0,9.9711578E7,15737.30713383837,270134.36850301136,1.9997388E7,0.0,177,2128,0,0,0,0,93592,126752,46.924951467926604,63.552771415313295,0.0,1460.0,879.5857843137238,656.2151641184824,430618.3416190469,0,2,0,2305,11015,0,0,0,1.354349219918786,879.5857843137255,516.5261808078649,1147.655199621272,13430,9,58080574,302806,248,215026,0,219,0,660,14600,5034,1729,20,6.5125371E7,0.0,6.5125371E7,6.5125371E7,1.9960073E7,0.0,1.9960073E7,1.9960073E7,-1,-1,99712410,NeedManualLabel
10.152.152.11-64.233.171.95-48821-443-6,10.152.152.11,48821,64.233.171.95,443,6,2015-07-13 16:24:05.727367,113288993,26,27,2541.0,2475.0,517.0,0.0,97.73076923076923,132.82185292859236,498.0,0.0,91.66666666666666,158.34431810748083,44.27614605065825,0.46783009184307955,2178634.480769231,8515541.149673132,4.1804648E7,0.0,1.13288149E8,4531525.960000001,1.1958197525460891E7,4.180549E7,85.0,1.13288651E8,4357255.807692308,1.1750065661949303E7,4.1805174E7,0.0,16,10,0,0,0,0,532,552,0.2295015544890579,0.23832853735402165,0.0,517.0,94.64150943396226,145.0082350897067,21027.388243831643,0,2,0,26,52,0,0,0,1.0384615384615385,94.64150943396227,97.73076923076923,91.66666666666667,0,0,0,446,4,764,0,47,0,46,14600,1382,16,20,2307267.0,1910138.3367727585,4391355.0,639874.0,3.5291618333333336E7,9694579.498917544,4.1804648E7,2.4150295E7,-1,-1,113288993,NeedManualLabel
74.125.136.16-10.152.152.11-993-36753-6,74.125.136.16,993,10.152.152.11,36753,6,2015-07-13 16:25:06.071155,115752021,3041,1439,3691016.0,1208.0,1460.0,6.0,1213.750739888194,408.16309186339396,48.0,0.0,0.839471855455177,5.868394282884806,31897.706563585616,38.70342790818313,25843.273275284675,767691.0319625101,4.0047037E7,0.0,1.15711278E8,38062.92039473685,932495.2382056572,4.0088385E7,0.0,1.15752021E8,80495.14673157151,1353766.079350547,4.004706E7,0.0,1023,29,0,0,0,0,60820,28780,26.271679524282344,12.431748383900787,0.0,1460.0,824.1571428571434,658.7224314191114,433915.24165470595,0,0,0,1052,4480,0,0,0,0.47319960539296285,824.1571428571428,1213.7507398881946,0.8394718554551772,613991,497,258104,0,0,0,0,823,0,0,0,24367,3041,0,8598189.0,5927292.042787584,1.345384E7,1993070.0,2.8356765E7,1.0422896836859176E7,4.0047037E7,2.003374E7,-1,-1,268675586,NeedManualLabel
10.152.152.11-74.125.22.16-55288-993-6,10.152.152.11,55288,74.125.22.16,993,6,2015-07-13 16:22:18.530330,108252669,950,359,1208077.0,7871.0,1460.0,0.0,1271.6600000000014,446.3458628383586,1460.0,0.0,21.924791086350986,116.8044846052956,11232.499034273234,12.09208061188773,82761.97935779835,1012960.1023352861,3.5605326E7,0.0,1.08252669E8,114070.25184404629,1190081.4074606635,3.5605326E7,6.0,1.08212233E8,302268.8072625699,1923072.0334591442,3.5644074E7,1.0,136,23,0,0,0,0,19012,7192,8.775765149956719,3.3163154619310125,0.0,1460.0,928.9136745607344,677.7782970206791,459383.4199122519,0,2,0,159,1308,0,0,0,0.3778947368421053,928.9136745607334,1271.66,21.924791086350975,12147,8,53937080,231,4,194,0,922,0,6,14600,3836,886,20,1.4523935E7,0.0,1.4523935E7,1.4523935E7,3.5605326E7,0.0,3.5605326E7,3.5605326E7,-1,-1,108252669,NeedManualLabel
10.152.152.11-64.233.171.95-48821-443-6,10.152.152.11,48821,64.233.171.95,443,6,2015-07-13 16:26:37.391911,113242200,28,29,2364.0,3026.0,267.0,0.0,84.42857142857144,101.87262510621657,455.0,6.0,104.3448275862069,168.05914687183986,47.59709719521521,0.5033459258121089,2022182.142857143,7121792.545112655,3.8051342E7,0.0,1.13241985E8,4194147.592592592,9891557.436422942,3.8051626E7,108.0,1.1324184E8,4044351.4285714277,9738767.22527647,3.8051739E7,0.0,18,11,0,0,0,0,560,580,0.24725764776735176,0.2560882780447572,0.0,455.0,94.56140350877195,138.65978631475,19226.536340852126,0,0,0,29,57,0,0,0,1.0357142857142858,94.56140350877193,84.42857142857143,104.34482758620689,0,0,0,520,4,869,0,41,0,53,1315,1784,17,20,562886.4,164719.55551573104,812559.0,392421.0,2.19707258E7,1.2284822287745912E7,3.8051342E7,9308451.0,-1,-1,264906744,NeedManualLabel
74.125.136.16-10.152.152.11-993-36753-6,74.125.136.16,993,10.152.152.11,36753,6,2015-07-13 16:27:21.841931,119574173,101,80,6702.0,1681.0,1220.0,6.0,66.35643564356431,146.7055952687842,46.0,0.0,21.012499999999996,20.704976317392816,70.10711251166254,1.513704803126675,664300.9611111115,3197255.4949207827,2.5061934E7,6.0,1.19574173E8,1195741.73,4232871.166382473,2.509954E7,269.0,1.1957358E8,1513589.6202531653,4708282.571918482,2.5061952E7,752.0,60,41,0,0,0,0,2020,1600,0.8446640061646088,0.6690407969620664,0.0,1220.0,46.31491712707182,112.4945689978893,12655.028054020877,0,0,0,101,181,0,0,0,0.7920792079207921,46.31491712707182,66.35643564356435,21.0125,646,4,928,0,0,0,0,37,0,9,1114,24367,100,20,4506861.8,1075390.046207282,5731127.0,2789798.0,1.9135519E7,4066701.9737062124,2.5061934E7,1.5079417E7,-1,-1,408268514,NeedManualLabel
10.152.152.11-64.233.171.95-48821-443-6,10.152.152.11,48821,64.233.171.95,443,6,2015-07-13 16:29:09.374444,93218102,26,28,2364.0,2784.0,267.0,0.0,90.92307692307693,102.92790606125166,478.0,6.0,99.42857142857144,165.10612267881453,55.22532522706802,0.5792866282559582,1758832.1132075468,6092941.764651366,2.8671166E7,0.0,9.3217376E7,3728695.0399999996,8532076.402586328,2.8672244E7,85.0,9.3217283E7,3452491.962962963,8257267.573977262,2.8671887E7,0.0,18,10,0,0,0,0,520,560,0.27891578397509104,0.30037084428086724,0.0,478.0,95.33333333333334,137.48756376006975,18902.830188679247,0,0,0,28,54,0,0,0,1.0769230769230769,95.33333333333333,90.92307692307692,99.42857142857143,0,0,0,480,4,889,0,43,0,51,1717,2186,17,20,1469775.25,1846558.3023382311,4238115.0,503254.0,2.170248625E7,8150261.353634674,2.8671166E7,1.2005902E7,-1,-1,396865179,NeedManualLabel
74.125.136.16-10.152.152.11-993-36753-6,74.125.136.16,993,10.152.152.11,36753,6,2015-07-13 16:29:22.579578,107974019,2081,1007,2464640.0,1857.0,1460.0,6.0,1184.3536761172506,445.6327910605888,45.0,0.0,1.844091360476665,8.543219693255665,22843.430510815753,28.599472619427086,34977.006478781914,609174.6314229942,1.9761179E7,0.0,1.07973993E8,51910.57355769234,743395.3816612455,1.9800369E7,0.0,1.07934383E8,107290.63916500998,1064366.6133388062,1.9761199E7,10.0,708,45,0,0,0,0,41620,20140,19.273154961472724,9.326317657954364,0.0,1460.0,798.7360751295336,664.2488751644116,441226.56815718615,0,0,0,753,3088,0,0,0,0.48390197020663145,798.7360751295337,1184.3536761172513,1.8440913604766633,491362,396,269788,0,0,0,0,798,0,0,1114,24365,2080,20,6698194.8,4625347.755898382,1.3813019E7,2660465.0,1.38335352E7,6496280.361974281,1.9761179E7,5323451.0,-1,-1,517406007,NeedManualLabel
10.152.152.11-64.233.171.16-53710-993-6,10.152.152.11,53710,64.233.171.16,993,6,2015-07-13 16:29:30.355780,91555901,2602,552,3623712.0,7811.0,1460.0,0.0,1392.664104534972,282.770148211367,514.0,0.0,14.150362318840587,39.238775775620134,39664.5433045326,34.44889914851037,29037.710434506753,483965.0288936926,1.6273307E7,0.0,9.1555901E7,35200.26951172616,535037.5192378729,1.6273307E7,0.0,9.1517754E7,166093.92740471876,1151598.1766782568,1.6312024E7,0.0,194,59,0,0,0,0,52052,11052,28.419795683076725,6.029103465433647,0.0,1460.0,1151.4023462270113,583.688215485366,340691.93289649097,0,2,0,253,3153,0,0,0,0.2121445042275173,1151.4023462270134,1392.6641045349731,14.15036231884058,13800,9,50576239,172,5,580,0,1148,0,2,14600,6167,2555,20,1.2078981333333334E7,5301053.180612824,1.8051304E7,7931060.0,1.4914938E7,1337823.5317937115,1.6273307E7,1.3598653E7,-1,-1,91555901,NeedManualLabel
