Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.152.152.11-173.194.112.96-50615-80-6,10.152.152.11,50615,173.194.112.96,80,6,2015-07-15 13:13:39.328232,116863827,14,14,427.0,779.0,427.0,0.0,30.499999999999986,114.12055029660522,779.0,0.0,55.642857142857146,208.19650744977858,10.31970311908406,0.23959509729216724,4328289.888888888,4950990.76070221,1.003069E7,5.0,1.16862698E8,8989438.307692308,2780110.20338773,1.0030948E7,401584.0,1.16863461E8,8989497.000000002,2780210.7477202155,1.003185E7,401385.0,1,1,0,0,0,0,280,280,0.11979754864608362,0.11979754864608362,0.0,779.0,43.07142857142856,165.24122178095084,27304.66137566138,0,0,0,2,28,0,0,0,1.0,43.07142857142857,30.5,55.642857142857146,0,0,0,0,0,0,0,15,0,27,1302,1181,1,20,34048.49999999999,115744.13214461064,401584.0,258.0,9704509.666666668,1080797.5502664128,1.003069E7,6272555.0,-1,-1,116863827,NeedManualLabel
10.152.152.11-173.194.112.123-53331-443-6,10.152.152.11,53331,173.194.112.123,443,6,2015-07-15 13:13:43.436097,119946009,28,37,6364.0,8620.0,1460.0,0.0,227.28571428571425,390.10396118099146,1460.0,0.0,232.97297297297294,451.25513148738116,124.92287259011677,0.5419104857419641,1874156.3906250005,8622157.429625656,5.8398518E7,6.0,1.199452E8,4442414.814814814,1.2973144511014152E7,5.8399605E7,53.0,1.19945278E8,3331813.277777778,1.1350162992808463E7,5.8399327E7,11.0,19,13,0,0,0,0,560,740,0.23343836308884608,0.308472122653118,0.0,1460.0,230.5230769230769,422.7907323551269,178752.00336538456,0,0,0,32,65,0,0,0,1.3214285714285714,230.52307692307693,227.28571428571428,232.97297297297297,0,0,0,4258,5,77274,0,97,0,132,2640,2640,20,20,6121975.0,8408182.654210065,1.5825378E7,986525.0,3.3859758333333336E7,2.6745496666241784E7,5.8398518E7,5351273.0,-1,-1,119946009,NeedManualLabel
10.152.152.11-173.194.112.121-34263-443-6,10.152.152.11,34263,173.194.112.121,443,6,2015-07-15 13:13:44.360517,62060713,44,63,13579.0,5623.0,1277.0,46.0,308.61363636363643,353.0256078668022,665.0,0.0,89.25396825396825,152.47146409420756,309.4066934100483,1.7241181228452853,585478.4245283018,2729338.011442653,2.7309211E7,5.0,6.206017E7,1443259.7674418604,4166790.0921463394,2.7309437E7,159.0,6.2060163E7,1000970.3709677422,3521621.9492425164,2.7309486E7,413.0,44,21,0,0,0,0,880,1260,0.7089831533195566,1.0151349695257288,0.0,1277.0,179.45794392523365,275.525237017353,75914.15623346854,0,0,0,65,107,0,0,0,1.4318181818181819,179.45794392523365,308.6136363636364,89.25396825396825,1786,4,5843,0,0,0,0,126,0,52,2640,2640,43,20,6227497.5,6759474.844774593,1.1007168E7,1447827.0,1.61763425E7,1.5744253620816216E7,2.7309211E7,5043474.0,-1,-1,62060713,NeedManualLabel
10.152.152.11-173.194.112.110-52579-443-6,10.152.152.11,52579,173.194.112.110,443,6,2015-07-15 13:13:43.769476,95277901,66,92,13394.0,8675.0,550.0,0.0,202.939393939394,194.24622588456194,1460.0,0.0,94.29347826086959,231.5969660472137,231.6276887753856,1.6583068932217555,606865.6114649683,1814450.4978842156,1.2321498E7,0.0,9.5276809E7,1465797.0615384616,2597883.2463232256,1.2321793E7,10.0,9.5277113E7,1047001.2417582418,2289531.414276042,1.2322469E7,0.0,60,29,0,0,0,0,1332,1852,0.6927104743837713,0.9655964188379843,0.0,1460.0,139.67721518987335,222.71006741327906,49599.774127227305,0,2,0,89,157,0,0,0,1.393939393939394,139.6772151898734,202.93939393939394,94.29347826086956,1310,4,2202,3908,4,1409812,0,84,0,54,14600,2640,60,20,6259499.666666667,1.163201972627149E7,2.9841654E7,748563.0,8807097.833333334,2257485.829273479,1.2321498E7,5394111.0,-1,-1,95277901,NeedManualLabel
10.152.152.11-173.194.112.96-50601-80-6,10.152.152.11,50601,173.194.112.96,80,6,2015-07-15 13:13:39.328113,116384865,17,17,854.0,1558.0,427.0,0.0,50.23529411764705,141.80908354710775,779.0,0.0,91.6470588235294,222.34824633232174,20.72434418341251,0.2921342049071415,3526814.090909091,4735565.254716506,1.0020767E7,8.0,1.16383529E8,7273970.5625,4333629.298801901,1.0020767E7,97295.0,1.16384395E8,7274024.6875,4333823.418845177,1.0021887E7,97298.0,2,3,0,0,0,0,340,340,0.14606710245357074,0.14606710245357074,0.0,779.0,70.94117647058823,184.83029746007563,34162.23885918003,0,0,0,5,34,0,0,0,1.0,70.94117647058823,50.23529411764706,91.6470588235294,0,0,0,0,0,0,0,25,0,45,1765,1516,2,20,566026.6363636362,1618827.7345241695,5389342.0,371.0,1.0014294181818184E7,4724.436301151148,1.0020767E7,1.0001266E7,-1,-1,116384865,NeedManualLabel
10.152.152.11-173.194.112.164-55550-443-6,10.152.152.11,55550,173.194.112.164,443,6,2015-07-15 13:13:43.697971,65522437,266,436,2744.0,492256.0,169.0,0.0,10.315789473684212,28.51265681777729,1460.0,0.0,1129.0275229357796,494.01013454568925,7554.664061106275,10.713887213932535,93469.9529243936,936666.6781719141,1.3824666E7,0.0,6.5521512E7,247250.9886792449,1514442.0481098494,1.3825004E7,0.0,6.5521271E7,150623.6114942531,1186006.0799814665,1.3825138E7,0.0,37,141,0,0,0,0,5320,8720,4.059678061119736,6.6542091528128,0.0,1460.0,705.1282051282053,668.355307179928,446698.81663557596,0,0,0,178,702,0,0,0,1.6390977443609023,705.1282051282051,10.31578947368421,1129.0275229357799,450,4,10872,39973,32,227882,0,3,0,701,21287,2640,36,20,1958771.6,622708.4567141352,2481468.0,1189086.0,1.0727813E7,3014948.678741978,1.3824666E7,6978820.0,-1,-1,65522437,NeedManualLabel
10.152.152.11-173.194.112.97-51000-443-6,10.152.152.11,51000,173.194.112.97,443,6,2015-07-15 13:13:42.689335,68803371,189,260,18360.0,183270.0,792.0,0.0,97.14285714285715,168.07611533799937,1460.0,0.0,704.8846153846155,648.1339788875867,2930.5250174442763,6.525843043359024,153578.95312499997,1057815.4468494223,1.5421753E7,0.0,6.8802719E7,365971.90957446815,1612491.6642632606,1.5422E7,0.0,6.880301E7,265648.6872586872,1381793.422491122,1.5422316E7,0.0,87,85,0,0,0,0,3780,5200,2.7469584302780747,3.7788846130809493,0.0,1460.0,449.0645879732741,587.3173863737895,344941.7123369392,0,0,0,172,449,0,0,0,1.3756613756613756,449.06458797327394,97.14285714285714,704.8846153846154,1413,4,4352,27045,23,108224,0,40,0,408,8569,2640,86,20,9078787.666666666,4966667.543500001,1.4718504E7,5357272.0,1.1528095333333334E7,5654921.478014203,1.5421753E7,5041695.0,-1,-1,68803371,NeedManualLabel
10.152.152.11-74.125.170.208-34178-443-6,10.152.152.11,34178,74.125.170.208,443,6,2015-07-15 13:14:19.110544,119999098,14466,24017,1985.0,3.00327E7,1198.0,0.0,0.13721830499101453,10.813852869001993,1460.0,0.0,1250.4767456385148,350.10513953684546,250290.9230201047,320.6940772171471,3118.3176030351756,75568.26252078112,1.003176E7,0.0,1.19999098E8,8295.824265468302,123103.01616317315,1.0031993E7,0.0,1.19998606E8,4996.610842771523,95627.36552080388,1.003272E7,0.0,4,8181,0,0,0,0,289332,480352,120.55090614097783,200.14317107616924,0.0,1460.0,780.4663097991352,665.817189617303,443312.5299898836,0,2,0,8185,38482,0,0,0,1.6602377989769115,780.4663097991321,0.13721830499101342,1250.4767456385061,0,0,0,10010644,8002,323300,0,0,0,780,14600,1229,4,20,1035284.5,1463783.8690546155,2070336.0,233.0,1.0016429E7,21681.30812474192,1.003176E7,1.0001098E7,-1,-1,119999098,NeedManualLabel
10.152.152.11-68.232.34.191-54188-443-6,10.152.152.11,54188,68.232.34.191,443,6,2015-07-15 13:14:18.077546,116162407,56,85,2062.0,78039.0,345.0,0.0,36.82142857142857,102.60836526997505,1460.0,0.0,918.1058823529412,601.4891841550123,689.5604358473736,1.213817823179232,829731.4785714287,2700916.341902832,1.0032637E7,0.0,1.16161421E8,2112025.836363636,4002783.887968147,1.0032974E7,17.0,1.16162191E8,1382883.2261904762,3382934.9989466183,1.0033775E7,1.0,7,26,0,0,0,0,1132,1712,0.4820836744541631,0.731734148725069,0.0,1460.0,568.0921985815603,639.1322230818598,408489.9985815602,0,2,0,33,140,0,0,0,1.5178571428571428,568.0921985815603,36.82142857142857,918.1058823529412,0,0,0,14822,12,192195,0,14,0,553,14600,1315,7,20,543903.0909090909,1802138.8272183947,5977556.0,153.0,1.0016226090909092E7,6101.601436582783,1.0032637E7,1.0006858E7,-1,-1,116162407,NeedManualLabel
10.152.152.11-23.212.219.120-37688-443-6,10.152.152.11,37688,23.212.219.120,443,6,2015-07-15 13:14:31.507565,114700423,24,23,1501.0,5334.0,612.0,0.0,62.541666666666664,167.1253055453398,1460.0,0.0,231.91304347826087,453.7391033546078,59.59001563577495,0.4097630921552922,2493487.4565217393,4271863.914040056,1.0030773E7,2.0,1.14700156E8,4986963.304347827,4933245.289943301,1.0031807E7,10.0,1.14698728E8,5213578.545454547,4928687.037953827,1.0031056E7,10.0,4,5,0,0,0,0,492,472,0.20924072790908538,0.20052236424620684,0.0,1460.0,145.42553191489358,346.0543903392652,119753.64107308051,0,2,0,9,46,0,0,0,0.9583333333333334,145.4255319148936,62.541666666666664,231.91304347826087,0,0,0,4244,4,5413265,0,31,0,113,14600,1125,4,20,414946.27272727276,1374565.4603956912,4559417.0,229.0,1.0012340636363637E7,16936.298357508622,1.0030773E7,9963234.0,-1,-1,114700423,NeedManualLabel
