Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.152.152.11-193.182.7.21-56731-4070-6,10.152.152.11,56731,193.182.7.21,4070,6,2016-02-24 16:17:30.376133,117541306,20,20,524.0,1143.0,128.0,0.0,26.200000000000003,41.968158355942585,671.0,0.0,57.15,168.86471539449312,14.182248408912523,0.3403059006337738,3013879.641025641,7952175.73981205,3.1851127E7,16.0,1.17541306E8,6186384.526315789,1.0619994207674285E7,3.1851181E7,211.0,1.17541011E8,6186369.0,1.0620211493552439E7,3.1851145E7,117.0,11,9,0,0,0,0,400,400,0.1701529503168869,0.1701529503168869,0.0,671.0,41.675,122.45719032191808,14995.763461538465,0,0,0,20,40,0,0,0,1.0,41.675,26.2,57.15,0,0,0,0,0,0,0,13,0,28,28215,3580,10,20,1555546.2,2084000.4194099146,5182078.0,54.0,2.18177658E7,9560619.091857556,3.1851127E7,1.1549536E7,-1,-1,117541306,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 16:17:36.288942,90004853,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554501133399995,0.04444204803045454,3.0001617666666668E7,1106.529861021985,3.0002446E7,3.0000361E7,9.0004853E7,3.0001617666666668E7,1106.529861021985,3.0002446E7,3.0000361E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04444204803045454,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0001617666666668E7,1106.529861021985,3.0002446E7,3.0000361E7,-1,-1,0,normal
10.152.152.11-193.182.7.21-56731-4070-6,10.152.152.11,56731,193.182.7.21,4070,6,2016-02-24 16:19:31.978854,119533671,19,19,1039.0,1194.0,795.0,0.0,54.68421052631579,180.43683186200553,671.0,0.0,62.842105263157904,172.3498583817536,18.68092882381233,0.31790205790634507,3230639.7567567574,1.0344967866700994E7,6.0051766E7,20.0,1.19533342E8,6640741.222222223,1.4235518340319851E7,6.0051766E7,194890.0,1.19533514E8,6640750.777777777,1.4235776572001962E7,6.0052317E7,194938.0,9,10,0,0,0,0,380,380,0.15895102895317254,0.15895102895317254,0.0,795.0,58.76315789473682,174.08811596283044,30306.672119487903,0,0,0,19,38,0,0,0,1.0,58.76315789473684,54.68421052631579,62.8421052631579,0,0,0,0,0,0,0,27,0,31,28215,3580,8,20,2489604.0,4030273.6867738897,8509464.0,25.0,2.539904775E7,2.3225578266961783E7,6.0051766E7,1.1199559E7,-1,-1,241136392,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 16:19:36.294679,90005632,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554331888920016,0.044441663383909126,3.0001877333333332E7,813.6278838224101,3.0002811E7,3.000132E7,9.0005632E7,3.0001877333333332E7,813.6278838224101,3.0002811E7,3.000132E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.044441663383909126,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0001877333333332E7,813.6278838224101,3.0002811E7,3.000132E7,-1,-1,0,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 16:21:36.302221,90004504,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554576957615366,0.04444222035821674,3.0001501333333332E7,430.7079443582778,3.0001964E7,3.0001112E7,9.0004504E7,3.0001501333333332E7,430.7079443582778,3.0001964E7,3.0001112E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04444222035821674,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0001501333333332E7,430.7079443582778,3.0001964E7,3.0001112E7,-1,-1,0,normal
10.152.152.11-193.182.7.21-56731-4070-6,10.152.152.11,56731,193.182.7.21,4070,6,2016-02-24 16:21:32.103184,101983988,19,19,2209.0,974.0,1213.0,0.0,116.26315789473684,321.2335325836024,671.0,0.0,51.263157894736835,156.6112817368259,31.210781833712957,0.3726075116811475,2756324.0,9478158.63475753,5.5638002E7,15.0,1.01983879E8,5665771.055555557,1.3144830229947336E7,5.5638002E7,272.0,1.0198393E8,5665773.888888889,1.3145086350679424E7,5.5638698E7,147.0,9,10,0,0,0,0,380,380,0.18630375584057374,0.18630375584057374,0.0,1213.0,83.76315789473684,251.43173101804626,63217.91536273116,0,0,0,19,38,0,0,0,1.0,83.76315789473684,116.26315789473684,51.26315789473684,0,0,0,0,0,0,0,58,0,25,0,3580,9,0,3537462.75,3362922.0528606144,7784463.0,807806.0,2.1742706E7,2.3031532719078526E7,5.5638002E7,5529058.0,-1,-1,343711039,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 16:23:36.308783,90012633,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9552810992652554,0.04443820680148308,3.0004211E7,1357.14148120231,3.0005248E7,3.0002675E7,9.0012633E7,3.0004211E7,1357.14148120231,3.0005248E7,3.0002675E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04443820680148308,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0004211E7,1357.14148120231,3.0005248E7,3.0002675E7,-1,-1,0,normal
10.152.152.11-193.182.7.21-56731-4070-6,10.152.152.11,56731,193.182.7.21,4070,6,2016-02-24 16:23:44.548711,67660002,11,11,932.0,466.0,797.0,0.0,84.72727272727273,237.2724555902311,395.0,0.0,42.36363636363637,117.25892096320239,20.662133589650203,0.32515517809177713,3221904.8571428573,1.182799400324682E7,5.4619264E7,18.0,6.7660002E7,6766000.199999999,1.685972385978943E7,5.4619359E7,152597.0,6.7659641E7,6765964.100000001,1.685976847129136E7,5.4619373E7,152689.0,5,6,0,0,0,0,220,220,0.16257758904588857,0.16257758904588857,0.0,797.0,63.54545454545455,183.91890740803268,33826.1645021645,0,0,0,11,22,0,0,0,1.0,63.54545454545455,84.72727272727273,42.36363636363637,0,0,0,0,0,0,0,42,0,21,28215,3580,4,20,1.3040643E7,0.0,1.3040643E7,1.3040643E7,5.4619264E7,0.0,5.4619264E7,5.4619264E7,-1,-1,441832580,normal
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 16:25:36.324937,90005363,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.955439033116282,0.04444179620718823,3.0001787666666668E7,217.73914056350395,3.0001949E7,3.000154E7,9.0005363E7,3.0001787666666668E7,217.73914056350395,3.0001949E7,3.000154E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04444179620718823,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0001787666666668E7,217.73914056350395,3.0001949E7,3.000154E7,-1,-1,0,normal
10.152.152.11-193.182.7.21-56731-4070-6,10.152.152.11,56731,193.182.7.21,4070,6,2016-02-24 16:25:52.261,115811128,355,861,1388.0,1052174.0,790.0,0.0,3.909859154929578,44.12300204317632,1460.0,0.0,1222.037166085947,407.002738135303,9097.24322864725,10.499854556290998,95317.8008230453,1193856.7103314255,2.9040262E7,1.0,1.15811128E8,327150.0790960453,2196749.7164149187,2.9040304E7,19.0,1.15810493E8,134663.36395348818,1417435.9583794472,2.9040305E7,2.0,13,290,0,0,0,0,7100,17220,3.0653358285224543,7.434518727768544,0.0,1460.0,866.4161184210524,651.7638615554677,424796.1312296948,0,0,0,303,1216,0,0,0,2.425352112676056,866.4161184210526,3.9098591549295776,1222.0371660859466,0,0,0,525491,418,233952,0,1,0,865,28215,3580,12,20,7877867.5,7760737.832646864,1.859627E7,463203.0,1.921332625E7,7260001.207047483,2.9040262E7,1.2023346E7,-1,-1,617695995,normal
