Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.8.8.138-104.156.81.217-35198-443-6,10.8.8.138,35198,104.156.81.217,443,6,2015-05-24 17:48:28.972814,90714409,15,15,7718.0,3490.0,1061.0,0.0,514.5333333333334,447.6929538784153,698.0,0.0,232.66666666666669,340.58912545903803,123.55258799073474,0.33070821196663475,3128083.0689655175,9193179.774003403,2.9815509E7,19.0,9.0714409E7,6479600.642857144,1.2596172839766508E7,2.9815509E7,71.0,9.0581711E7,6470122.214285715,1.2680856473714914E7,2.9957475E7,49.0,10,5,0,0,0,0,480,480,0.16535410598331737,0.16535410598331737,0.0,1061.0,373.6,416.3008361832781,173306.38620689654,0,0,0,15,30,0,0,0,1.0,373.6,514.5333333333333,232.66666666666666,0,0,0,0,0,0,0,257,0,116,501,83,9,32,357080.0,170418.83439338504,553860.0,257794.0,2.9720066E7,161924.00862441616,2.9815509E7,2.9533106E7,-1,-1,90714409,0
10.8.8.138-209.148.205.35-42010-443-6,10.8.8.138,42010,209.148.205.35,443,6,2015-05-24 17:48:29.476248,119862437,2914,11085,1067.0,1.4386465E7,774.0,0.0,0.3661633493479759,15.050553371291596,1308.0,0.0,1297.8317546233745,87.66012683503843,120033.70163414915,116.7922190669292,8562.825903700552,33033.31115450004,513207.0,0.0,1.19862437E8,41147.42087195329,77294.98052323917,513207.0,11.0,1.19616753E8,10791.839859256594,48876.852405295685,703526.0,6.0,3,174,0,0,0,0,127056,354728,24.311202683122488,92.48101638380672,0.0,1308.0,1027.7542681620153,532.5654850863941,283625.9959053063,0,2,0,177,13998,0,0,0,3.8040494166094714,1027.7542681620116,0.3661633493479753,1297.831754623365,0,0,0,14386325,11081,120710,0,0,0,1027,29200,535,3,32,0,0,0,0,0,0,0,0,-1,-1,119862437,0
10.8.8.138-255.255.255.255-17500-17500-17,10.8.8.138,17500,255.255.255.255,17500,17,2015-05-24 17:48:29.327181,90235661,4,0,920.0,0.0,230.0,230.0,230.0,0.0,0,0,0,0,10.19552569133394,0.044328372571017134,3.0078553666666668E7,4584.923154572313,3.0082585E7,3.0073566E7,9.0235661E7,3.0078553666666668E7,4584.923154572313,3.0082585E7,3.0073566E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.044328372571017134,0.0,230.0,230.0,230.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,230.0,230.0,0.0,0,0,0,0,0,0,1,230,0,0,0,0,3,8,0,0,0,0,3.0078553666666668E7,4584.923154572313,3.0082585E7,3.0073566E7,-1,-1,0,0
10.8.8.138-172.230.99.79-50673-443-6,10.8.8.138,50673,172.230.99.79,443,6,2015-05-24 17:48:29.009538,106351343,15,8,7267.0,2499.0,1045.0,0.0,484.46666666666664,536.2262138136781,357.0,0.0,312.375,126.21856044179873,91.82770733793178,0.21626431177272487,4834151.954545455,1.0011357556576772E7,4.5009943E7,31.0,1.06141094E8,7581506.714285715,1.1813089049353652E7,4.5009943E7,212169.0,1.06139219E8,1.516274557142857E7,1.3258187639959127E7,4.5220223E7,9992004.0,7,7,0,0,0,0,480,256,0.14104194246047275,0.07522236931225212,0.0,1045.0,424.6086956521739,441.66901831476747,195071.5217391304,0,0,0,14,23,0,0,0,0.5333333333333333,424.60869565217394,484.46666666666664,312.375,0,0,0,0,0,0,0,315,0,108,585,1320,6,32,219179.42857142858,13875.944566733022,250088.0,212169.0,1.4943834E7,1.3261992745089378E7,4.5009943E7,9779102.0,-1,-1,106351343,0
108.160.163.107-10.8.8.138-443-36320-6,108.160.163.107,443,10.8.8.138,36320,6,2015-05-24 17:48:33.548451,79778656,6,3,831.0,1758.0,277.0,0.0,138.5,151.71914842893102,586.0,586.0,586.0,0.0,32.45228899318635,0.1128121285974033,9972332.0,1.8213288194875766E7,4.0121459E7,2467.0,7.9778656E7,1.59557312E7,2.1475126218618803E7,4.0121459E7,274044.0,7.9504035E7,3.97520175E7,909911.36999188,4.0395422E7,3.9108613E7,3,3,0,0,0,0,192,96,0.0752080857316022,0.0376040428658011,0.0,586.0,287.6666666666667,253.87152262512626,64450.75,0,0,0,6,9,0,0,0,0.5,287.6666666666667,138.5,586.0,0,0,0,0,0,0,0,92,0,195,83,1444,2,32,276303.0,3194.708437400822,278562.0,274044.0,3.9475227E7,913910.0588394899,4.0121459E7,3.8828995E7,-1,-1,79778656,0
10.8.8.138-173.194.204.188-55375-5228-6,10.8.8.138,55375,173.194.204.188,5228,6,2015-05-24 17:48:39.054605,90663410,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06617884767405065,1.8132682E7,2.4524761876357015E7,4.4998415E7,215317.0,9.0448093E7,4.52240465E7,11339.871449888662,4.5232065E7,4.5216028E7,9.042976E7,4.521488E7,2199.1020894901626,4.5216435E7,4.5213325E7,0,0,0,0,0,0,96,96,0.033089423837025324,0.033089423837025324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,440,358,0,32,225835.0,11052.078989945738,233650.0,218020.0,4.49982115E7,287.79245994292484,4.4998415E7,4.4998008E7,-1,-1,90663410,0
10.8.8.138-192.0.80.241-38332-443-6,10.8.8.138,38332,192.0.80.241,443,6,2015-05-24 17:48:58.414695,90779445,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06609425735087938,1.8155889E7,2.4503872152952276E7,4.4999768E7,259470.0,9.0519975E7,4.52599875E7,12.020815280171307,4.5259996E7,4.5259979E7,9.0519234E7,4.5259617E7,4020.609157826709,4.526246E7,4.5256774E7,0,0,0,0,0,0,96,96,0.03304712867543969,0.03304712867543969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,865,79,0,32,261451.5,1754.3319241238244,262692.0,260211.0,4.4998536E7,1742.311108843653,4.4999768E7,4.4997304E7,-1,-1,90779445,0
10.8.8.138-192.0.77.2-48309-443-6,10.8.8.138,48309,192.0.77.2,443,6,2015-05-24 17:48:58.286696,90395772,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06637478575878528,1.80791544E7,2.4574311156540792E7,4.4999457E7,131808.0,9.0263964E7,4.5131982E7,38.18376618407357,4.5132009E7,4.5131955E7,9.0263274E7,4.5131637E7,1921.9162312650362,4.5132996E7,4.5130278E7,0,0,0,0,0,0,60,60,0.03318739287939264,0.03318739287939264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,688,89,0,20,133018.5,736.098159215196,133539.0,132498.0,4.49989635E7,697.9143930311224,4.4999457E7,4.499847E7,-1,-1,90395772,0
10.8.8.138-74.125.226.35-54653-443-6,10.8.8.138,54653,74.125.226.35,443,6,2015-05-24 17:49:03.854650,90613258,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662154758854383,1.81226516E7,2.4535139676104125E7,4.4999865E7,204143.0,9.0408061E7,4.52040305E7,31.81980515339464,4.5204053E7,4.5204008E7,9.0409115E7,4.52045575E7,176.06958851545033,4.5204682E7,4.5204433E7,0,0,0,0,0,0,96,96,0.03310773794271915,0.03310773794271915,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,441,538,0,32,204480.0,476.589970519733,204817.0,204143.0,4.49995505E7,444.7701653663384,4.4999865E7,4.4999236E7,-1,-1,90613258,0
10.8.8.138-131.202.244.3-0-0-1,10.8.8.138,0,131.202.244.3,0,1,2015-05-24 17:48:29.480732,30693120,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0651611827015305,3.069312E7,0.0,3.069312E7,3.069312E7,3.069312E7,3.069312E7,0.0,3.069312E7,3.069312E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651611827015305,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.069312E7,0.0,3.069312E7,3.069312E7,3,3,0,0
