Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.152.152.11-75.101.155.12-41062-22-6,10.152.152.11,41062,75.101.155.12,22,6,2015-07-17 15:03:58.175915,119985743,12332,2982,1.7061979E7,302590.0,1460.0,0.0,1383.5532760298406,314.3951093933388,1460.0,0.0,101.472166331321,192.49534007595585,144721.93583866043,127.6318303917158,7835.547769868729,30397.552556350627,724529.0,0.0,1.19985743E8,9730.41464601413,36525.82166888371,724993.0,0.0,1.19985201E8,40249.98356256277,61332.06064633385,724529.0,5.0,686,846,0,0,0,0,246652,59652,102.77887765382259,24.8529527378932,0.0,1460.0,1133.9015933133126,587.0040083219261,344573.70578600786,0,2,0,1532,15313,0,0,0,0.24180992539734025,1133.901593313308,1383.553276029841,101.47216633132126,32279,22,365455,1801,4,10098,0,1114,0,19,14600,287,11939,20,0,0,0,0,0,0,0,0,-1,-1,119985743,0
10.152.152.11-75.101.155.12-34811-22-6,10.152.152.11,34811,75.101.155.12,22,6,2015-07-17 15:04:43.849506,119989791,7432,1970,9871795.0,174246.0,1460.0,0.0,1328.282427341228,398.81505692226693,1254.0,0.0,88.44974619289341,172.01011805558346,83724.13116379209,78.3566661933764,12763.513562386981,71509.75381856337,1727008.0,0.0,1.19989791E8,16147.192975373478,82400.24504928757,1727705.0,9.0,1.19988976E8,60939.0431691213,148276.68885561347,1727008.0,4.0,607,572,0,0,0,0,148652,39412,61.93860275996314,16.418063433413266,0.0,1460.0,1068.500425441395,621.7290700445692,386547.03653848486,0,2,0,1179,9401,0,0,0,0.26506996770721203,1068.5004254413955,1328.282427341227,88.4497461928934,37200,26,431045,1014,4,3617,0,1049,0,18,14600,1097,7063,20,0,0,0,0,0,0,0,0,-1,-1,119989791,0
10.152.152.11-75.101.155.12-41062-22-6,10.152.152.11,41062,75.101.155.12,22,6,2015-07-17 15:05:58.180015,119989638,8388,2075,1.132084E7,204420.0,1460.0,0.0,1349.6471149260854,379.16138904643776,756.0,0.0,98.51566265060228,176.6883022250882,96052.12743453731,87.19919631726866,11469.091760657597,43073.14326320077,879801.0,7.0,1.19989439E8,14306.598187671412,50959.14648747968,880235.0,10.0,1.19989542E8,57854.16682738661,84806.37980134667,880255.0,29.0,397,654,0,0,0,0,167760,41500,69.90603638624195,17.29315993102671,0.0,1460.0,1101.5253751314092,608.5482207774204,370330.937011364,0,0,0,1051,10463,0,0,0,0.24737720553171197,1101.5253751314156,1349.647114926085,98.51566265060241,37535,25,552506,1288,4,5777,0,1081,0,19,0,239,7838,0,0,0,0,0,0,0,0,0,-1,-1,239993738,0
10.152.152.11-75.101.155.12-34811-22-6,10.152.152.11,34811,75.101.155.12,22,6,2015-07-17 15:06:43.877443,119939238,8118,2135,1.1046776E7,199548.0,1460.0,0.0,1360.7755604828747,358.2196840027738,918.0,0.0,93.46510538641698,175.5493628466177,93766.8455088901,85.48495197209773,11699.106320717885,43115.5388859495,895459.0,5.0,1.19938648E8,14776.228655907324,51736.28951835081,896001.0,10.0,1.19939238E8,56203.954076850874,83566.80928995466,895941.0,50.0,387,663,0,0,0,0,162360,42700,67.68427193109231,17.800680041005428,0.0,1460.0,1096.8813030332537,610.6018167939247,372834.5786720416,0,0,0,1050,10253,0,0,0,0.2629958117762996,1096.8813030332585,1360.7755604828776,93.46510538641687,36547,25,389061,676,4,2057,0,1077,0,19,0,0,7649,0,0,0,0,0,0,0,0,0,-1,-1,239967175,0
10.152.152.11-75.101.155.12-59118-22-6,10.152.152.11,59118,75.101.155.12,22,6,2015-07-17 15:03:14.169853,9226322,41,54,2723.0,2934.0,512.0,0.0,66.41463414634148,89.21125926971216,498.0,0.0,54.333333333333336,104.37215706217498,613.1370658860595,10.296627410142417,98152.36170212767,304727.9712189941,2737256.0,11.0,9226322.0,230658.05000000002,438270.0033172942,2737256.0,82.0,9189002.0,173377.39622641512,391304.9749641645,2737599.0,11.0,31,22,0,0,0,0,832,1092,4.443807619114096,5.852819791028321,0.0,512.0,59.54736842105263,97.80057525187091,9564.952519596864,0,2,0,53,94,0,0,0,1.3170731707317074,59.54736842105263,66.41463414634147,54.333333333333336,0,0,0,0,0,0,0,28,0,30,14600,1181,31,20,0,0,0,0,0,0,0,0,-1,-1,9226322,0
10.152.152.11-75.101.155.12-41062-22-6,10.152.152.11,41062,75.101.155.12,22,6,2015-07-17 15:07:58.189565,119976092,8137,2039,1.099234E7,199096.0,1460.0,0.0,1350.908197124248,375.9934380284044,834.0,0.0,97.64394310936747,175.45767085083824,93280.55126182974,84.81689835338194,11791.262113022107,44098.41244296415,822593.0,0.0,1.19936132E8,14741.412487708954,52246.93613689377,823181.0,0.0,1.19976092E8,58869.525024533905,86619.05489853301,822593.0,66.0,408,645,0,0,0,0,162740,40780,67.8218457057261,16.995052647655836,0.0,1460.0,1099.7873427672966,609.0084333753781,370891.27192233235,0,0,0,1053,10176,0,0,0,0.2505837532260047,1099.7873427672955,1350.9081971242472,97.64394310936734,35355,24,431863,1036,4,4185,0,1080,0,19,0,35,7622,0,0,0,0,0,0,0,0,0,-1,-1,359989742,0
10.152.152.11-75.101.155.12-34811-22-6,10.152.152.11,34811,75.101.155.12,22,6,2015-07-17 15:08:44.036142,119985871,8414,2285,1.143618E7,206824.0,1460.0,0.0,1359.1846921797012,359.9310404171073,950.0,0.0,90.51378555798684,168.29169595701634,97036.45856769252,89.16883222025366,11215.729201719909,37349.66499977802,463582.0,0.0,1.19985871E8,14261.960180672793,46109.73011669385,463967.0,0.0,1.19985318E8,52532.97635726797,70249.39407855539,464097.0,17.0,411,709,0,0,0,0,168292,45700,70.12492329200994,19.043908928243727,0.0,1460.0,1088.232918964395,615.048995092554,378285.2663643606,0,0,0,1120,10699,0,0,0,0.2715711908723556,1088.2329189643892,1359.1846921797005,90.51378555798686,34195,23,343929,1515,4,10058,0,1068,0,19,64806,0,7924,20,0,0,0,0,0,0,0,0,-1,-1,360172507,0
10.152.152.11-75.101.155.12-41062-22-6,10.152.152.11,41062,75.101.155.12,22,6,2015-07-17 15:09:58.251183,119893646,8924,2238,1.2110828E7,219088.0,1460.0,0.0,1357.107575078444,366.0883960779191,924.0,0.0,97.89454870420016,182.3310825223576,102840.44577308124,93.09917891728807,10742.195681390556,37628.158528247615,648586.0,6.0,1.19820013E8,13428.220665695382,45521.92291291977,649024.0,10.0,1.19893646E8,53595.729101475095,73222.1245214432,648586.0,80.0,425,698,0,0,0,0,178480,44760,74.4326350705858,18.666543846702268,0.0,1460.0,1104.6332198530747,606.6371382823652,368008.6175434175,0,0,0,1123,11162,0,0,0,0.2507844016136262,1104.633219853073,1357.10757507844,97.89454870420018,32987,22,331160,1347,4,5673,0,1085,0,19,0,0,8386,0,0,0,0,0,0,0,0,0,-1,-1,479968914,0
10.152.152.11-75.101.155.12-34811-22-6,10.152.152.11,34811,75.101.155.12,22,6,2015-07-17 15:10:44.482127,119969905,9067,2412,1.2381844E7,222448.0,1460.0,0.0,1365.59435314878,349.919955555135,1260.0,0.0,92.22553897180771,171.24896231893777,105062.11536968376,95.68232966426038,10452.161090782329,36227.14791096248,463618.0,0.0,1.19969877E8,13232.944738583714,44379.62535858887,499987.0,0.0,1.19969463E8,49759.2131895479,69067.74825230776,464084.0,30.0,395,751,0,0,0,0,181340,48240,75.5772874872244,20.105042177035983,0.0,1460.0,1098.0304904608388,609.9295456421029,372014.05064718204,0,0,0,1146,11479,0,0,0,0.26601963163119,1098.0304904608415,1365.5943531487812,92.22553897180762,34690,23,338511,1010,4,5330,0,1078,0,19,0,1027,8555,0,0,0,0,0,0,0,0,0,-1,-1,480602526,0
10.152.152.11-75.101.155.12-41062-22-6,10.152.152.11,41062,75.101.155.12,22,6,2015-07-17 15:11:58.368148,119720482,8621,2099,1.16654E7,210688.0,1460.0,0.0,1353.1376870432664,373.5308585241346,930.0,0.0,100.37541686517393,183.05639445733883,99198.46463698667,89.54190478451298,11168.997294523735,42435.921554936554,835338.0,8.0,1.19719997E8,13888.630742459403,50053.42366629314,835802.0,10.0,1.19719994E8,57063.867492850324,84814.10539657221,835338.0,76.0,411,655,0,0,0,0,172420,41980,72.00939936075433,17.53250542375865,0.0,1460.0,1107.8440298507437,604.9056551939293,365910.8516855969,0,0,0,1066,10720,0,0,0,0.2434752348915439,1107.8440298507462,1353.1376870432664,100.37541686517389,37591,25,443499,1232,4,4011,0,1088,0,19,64806,0,8079,20,0,0,0,0,0,0,0,0,-1,-1,599912715,0
