Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-27 08:21:51.744489,119957318,235,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9590301276992539,512638.11111111095,906522.1662561379,6413660.0,0.0,1.19957318E8,512638.11111111095,906522.1662561379,6413660.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9590301276992539,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9688719666666664E7,1.956773880637181E7,4.2518413E7,7166557.0,5779597.333333333,636944.2946454056,6413660.0,5139810.0,-1,-1,0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-27 08:21:54.714551,82037943,4,0,1188.0,0.0,298.0,296.0,297.0,1.154700538379246,0,0,0,0,14.481104188582593,0.04875792656088415,2.7345981E7,1.7132041894256387E7,4.7128297E7,1.7411931E7,8.2037943E7,2.7345981E7,1.7132041894256387E7,4.7128297E7,1.7411931E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04875792656088415,0.0,296.0,298.0,297.0,1.154700538379246,1.3333333333333206,0,0,0,0,0,0,0,0,0.0,297.0,297.0,0.0,0,0,0,0,0,0,1,297,0,0,0,0,3,8,0,0,0,0,2.7345981E7,1.7132041894256387E7,4.7128297E7,1.7411931E7,-1,-1,0,NeedManualLabel
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-27 08:22:08.339914,109621915,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1824452710938319,5769574.473684211,1.1048702971242335E7,3.8925512E7,532.0,1.09621915E8,5769574.473684211,1.1048702971242335E7,3.8925512E7,532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1824452710938319,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7859927.0,267939.72995433136,8049389.0,7670465.0,3.6811093E7,2990240.0263393573,3.8925512E7,3.4696674E7,3,3,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-27 08:23:52.306994,119075346,258,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.1666953627831576,463328.1945525294,868867.369039403,6131296.0,0.0,1.19075346E8,463328.1945525294,868867.369039403,6131296.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1666953627831576,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5051413333333332E7,1.5722905690115627E7,4.0108943E7,8738409.0,5600882.0,560057.3750813393,6131296.0,5015269.0,-1,-1,0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-27 08:24:03.312761,113736210,6,0,1818.0,0.0,328.0,296.0,303.0,12.441864811996632,0,0,0,0,15.98435537811573,0.052753648112593164,2.2747242E7,1.755957059963485E7,4.6542073E7,1143.0,1.1373621E8,2.2747242E7,1.755957059963485E7,4.6542073E7,1143.0,0,0,0,0,0,0,0,0,0,0,0,48,0,0.052753648112593164,0.0,296.0,328.0,303.0,12.441864811996632,154.8,0,0,0,0,0,0,0,0,0.0,303.0,303.0,0.0,0,0,0,0,0,0,1,303,0,0,0,0,5,8,0,0,0,0,2.843376675E7,1.3983595197313538E7,4.6542073E7,1.6689052E7,-1,-1,0,NeedManualLabel
192.168.10.103-192.168.10.1-64659-53-6,192.168.10.103,64659,192.168.10.1,53,6,2022-07-27 08:26:27.683273,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,15,NeedManualLabel
192.168.10.103-192.168.10.1-64659-53-6,192.168.10.103,64659,192.168.10.1,53,6,2022-07-27 08:26:28.193086,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,7,NeedManualLabel
192.168.10.103-192.168.10.1-64659-53-6,192.168.10.103,64659,192.168.10.1,53,6,2022-07-27 08:26:28.853576,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,8,NeedManualLabel
192.168.10.103-192.168.10.1-64659-53-6,192.168.10.103,64659,192.168.10.1,53,6,2022-07-27 08:26:29.364902,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,7,NeedManualLabel
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-27 08:24:21.268782,112539000,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12440131865397773,8656846.153846154,1.6092957688332686E7,4.6891924E7,1013561.0,1.12539E8,8656846.153846154,1.6092957688332686E7,4.6891924E7,1013561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12440131865397773,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7473369.5,814425.084474011,8049255.0,6897484.0,4.47714915E7,2998744.399596688,4.6891924E7,4.2651059E7,3,3,0,NeedManualLabel
