Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-26 16:47:29.638664,116766056,277,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.372264761601608,423065.4202898553,747563.7101148022,6268394.0,0.0,1.16766056E8,423065.4202898553,747563.7101148022,6268394.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.372264761601608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.9200941E7,5.0936059387751795E7,8.5218174E7,1.3183708E7,5661107.0,858833.5116528698,6268394.0,5053820.0,-1,-1,0,0
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-26 16:47:38.812767,117387266,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12778217357920238,8384804.714285714,1.6242017848046938E7,4.7002503E7,1013334.0,1.17387266E8,8384804.714285714,1.6242017848046938E7,4.7002503E7,1013334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12778217357920238,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8048992.0,11.313708498984761,8049000.0,8048984.0,4.66201875E7,540675.765205451,4.7002503E7,4.6237872E7,3,3,0,0
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-26 16:47:39.184064,107221311,7,0,2094.0,0.0,306.0,296.0,299.14285714285717,3.4364987719369013,0,0,0,0,19.529699650846464,0.06528552891877996,1.78702185E7,1.9777781701557927E7,4.3513756E7,507.0,1.07221311E8,1.78702185E7,1.9777781701557927E7,4.3513756E7,507.0,0,0,0,0,0,0,0,0,0,0,0,56,0,0.06528552891877996,0.0,296.0,306.0,299.14285714285717,3.4364987719369013,11.80952380952383,0,0,0,0,0,0,0,0,0.0,299.14285714285717,299.14285714285717,0.0,0,0,0,0,0,0,1,299,0,0,0,0,6,8,2021198.5,2857689.324672033,4041890.0,507.0,2.57947285E7,1.9950459911280684E7,4.3513756E7,5065281.0,-1,-1,0,0
192.168.10.1-192.168.10.101-0-0-1,192.168.10.1,0,192.168.10.101,0,1,2022-07-26 16:48:34.001068,110542449,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.28043525614309484,3684748.2999999993,9417228.383073004,4.8390787E7,0.0,1.10542449E8,3684748.2999999993,9417228.383073004,4.8390787E7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28043525614309484,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.55073455E7,1.0547707501099966E7,2.2965701E7,8048990.0,3.57394255E7,1.7891727015784822E7,4.8390787E7,2.3088064E7,3,3,0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-26 16:49:32.200489,119610361,267,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.232248090949245,449663.01127819554,786684.7603491384,6004678.0,0.0,1.19610361E8,449663.01127819554,786684.7603491384,6004678.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.232248090949245,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5594794E7,0.0,8.5594794E7,8.5594794E7,6004678.0,0.0,6004678.0,6004678.0,-1,-1,0,0
192.168.10.101-192.168.10.255-138-138-17,192.168.10.101,138,192.168.10.255,138,17,2022-07-26 16:48:37.236306,58701648,2,0,402.0,0.0,201.0,201.0,201.0,0.0,0,0,0,0,6.8481893387388375,0.03407059372506884,5.8701648E7,0.0,5.8701648E7,5.8701648E7,5.8701648E7,5.8701648E7,0.0,5.8701648E7,5.8701648E7,0,0,0,0,0,0,0,0,0,0,0,16,0,0.03407059372506884,0.0,201.0,201.0,201.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,201.0,201.0,0.0,0,0,0,0,0,0,1,201,0,0,0,0,1,8,0,0,0,0,5.8701648E7,0.0,5.8701648E7,5.8701648E7,-1,-1,0,0
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-26 16:49:48.609631,106622746,4,0,1188.0,0.0,298.0,296.0,297.0,1.154700538379246,0,0,0,0,11.142087824299704,0.03751544721986432,3.5540915333333336E7,1.174655328621372E7,4.3000757E7,2.2000562E7,1.06622746E8,3.5540915333333336E7,1.174655328621372E7,4.3000757E7,2.2000562E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.03751544721986432,0.0,296.0,298.0,297.0,1.154700538379246,1.3333333333333206,0,0,0,0,0,0,0,0,0.0,297.0,297.0,0.0,0,0,0,0,0,0,1,297,0,0,0,0,3,8,0,0,0,0,3.5540915333333336E7,1.174655328621372E7,4.3000757E7,2.2000562E7,-1,-1,0,0
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-26 16:49:41.722913,95578951,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1569383200282246,6827067.928571427,1.2772898492327612E7,4.4537544E7,1013403.0,9.5578951E7,6827067.928571427,1.2772898492327612E7,4.4537544E7,1013403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1569383200282246,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8049003.0,179.60512242138307,8049130.0,8048876.0,3.5715941E7,1.2475630604471182E7,4.4537544E7,2.6894338E7,3,3,0,0
192.168.10.1-192.168.10.101-0-0-1,192.168.10.1,0,192.168.10.101,0,1,2022-07-26 16:51:00.470279,108324113,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13847332403266482,7737436.642857142,1.4755837651210234E7,4.7532883E7,1013418.0,1.08324113E8,7737436.642857142,1.4755837651210234E7,4.7532883E7,1013418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13847332403266482,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8049011.5,130.8147545195113,8049104.0,8048919.0,4.2088511E7,7699504.721004332,4.7532883E7,3.6644139E7,3,3,0,0
192.168.10.1-192.168.10.101-67-68-17,192.168.10.1,67,192.168.10.101,68,17,2022-07-26 16:48:26.740382,5065236,3,0,900.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,177.68175066275293,0.5922725022091765,2532618.0,3580998.0435359078,5064766.0,470.0,5065236.0,2532618.0,3580998.0435359078,5064766.0,470.0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.5922725022091765,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,300.0,300.0,0.0,0,0,0,0,0,0,1,300,0,0,0,0,2,8,0,0,0,0,5064766.0,0.0,5064766.0,5064766.0,-1,-1,0,0
