Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:37:53.416796,119771304,1771,1360,1142484.0,469461.0,1460.0,0.0,645.1067193675887,644.7753398564713,1420.0,0.0,345.1919117647064,509.2198052796628,13458.524255526181,26.141487112806253,38265.59233226837,604869.9597154795,2.6766842E7,0.0,1.19771228E8,67667.3604519774,803415.1545917899,2.6767225E7,22.0,1.19771029E8,88131.7358351729,916254.6076619477,2.6766842E7,0.0,846,500,0,0,0,0,35420,27200,14.786513470705804,11.354973642100449,0.0,1460.0,514.8339188757604,608.103135074537,369789.4228874806,0,0,0,1346,3131,0,0,0,0.7679277244494636,514.8339188757585,645.1067193675889,345.1919117647059,3960,5,53524,4620,4,17055,0,364,0,149,65535,65535,1493,20,1.360239525E7,2.5835946082423497E7,5.2328378E7,108.0,1.516946425E7,8499205.566525865,2.6766842E7,7677484.0,-1,-1,119771304,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:39:53.465304,119967807,4989,3555,3353445.0,1236148.0,1460.0,0.0,672.1677690920037,671.3701750182416,1420.0,0.0,347.7209563994371,517.4027849414339,38256.87169558747,71.21910630574418,14042.819501346103,32299.35281348803,1102254.0,0.0,1.19967353E8,24051.19346431429,41599.89372813547,1105499.0,27.0,1.19967807E8,33755.71384355657,44756.06506858992,1102254.0,0.0,2237,1289,0,0,0,0,99780,71100,41.586156526142055,29.632949779602125,0.0,1460.0,537.171465355805,632.5499498457758,400119.4390498935,0,0,0,3526,8544,0,0,0,0.7125676488274203,537.1714653558053,672.1677690920025,347.7209563994374,3843,4,52988,6818,6,16689,0,392,0,144,0,65535,4312,0,0,0,0,0,0,0,0,0,-1,-1,240016315,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:41:53.483818,119991844,5220,3743,3528079.0,1300654.0,1460.0,0.0,675.8772030651357,672.1343599836997,1420.0,0.0,347.4897141330496,518.9632187180003,40242.17679328271,74.69674355533698,13388.958268243681,25146.76505098076,548662.0,12.0,1.19987703E8,22990.554320751085,31853.276839072798,549080.0,25.0,1.19991548E8,32066.15392838053,32459.572985554332,548662.0,13.0,2339,1364,0,0,0,0,104400,74860,43.50295675096051,31.193786804376472,0.0,1460.0,538.7407118152415,633.8515083141183,401767.7345920828,0,0,0,3703,8963,0,0,0,0.7170498084291188,538.7407118152404,675.8772030651342,347.4897141330484,3872,4,50991,6587,6,14416,0,393,0,145,65535,65535,4523,20,0,0,0,0,0,0,0,0,-1,-1,360058866,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:43:53.514698,119977799,4858,3491,3256441.0,1205426.0,1460.0,0.0,670.325442568959,671.3784989376426,1420.0,0.0,345.2953308507605,514.0293566683474,37189.10529438867,69.58787433665123,14372.041087685624,33542.616005390446,839772.0,1.0,1.19977321E8,24701.93967469627,43331.78846712112,840810.0,27.0,1.19964776E8,34373.86131805165,46437.44027219611,839772.0,8.0,2171,1292,0,0,0,0,97160,69820,40.49082447328443,29.097049863366802,0.0,1460.0,534.4193316564863,631.2073575211007,398422.72818877065,0,0,0,3463,8349,0,0,0,0.7186084808563195,534.4193316564858,670.3254425689585,345.2953308507591,3876,4,52492,5320,6,11326,0,390,0,144,65535,65535,4183,20,0,0,0,0,0,0,0,0,-1,-1,480075701,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:45:53.515421,119973783,4502,3270,2998080.0,1130987.0,1460.0,0.0,665.9440248778324,670.2846374487433,1420.0,0.0,345.8675840978583,510.42759732294604,34416.41079201445,64.78081965624106,15438.654355938745,34684.19230914358,757601.0,10.0,1.19969959E8,26654.067762719438,44857.99657729893,757819.0,25.0,1.19973783E8,36700.45365555217,47685.685054917056,758512.0,10.0,2000,1242,0,0,0,0,90040,65400,37.52486491152821,27.255954744712852,0.0,1460.0,531.2747040658769,628.3285459173171,394796.7616145701,0,0,0,3242,7772,0,0,0,0.7263438471790316,531.2747040658775,665.944024877832,345.8675840978593,3807,4,53025,6294,6,12035,0,385,0,145,0,65535,3845,0,0,0,0,0,0,0,0,0,-1,-1,600072408,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:47:53.526487,119986783,5033,3627,3385532.0,1240490.0,1460.0,0.0,672.6667991257681,669.2228381629455,1420.0,0.0,342.0154397573759,514.7968639414298,38554.42978248696,72.17461609917486,13856.886822958753,28294.028564651442,657511.0,0.0,1.19964999E8,23840.421104928526,36647.1430966593,694039.0,27.0,1.19977135E8,33088.01296194147,38043.1270707606,657511.0,14.0,2280,1301,0,0,0,0,100660,72540,41.94628670059435,30.22832939858051,0.0,1460.0,534.1826789838326,630.7583323240859,397856.073796262,0,0,0,3581,8660,0,0,0,0.7206437512418041,534.1826789838337,672.6667991257699,342.01543975737525,3952,5,51674,6842,7,12822,0,390,0,143,65535,65535,4362,20,0,0,0,0,0,0,0,0,-1,-1,720096474,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:49:53.550695,119983886,5408,3860,3665958.0,1302949.0,1460.0,0.0,677.8768491124224,672.4320431055203,1420.0,0.0,337.55155440414535,512.7489028284905,41413.11942505346,77.24370587563733,12947.435631811763,23333.925453482472,810882.0,0.0,1.1996404E8,22186.802293323508,29417.95439300959,811318.0,27.0,1.19964705E8,31086.992744234263,29484.871355495652,811396.0,13.0,2432,1396,0,0,0,0,108160,77200,45.07271918164078,32.17098669399656,0.0,1460.0,536.1358437634887,633.6063401496519,401456.9942778364,0,0,0,3828,9268,0,0,0,0.7137573964497042,536.1358437634873,677.876849112426,337.55155440414507,3864,4,51765,4906,5,13484,0,395,0,140,65535,65535,4707,20,0,0,0,0,0,0,0,0,-1,-1,840117785,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:51:53.574745,119883650,1589,1180,1033626.0,417538.0,1460.0,0.0,650.4883574575209,664.8454854650123,1420.0,0.0,353.84576271186427,514.3918252628171,12104.769916498204,23.097394849089095,43310.56719653177,473290.7434739589,1.3235859E7,11.0,1.1988365E8,75493.48236775819,623234.8530666538,1.3235859E7,28.0,1.19866976E8,101668.34266327399,722051.6142105464,1.3236048E7,44.0,708,464,0,0,0,0,31780,23600,13.254518026436465,9.84287682265263,0.0,1460.0,524.0751173708928,622.7491104894959,387816.4546154584,0,0,0,1172,2769,0,0,0,0.7426054122089364,524.075117370892,650.4883574575205,353.8457627118644,3895,4,53853,3927,4,7510,0,373,0,150,65535,65535,1334,20,1.0517553666666668E7,1.5718867828091813E7,4.1956062E7,822731.0,9353223.333333334,2926119.8133750204,1.3235859E7,5529283.0,-1,-1,960041599,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:53:53.910593,118905838,16,22,5973.0,5973.0,543.0,0.0,373.3125,259.9414597558458,543.0,0.0,271.4999999999999,277.8891094355033,100.46605112862498,0.3195806079765402,3213671.2972972975,7921372.255983657,2.8808462E7,38.0,1.18905661E8,7927044.066666666,1.101566393967606E7,2.8810139E7,953.0,1.18905673E8,5662174.904761905,9920588.097680904,2.8808462E7,1037.0,11,11,0,0,0,0,320,440,0.1345602559901222,0.18502035198641803,0.0,543.0,314.36842105263145,271.69303237419024,73817.10384068279,0,0,0,22,38,0,0,0,1.375,314.36842105263156,373.3125,271.5,0,0,0,0,0,0,0,157,0,157,65535,65535,10,20,1035461.0,405114.5424385553,1316270.0,296602.0,1.8782149166666664E7,1.0173430008735174E7,2.8808462E7,5610420.0,-1,-1,1079399635,0
10.0.2.15-195.154.107.23-36629-443-6,10.0.2.15,36629,195.154.107.23,443,6,2016-02-25 15:55:55.411514,119139845,44,53,17289.0,14118.0,1057.0,0.0,392.93181818181824,313.4364219294978,1086.0,0.0,266.37735849056605,312.7039166328168,263.61457831340977,0.8141692646989763,1241040.0520833328,5355641.799751614,2.8683173E7,21.0,1.19100882E8,2769787.953488372,7781661.759356927,2.8684859E7,111.0,1.19101895E8,2290421.0576923075,7140588.967711911,2.8683173E7,154.0,29,24,0,0,0,0,880,1060,0.369313893265515,0.44485537143346127,0.0,1086.0,323.7835051546392,317.775839062306,100981.48389175259,0,0,0,53,97,0,0,0,1.2045454545454546,323.78350515463916,392.9318181818182,266.37735849056605,2429,4,1586544,0,0,0,0,178,0,145,0,65535,29,0,2593319.25,2474282.601440988,6304579.0,1333094.0,2.635844925E7,4542131.662247759,2.8683173E7,1.9546117E7,-1,-1,1201134563,0
