Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:17:42.793946,119814478,622,1460,74362.0,1741384.0,1057.0,0.0,119.55305466237935,227.1140078088292,1420.0,6.0,1192.7287671232891,421.7473220964561,15154.646001963136,17.376864922785042,57575.43392599709,671260.1830564418,1.5059017E7,0.0,1.19814258E8,192937.61352657,1218937.1182524355,1.5059136E7,22.0,1.19814329E8,82120.85606579858,801047.8383857723,1.5059178E7,3.0,136,612,0,0,0,0,12440,29200,5.1913592612739174,12.185505661511124,0.0,1420.0,872.11623439001,617.6533981651112,381495.72026490944,0,0,0,748,2082,0,0,0,2.347266881028939,872.1162343900096,119.55305466237942,1192.7287671232878,0,0,0,19745,15,146111,0,35,0,836,65535,65535,135,20,3472210.8571428573,3725803.5079966052,9422396.0,119.0,1.1013537857142856E7,2727377.042430659,1.5059017E7,7082520.0,119814478,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:19:43.206178,119971744,562,1695,80559.0,2047815.0,1460.0,0.0,143.3434163701069,263.39272346585506,1420.0,6.0,1208.1504424778766,413.23480196707743,17740.62732638112,18.812763111954094,53178.96453900712,678800.8224512674,1.5076725E7,-3.0,1.19971465E8,213852.87878787867,1349640.0154006183,1.5077385E7,21.0,1.19971664E8,70821.52538370714,783018.6748344064,1.5077091E7,3.0,137,572,0,0,0,0,11240,33900,4.684436361948693,14.128326750005401,0.0,1460.0,943.0101905183873,597.9909244540762,357593.1457294407,0,0,0,709,2257,0,0,0,3.0160142348754446,943.0101905183873,143.34341637010675,1208.1504424778761,0,0,0,24103,19,161423,0,35,0,907,0,65535,138,0,1953104.7142857143,1715846.6868394462,4017475.0,178.0,1.1675395E7,2585507.322008455,1.5076725E7,9103888.0,240383976,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:21:43.228289,99315529,411,1132,58267.0,1361404.0,1460.0,0.0,141.76885644768868,270.3891010276538,1420.0,6.0,1202.653710247349,409.3756349385719,14294.552063454246,15.536341753765416,64406.95784695209,753088.9111392203,1.5713583E7,1.0,9.9314035E7,242229.35365853657,1447136.5438943335,1.5713996E7,25.0,9.9315529E7,87812.13881520786,878774.6245427945,1.5713583E7,3.0,95,448,0,0,0,0,8220,22640,4.138325638883724,11.398016114881692,0.0,1460.0,920.0719377835372,602.026555411654,362435.97342082136,0,0,0,543,1543,0,0,0,2.7542579075425793,920.0719377835386,141.76885644768856,1202.6537102473499,0,0,0,22358,17,193434,0,37,0,882,0,65535,97,0,5526236.333333334,5730508.721286293,1.6185501E7,658188.0,1.1026255833333334E7,4446652.793214213,1.5713583E7,5033558.0,339749872,0
37.97.149.8-10.0.2.15-443-59708-6,37.97.149.8,443,10.0.2.15,59708,6,2016-02-24 16:19:46.377359,131877,2,2,549.0,543.0,543.0,6.0,274.5,379.716341497176,543.0,0.0,271.5,383.9589821842953,8280.443140198822,30.33129355384184,43959.0,75720.28871445222,131393.0,58.0,131877.0,131877.0,0.0,131877.0,131877.0,131393.0,131393.0,0.0,131393.0,131393.0,1,1,0,0,0,0,40,40,15.16564677692092,15.16564677692092,0.0,543.0,273.0,311.77876771839357,97206.0,0,0,0,2,4,0,0,0,1.0,273.0,274.5,271.5,0,0,0,0,0,0,0,137,0,135,65535,34752,1,20,0,0,0,0,0,0,0,0,131877,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:23:43.863284,119998730,997,2220,105305.0,2682709.0,1460.0,0.0,105.6218655967905,238.99159057336962,1420.0,6.0,1208.4274774774794,397.8491391282955,23233.69588994817,26.808617057863863,37313.037935323344,477757.7864699734,1.0008296E7,-24.0,1.19994264E8,120476.16867469896,853066.9811797901,1.0008296E7,42.0,1.19998583E8,54077.775123929685,575234.3520191499,1.000926E7,3.0,175,1026,0,0,0,0,19940,44400,8.308421264125046,18.50019579373882,0.0,1460.0,866.6502953061862,622.1625125594375,387086.1920342721,0,0,0,1201,3217,0,0,0,2.2266800401203612,866.6502953061859,105.62186559679037,1208.4274774774774,0,0,0,21541,17,215542,0,32,0,833,65535,65535,176,20,5768912.375,6741447.514726873,1.7444456E7,141.0,8953671.625,1133714.250414216,1.0008296E7,7480241.0,481068068,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:25:43.873390,119594327,830,2079,106826.0,2492238.0,1460.0,0.0,128.70602409638556,238.55751234171532,1420.0,6.0,1198.7676767676762,422.8860889973879,21732.335180079233,24.32389623297098,41125.97214580461,471004.44584207993,1.1675518E7,-1.0,1.19593696E8,144262.6007237637,874268.8681356219,1.1675518E7,21.0,1.19594327E8,57552.611645813355,556795.1985647508,1.1675796E7,3.0,192,787,0,0,0,0,16600,41580,6.9401285229858765,17.383767709985104,0.0,1460.0,893.4561705053292,614.4763551841341,377581.19108037814,0,0,0,979,2909,0,0,0,2.504819277108434,893.4561705053283,128.70602409638553,1198.7676767676767,0,0,0,20494,16,177253,0,36,0,856,0,65535,193,0,7972969.000000001,1.0140395160359895E7,2.4681818E7,143.0,8608221.714285715,2114151.6355923726,1.1675518E7,5272020.0,600673771,0
37.97.149.8-10.0.2.15-443-59708-6,37.97.149.8,443,10.0.2.15,59708,6,2016-02-24 16:24:46.378479,4130751,3,3,555.0,1086.0,543.0,6.0,185.0,310.037094554829,543.0,0.0,362.0,313.5011961699668,397.26432312187296,1.4525203770452395,826150.2,1775624.5502354095,4000908.0,53.0,4130751.0,2065375.5,2737703.2033996126,4001224.0,129527.0,4130382.0,2065191.0,2737722.2952827048,4001053.0,129329.0,1,2,0,0,0,0,60,60,0.7262601885226198,0.7262601885226198,0.0,543.0,273.5,295.2305878461783,87161.1,0,0,0,3,6,0,0,0,1.0,273.5,185.0,362.0,0,0,0,0,0,0,0,92,0,181,65535,35838,2,20,0,0,0,0,0,0,0,0,304131871,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:27:46.850764,107948684,653,1766,77077.0,2130051.0,1057.0,0.0,118.03522205206744,225.9889927211586,1420.0,6.0,1206.1443941109849,403.1221468209209,20446.085289932762,22.408795645901527,44643.78990901567,600694.191409306,1.8249684E7,-54.0,1.07948684E8,165565.46625766894,1148938.4075003462,1.8249684E7,33.0,1.07948369E8,61160.549008498696,702991.1288308018,1.8249968E7,3.0,141,710,0,0,0,0,13060,35320,6.049170548480239,16.35962509742129,0.0,1420.0,912.413393964447,604.8322466353031,365822.04656990815,0,0,0,851,2419,0,0,0,2.7044410413476263,912.4133939644481,118.03522205206738,1206.1443941109853,0,0,0,20471,16,154954,0,31,0,880,65535,65535,140,20,8138689.8,1.3987845111699896E7,3.2549067E7,58.0,1.18595308E7,4128504.027264743,1.8249684E7,8506031.0,712005502,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:29:52.442534,119957893,752,2136,94764.0,2602610.0,1057.0,0.0,126.01595744680853,243.16148352193747,1420.0,6.0,1218.4503745318336,396.4885961838512,22486.00681907609,24.075114423691986,41551.05403533083,631949.2141231052,1.8254379E7,0.0,1.19957893E8,159730.88282290281,1232141.9412734406,1.8254379E7,18.0,1.19917637E8,56167.51147540983,735330.6754742851,1.8255E7,1.0,166,772,0,0,0,0,15040,42720,6.2688663596317085,17.806248064060277,0.0,1420.0,933.9937673130192,601.2906122473526,361550.4003767961,0,0,0,938,2888,0,0,0,2.8404255319148937,933.9937673130194,126.01595744680851,1218.4503745318352,0,0,0,20828,16,212705,0,32,0,901,65535,65535,165,20,1.0483805E7,1.261134136240971E7,3.2384799E7,381.0,1.33368668E7,6234054.349843062,1.8254379E7,5322563.0,849606481,0
10.0.2.15-195.154.107.23-54453-443-6,10.0.2.15,54453,195.154.107.23,443,6,2016-02-24 16:31:52.466197,108522415,784,2347,100845.0,2875192.0,1057.0,0.0,128.6288265306122,264.61474197626006,1420.0,6.0,1225.049850873455,386.7849397086735,27423.24707757379,28.85118249533979,34671.698083067,423307.62769943697,1.0008532E7,-1.0,1.08522315E8,138598.10344827586,838341.350115707,1.0008969E7,18.0,1.0852226E8,46258.422847399845,488923.63142046373,1.0010286E7,0.0,163,842,0,0,0,0,15680,46940,7.2243139815862,21.62686851375359,0.0,1420.0,950.506866815713,596.1204685061572,355359.6129720004,0,0,0,1005,3131,0,0,0,2.993622448979592,950.5068668157138,128.62882653061226,1225.0498508734554,0,0,0,24171,19,185559,0,32,0,918,0,65535,163,0,1641351.6666666667,1644776.794528516,5053945.0,379.0,7367622.222222222,1833518.210661731,1.0008532E7,5281975.0,958194666,0
