Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.8.8.130-212.129.33.50-51413-6881-17,10.8.8.130,51413,212.129.33.50,6881,17,2015-06-04 12:34:01.604464,81075000,3,3,213.0,393.0,97.0,58.0,71.0,22.516660498395403,277.0,58.0,131.0,126.43970895252804,7.474560592044403,0.07400555041628122,1.6215E7,2.2198178335253865E7,4.4262839E7,128965.0,8.0945663E7,4.04728315E7,5549165.422251575,4.4396684E7,3.6548979E7,8.0941155E7,4.04705775E7,5545451.697436783,4.4391804E7,3.6549351E7,0,0,0,0,0,0,24,24,0.03700277520814061,0.03700277520814061,58.0,277.0,101.0,87.62191506695115,7677.6,0,0,0,0,0,0,0,0,1.0,101.0,71.0,131.0,0,0,0,0,0,0,0,35,0,65,0,0,2,8,131405.0,3450.681092190352,133845.0,128965.0,4.03414265E7,5545714.741159384,4.4262839E7,3.6420014E7,0,normal
10.8.8.130-5.165.40.169-51413-43477-17,10.8.8.130,51413,5.165.40.169,43477,17,2015-06-04 12:34:38.066402,113549845,1735,4222,49111.0,5930095.0,804.0,20.0,28.306051873198843,48.892146953383616,1425.0,20.0,1404.5701089531035,165.0857923081839,52657.10402334763,52.46154232971432,19064.782572196138,89024.57035985297,4824216.0,0.0,1.13549845E8,65484.339677047254,164317.50281769055,4824216.0,29.0,1.13356183E8,26855.290926320777,112612.6499469933,5014671.0,0.0,0,0,0,0,0,0,13880,33776,15.279633362775616,37.1819089669387,20.0,1425.0,1003.7277152929331,641.1445160982581,411066.2905228695,0,0,0,0,0,0,0,0,2.43342939481268,1003.7277152929327,28.306051873198847,1404.5701089531028,248,4,4674,7442,5,347147,0,8,0,995,0,0,1734,8,0,0,0,0,0,0,0,0,0,normal
10.8.8.130-91.121.59.153-51413-6881-17,10.8.8.130,51413,91.121.59.153,6881,17,2015-06-04 12:34:13.734888,51784394,4,4,304.0,670.0,94.0,58.0,76.0,20.784609690826528,277.0,58.0,167.5,126.43970895252804,18.80875539453064,0.1544866972856726,7397770.571428571,1.4234420570171561E7,3.8473497E7,127669.0,5.1655907E7,1.7218635666666664E7,1.9006665906294096E7,3.8601456E7,2245334.0,5.1656725E7,1.7218908333333336E7,1.9006360630631376E7,3.8601984E7,2247791.0,0,0,0,0,0,0,32,32,0.0772433486428363,0.0772433486428363,58.0,277.0,121.75,97.10193465778997,9428.785714285714,0,0,0,0,0,0,0,0,1.0,121.75,76.0,167.5,0,0,0,0,0,0,0,38,0,83,0,0,3,8,1251709.5,1589223.1978235468,2375460.0,127959.0,2.4576244E7,1.9653683672330182E7,3.8473497E7,1.0678991E7,0,normal
10.8.8.130-198.7.63.141-25704-53-17,10.8.8.130,25704,198.7.63.141,53,17,2015-06-04 12:35:47.030987,119341,1,1,41.0,92.0,41.0,41.0,41.0,0.0,92.0,92.0,92.0,0.0,1114.453540694313,16.758699860064855,119341.0,0.0,119341.0,119341.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8.379349930032427,8.379349930032427,41.0,92.0,66.5,36.062445840513924,1300.5,0,0,0,0,0,0,0,0,1.0,66.5,41.0,92.0,0,0,0,0,0,0,0,20,0,46,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
10.8.8.130-195.154.146.149-51413-7654-17,10.8.8.130,51413,195.154.146.149,7654,17,2015-06-04 12:36:20.196554,17634958,2,2,194.0,138.0,97.0,97.0,97.0,0.0,69.0,69.0,69.0,0.0,18.826242738996033,0.22682220167465098,5878319.333333334,9913696.505813023,1.7325656E7,139132.0,1.7464788E7,1.7464788E7,0.0,1.7464788E7,1.7464788E7,1.7495826E7,1.7495826E7,0.0,1.7495826E7,1.7495826E7,0,0,0,0,0,0,16,16,0.11341110083732549,0.11341110083732549,69.0,97.0,83.0,16.165807537309526,261.3333333333334,0,0,0,0,0,0,0,0,1.0,83.0,97.0,69.0,0,0,0,0,0,0,0,48,0,34,0,0,1,8,139132.0,0.0,139132.0,139132.0,1.7325656E7,0.0,1.7325656E7,1.7325656E7,0,normal
10.8.8.130-78.46.223.24-49112-53-17,10.8.8.130,49112,78.46.223.24,53,17,2015-06-04 12:33:29.416544,1947646,1,1,41.0,92.0,41.0,41.0,41.0,0.0,92.0,92.0,92.0,0.0,68.28756355107653,1.0268806549034064,1947646.0,0.0,1947646.0,1947646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.5134403274517032,0.5134403274517032,41.0,92.0,66.5,36.062445840513924,1300.5,0,0,0,0,0,0,0,0,1.0,66.5,41.0,92.0,0,0,0,0,0,0,0,20,0,46,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
10.8.8.130-198.7.63.141-10314-53-17,10.8.8.130,10314,198.7.63.141,53,17,2015-06-04 12:35:05.800229,2765426,1,1,41.0,92.0,41.0,41.0,41.0,0.0,92.0,92.0,92.0,0.0,48.09385606412899,0.7232158806635939,2765426.0,0.0,2765426.0,2765426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.36160794033179694,0.36160794033179694,41.0,92.0,66.5,36.062445840513924,1300.5,0,0,0,0,0,0,0,0,1.0,66.5,41.0,92.0,0,0,0,0,0,0,0,20,0,46,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
10.8.8.130-122.173.123.16-51413-6881-17,10.8.8.130,51413,122.173.123.16,6881,17,2015-06-04 12:35:27.791451,476771,1,1,97.0,353.0,97.0,97.0,97.0,0.0,353.0,353.0,353.0,0.0,943.8493532534487,4.194886014459772,476771.0,0.0,476771.0,476771.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.097443007229886,2.097443007229886,97.0,353.0,225.0,181.01933598375618,32768.0,0,0,0,0,0,0,0,0,1.0,225.0,97.0,353.0,0,0,0,0,0,0,0,48,0,176,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
10.8.8.130-188.163.83.43-51413-36965-17,10.8.8.130,51413,188.163.83.43,36965,17,2015-06-04 12:34:46.466909,13568909,3,3,249.0,691.0,97.0,58.0,83.0,21.702534414210707,312.0,80.0,230.33333333333334,130.35464446399035,69.27601917000106,0.44218735640426216,2713781.8,3535840.071061996,7531761.0,184788.0,1.3380168E7,6690084.0,1453940.2355537177,7718175.0,5661993.0,1.3384121E7,6692060.5,1454435.9174073294,7720502.0,5663619.0,0,0,0,0,0,0,24,24,0.22109367820213108,0.22109367820213108,58.0,312.0,156.66666666666666,116.17859814383486,13497.466666666669,0,0,0,0,0,0,0,0,1.0,156.66666666666666,83.0,230.33333333333334,0,0,0,0,0,0,0,41,0,115,0,0,2,8,185601.0,1149.7556262093262,186414.0,184788.0,6504483.0,1452790.4799275084,7531761.0,5477205.0,0,normal
10.8.8.130-198.7.63.141-8869-53-17,10.8.8.130,8869,198.7.63.141,53,17,2015-06-04 12:34:36.567691,270443,1,1,41.0,357.0,41.0,41.0,41.0,0.0,357.0,357.0,357.0,0.0,1471.6594624375562,7.395273680590734,270443.0,0.0,270443.0,270443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.697636840295367,3.697636840295367,41.0,357.0,199.0,223.44574285494903,49928.0,0,0,0,0,0,0,0,0,1.0,199.0,41.0,357.0,0,0,0,0,0,0,0,20,0,178,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
