Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.152.152.11-130.211.86.80-38699-80-6,10.152.152.11,38699,130.211.86.80,80,6,2016-02-24 15:36:10.836628,63024893,8,8,368.0,63.0,128.0,0.0,46.0,58.51983790622996,11.0,6.0,7.874999999999999,2.5877458475338284,6.838567738623531,0.25386794389321693,4201659.533333333,1.544875576956942E7,6.0020343E7,22.0,6.3024893E7,9003556.142857144,2.2504290804453503E7,6.0020343E7,209.0,6.3024676E7,9003525.142857144,2.250446686175227E7,6.0020713E7,128.0,5,3,0,0,0,0,160,160,0.12693397194660846,0.12693397194660846,0.0,128.0,26.9375,44.596664673493244,1988.8625,0,0,0,8,16,0,0,0,1.0,26.9375,46.0,7.875,0,0,0,0,0,0,0,23,0,3,14761,5131,4,20,1285971.0,0.0,1285971.0,1285971.0,6.0020343E7,0.0,6.0020343E7,6.0020343E7,63024893,0
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 15:35:57.473492,119944103,5,0,220.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.8341877132550652,0.04168608439216057,2.998602575E7,1050.4266990137921,2.9987248E7,2.9985116E7,1.19944103E8,2.998602575E7,1050.4266990137921,2.9987248E7,2.9985116E7,0,0,0,0,0,0,0,0,0,0,0,40,0,0.04168608439216057,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,4,8,0,0,0,0,2.998602575E7,1050.4266990137921,2.9987248E7,2.9985116E7,0,0
10.152.152.11-130.211.86.80-38699-80-6,10.152.152.11,38699,130.211.86.80,80,6,2016-02-24 15:38:13.882648,119747763,28,28,2382.0,1312.0,1154.0,0.0,85.07142857142856,241.73446230223416,671.0,6.0,46.857142857142854,142.60219578739398,30.84817542687624,0.46764965454928786,2177232.0545454537,8344767.260434264,5.8867384E7,11.0,1.19747763E8,4435102.333333333,1.1585731685985046E7,5.8867406E7,130.0,1.19747023E8,4435074.925925926,1.1587381185351187E7,5.8867499E7,116.0,16,12,0,0,0,0,560,560,0.23382482727464393,0.23382482727464393,0.0,1154.0,65.96428571428571,197.5881818591122,39041.0896103896,0,0,0,28,56,0,0,0,1.0,65.96428571428571,85.07142857142857,46.857142857142854,0,0,0,0,0,0,0,42,0,23,14761,5131,15,20,4604888.0,6198055.102407153,1.3308435E7,22.0,2.427603625E7,2.3121450509247746E7,5.8867384E7,1.0965733E7,242793783,0
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 15:38:27.407477,90003983,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554690151879166,0.0444424776179072,3.0001327666666668E7,747.7568677941604,3.0002162E7,3.0000718E7,9.0003983E7,3.0001327666666668E7,747.7568677941604,3.0002162E7,3.0000718E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.0444424776179072,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0001327666666668E7,747.7568677941604,3.0002162E7,3.0000718E7,0,0
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 15:40:27.412770,90002791,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554949134855162,0.04444306621557991,3.0000930333333332E7,445.2441277920837,3.0001289E7,3.0000432E7,9.0002791E7,3.0000930333333332E7,445.2441277920837,3.0001289E7,3.0000432E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04444306621557991,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0000930333333332E7,445.2441277920837,3.0001289E7,3.0000432E7,0,0
10.152.152.11-130.211.86.80-38699-80-6,10.152.152.11,38699,130.211.86.80,80,6,2016-02-24 15:40:17.680923,115834729,5,5,22.0,45.0,11.0,0.0,4.4,6.024948132556827,11.0,6.0,9.0,2.7386127875258306,0.5784102969671557,0.08632989506972473,1.2870525444444446E7,2.530870716826222E7,6.0052611E7,19.0,1.15834729E8,2.895868225E7,3.2968069588270944E7,6.0052611E7,402494.0,1.15834266E8,2.89585665E7,3.296842027506405E7,6.0052958E7,402076.0,2,3,0,0,0,0,100,100,0.043164947534862365,0.043164947534862365,0.0,11.0,6.7,5.034326612809746,25.34444444444445,0,0,0,5,10,0,0,0,1.0,6.7,4.4,9.0,0,0,0,0,0,0,0,2,0,4,14761,5131,1,20,265646.0,375653.3059324781,531273.0,19.0,5.74504715E7,3679980.9720867444,6.0052611E7,5.4848332E7,362679024,0
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 15:42:27.417471,90006148,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9554219785075126,0.04444140860244347,3.0002049333333332E7,1361.9222934269537,3.0003554E7,3.0000901E7,9.0006148E7,3.0002049333333332E7,1361.9222934269537,3.0003554E7,3.0000901E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04444140860244347,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0002049333333332E7,1361.9222934269537,3.0003554E7,3.0000901E7,0,0
10.152.152.11-130.211.86.80-38699-80-6,10.152.152.11,38699,130.211.86.80,80,6,2016-02-24 15:43:13.049409,117100943,8,8,130.0,68.0,90.0,0.0,16.25,30.597618954982195,11.0,6.0,8.5,2.672612419124244,1.6908488943594588,0.13663425408965324,7806729.5333333295,2.0400933446404126E7,6.005277E7,8.0,1.17100923E8,1.6728703285714284E7,2.8231195533872094E7,6.005277E7,272.0,1.17100926E8,1.6728703714285715E7,2.8231363404571954E7,6.0053006E7,218.0,4,4,0,0,0,0,160,160,0.06831712704482662,0.06831712704482662,0.0,90.0,12.375,21.36000936329383,456.2500000000001,0,0,0,8,16,0,0,0,1.0,12.375,16.25,8.5,0,0,0,0,0,0,0,8,0,4,0,5131,4,0,159656.5,225760.1033497726,319293.0,20.0,5.80188925E7,2876337.1447054846,6.005277E7,5.5985015E7,539313724,0
10.152.152.11-10.152.191.255-57621-57621-17,10.152.152.11,57621,10.152.191.255,57621,17,2016-02-24 15:44:27.425266,90018306,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9551578764434872,0.044435406282806525,3.0006102E7,6801.202761276861,3.0013949E7,3.0001905E7,9.0018306E7,3.0006102E7,6801.202761276861,3.0013949E7,3.0001905E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.044435406282806525,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,1,44,0,0,0,0,3,8,0,0,0,0,3.0006102E7,6801.202761276861,3.0013949E7,3.0001905E7,0,0
10.152.152.11-130.211.86.80-38699-80-6,10.152.152.11,38699,130.211.86.80,80,6,2016-02-24 15:45:13.056595,90206590,23,23,1047.0,1280.0,787.0,0.0,45.52173913043478,162.56799124875758,671.0,6.0,55.65217391304349,156.37530864605895,25.79634148680268,0.509940570860732,2004590.8888888892,5819416.954011549,2.8797745E7,21.0,9.0206533E7,4100296.954545454,7871131.585321799,2.8797745E7,165148.0,9.0206546E7,4100297.5454545454,7871504.655102912,2.8798722E7,165217.0,11,12,0,0,0,0,460,460,0.254970285430366,0.254970285430366,0.0,787.0,50.58695652173912,157.8026300424336,24901.670048309174,0,0,0,23,46,0,0,0,1.0,50.58695652173913,45.52173913043478,55.65217391304348,0,0,0,0,0,0,0,22,0,27,0,5131,11,0,3828476.3333333335,6416483.38663799,1.1236197E7,57.0,2.2065356666666668E7,8341903.689104324,2.8797745E7,1.2733128E7,632426557,0
