Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,2015-06-05 13:50:21.778221,119889286,207,230,35963.0,18463.0,1308.0,0.0,173.73429951690815,404.9431602597248,1308.0,0.0,80.27391304347825,240.4805028318577,453.9688392172091,3.6450296317554183,274975.42660550453,1341599.935129383,1.4252434E7,3.0,1.19850211E8,581797.1407766987,1927660.0814236412,1.4252482E7,17.0,1.19852959E8,523375.36681222636,1834145.564802105,1.4252496E7,3.0,131,111,0,0,0,0,6636,7360,1.7265929834630929,1.9184366482923254,0.0,1308.0,124.54462242562919,331.7128690249284,110033.42747674932,0,0,0,242,437,0,0,0,1.1111111111111112,124.54462242562929,173.7342995169082,80.27391304347826,502,8,426,4073,8,19384,0,82,0,42,255,866,153,32,3060640.5714285714,6853057.949802699,1.854424E7,129869.0,1.0119542285714285E7,3349216.3026075577,1.4252434E7,6218302.0,119889286,normal
10.8.8.130-64.4.23.162-52058-40019-6,10.8.8.130,52058,64.4.23.162,40019,6,2015-06-05 13:50:30.883366,119745405,6,4,786.0,8.0,391.0,0.0,131.0,201.3971201382979,4.0,0.0,2.0,2.309401076758503,6.630734598960185,0.0835105113219167,1.3305045E7,2.6160256839491125E7,5.977286E7,33.0,1.19745405E8,2.3949081E7,3.240485305036144E7,5.977286E7,268984.0,5.9658432E7,1.9886144E7,3.42111212520958E7,5.9389439E7,33.0,4,2,0,0,0,0,192,128,0.050106306793150014,0.033404204528766676,0.0,391.0,79.4,164.23506189469882,26973.155555555553,0,0,0,6,10,0,0,0,0.6666666666666666,79.4,131.0,2.0,0,0,0,0,0,0,0,78,0,0,592,81,3,32,426792.5,221070.5711769434,583113.0,270472.0,5.944591E7,462377.12421788345,5.977286E7,5.911896E7,119745405,normal
10.8.8.130-130.88.8.60-49539-56289-17,10.8.8.130,49539,130.88.8.60,56289,17,2015-06-05 13:50:33.019472,102152501,104,65,22111.0,43370.0,519.0,19.0,212.6057692307692,234.26005872112276,1378.0,22.0,667.2307692307692,676.5225598887753,641.012205858768,1.654389254747664,608050.6011904762,3018780.339360427,2.0801149E7,22.0,9.9972014E7,970602.0776699029,3845502.29545744,2.0935185E7,69.0,1.02018231E8,1594034.859375,5012174.038188937,2.0934567E7,25.0,0,0,0,0,0,0,832,520,1.0180856952293316,0.6363035595183323,19.0,1378.0,387.4615384615382,507.15983204320827,257211.09523809524,0,0,0,0,0,0,0,0,0.625,387.46153846153845,212.60576923076923,667.2307692307693,3015,12,3918,3197,6,115000,0,130,0,256,0,0,103,8,2692019.6,3522694.4740778757,7039678.0,130294.0,1.73023832E7,4042900.1597172422,2.0801149E7,1.2046019E7,0,normal
10.8.8.130-157.56.192.53-51906-443-6,10.8.8.130,51906,157.56.192.53,443,6,2015-06-05 13:50:34.062663,84486828,10,9,2724.0,2846.0,981.0,0.0,272.4,372.2081854733092,949.0,0.0,316.2222222222223,405.76186913563527,65.92743664136616,0.22488712678383427,4693712.666666666,1.345128632050735E7,4.9512241E7,23.0,8.4153666E7,9350407.333333334,1.8324922358281747E7,4.9512276E7,811.0,8.4148101E7,1.0518512625E7,1.9307616075373728E7,4.9512264E7,33542.0,4,6,0,0,0,0,320,288,0.11836164567570225,0.10652548110813202,0.0,981.0,293.1578947368421,378.086448544641,142949.36257309944,0,0,0,10,19,0,0,0,0.9,293.1578947368421,272.4,316.22222222222223,0,0,0,0,0,0,0,143,0,149,65400,64286,3,32,1355138.5,244939.6676826765,1528337.0,1181940.0,4.07212715E7,1.2432308293308226E7,4.9512241E7,3.1930302E7,84486828,normal
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,2015-06-05 13:52:21.830969,119816373,275,349,45513.0,33845.0,1308.0,0.0,165.5018181818182,314.52606421356364,1308.0,0.0,96.97707736389684,227.12705832301907,662.3301808676849,5.207969364921437,192321.62600321035,806517.362089891,1.0848598E7,0.0,1.19684677E8,436805.3905109489,1203640.206014171,1.0848633E7,25.0,1.19816373E8,344299.92241379304,1077474.7123425747,1.0848662E7,4.0,180,223,0,0,0,0,8800,11168,2.295178806656082,2.912790558265355,0.0,1308.0,127.17628205128196,271.07860951109603,73483.61253446927,0,0,0,403,624,0,0,0,1.269090909090909,127.17628205128206,165.50181818181818,96.97707736389685,1700,6,2978,2582,7,14646,0,72,0,54,0,1444,185,0,1.23709516E7,1.4679156283042047E7,3.613812E7,130847.0,8553006.2,2091554.5692801564,1.0848598E7,6413807.0,239869121,normal
10.8.8.130-64.4.23.162-52058-40019-6,10.8.8.130,52058,64.4.23.162,40019,6,2015-06-05 13:52:30.934499,119792444,8,7,788.0,21.0,391.0,0.0,98.5,180.5404584652901,10.0,0.0,3.0,3.605551275463989,6.753347481582394,0.125216578768524,8556603.142857144,1.820845294369603E7,5.9477229E7,21.0,1.19792394E8,1.711319914285714E7,2.3453544540885948E7,5.9477229E7,1140.0,9.4967999E7,1.5827999833333332E7,2.5486859334427647E7,5.9747626E7,310.0,4,4,0,0,0,0,256,224,0.06678217534321279,0.0584344034253112,0.0,391.0,53.93333333333334,136.87609969116838,18735.066666666662,0,0,0,8,15,0,0,0,0.875,53.93333333333333,98.5,3.0,0,0,0,0,0,0,0,52,0,1,0,83,4,0,374898.0,182996.69790463435,586200.0,268068.0,3.9555916666666664E7,1.789985179678045E7,5.9477229E7,2.4824445E7,239843577,normal
10.8.8.130-213.199.179.153-49539-40033-17,10.8.8.130,49539,213.199.179.153,40033,17,2015-06-05 13:50:27.378455,30176088,6,6,132.0,588.0,22.0,22.0,22.0,0.0,98.0,98.0,98.0,0.0,23.859951627924733,0.3976658604654122,2743280.7272727275,8806305.315057822,2.9294817E7,1050.0,3.0046589E7,6009317.8,1.3088950796789166E7,2.9423499E7,129234.0,3.0046945E7,6009389.0,1.308916828893666E7,2.942396E7,129602.0,0,0,0,0,0,0,48,48,0.1988329302327061,0.1988329302327061,22.0,98.0,60.0,39.68970555789911,1575.2727272727273,0,0,0,0,0,0,0,0,1.0,60.0,22.0,98.0,0,0,0,0,0,0,0,11,0,49,0,0,5,8,491977.0,0.0,491977.0,491977.0,2.9294817E7,0.0,2.9294817E7,2.9294817E7,0,normal
10.8.8.130-130.88.8.60-49539-56289-17,10.8.8.130,49539,130.88.8.60,56289,17,2015-06-05 13:52:33.438479,119695581,103,99,21077.0,32112.0,533.0,20.0,204.63106796116506,236.87930203207117,1375.0,14.0,324.3636363636365,262.7556657594328,444.36895293569773,1.6876145160279559,595500.4029850743,2593946.5682453387,1.9734601E7,13.0,1.19565636E8,1172212.1176470586,3735689.0231564096,1.9865514E7,48.0,1.19564803E8,1220049.0102040817,4113511.3955741837,2.0439673E7,13.0,0,0,0,0,0,0,824,792,0.8605163126281161,0.8270982033998397,14.0,1375.0,263.31188118811895,256.39148540558705,65736.59378848337,0,0,0,0,0,0,0,0,0.9611650485436893,263.31188118811883,204.63106796116506,324.3636363636364,2190,8,42738,2196,7,370430,0,104,0,158,0,0,102,8,3243670.25,5088299.711985155,1.4075734E7,678.0,1.1702034249999998E7,6083956.13717169,1.9734601E7,5249964.0,0,normal
10.8.8.130-157.56.192.53-51906-443-6,10.8.8.130,51906,157.56.192.53,443,6,2015-06-05 13:52:48.914407,101985701,11,10,3225.0,3043.0,997.0,0.0,293.1818181818182,361.97094308295476,965.0,0.0,304.3,394.6326139588567,61.45959618397877,0.20591121886782932,5099285.050000001,1.1923929870342705E7,4.0774459E7,13.0,1.01985701E8,1.01985701E7,1.5643697233872024E7,4.0774507E7,45.0,1.01601476E8,1.1289052888888888E7,1.6212994442796715E7,4.0774472E7,72.0,5,7,0,0,0,0,352,320,0.10785825750219631,0.098052961365633,0.0,997.0,298.4761904761905,368.27240176907355,135624.5619047619,0,0,0,12,21,0,0,0,0.9090909090909091,298.4761904761905,293.1818181818182,304.3,0,0,0,0,0,0,0,153,0,144,65400,64430,4,32,1957779.6666666665,2826106.994467891,5221026.0,308886.0,3.197965E7,8196040.423070216,4.0774459E7,2.4555105E7,236837445,normal
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,2015-06-05 13:54:21.904144,119861308,400,718,6574.0,54939.0,1047.0,0.0,16.434999999999985,89.84849835496196,534.0,0.0,76.51671309192197,154.89457115136693,513.201474490834,9.327447019016345,107306.45299910463,584389.6163631652,1.8412764E7,10.0,1.19182542E8,298703.1127819545,977440.563531029,1.8544322E7,27.0,1.19861308E8,167170.58298465834,735029.7177382346,1.8412764E7,46.0,119,620,0,0,0,0,12800,22976,3.337190346696367,5.990256672319979,0.0,1047.0,55.02057245080497,138.25502406872954,19114.451680244987,0,0,0,739,1118,0,0,0,1.795,55.02057245080501,16.435,76.516713091922,0,0,0,1551,15,1583,0,5,0,49,0,1444,119,0,1.2816012E7,0.0,1.2816012E7,1.2816012E7,1.8412764E7,0.0,1.8412764E7,1.8412764E7,359987231,normal
