Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.152.152.11-216.58.213.10-46673-443-6,10.152.152.11,46673,216.58.213.10,443,6,2015-07-13 19:16:59.757980,97847103,19,23,2456.0,2166.0,517.0,0.0,129.26315789473685,135.04066963748497,795.0,0.0,94.17391304347827,200.73221695806876,47.23696316282353,0.42924111917753965,2386514.707317073,8475285.690789815,3.8751891E7,15.0,9.7846586E7,5435921.444444445,1.2307171300266284E7,3.8752319E7,15.0,9.7846866E7,4447584.818181818,1.1279161831095757E7,3.8752273E7,16.0,16,6,0,0,0,0,392,472,0.19418050629460126,0.2350606128829384,0.0,795.0,110.04761904761905,173.02994980863332,29939.363530778162,0,2,0,22,41,0,0,0,1.2105263157894737,110.04761904761905,129.26315789473685,94.17391304347827,736,4,46706,0,0,0,0,58,0,51,14600,1382,16,20,719666.3333333334,376149.79572549724,1142063.0,420864.0,3.1769069E7,6233518.943924611,3.8751891E7,2.6765406E7,97847103,normal
10.152.152.11-216.58.213.10-46673-443-6,10.152.152.11,46673,216.58.213.10,443,6,2015-07-13 19:19:12.997417,109990343,18,24,2238.0,2535.0,246.0,46.0,124.33333333333336,89.7381812634432,566.0,0.0,105.62499999999997,194.37968504070002,43.39471875271814,0.38185170492649523,2682691.2926829266,7272537.161078924,2.8558004E7,13.0,1.09990084E8,6470004.94117647,1.0305155088373479E7,2.8558931E7,51.0,1.09990077E8,4782177.260869565,9255769.167834735,2.85583E7,13.0,18,6,0,0,0,0,360,480,0.16365073068278368,0.21820097424371157,0.0,566.0,113.64285714285712,156.91536034942163,24622.430313588844,0,0,0,24,42,0,0,0,1.3333333333333333,113.64285714285714,124.33333333333333,105.625,0,0,0,0,0,0,0,53,0,60,1377,1784,17,20,403490.4,18991.21579309761,425428.0,386886.0,2.15100186E7,4905858.784594477,2.8558004E7,1.6434211E7,243229780,normal
10.152.152.11-216.58.213.10-46673-443-6,10.152.152.11,46673,216.58.213.10,443,6,2015-07-13 19:21:29.153046,119988829,14,18,1819.0,1933.0,246.0,46.0,129.92857142857144,90.93908720906309,568.0,0.0,107.38888888888889,209.12538847441544,31.269577603761764,0.26669149342227516,3870607.3870967743,1.00587080656382E7,3.2215118E7,10.0,1.19988693E8,9229899.46153846,1.411961330207454E7,3.221555E7,16.0,1.19988683E8,7058157.823529412,1.2876614245704815E7,3.2215328E7,10.0,14,4,0,0,0,0,280,360,0.11667752837224539,0.15001396505002978,0.0,568.0,117.25000000000001,166.07207918211589,27579.935483870966,0,0,0,18,32,0,0,0,1.2857142857142858,117.25,129.92857142857142,107.38888888888889,0,0,0,0,0,0,0,56,0,60,1974,2119,13,20,468968.75,89015.8747204677,555129.0,390357.0,2.95281875E7,1932447.7573242872,3.2215118E7,2.76661E7,389383895,normal
10.152.152.11-216.58.213.10-46673-443-6,10.152.152.11,46673,216.58.213.10,443,6,2015-07-13 19:23:29.735425,92975643,13,18,1538.0,2073.0,246.0,46.0,118.3076923076923,89.87526969397145,508.0,0.0,115.16666666666666,196.1995532764597,38.83812882046968,0.3334206572790252,3099188.0999999996,7880575.072788364,2.4702343E7,37.0,9.2974657E7,7747888.083333333,1.1155318504649345E7,2.4702804E7,184.0,9.2975643E7,5469155.470588235,9939547.563629681,2.4702642E7,37.0,13,5,0,0,0,0,260,360,0.13982156595572023,0.19359909132330497,0.0,508.0,116.48387096774194,158.2622024716666,25046.924731182797,0,0,0,18,31,0,0,0,1.3846153846153846,116.48387096774194,118.3076923076923,115.16666666666667,0,0,0,0,0,0,0,49,0,66,0,2387,13,0,324121.25,225192.32724699273,523847.0,806.0,2.28239275E7,1252754.055986117,2.4702343E7,2.2165778E7,482953088,normal
10.152.152.11-10.152.152.10-42427-53-17,10.152.152.11,42427,10.152.152.10,53,17,2015-07-13 19:16:57.983207,460634,2,2,74.0,90.0,37.0,37.0,37.0,0.0,53.0,37.0,45.0,11.313708498984761,356.0310354858738,8.683683792338385,153544.66666666666,159093.28551618176,317724.0,79.0,79.0,79.0,0.0,79.0,79.0,142831.0,142831.0,0.0,142831.0,142831.0,0,0,0,0,0,0,16,16,4.341841896169193,4.341841896169193,37.0,53.0,41.0,8.0,64.0,0,0,0,0,0,0,0,0,1.0,41.0,37.0,45.0,0,0,0,0,0,0,0,18,0,22,0,0,1,8,0,0,0,0,0,0,0,0,0,normal
10.152.152.11-74.125.136.16-50605-465-6,10.152.152.11,50605,74.125.136.16,465,6,2015-07-13 19:20:42.218507,6564079,17,23,3642.0,901.0,1460.0,0.0,214.23529411764707,430.1462730007906,244.0,0.0,39.173913043478265,61.316357133915844,692.1001407813648,6.093771875688882,168309.71794871794,342498.9877520922,1672684.0,12.0,6563916.0,410244.75,449825.1829751198,1680928.0,103.0,6563766.0,298353.0000000001,416166.53294587554,1672684.0,12.0,10,9,0,0,0,2,352,472,2.5898530471677748,3.503918828521107,0.0,1460.0,113.57500000000002,292.76295543822323,85710.14807692307,2,2,2,19,37,0,0,0,1.3529411764705883,113.575,214.23529411764707,39.17391304347826,0,0,0,0,0,0,0,91,0,22,14600,0,11,20,0,0,0,0,0,0,0,0,6564079,normal
10.152.152.11-74.125.136.16-50593-465-6,10.152.152.11,50593,74.125.136.16,465,6,2015-07-13 19:15:42.624278,5906259,17,23,3641.0,895.0,1460.0,0.0,214.17647058823533,430.01267936162617,244.0,0.0,38.91304347826087,61.1428380132637,767.9988297160689,6.772476452522654,151442.53846153847,307723.42160075513,1589684.0,34.0,5906031.0,369126.93749999994,404760.0542847525,1598232.0,45.0,5905892.0,268449.63636363635,374164.7177396538,1589684.0,34.0,10,9,0,0,0,2,352,472,2.878302492322128,3.894173960200526,0.0,1460.0,113.4,292.692259847026,85668.75897435896,2,2,2,19,37,0,0,0,1.3529411764705883,113.4,214.1764705882353,38.91304347826087,0,0,0,0,0,0,0,91,0,22,14600,0,11,20,0,0,0,0,0,0,0,0,5906259,normal
10.152.152.11-191.233.95.169-42681-443-6,10.152.152.11,42681,191.233.95.169,443,6,2015-07-13 19:17:28.426866,1418548,11,13,686.0,3556.0,267.0,0.0,62.363636363636374,102.6267730441455,1460.0,0.0,273.53846153846155,538.7255973413266,2990.3817142599337,16.918708425798776,61675.99999999999,160064.61916250063,518486.0,7.0,1418096.0,141809.6,224137.3322879425,519020.0,19.0,1418061.0,118171.75000000003,209674.3553197434,518486.0,21.0,5,3,0,0,0,2,232,272,7.754408028491105,9.16430039730767,0.0,1460.0,176.75,409.3333126799787,167553.76086956522,2,2,2,8,21,0,0,0,1.1818181818181819,176.75,62.36363636363637,273.53846153846155,0,0,0,0,0,0,0,28,0,148,14600,0,5,20,0,0,0,0,0,0,0,0,1418548,normal
10.152.152.11-10.152.152.10-38834-53-17,10.152.152.11,38834,10.152.152.10,53,17,2015-07-13 19:18:37.223929,445708,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,358.97942150466224,8.974485537616557,148569.33333333334,135512.10809862465,265474.0,42.0,42.0,42.0,0.0,42.0,42.0,180192.0,180192.0,0.0,180192.0,180192.0,0,0,0,0,0,0,16,16,4.4872427688082785,4.4872427688082785,36.0,52.0,40.0,8.0,64.0,0,0,0,0,0,0,0,0,1.0,40.0,36.0,44.0,0,0,0,0,0,0,0,18,0,22,0,0,1,8,0,0,0,0,0,0,0,0,0,normal
10.152.152.11-10.152.152.10-53019-53-17,10.152.152.11,53019,10.152.152.10,53,17,2015-07-13 19:15:17.425733,526470,1,1,36.0,52.0,36.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,167.15102474974833,3.7988869261306437,526470.0,0.0,526470.0,526470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.8994434630653219,1.8994434630653219,36.0,52.0,44.0,11.313708498984761,128.0,0,0,0,0,0,0,0,0,1.0,44.0,36.0,52.0,0,0,0,0,0,0,0,18,0,26,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
