Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2015-05-25 16:52:38.760046,119977732,2498,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.820530263065816,48048.751301561926,133869.4323583489,1584415.0,18.0,1.19977732E8,48048.751301561926,133869.4323583489,1584415.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.820530263065816,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
131.202.240.183-131.202.243.255-54357-32412-17,131.202.240.183,54357,131.202.243.255,32412,17,2015-05-25 16:52:39.238631,114999654,24,0,504.0,0.0,21.0,21.0,21.0,0.0,0,0,0,0,4.382621881627574,0.20869628007750352,4999984.956521739,476.2331818324053,5001044.0,4999170.0,1.14999654E8,4999984.956521739,476.2331818324053,5001044.0,4999170.0,0,0,0,0,0,0,0,0,0,0,0,192,0,0.20869628007750352,0.0,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,0,0,23,8,8570945.57142857,4755846.512935275,1.4999819E7,4999295.0,5000451.111111112,340.22619110061606,5001044.0,5000102.0,0,NeedManualLabel
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,17,2015-05-25 16:52:39.238926,114999603,24,0,504.0,0.0,21.0,21.0,21.0,0.0,0,0,0,0,4.382623825231814,0.2086963726300864,4999982.739130435,582.9318701335616,5001253.0,4998949.0,1.14999603E8,4999982.739130435,582.9318701335616,5001253.0,4998949.0,0,0,0,0,0,0,0,0,0,0,0,192,0,0.2086963726300864,0.0,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.0,21.0,0.0,0,0,0,0,0,0,1,21,0,0,0,0,23,8,9165972.5,4915994.350539096,1.4999823E7,4998949.0,5000498.8,394.17982360008654,5001253.0,5000034.0,0,NeedManualLabel
131.202.240.97-131.202.243.255-4644-4644-17,131.202.240.97,4644,131.202.243.255,4644,17,2015-05-25 16:52:39.404888,60002359,2,0,76.0,0.0,38.0,38.0,38.0,0.0,0,0,0,0,1.2666168675134923,0.03333202282930243,6.0002359E7,0.0,6.0002359E7,6.0002359E7,6.0002359E7,6.0002359E7,0.0,6.0002359E7,6.0002359E7,0,0,0,0,0,0,0,0,0,0,0,16,0,0.03333202282930243,0.0,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,38.0,38.0,0.0,0,0,0,0,0,0,1,38,0,0,0,0,1,8,0,0,0,0,6.0002359E7,0.0,6.0002359E7,6.0002359E7,0,NeedManualLabel
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,17,2015-05-25 16:52:39.555360,119847703,118,0,5900.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,49.22914542634163,0.9845829085268326,1024339.341880342,1963235.8613674894,1.269095E7,6440.0,1.19847703E8,1024339.341880342,1963235.8613674894,1.269095E7,6440.0,0,0,0,0,0,0,0,0,0,0,0,944,0,0.9845829085268326,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,538,10,142,0,0,0,1,50,0,0,0,0,117,8,8076262.333333333,5594293.748180182,1.522654E7,1499469.0,8153335.833333333,3221758.1543556256,1.269095E7,5134604.0,0,NeedManualLabel
131.202.240.65-255.255.255.255-17500-17500-17,131.202.240.65,17500,255.255.255.255,17500,17,2015-05-25 16:52:40.995831,90174517,4,0,504.0,0.0,126.0,126.0,126.0,0.0,0,0,0,0,5.589162179820714,0.044358429998577094,3.0058172333333332E7,631.8151100862761,3.0058887E7,3.0057688E7,9.0174517E7,3.0058172333333332E7,631.8151100862761,3.0058887E7,3.0057688E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.044358429998577094,0.0,126.0,126.0,126.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,126.0,126.0,0.0,0,0,0,0,0,0,1,126,0,0,0,0,3,8,0,0,0,0,3.0058172333333332E7,631.8151100862761,3.0058887E7,3.0057688E7,0,NeedManualLabel
131.202.240.65-131.202.243.255-17500-17500-17,131.202.240.65,17500,131.202.243.255,17500,17,2015-05-25 16:52:40.996004,90174464,4,0,504.0,0.0,126.0,126.0,126.0,0.0,0,0,0,0,5.5891654648482305,0.044358456070224046,3.0058154666666668E7,646.139561807922,3.0058882E7,3.0057647E7,9.0174464E7,3.0058154666666668E7,646.139561807922,3.0058882E7,3.0057647E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.044358456070224046,0.0,126.0,126.0,126.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,126.0,126.0,0.0,0,0,0,0,0,0,1,126,0,0,0,0,3,8,0,0,0,0,3.0058154666666668E7,646.139561807922,3.0058882E7,3.0057647E7,0,NeedManualLabel
131.202.240.157-131.202.243.255-137-137-17,131.202.240.157,137,131.202.243.255,137,17,2015-05-25 16:52:40.806523,115940476,60,0,3000.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,25.87534658732986,0.5175069317465972,1965092.813559322,1757787.0649202496,4494369.0,762956.0,1.15940476E8,1965092.813559322,1757787.0649202496,4494369.0,762956.0,0,0,0,0,0,0,0,0,0,0,0,480,0,0.5175069317465972,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,59,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
131.202.240.185-131.202.243.255-137-137-17,131.202.240.185,137,131.202.243.255,137,17,2015-05-25 16:52:42.118474,119094136,96,0,4800.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,40.30425142006992,0.8060850284013983,1253622.4842105266,1322741.0242220655,4500650.0,38511.0,1.19094136E8,1253622.4842105266,1322741.0242220655,4500650.0,38511.0,0,0,0,0,0,0,0,0,0,0,0,768,0,0.8060850284013983,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,375,7,115,0,0,0,1,50,0,0,0,0,95,8,0,0,0,0,0,0,0,0,0,NeedManualLabel
131.202.240.64-224.0.0.251-5353-5353-17,131.202.240.64,5353,224.0.0.251,5353,17,2015-05-25 16:52:43.023252,119138294,49,0,2206.0,0.0,46.0,44.0,45.02040816326532,1.0101525445522113,0,0,0,0,18.516296699699257,0.411286735396765,2482047.7916666674,1980221.6305010435,9162160.0,254982.0,1.19138294E8,2482047.7916666674,1980221.6305010435,9162160.0,254982.0,0,0,0,0,0,0,0,0,0,0,0,392,0,0.411286735396765,0.0,44.0,46.0,45.02040816326532,1.0101525445522113,1.0204081632653073,0,0,0,0,0,0,0,0,0.0,45.02040816326531,45.02040816326531,0.0,0,0,0,0,0,0,1,45,0,0,0,0,48,8,1.65613414E7,2.1322958925359875E7,5.4659991E7,5770608.0,7266317.4,1602094.3103314172,9162160.0,5884835.0,0,NeedManualLabel
