Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,2015-06-03 19:00:55.779434,115173999,64,65,6100.0,1483.0,327.0,0.0,95.3125,106.96711777791474,153.0,0.0,22.815384615384623,37.49037055852322,65.8395129616017,1.1200444642023761,899796.8671875001,1931902.8181983305,9683469.0,26.0,1.15173999E8,1828158.714285714,2472595.2426738143,9683469.0,29779.0,1.1506431E8,1797879.8437500002,2471438.685452776,9867978.0,33043.0,48,24,0,0,0,0,1280,1300,0.5556809744880006,0.5643634897143756,0.0,327.0,58.78294573643413,87.51285273821121,7658.499394379842,0,0,0,72,129,0,0,0,1.015625,58.78294573643411,95.3125,22.815384615384616,0,0,0,0,0,0,0,47,0,11,16384,64680,47,20,4533296.600000001,4852085.807122936,1.5521343E7,144005.0,6687997.900000001,1593139.4390945644,9683469.0,5094877.0,115173999,0
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,6,2015-06-03 19:01:30.401580,84036172,3,3,4.0,2.0,2.0,0.0,1.3333333333333333,1.1547005383792515,2.0,0.0,0.6666666666666667,1.1547005383792515,0.07139782616466633,0.07139782616466633,1.68072344E7,2.3071219252306312E7,4.7027126E7,51.0,8.3765211E7,4.18826055E7,7275450.6630064165,4.7027126E7,3.6738085E7,8.3765148E7,4.1882574E7,7658764.056699488,4.7298138E7,3.646701E7,2,1,0,0,0,0,96,96,0.03569891308233317,0.03569891308233317,0.0,2.0,1.0,1.0954451150103321,1.2,0,0,0,3,6,0,0,0,1.0,1.0,1.3333333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1444,83,1,32,135537.5,191606.84581846235,271024.0,51.0,4.1747068E7,7467129.633716559,4.7027126E7,3.646701E7,84036172,0
10.8.8.178-134.170.25.26-54269-443-6,10.8.8.178,54269,134.170.25.26,443,6,2015-06-03 19:02:30.443493,1184842,4,1,1407.0,149.0,469.0,0.0,351.75,234.5,149.0,149.0,149.0,0.0,1313.2552694789686,4.219971945626505,296210.5,233611.83570258878,483405.0,107.0,1184842.0,394947.3333333333,152942.1871045832,483405.0,218345.0,0,0,0,0,0,3,1,0,0,0,0,128,32,3.3759775565012045,0.8439943891253011,0.0,469.0,311.2,222.40548554385973,49464.2,0,0,0,4,5,0,0,0,0.25,311.2,351.75,149.0,0,0,0,0,0,0,0,281,0,29,65400,64931,2,32,0,0,0,0,0,0,0,0,1184842,0
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,2015-06-03 19:02:56.302959,115813227,82,83,8704.0,1628.0,697.0,0.0,106.14634146341463,139.20303334562328,141.0,0.0,19.614457831325296,36.93825808525897,89.21260781378625,1.4247077322178407,706178.2134146342,1593245.9571749594,1.0699627E7,16.0,1.15630238E8,1427533.8024691362,2079908.4225190089,1.0699627E7,31408.0,1.15813227E8,1412356.4268292678,2060858.7902604295,1.0777706E7,31387.0,62,27,0,0,0,0,1640,1660,0.7080365699506845,0.7166711622671562,0.0,697.0,62.61818181818184,110.16392844674884,12136.091130820398,0,0,0,89,165,0,0,0,1.0121951219512195,62.61818181818182,106.14634146341463,19.6144578313253,0,0,0,0,0,0,0,52,0,9,0,64680,62,0,1.89280375E7,1.7648372905783515E7,4.5211148E7,7193418.0,8413924.75,1975477.1380424143,1.0699627E7,5885744.0,236336752,0
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,6,2015-06-03 19:03:30.464505,562730,3,3,379.0,4.0,377.0,0.0,126.33333333333334,217.08600446213322,4.0,0.0,1.3333333333333333,2.309401076758503,680.6105947790237,10.662306967817605,112546.0,154173.4045952803,291505.0,55.0,562730.0,281365.0,14417.907268393705,291560.0,271170.0,271157.0,135578.5,191578.5615472149,271045.0,112.0,2,1,0,0,0,0,96,96,5.331153483908802,5.331153483908802,0.0,377.0,63.83333333333333,153.42805045579723,23540.166666666664,0,0,0,3,6,0,0,0,1.0,63.833333333333336,126.33333333333333,1.3333333333333333,0,0,0,0,0,0,0,63,0,0,1444,83,1,32,0,0,0,0,0,0,0,0,120625655,0
10.8.8.178-134.170.25.26-54269-443-6,10.8.8.178,54269,134.170.25.26,443,6,2015-06-03 19:04:31.853840,124,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8064.516129032258,16129.032258064515,124.0,0.0,124.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20,8064.516129032258,8064.516129032258,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,64931,0,0,0,0,0,0,0,0,0,0,121410471,0
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,2015-06-03 19:04:56.314355,119972879,186,182,18230.0,4215.0,809.0,0.0,98.01075268817203,113.49165890280872,369.0,0.0,23.15934065934065,42.25353488896036,187.08394919821836,3.0673599155689177,326901.5776566756,1393827.3732033835,1.8876264E7,22.0,1.19972879E8,648502.0486486484,1927033.5237016738,1.8876291E7,124.0,1.19940815E8,662656.4364640877,1945355.7929715447,1.8876326E7,2588.0,143,67,0,0,0,0,3720,3640,1.550350392108203,1.5170095234607148,0.0,809.0,60.991847826086946,93.68925062503045,8777.675682679768,0,0,0,210,368,0,0,0,0.978494623655914,60.99184782608695,98.01075268817205,23.15934065934066,603,5,611,0,0,0,0,49,0,11,16384,64680,142,20,2506812.8333333335,2526860.011356499,6166933.0,150028.0,9912138.166666668,4745529.241248374,1.8876264E7,6166149.0,360507800,0
10.8.8.178-157.56.52.13-56909-40011-6,10.8.8.178,56909,157.56.52.13,40011,6,2015-06-03 19:05:30.473090,714395,2,2,2.0,2.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.4142135623730951,5.599143331070346,5.599143331070346,238131.6666666667,212106.3642664532,406997.0,68.0,714395.0,714395.0,0.0,714395.0,714395.0,406997.0,406997.0,0.0,406997.0,406997.0,1,1,0,0,0,0,64,64,2.799571665535173,2.799571665535173,0.0,2.0,1.0,1.1547005383792515,1.3333333333333333,0,0,0,2,4,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1444,83,0,32,0,0,0,0,0,0,0,0,240785905,0
10.8.8.178-134.170.25.26-54269-443-6,10.8.8.178,54269,134.170.25.26,443,6,2015-06-03 19:06:32.064743,50,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20000.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20,20000.0,20000.0,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,64931,0,0,0,0,0,0,0,0,0,0,241621300,0
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,2015-06-03 19:06:56.341940,119845062,276,274,28958.0,8107.0,285.0,0.0,104.9202898550725,98.65322639292572,159.0,0.0,29.587591240875916,39.04455977029937,309.2743195376711,4.58925875477456,218297.01639344255,439288.8481766817,2328991.0,21.0,1.19741305E8,435422.9272727272,592923.0748532744,2339569.0,4059.0,1.19845062E8,438992.9010989013,585819.3039205682,2329103.0,13254.0,199,124,0,0,0,0,5520,5480,2.302973484214143,2.2862852705604175,0.0,285.0,67.39090909090916,83.99098913575577,7054.486256002643,0,0,0,323,550,0,0,0,0.9927536231884058,67.39090909090909,104.92028985507247,29.587591240875913,415,4,476,0,0,0,0,52,0,14,0,64680,199,0,0,0,0,0,0,0,0,0,480407568,0
