Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.152.152.11-173.194.112.32-38573-443-6,10.152.152.11,38573,173.194.112.32,443,6,2015-07-24 19:09:29.283079,119463368,522,562,330490.0,65432.0,1460.0,0.0,633.1226053639843,580.8273008917068,1460.0,0.0,116.42704626334523,260.1744084883411,3314.1707506522,9.073911259558662,110307.8190212373,640132.1912000384,7964376.0,0.0,1.19462964E8,229295.51631477923,909647.3583659814,7964921.0,1.0,1.19462996E8,212946.51693404635,877556.4463479564,7964675.0,0.0,338,129,0,0,0,0,10440,11240,4.3695402928871045,4.704370966671557,0.0,1460.0,365.2416974169741,513.8800682441139,264072.72453857516,0,0,0,467,1084,0,0,0,1.0766283524904214,365.24169741697415,633.1226053639847,116.42704626334519,7951,9,21075,7544,10,20536,0,304,0,60,2640,8603,462,20,8285447.428571428,8192383.477651359,2.2769265E7,2259047.0,7122301.142857143,1001464.2540218178,7964376.0,5099757.0,119463368,0
173.194.78.189-10.152.152.11-443-42836-6,173.194.78.189,443,10.152.152.11,42836,6,2015-07-24 19:09:28.774413,119375947,164,134,63299.0,48344.0,1460.0,0.0,385.9695121951218,523.0311656983597,1460.0,0.0,360.7761194029851,526.6394472457926,935.2219002710823,2.4963152753041618,401939.2154882155,2012152.9416091086,2.4701014E7,0.0,1.19375944E8,732367.7546012269,2675020.9316347805,2.4702695E7,0.0,1.19375916E8,897563.2781954886,2939521.1432305607,2.4701148E7,10.0,66,56,0,0,0,0,3280,2680,1.3738110911069883,1.1225041841971735,0.0,1460.0,374.64093959731565,523.9219445441006,274494.20397487166,0,0,0,122,298,0,0,0,0.8170731707317073,374.6409395973154,385.969512195122,360.7761194029851,9314,9,23457,3262,4,12110,0,212,0,162,2640,5063,88,20,7320420.833333333,7805421.001578798,1.6759331E7,57.0,1.2559534333333332E7,6683080.34804271,2.4701014E7,7450730.0,119375947,0
10.152.152.11-173.194.112.36-41507-443-6,10.152.152.11,41507,173.194.112.36,443,6,2015-07-24 19:09:35.076878,108847032,704,775,292750.0,423097.0,1460.0,0.0,415.8380681818183,594.3205972522836,1460.0,0.0,545.9316129032264,608.8359794223126,6576.633159827454,13.587876240851473,73644.81190798378,550760.8904684176,1.325562E7,0.0,1.08846612E8,154831.59601706977,793794.709333014,1.3255869E7,0.0,1.08846711E8,140628.82558139524,755544.4313909493,1.3255762E7,0.0,246,291,0,0,0,0,14080,15500,6.467792341825177,7.120083899026296,0.0,1460.0,484.0074374577412,605.2667854272192,366347.8815413994,0,0,0,537,1479,0,0,0,1.1008522727272727,484.00743745774173,415.8380681818182,545.9316129032258,6112,6,37799,13605,13,46296,0,197,0,286,10605,8686,346,20,1.10051796E7,9552863.695733195,2.3360062E7,2728660.0,8490891.6,3167002.9398632236,1.325562E7,5581448.0,108847032,0
10.152.152.11-173.194.112.32-38578-443-6,10.152.152.11,38578,173.194.112.32,443,6,2015-07-24 19:09:28.930558,93501840,41,53,16388.0,3705.0,901.0,0.0,399.70731707317077,415.7085664201809,414.0,0.0,69.90566037735846,115.08128634727706,214.8941667885894,1.0053278095917684,1005396.129032258,5828084.070890062,4.5037016E7,8.0,9.3501575E7,2337539.375,8771421.844327286,4.5037387E7,173.0,9.3500519E7,1798086.903846154,7734621.033218561,4.5037281E7,14.0,36,17,0,0,0,0,820,1060,0.4384940446091756,0.5668337649825929,0.0,901.0,213.7553191489361,329.80338509612784,108770.27282086479,0,0,0,53,94,0,0,0,1.2926829268292683,213.75531914893617,399.7073170731707,69.90566037735849,3617,5,5479,0,0,0,0,174,0,39,2640,2640,35,20,2979106.6666666665,2275347.169040438,5421587.0,919462.0,2.8188085E7,2.0371161562593356E7,4.5037016E7,5548509.0,93501840,0
10.152.152.11-173.194.112.33-54493-443-6,10.152.152.11,54493,173.194.112.33,443,6,2015-07-24 19:09:46.650394,76038113,60,60,24194.0,16134.0,1460.0,0.0,403.2333333333332,599.7773419253227,1460.0,0.0,268.90000000000003,460.43817376973294,530.3656075736651,1.5781559439803563,638975.7394957986,4418371.270969641,4.5054712E7,1.0,7.6037888E7,1288777.7627118644,6234725.815513637,4.5054932E7,9.0,7.6037703E7,1288774.6271186443,6234384.739481794,4.5054937E7,1.0,26,19,0,0,0,0,1200,1200,0.7890779719901782,0.7890779719901782,0.0,1460.0,336.0666666666666,536.6703874464332,288015.1047619047,0,0,0,45,120,0,0,0,1.0,336.06666666666666,403.23333333333335,268.9,3997,5,3812907,4605,6,10727,0,201,0,134,2640,2640,34,20,1911082.6666666667,48901.020054118846,1967471.0,1880324.0,2.343488E7,1.872755478757235E7,4.5054712E7,1.2226898E7,76038113,0
10.152.152.11-173.194.112.33-54492-443-6,10.152.152.11,54492,173.194.112.33,443,6,2015-07-24 19:09:31.502632,96036713,40,45,15137.0,2587.0,1460.0,0.0,378.425,446.1123744540445,479.0,0.0,57.488888888888894,116.81952324034289,184.5544213909112,0.8850781887964032,1143294.202380953,4866178.480415619,3.6145317E7,0.0,9.6036339E7,2462470.2307692296,6956856.514815969,3.6145554E7,8.0,9.6036411E7,2182645.7045454546,6586918.58991697,3.6145566E7,0.0,29,13,0,0,0,0,800,900,0.4165073829630133,0.46857080583338995,0.0,1460.0,208.51764705882346,354.28111691695005,125515.10980392163,0,0,0,42,85,0,0,0,1.125,208.51764705882354,378.425,57.48888888888889,2175,4,6993569,0,0,0,0,178,0,30,2640,2640,31,20,1601348.25,1659883.0132229952,4085361.0,621498.0,2.021975825E7,1.1735704223135408E7,3.6145317E7,8509629.0,96036713,0
10.152.152.11-173.194.112.44-45302-443-6,10.152.152.11,45302,173.194.112.44,443,6,2015-07-24 19:09:46.528402,81281179,8,8,415.0,1865.0,277.0,0.0,51.87500000000001,96.15677303237666,1298.0,0.0,233.12499999999997,463.3404911231973,28.050774214286434,0.19684753834586974,5418745.266666666,1.4266100712526683E7,4.5131552E7,0.0,8.1279896E7,1.1611413714285713E7,1.9774055375279106E7,4.5131781E7,194.0,8.1280588E7,1.161151257142857E7,1.9774242319493037E7,4.5132835E7,0.0,3,3,0,0,0,0,160,160,0.09842376917293487,0.09842376917293487,0.0,1298.0,142.5,336.5432116880882,113261.33333333334,0,0,0,6,16,0,0,0,1.0,142.5,51.875,233.125,0,0,0,0,0,0,0,25,0,116,2190,1181,3,20,378886.0,534989.91957793,757181.0,591.0,4.0261062E7,6887913.013402536,4.5131552E7,3.5390572E7,81281179,0
10.152.152.11-173.194.112.35-48600-443-6,10.152.152.11,48600,173.194.112.35,443,6,2015-07-24 19:09:32.061381,98548440,31,31,27334.0,680.0,1460.0,0.0,881.741935483871,672.5628579169849,271.0,0.0,21.93548387096774,61.539112486218045,284.2662958439525,0.6291322318242684,1615548.1967213117,8110941.764818172,4.5151158E7,1.0,9.8548211E7,3284940.3666666667,1.1421231027885571E7,4.5151407E7,67.0,9.8547967E7,3284932.233333333,1.1421075648140496E7,4.5151229E7,1.0,14,5,0,0,0,0,620,620,0.3145661159121342,0.3145661159121342,0.0,1460.0,451.8387096774194,642.0060311638566,412171.74405076687,0,0,0,19,62,0,0,0,1.0,451.83870967741933,881.741935483871,21.93548387096774,13598,11,7548154,0,0,0,0,440,0,10,2257,2640,23,20,324016.3333333334,560935.6307468205,971729.0,71.0,3.2167104666666664E7,2.237174087701691E7,4.5151158E7,6334562.0,98548440,0
10.152.152.11-74.125.133.188-52276-5228-6,10.152.152.11,52276,74.125.133.188,5228,6,2015-07-24 19:09:40.640678,90112430,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658348909245927,1.8022486E7,2.4677641199126944E7,4.5055862E7,464.0,9.0111924E7,4.5055962E7,514.7737367038065,4.5056326E7,4.5055598E7,9.0111945E7,4.50559725E7,559.3214639185591,4.5056368E7,4.5055577E7,0,0,0,0,0,0,60,60,0.033291744546229636,0.033291744546229636,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2257,1114,0,20,474.5,14.849242404917497,485.0,464.0,4.50554875E7,529.622979108724,4.5055862E7,4.5055113E7,90112430,0
10.152.152.11-173.194.112.59-35575-443-6,10.152.152.11,35575,173.194.112.59,443,6,2015-07-24 19:09:49.600556,82303953,14,15,1048.0,903.0,245.0,0.0,74.85714285714286,92.09598432977592,255.0,0.0,60.2,97.86667315427512,23.704815247452327,0.35235245626659023,2939426.8928571427,9612752.614612855,4.511018E7,0.0,8.230367E7,6331051.538461538,1.3589200130622398E7,4.5110777E7,168.0,8.2303283E7,5878805.928571427,1.3164837585317895E7,4.5110463E7,0.0,8,5,0,0,0,0,280,300,0.17010118578387115,0.18225127048271908,0.0,255.0,67.27586206896551,93.71457294501218,8782.421182266009,0,0,0,13,29,0,0,0,1.0714285714285714,67.27586206896552,74.85714285714286,60.2,0,0,0,0,0,0,0,36,0,31,2190,1315,8,20,806310.3333333334,893129.5918971297,1766704.0,670.0,2.6628246333333336E7,1.743558027110662E7,4.511018E7,1.0472581E7,82303953,0
