Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:29:08.275630,15161974,15,10,1688.0,1086.0,609.0,0.0,112.53333333333335,154.77858225158133,336.0,0.0,108.60000000000002,98.85927146988064,182.95770722202795,1.648861817069466,631748.9166666667,2436658.725989465,1.1840593E7,10.0,1.5161974E7,1082998.142857143,3158825.9664063086,1.1840593E7,14.0,1.4959593E7,1662177.0,3991387.105661796,1.2058597E7,226.0,9,8,0,0,0,0,312,224,0.9893170902416796,0.6595447268277864,0.0,609.0,110.96000000000002,132.8283604255256,17643.373333333333,0,2,0,17,24,0,0,0,0.6666666666666666,110.96,112.53333333333333,108.6,0,0,0,0,0,0,0,67,0,43,8192,251,9,20,3118961.0,0.0,3118961.0,3118961.0,1.1840593E7,0.0,1.1840593E7,1.1840593E7,15161974,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:31:23.446915,269,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3717.4721189591082,7434.9442379182165,269.0,0.0,269.0,269.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3717.4721189591082,3717.4721189591082,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,135171554,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:33:23.456017,333,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3003.003003003003,6006.006006006006,333.0,0.0,333.0,333.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3003.003003003003,3003.003003003003,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,255180720,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:35:23.465576,291,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3436.426116838488,6872.852233676976,291.0,0.0,291.0,291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3436.426116838488,3436.426116838488,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,375190237,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:37:25.271532,2594641,1,3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.156229320356843,1.5416390938091242,864880.3333333333,822508.5122053956,1695575.0,50810.0,0,0,0,0,0,2543831.0,1271915.5,599145.0107282043,1695575.0,848256.0,0,0,0,0,0,0,32,60,0.38540977345228106,1.156229320356843,0.0,1.0,0.75,0.5,0.25,0,0,0,0,4,0,0,0,3.0,0.75,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,499590543,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:39:27.869487,290,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3448.2758620689656,6896.551724137931,290.0,0.0,290.0,290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3448.2758620689656,3448.2758620689656,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,619594147,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:41:27.879989,258,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3875.9689922480625,7751.937984496125,258.0,0.0,258.0,258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3875.9689922480625,3875.9689922480625,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,739604617,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:43:27.890797,118887074,28599,86153,652621.0,2.71482268E8,1460.0,0.0,22.819713976013038,56.1680302956291,26280.0,0.0,3151.164416793339,5153.610835201402,2289019.9905163785,965.218472783677,1036.0439037568176,169737.94313116858,5.5397847E7,-34.0,1.186847E8,4150.104902440716,339993.76668857277,5.5397847E7,0.0,1.18887074E8,1379.968822546195,197235.8257153012,5.5398335E7,0.0,5045,5051,0,0,0,0,572304,1723144,240.5560086372384,724.6624641464387,0.0,26280.0,2371.5045402258784,4666.079472637286,2.177229764496705E7,0,0,0,10096,114752,0,0,0,3.0124479876918775,2371.5045402258784,22.819713976013148,3151.164416793379,2335,19,2782868,1282348,403,68172709,0,5,0,2365,0,254,5045,0,5065166.5,5734090.824178988,1.0094786E7,243.0,1.95804305E7,2.3920991461598944E7,5.5397847E7,5801429.0,978502241,normal
192.168.10.103-192.168.10.100-50169-445-6,192.168.10.103,50169,192.168.10.100,445,6,2022-07-27 08:44:18.487763,117062323,20959,185587,664979.0,5.46493999E8,643.0,0.0,31.72761105014569,68.7303773735039,26280.0,0.0,2944.6782317727157,5500.72912231043,4674082.693540944,1764.410569573269,566.7642547628868,48267.89278958991,1.2953255E7,-277.0,1.17062323E8,5585.567468269849,152327.4382165717,1.2953255E7,0.0,1.17062093E8,630.7700634746298,53474.73794264443,1.3001771E7,0.0,4527,4458,0,0,0,0,430632,3711824,179.04138123074833,1585.3691883425206,0.0,26280.0,2649.090168775949,5287.88756997781,2.796175495272583E7,0,2,0,8985,206545,0,0,0,8.854764063170952,2649.090168775963,31.727611050145523,2944.6782317726997,729,5,504982,406374,136,140232335,0,3,0,2645,64240,255,4527,20,1.449995525E7,1.6941733289754473E7,3.8912863E7,2946938.0,8547940.5,3372853.3370712996,1.2953255E7,5293133.0,117062323,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:45:29.083494,116813174,83435,247039,1978972.0,8.29813578E8,300.0,0.0,23.718727152873328,52.06440523713191,26280.0,0.0,3359.038767158216,5312.081080477209,7120708.405714581,2829.081589718639,353.47267098976863,29664.036914341686,7755582.0,-1248.0,1.16811616E8,1400.0481338542968,59568.249957164575,7757590.0,0.0,1.16605695E8,472.0152162825227,34742.44999739143,7756789.0,0.0,15775,15203,0,0,0,0,1674976,4940780,714.2601912349372,2114.8213984837016,0.0,26280.0,2516.9682032474598,4816.024986298675,2.319409666865315E7,0,0,0,30978,330474,0,0,0,2.960855755977707,2516.9682032474566,23.718727152873495,3359.038767158222,2165,18,5367713,1425557,419,218468873,0,5,0,2510,0,252,15775,0,3.1507366E7,9439549.013928737,3.992934E7,2.1304063E7,6601085.0,1097170.8320343737,7755582.0,5572022.0,1097621038,normal
192.168.10.103-192.168.10.100-50169-445-6,192.168.10.103,50169,192.168.10.100,445,6,2022-07-27 08:46:21.057900,119929200,21764,195678,639881.0,5.76853246E8,316.0,0.0,29.40089138026104,66.0926351468502,26280.0,0.0,2947.971902819941,5507.0147749339185,4815283.742408021,1813.0863876353717,551.5482360732456,35472.4691323523,8006969.0,-515.0,1.199292E8,5510.692459679304,112899.39007498714,8009182.0,0.0,1.19882557E8,612.6553299570146,37652.90021963926,8007084.0,0.0,4398,4293,0,0,0,0,444748,3913560,181.47373617100757,1631.612651464364,0.0,26280.0,2655.849040203865,5297.112545843061,2.8059401323327955E7,0,0,0,8691,217442,0,0,0,8.990902407645653,2655.8490402038246,29.40089138026098,2947.971902819939,676,5,994401,468035,157,435257753,0,2,0,2652,65534,252,4397,20,3.74611025E7,3.1698572402866986E7,5.9875378E7,1.5046827E7,6656350.0,1910063.7073987874,8006969.0,5305731.0,242499337,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:47:31.238678,60290112,37530,109409,866853.0,3.51961898E8,300.0,0.0,23.097601918465482,51.76720300943655,26280.0,0.0,3216.9373451909782,5159.958822674121,5852182.709496376,2437.198988782771,410.30987219099217,23580.85915368584,3895552.0,-583.0,6.0290112E7,1606.4939646673126,47203.30615266758,3895552.0,0.0,6.009137E7,549.2410975431417,27662.373262084493,3896101.0,0.0,6885,6552,0,0,0,0,755412,2188180,622.4901356958833,1814.7088530868875,0.0,26280.0,2401.1919980400194,4665.335328727573,2.176535372947361E7,0,0,0,13437,146939,0,0,0,2.9152411404209966,2401.191998040003,23.097601918465227,3216.9373451909805,2414,20,5355933,1510032,464,297997793,0,5,0,2395,256,256,6884,20,0,0,0,0,0,0,0,0,1163253160,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:50:31.540339,277,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3610.1083032490974,7220.216606498195,277.0,0.0,277.0,277.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3610.1083032490974,3610.1083032490974,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,1283264986,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:52:31.551359,221,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4524.886877828054,9049.773755656108,221.0,0.0,221.0,221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4524.886877828054,4524.886877828054,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,1403275950,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:54:31.563519,225,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4444.444444444444,8888.888888888889,225.0,0.0,225.0,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4444.444444444444,4444.444444444444,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,1523288114,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 08:56:31.574725,119994737,2,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01666739767094952,0.03333479534189904,3.999824566666667E7,6.927856762378974E7,1.19994245E8,243.0,1.19994494E8,1.19994494E8,0.0,1.19994494E8,1.19994494E8,1.19994488E8,1.19994488E8,0.0,1.19994488E8,1.19994488E8,0,0,0,0,0,0,64,40,0.01666739767094952,0.01666739767094952,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,4,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,243.0,0.0,243.0,243.0,1.19994245E8,0.0,1.19994245E8,1.19994245E8,1763293832,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 09:00:31.580521,339,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2949.8525073746314,5899.705014749263,339.0,0.0,339.0,339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,2949.8525073746314,2949.8525073746314,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,1883305230,normal
192.168.10.102-192.168.10.100-49156-445-6,192.168.10.102,49156,192.168.10.100,445,6,2022-07-27 09:02:31.595448,230,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4347.826086956522,8695.652173913044,230.0,0.0,230.0,230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4347.826086956522,4347.826086956522,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,2003320048,normal
