Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.244.3-47498-53-17,131.202.240.150,47498,131.202.244.3,53,17,02/04/2015 08:08:02 PM,440,1,1,45.0,188.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,0.0,529545.4545454545,4545.454545454545,440.0,0.0,440.0,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2272.7272727272725,2272.7272727272725,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,1.0,139.0,45.0,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-65475-53-17,131.202.240.150,65475,131.202.244.5,53,17,02/04/2015 08:08:07 PM,298,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,664429.5302013423,6711.4093959731545,298.0,0.0,298.0,298.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3355.7046979865772,3355.7046979865772,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-47498-53-17,131.202.240.150,47498,131.202.244.5,53,17,02/04/2015 08:08:02 PM,360,1,1,45.0,188.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,0.0,647222.2222222221,5555.555555555556,360.0,0.0,360.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2777.777777777778,2777.777777777778,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,1.0,139.0,45.0,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-23501-53-17,131.202.240.150,23501,131.202.244.5,53,17,02/04/2015 08:08:08 PM,278,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,712230.2158273382,7194.244604316547,278.0,0.0,278.0,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3597.1223021582737,3597.1223021582737,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-28770-53-17,131.202.240.150,28770,131.202.244.5,53,17,02/04/2015 08:08:08 PM,375,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,528000.0,5333.333333333333,375.0,0.0,375.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2666.6666666666665,2666.6666666666665,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-14180-53-17,131.202.240.150,14180,131.202.244.5,53,17,02/04/2015 08:08:08 PM,392,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,505102.04081632657,5102.040816326531,392.0,0.0,392.0,392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2551.0204081632655,2551.0204081632655,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-57302-53-17,131.202.240.150,57302,131.202.244.5,53,17,02/04/2015 08:08:07 PM,389,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,508997.4293059126,5141.388174807198,389.0,0.0,389.0,389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2570.694087403599,2570.694087403599,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-216.58.219.195-60101-443-6,131.202.240.150,60101,216.58.219.195,443,6,02/04/2015 08:08:09 PM,25542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30240388379924,25542.0,0.0,25542.0,25542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.15120194189962,39.15120194189962,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,245,358,0,32,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-1481-53-17,131.202.240.150,1481,131.202.244.5,53,17,02/04/2015 08:08:07 PM,301,1,1,35.0,163.0,35.0,35.0,35.0,0.0,163.0,163.0,163.0,0.0,657807.3089700997,6644.518272425249,301.0,0.0,301.0,301.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3322.2591362126245,3322.2591362126245,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,35.0,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.240.72-44471-22-6,131.202.240.150,44471,131.202.240.72,22,6,02/04/2015 08:08:02 PM,6386827,48,26,1056.0,1488.0,48.0,0.0,22.0,24.169613417801234,128.0,48.0,57.23076923076924,23.590350047945776,398.31985428758287,11.58634796276774,87490.78082191784,187160.83255750375,1117983.0,7.0,6386827.0,135889.93617021278,219337.2430815758,1117983.0,410.0,6384916.0,255396.63999999998,246315.6826812698,1118370.0,18923.0,1,0,0,0,1536,832,7.515468948822318,4.070879013945422,0.0,128.0,34.559999999999995,29.05830113521547,844.3848648648647,0,0,0,48,74,0,0,0,0.0,35.027027027027025,22.0,57.23076923076923,0,0,0,2368,45,455,48,1056,26,1488,1002,249,21,32,0,0,0,0,0,0,0,0,normal
