Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-224.0.0.252-50899-5355-17,131.202.240.242,50899,224.0.0.252,5355,17,05/05/2015 12:21:35 AM,411064,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.03929315143141,4.865422415974155,411064.0,0.0,411064.0,411064.0,411064.0,411064.0,0.0,411064.0,411064.0,0,0,0,0,0,0,0,0,0,16,0,4.865422415974155,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-224.0.0.252-52678-5355-17,131.202.240.242,52678,224.0.0.252,5355,17,05/05/2015 12:21:35 AM,410743,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.12294549146303,4.8692247950665015,410743.0,0.0,410743.0,410743.0,410743.0,410743.0,0.0,410743.0,410743.0,0,0,0,0,0,0,0,0,0,16,0,4.8692247950665015,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-224.0.0.252-57510-5355-17,131.202.240.242,57510,224.0.0.252,5355,17,05/05/2015 12:22:37 AM,410837,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.09843563262315,4.86811071057378,410837.0,0.0,410837.0,410837.0,410837.0,410837.0,0.0,410837.0,410837.0,0,0,0,0,0,0,0,0,0,16,0,4.86811071057378,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-224.0.0.252-49172-5355-17,131.202.240.242,49172,224.0.0.252,5355,17,05/05/2015 12:21:52 AM,410538,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.17643677320979,4.871656216964081,410538.0,0.0,410538.0,410538.0,410538.0,410538.0,0.0,410538.0,410538.0,0,0,0,0,0,0,0,0,0,16,0,4.871656216964081,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,17,05/05/2015 12:21:09 AM,90031910,16,16,1264.0,1504.0,79.0,79.0,79.0,0.0,94.0,94.0,94.0,0.0,30.744654867368695,0.35542953603894445,2904255.1612903234,9005775.837174986,2.9970372E7,44.0,9.0001395E7,6000092.999999999,1.2421263911262993E7,3.0000428E7,44.0,9.0023645E7,6001576.333333333,1.240911617269678E7,2.9978814E7,6994.0,0,0,0,0,128,128,0.17771476801947222,0.17771476801947222,79.0,94.0,86.27272727272725,7.612788283838287,57.95454545454549,0,0,0,0,0,0,0,0,1.0,88.96875,79.0,94.0,0,0,0,692,8,22680,5,421,5,501,0,0,15,8,30458.666666666668,359.7628848746537,30872.0,30216.0,2.9969955333333332E7,490.338998381052,2.9970372E7,2.9969415E7,normal
131.202.240.242-224.0.0.252-57603-5355-17,131.202.240.242,57603,224.0.0.252,5355,17,05/05/2015 12:20:54 AM,411189,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.00675358533424,4.86394334478792,411189.0,0.0,411189.0,411189.0,411189.0,411189.0,0.0,411189.0,411189.0,0,0,0,0,0,0,0,0,0,16,0,4.86394334478792,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-77.72.169.130-15647-11113-17,131.202.240.242,15647,77.72.169.130,11113,17,05/05/2015 12:21:08 AM,100145079,6,6,378.0,255.0,108.0,18.0,63.0,49.29503017546495,67.0,18.0,42.5,26.83840531775314,6.3208298033296275,0.11982615740909247,9104098.09090909,2.0152339502712913E7,4.9864219E7,62.0,1.00145079E8,2.00290158E7,2.723550666727036E7,4.9864219E7,137774.0,1.00007039E8,2.00014078E7,2.738787943224122E7,5.0005185E7,117.0,0,0,0,0,48,48,0.059913078704546235,0.059913078704546235,18.0,108.0,57.0,40.650953248355684,1652.4999999999998,0,0,0,0,0,0,0,0,1.0,61.75,63.0,42.5,0,0,0,211,4,1517,3,189,3,127,0,0,5,8,137973.0,281.4284989122459,138172.0,137774.0,4.98640185E7,283.5498192558056,4.9864219E7,4.9863818E7,normal
131.202.240.242-224.0.0.252-52646-5355-17,131.202.240.242,52646,224.0.0.252,5355,17,05/05/2015 12:21:00 AM,413680,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.3624057242313,4.834654805646877,413680.0,0.0,413680.0,413680.0,413680.0,413680.0,0.0,413680.0,413680.0,0,0,0,0,0,0,0,0,0,16,0,4.834654805646877,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-224.0.0.252-51304-5355-17,131.202.240.242,51304,224.0.0.252,5355,17,05/05/2015 12:22:39 AM,414131,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.24657415165731,4.8293897341662415,414131.0,0.0,414131.0,414131.0,414131.0,414131.0,0.0,414131.0,414131.0,0,0,0,0,0,0,0,0,0,16,0,4.8293897341662415,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
131.202.240.242-224.0.0.252-58402-5355-17,131.202.240.242,58402,224.0.0.252,5355,17,05/05/2015 12:21:37 AM,410562,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,107.17017161841574,4.8713714372007155,410562.0,0.0,410562.0,410562.0,410562.0,410562.0,0.0,410562.0,410562.0,0,0,0,0,0,0,0,0,0,16,0,4.8713714372007155,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
