Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
54.240.190.206-10.8.8.138-443-55583-6,54.240.190.206,443,10.8.8.138,55583,6,25/05/2015 02:15:17 AM,1417415,2,3,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,21.870800012699174,3.5275483891450277,354353.75,682582.4988182137,1377847.0,23.0,64.0,64.0,0.0,64.0,64.0,1417374.0,708687.0,946335.1473975803,1377847.0,39527.0,1,0,0,0,64,96,1.411019355658011,2.1165290334870166,0.0,31.0,10.333333333333332,16.00833116432399,256.26666666666665,2,0,0,1,5,0,0,0,1.0,12.4,15.5,0.0,0,0,0,0,0,0,2,31,3,0,192,539,0,32,0,0,0,0,0,0,0,0,normal
54.240.190.206-10.8.8.138-443-55584-6,54.240.190.206,443,10.8.8.138,55584,6,25/05/2015 02:15:17 AM,1390564,2,3,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,22.293112722607518,3.5956633423560516,347641.0,671097.8085808357,1353958.0,50.0,115.0,115.0,0.0,115.0,115.0,1390499.0,695249.5,931554.4943504379,1353958.0,36541.0,1,0,0,0,64,96,1.4382653369424205,2.157398005413631,0.0,31.0,10.333333333333332,16.00833116432399,256.26666666666665,2,0,0,1,5,0,0,0,1.0,12.4,15.5,0.0,0,0,0,0,0,0,2,31,3,0,192,539,0,32,0,0,0,0,0,0,0,0,normal
10.8.8.138-104.156.85.217-33974-443-6,10.8.8.138,33974,104.156.85.217,443,6,25/05/2015 02:15:00 AM,18980257,7,4,568.0,187.0,517.0,0.0,81.14285714285714,193.13244900104917,156.0,0.0,46.75,74.28492444635049,39.778175817113535,0.5795495814413892,1898025.7000000002,5800033.882871663,1.8403936E7,10.0,1.8980257E7,3163376.1666666665,7550601.202671862,1.8575394E7,406.0,1.8847106E7,6282368.666666667,1.0616669412985144E7,1.8541422E7,133401.0,0,0,0,0,220,136,0.3688042790990659,0.2107453023423234,0.0,517.0,62.91666666666667,150.05602489090737,22516.810606060608,1,2,1,4,9,0,0,0,0.0,68.63636363636364,81.14285714285714,46.75,0,0,0,0,0,0,7,568,4,187,29200,31,2,20,438811.0,0.0,438811.0,438811.0,1.8403936E7,0.0,1.8403936E7,1.8403936E7,normal
104.156.85.217-10.8.8.138-443-33974-6,104.156.85.217,443,10.8.8.138,33974,6,25/05/2015 02:15:19 AM,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,31,0,0,32,0,0,0,0,0,0,0,0,normal
10.8.8.138-64.233.181.120-57517-443-6,10.8.8.138,57517,64.233.181.120,443,6,25/05/2015 02:15:20 AM,13868528,2,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,4.542659466094744,0.3605285290551384,3467132.0,6781493.253954372,1.3638067E7,8.0,1.386852E7,1.386852E7,0.0,1.386852E7,1.386852E7,1.3638098E7,6819049.0,9643547.737666259,1.3638067E7,31.0,0,0,0,0,64,96,0.14421141162205536,0.21631711743308302,0.0,63.0,10.5,25.71964229922337,661.5,1,0,0,1,5,0,0,0,1.0,12.6,0.0,21.0,0,0,0,0,0,0,2,0,3,63,317,350,0,32,230430.0,0.0,230430.0,230430.0,1.3638067E7,0.0,1.3638067E7,1.3638067E7,normal
10.8.8.138-23.235.46.143-38081-443-6,10.8.8.138,38081,23.235.46.143,443,6,25/05/2015 02:15:30 AM,10429452,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711762036969919,1738242.0,3540405.231277233,8918358.0,19.0,1.0217091E7,3405697.0,4793740.5517154345,8918358.0,215921.0,1.0213558E7,5106779.0,5690737.392233277,9130738.0,1082820.0,0,0,0,0,136,112,0.38352925925542397,0.28764694444156796,0.0,0.0,0.0,0.0,0.0,2,3,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,29200,29,0,32,1298733.0,0.0,1298733.0,1298733.0,8918358.0,0.0,8918358.0,8918358.0,normal
10.8.8.138-38.65.20.18-36314-443-6,10.8.8.138,36314,38.65.20.18,443,6,25/05/2015 02:15:01 AM,39519111,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07591263882428934,1.97595555E7,2.7657513716928363E7,3.9316371E7,202740.0,0,0,0,0,0,3.9316371E7,3.9316371E7,0.0,3.9316371E7,3.9316371E7,0,0,0,0,32,52,0.02530421294142978,0.05060842588285956,0.0,0.0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,360,0,0,32,202740.0,0.0,202740.0,202740.0,3.9316371E7,0.0,3.9316371E7,3.9316371E7,normal
10.8.8.138-23.235.33.217-44714-443-6,10.8.8.138,44714,23.235.33.217,443,6,25/05/2015 02:15:30 AM,15953573,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.943138380349029,0.31340941618532725,3988393.2500000005,7889054.001506998,1.5821607E7,37.0,1.595353E7,1.595353E7,0.0,1.595353E7,1.595353E7,1.5821687E7,7910843.5,1.1187509030426053E7,1.5821607E7,80.0,0,0,0,0,64,96,0.1253637664741309,0.18804564971119636,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,1444,83,0,32,131886.0,0.0,131886.0,131886.0,1.5821607E7,0.0,1.5821607E7,1.5821607E7,normal
10.8.8.138-23.235.44.143-49929-443-6,10.8.8.138,49929,23.235.44.143,443,6,25/05/2015 02:15:32 AM,15961124,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.9422191068749293,0.3132611462701499,3990280.9999999995,7820520.638428663,1.5719822E7,24.0,1.59611E7,1.59611E7,0.0,1.59611E7,1.59611E7,1.5719887E7,7859943.5,1.1115546773304699E7,1.5719822E7,65.0,0,0,0,0,64,96,0.12530445850805996,0.18795668776208993,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,1444,83,0,32,241237.0,0.0,241237.0,241237.0,1.5719822E7,0.0,1.5719822E7,1.5719822E7,normal
10.8.8.138-23.235.44.143-49925-443-6,10.8.8.138,49925,23.235.44.143,443,6,25/05/2015 02:15:32 AM,15995844,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.9380033963822103,0.31258119296487263,3998961.0000000005,7836953.535950561,1.5753141E7,23.0,1.5995707E7,1.5995707E7,0.0,1.5995707E7,1.5995707E7,1.5753301E7,7876650.5,1.113903968900284E7,1.5753141E7,160.0,0,0,0,0,64,96,0.12503247718594904,0.18754871577892357,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,1946,83,0,32,242543.0,0.0,242543.0,242543.0,1.5753141E7,0.0,1.5753141E7,1.5753141E7,normal
