Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-10.152.152.10-22272-53-17,10.152.152.11,22272,10.152.152.10,53,17,25/07/2015 02:16:45 AM,1151111,1,1,32.0,48.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,69.49807620637802,1.7374519051594504,1151111.0,0.0,1151111.0,1151111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.8687259525797252,0.8687259525797252,32.0,48.0,37.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,56.0,32.0,48.0,0,0,0,0,0,0,1,32,1,48,0,0,0,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-10.152.152.10-18866-53-17,10.152.152.11,18866,10.152.152.10,53,17,25/07/2015 01:47:06 AM,237834,1,1,40.0,56.0,40.0,40.0,40.0,0.0,56.0,56.0,56.0,0.0,403.6428769646056,8.409226603429284,237834.0,0.0,237834.0,237834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4.204613301714642,4.204613301714642,40.0,56.0,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,68.0,40.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-31.13.100.97-54459-50002-17,10.152.152.11,54459,31.13.100.97,50002,17,25/07/2015 01:40:57 AM,7960149,18,0,432.0,0.0,28.0,20.0,24.0,4.1159660434202126,0,0,0,0,54.27034091949786,2.2612642049790774,468244.05882352934,641206.9357709794,1547773.0,48093.0,7960149.0,468244.05882352934,641206.9357709794,1547773.0,48093.0,0,0,0,0,0,0,0,0,0,144,0,2.2612642049790774,0.0,20.0,28.0,23.789473684210527,4.103913408340616,16.842105263157894,0,0,0,0,0,0,0,0,0.0,25.11111111111111,24.0,0.0,0,0,0,240,10,154,4,108,0,0,0,0,17,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-69.171.248.98-37574-50197-17,10.152.152.11,37574,69.171.248.98,50197,17,25/07/2015 01:46:57 AM,6471847,7,0,784.0,0.0,112.0,112.0,112.0,0.0,0,0,0,0,121.1400702148861,1.0816077697757687,1078641.1666666665,1093346.1244236275,3229839.0,290500.0,6471847.0,1078641.1666666665,1093346.1244236275,3229839.0,290500.0,0,0,0,0,0,0,0,0,0,56,0,1.0816077697757687,0.0,112.0,112.0,112.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,128.0,112.0,0.0,0,0,0,672,6,207,7,784,0,0,0,0,6,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-173.252.79.82-53935-59334-17,10.152.152.11,53935,173.252.79.82,59334,17,25/07/2015 02:21:46 AM,9818415,9,0,1008.0,0.0,112.0,112.0,112.0,0.0,0,0,0,0,102.66422839124237,0.9166448963503784,1227301.875,1942638.6105671872,5980081.0,292038.0,9818415.0,1227301.875,1942638.6105671872,5980081.0,292038.0,0,0,0,0,0,0,0,0,0,72,0,0.9166448963503784,0.0,112.0,112.0,112.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,124.44444444444444,112.0,0.0,0,0,0,896,8,233,9,1008,0,0,0,0,8,8,3838334.0,0.0,3838334.0,3838334.0,5980081.0,0.0,5980081.0,5980081.0,normal
10.152.152.11-31.13.98.98-35251-3478-17,10.152.152.11,35251,31.13.98.98,3478,17,25/07/2015 02:16:44 AM,44548947,44,0,880.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,19.753553321922514,0.9876776660961257,1036022.0232558138,649853.939915127,1653263.0,100156.0,4.4548947E7,1036022.0232558138,649853.939915127,1653263.0,100156.0,0,0,0,0,0,0,0,0,0,352,0,0.9876776660961257,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.454545454545453,20.0,0.0,0,0,0,100,5,66,1,38,0,0,0,0,43,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-10.152.152.10-14789-53-17,10.152.152.11,14789,10.152.152.10,53,17,25/07/2015 02:27:28 AM,302560,1,1,40.0,56.0,40.0,40.0,40.0,0.0,56.0,56.0,56.0,0.0,317.29243786356426,6.610259122157589,302560.0,0.0,302560.0,302560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.3051295610787945,3.3051295610787945,40.0,56.0,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,68.0,40.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-10.152.152.10-38618-9110-6,10.152.152.11,38618,10.152.152.10,9110,6,25/07/2015 01:58:54 AM,743,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,8075.370121130552,2691.790040376851,743.0,0.0,743.0,743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1345.8950201884254,1345.8950201884254,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,1007,913,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-173.194.113.68-59038-443-6,10.152.152.11,59038,173.194.113.68,443,6,25/07/2015 02:23:51 AM,254,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,23622.04724409449,7874.0157480314965,254.0,0.0,254.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3937.0078740157483,3937.0078740157483,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2640,1321,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-31.13.93.3-42142-443-6,10.152.152.11,42142,31.13.93.3,443,6,25/07/2015 02:23:01 AM,405,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,14814.814814814816,4938.271604938272,405.0,0.0,405.0,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2469.135802469136,2469.135802469136,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,1118,1047,0,20,0,0,0,0,0,0,0,0,normal
