Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-80.220.108.14-38182-6881-6,10.152.152.11,38182,80.220.108.14,6881,6,24/02/2016 05:32:33 AM,210615,2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,28.487999430240013,14.243999715120006,105307.5,148555.35655270057,210352.0,263.0,210352.0,210352.0,0.0,210352.0,210352.0,0,0,0,0,0,0,0,0,0,40,20,9.495999810080004,4.747999905040002,0.0,6.0,1.5,3.0,9.0,1,0,0,0,3,0,0,0,0.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,913,913,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-73.10.218.101-59605-51413-6,10.152.152.11,59605,73.10.218.101,51413,6,24/02/2016 05:39:32 AM,157,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,38216.56050955414,12738.853503184713,157.0,0.0,157.0,157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6369.426751592357,6369.426751592357,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,4100,1917,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-185.45.194.242-57830-20207-6,10.152.152.11,57830,185.45.194.242,20207,6,24/02/2016 06:22:42 AM,319,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,18808.777429467085,6269.592476489028,319.0,0.0,319.0,319.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3134.796238244514,3134.796238244514,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,1047,2640,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-105.109.183.126-43247-23819-6,10.152.152.11,43247,105.109.183.126,23819,6,24/02/2016 06:23:32 AM,156188,2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,38.415243168489255,19.207621584244627,78094.0,109662.3622670969,155637.0,551.0,155637.0,155637.0,0.0,155637.0,155637.0,0,0,0,0,0,0,0,0,0,40,20,12.805081056163086,6.402540528081543,0.0,6.0,1.5,3.0,9.0,1,0,0,0,3,0,0,0,0.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2640,994,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-216.161.26.137-34882-51413-6,10.152.152.11,34882,216.161.26.137,51413,6,24/02/2016 06:20:11 AM,7953,2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,754.4322897019993,377.2161448509996,3976.5,5373.304430236574,7776.0,177.0,7776.0,7776.0,0.0,7776.0,7776.0,0,0,0,0,0,0,0,0,0,40,20,251.4774299006664,125.7387149503332,0.0,6.0,1.5,3.0,9.0,1,0,0,0,3,0,0,0,0.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2640,1943,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-37.187.129.166-9100-9100-17,10.152.152.11,9100,37.187.129.166,9100,17,24/02/2016 05:56:56 AM,9526093,3,0,60.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,6.298489842582893,0.3149244921291447,4763046.5,2222534.9011119036,6334616.0,3191477.0,9526093.0,4763046.5,2222534.9011119036,6334616.0,3191477.0,0,0,0,0,0,0,0,0,0,24,0,0.3149244921291447,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,0.0,0,0,0,0,0,0,1,30,0,0,0,0,2,8,3191477.0,0.0,3191477.0,3191477.0,6334616.0,0.0,6334616.0,6334616.0,normal
10.152.152.11-109.194.173.217-40449-51413-6,10.152.152.11,40449,109.194.173.217,51413,6,24/02/2016 06:23:22 AM,965,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6217.616580310881,2072.538860103627,965.0,0.0,965.0,965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1036.2694300518135,1036.2694300518135,0.0,6.0,2.0,3.4641016151377544,12.0,1,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,980,1296,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-125.164.29.163-9100-39953-17,10.152.152.11,9100,125.164.29.163,39953,17,24/02/2016 05:57:57 AM,9299581,3,0,60.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,6.451903585763703,0.32259517928818515,4649790.5,2184440.23038226,6194423.0,3105158.0,9299581.0,4649790.5,2184440.23038226,6194423.0,3105158.0,0,0,0,0,0,0,0,0,0,24,0,0.32259517928818515,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,0.0,0,0,0,0,0,0,1,30,0,0,0,0,2,8,3105158.0,0.0,3105158.0,3105158.0,6194423.0,0.0,6194423.0,6194423.0,normal
10.152.152.11-177.194.113.154-60769-19900-6,10.152.152.11,60769,177.194.113.154,19900,6,24/02/2016 05:59:55 AM,283534,2,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,21.161483278901294,10.580741639450647,141767.0,198859.64007309277,282382.0,1152.0,282382.0,282382.0,0.0,282382.0,282382.0,0,0,0,0,0,0,0,0,0,40,20,7.053827759633765,3.5269138798168824,0.0,6.0,1.5,3.0,9.0,1,0,0,0,3,0,0,0,0.0,2.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,913,913,0,20,0,0,0,0,0,0,0,0,normal
10.152.152.11-41.130.31.217-9100-57182-17,10.152.152.11,9100,41.130.31.217,57182,17,24/02/2016 06:19:24 AM,9306192,3,0,60.0,0.0,20.0,20.0,20.0,0.0,0,0,0,0,6.447320235817186,0.3223660117908593,4653096.0,2253907.1076728073,6246849.0,3059343.0,9306192.0,4653096.0,2253907.1076728073,6246849.0,3059343.0,0,0,0,0,0,0,0,0,0,24,0,0.3223660117908593,0.0,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.666666666666668,20.0,0.0,0,0,0,0,0,0,1,30,0,0,0,0,2,8,3059343.0,0.0,3059343.0,3059343.0,6246849.0,0.0,6246849.0,6246849.0,normal
