Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-83.34.39.203-3697-1117-17,10.152.152.11,3697,83.34.39.203,1117,17,09/07/2015 10:02:39 PM,20074452,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.483310428598499,0.24907280158880551,5018613.0,19343.71906674975,5040218.0,5000888.0,2.0074452E7,5018613.0,19343.71906674975,5040218.0,5000888.0,0,0,0,0,0,0,0,0,0,40,0,0.24907280158880551,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5018613.0,19343.71906674975,5040218.0,5000888.0,normal
10.152.152.11-130.251.55.144-3697-17438-17,10.152.152.11,3697,130.251.55.144,17438,17,09/07/2015 10:05:24 PM,20100391,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.477524840188432,0.24875138001046848,5025097.75,14429.46752020568,5044263.0,5012545.0,2.0100391E7,5025097.75,14429.46752020568,5044263.0,5012545.0,0,0,0,0,0,0,0,0,0,40,0,0.24875138001046848,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5025097.75,14429.46752020568,5044263.0,5012545.0,normal
10.152.152.11-115.39.103.233-3697-42132-17,10.152.152.11,3697,115.39.103.233,42132,17,09/07/2015 10:04:54 PM,20067592,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.484843024514351,0.24915794580635284,5016898.0,7470.140516304384,5028020.0,5012025.0,2.0067592E7,5016898.0,7470.140516304384,5028020.0,5012025.0,0,0,0,0,0,0,0,0,0,40,0,0.24915794580635284,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5016898.0,7470.140516304384,5028020.0,5012025.0,normal
10.152.152.11-68.105.234.38-3697-41903-17,10.152.152.11,3697,68.105.234.38,41903,17,09/07/2015 10:03:04 PM,20087142,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.480478108832008,0.2489154504906671,5021785.5,14589.68997842883,5031627.0,5000708.0,2.0087142E7,5021785.5,14589.68997842883,5031627.0,5000708.0,0,0,0,0,0,0,0,0,0,40,0,0.2489154504906671,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5021785.5,14589.68997842883,5031627.0,5000708.0,normal
10.152.152.11-142.150.176.127-3697-34592-17,10.152.152.11,3697,142.150.176.127,34592,17,09/07/2015 10:04:54 PM,20067476,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.484868949139393,0.24915938606329965,5016869.0,7456.910486253673,5027964.0,5011979.0,2.0067476E7,5016869.0,7456.910486253673,5027964.0,5011979.0,0,0,0,0,0,0,0,0,0,40,0,0.24915938606329965,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5016869.0,7456.910486253673,5027964.0,5011979.0,normal
10.152.152.11-10.152.152.10-46387-53-17,10.152.152.11,46387,10.152.152.10,53,17,09/07/2015 10:02:18 PM,375126,2,2,68.0,84.0,34.0,34.0,34.0,0.0,50.0,34.0,42.0,11.313708498984761,405.19718707847494,10.663083870486183,125042.0,120008.15097733987,239441.0,118.0,118.0,118.0,0.0,118.0,118.0,135567.0,135567.0,0.0,135567.0,135567.0,0,0,0,0,16,16,5.3315419352430915,5.3315419352430915,34.0,50.0,37.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,46.5,34.0,42.0,0,0,0,152,4,405,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,normal
10.152.152.11-77.121.41.107-3697-5066-17,10.152.152.11,3697,77.121.41.107,5066,17,09/07/2015 10:03:30 PM,20146393,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.4673009208149566,0.24818338448971983,5036598.25,9683.713074883304,5047615.0,5024982.0,2.0146393E7,5036598.25,9683.713074883304,5047615.0,5024982.0,0,0,0,0,0,0,0,0,0,40,0,0.24818338448971983,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5036598.25,9683.713074883304,5047615.0,5024982.0,normal
10.152.152.11-68.149.212.17-3697-43949-17,10.152.152.11,3697,68.149.212.17,43949,17,09/07/2015 10:04:24 PM,20121167,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.472901596612164,0.24849453314512027,5030291.75,19530.65340048809,5047543.0,5011516.0,2.0121167E7,5030291.75,19530.65340048809,5047543.0,5011516.0,0,0,0,0,0,0,0,0,0,40,0,0.24849453314512027,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5030291.75,19530.65340048809,5047543.0,5011516.0,normal
10.152.152.11-178.150.72.231-3697-45053-17,10.152.152.11,3697,178.150.72.231,45053,17,09/07/2015 10:03:30 PM,20146289,5,0,90.0,0.0,18.0,18.0,18.0,0.0,0,0,0,0,4.467323982099135,0.24818466567217418,5036572.25,9644.036443142813,5047511.0,5024968.0,2.0146289E7,5036572.25,9644.036443142813,5047511.0,5024968.0,0,0,0,0,0,0,0,0,0,40,0,0.24818466567217418,0.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,21.6,18.0,0.0,0,0,0,0,0,0,1,22,0,0,0,0,4,8,0,0,0,0,5036572.25,9644.036443142813,5047511.0,5024968.0,normal
10.152.152.11-157.55.130.175-42164-33033-6,10.152.152.11,42164,157.55.130.175,33033,6,09/07/2015 10:06:32 PM,59512179,4,2,393.0,12.0,387.0,0.0,98.25,192.5207780994041,6.0,6.0,6.0,0.0,6.805329712427434,0.1008196994433694,1.19024358E7,2.64173533337821E7,5.9158444E7,87.0,5.9512179E7,1.9837393E7,3.405348789300081E7,5.9158444E7,94.0,353018.0,353018.0,0.0,353018.0,353018.0,1,0,0,0,80,40,0.06721313296224626,0.03360656648112313,0.0,387.0,58.714285714285715,144.78802239332998,20963.571428571428,0,0,0,3,6,0,0,0,0.0,68.5,98.25,6.0,0,0,0,0,0,0,4,393,2,12,2640,2640,1,20,94.0,0.0,94.0,94.0,5.9158444E7,0.0,5.9158444E7,5.9158444E7,normal
