Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-37.97.149.8-50628-443-6,10.0.2.15,50628,37.97.149.8,443,6,24/02/2016 11:30:32 PM,281,3,1,1086.0,6.0,543.0,0.0,362.0,313.5011961699668,6.0,6.0,6.0,0.0,3886120.996441281,14234.875444839858,93.66666666666667,83.96626306638478,184.0,18.0,202.0,101.0,117.37972567696688,184.0,18.0,0,0,0,0,0,1,0,0,0,60,20,10676.156583629892,3558.7188612099644,0.0,543.0,327.0,295.7777882127054,87484.5,0,0,0,2,4,0,0,0,0.0,408.75,362.0,6.0,0,0,0,0,0,0,0,0,0,0,65535,65535,1,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-213.239.216.222-37628-443-6,10.0.2.15,37628,213.239.216.222,443,6,24/02/2016 11:33:29 PM,1551080,23,38,7818.0,31812.0,1460.0,0.0,339.91304347826093,550.4118221050884,1420.0,2.0,837.157894736842,605.1918849742545,25549.93939706527,39.32743636691853,25851.333333333336,53462.509406019286,153266.0,4.0,1551080.0,70503.63636363635,74280.93634596228,163955.0,50.0,1367197.0,36951.27027027028,61440.79063331744,153266.0,4.0,0,0,0,0,472,764,14.828377646543053,24.49905872037548,0.0,1460.0,639.1935483870967,629.5243283286948,396300.87995769427,0,2,0,25,60,0,0,0,1.0,649.672131147541,339.9130434782609,837.1578947368421,0,0,0,39630,47,28986,0,0,0,0,14600,65535,9,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 11:33:28 PM,52274732,4236,2857,3539041.0,1977656.0,1420.0,6.0,835.467658168085,638.5373221846218,1460.0,0.0,692.2142107105342,621.3694279592994,105532.76485472944,135.68697014075556,7370.943598420753,22063.06421993583,264496.0,0.0,5.2274732E7,12343.502243211376,28913.008355276248,264496.0,0.0,5.2271423E7,18302.318977591065,34162.21896926226,301684.0,17.0,1,0,0,0,84720,57140,81.0334140020077,54.653556138747874,0.0,1460.0,777.8453622779804,635.5205338827888,403886.34898666485,0,0,0,2416,7093,0,0,0,0.0,777.9550260820528,835.4676581680831,692.2142107105356,0,0,0,5516697,6258,105532,0,0,0,0,65535,65535,4235,20,0,0,0,0,0,0,0,0,normal
10.0.2.15-195.154.82.180-60031-443-6,10.0.2.15,60031,195.154.82.180,443,6,24/02/2016 11:33:29 PM,1321884,17,23,4092.0,15373.0,1460.0,0.0,240.7058823529412,434.8651751844878,1420.0,2.0,668.391304347826,615.306186834906,14725.19525162571,30.259841256872765,33894.46153846154,68556.05094405988,283258.0,7.0,1321884.0,82617.75,90332.38809972866,287979.0,43.0,1189269.0,54057.68181818182,84115.12696773809,283258.0,7.0,0,0,0,0,352,464,12.860432534170926,17.39940872270184,0.0,1460.0,474.7560975609755,578.2296594125818,334349.5390243903,0,2,0,15,39,0,0,0,1.0,486.625,240.7058823529412,668.3913043478261,0,0,0,19465,30,16367,0,0,0,0,14600,65535,7,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 09:47:26 PM,119934952,4647,3459,3729430.0,1469538.0,1420.0,6.0,802.5457284269413,614.7422616190934,1460.0,0.0,424.84475281873324,514.4251879919591,43348.230964398106,67.58663646273857,14797.649845774196,31016.93723405928,397984.0,0.0,1.19934952E8,25814.66896254837,40037.386779669476,397984.0,0.0,1.19932137E8,34682.51503759394,45170.652742955586,398691.0,18.0,1,0,0,0,92940,69180,38.74600291664768,28.840633546090885,0.0,1460.0,641.4276551128623,603.6678774638696,364414.9062817334,0,0,0,3697,8106,0,0,0,0.0,641.5067850974586,802.5457284269421,424.84475281873375,0,0,0,5198968,6390,43348,0,0,0,0,65535,65535,4646,20,0,0,0,0,0,0,0,0,normal
37.97.149.8-10.0.2.15-443-50622-6,37.97.149.8,443,10.0.2.15,50622,6,24/02/2016 09:50:34 PM,452,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,13274.336283185841,4424.778761061947,452.0,0.0,452.0,452.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2212.3893805309735,2212.3893805309735,0.0,6.0,4.0,3.4641016151377544,12.0,2,0,0,0,2,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,41811,0,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 09:49:26 PM,119993177,4474,3166,3799366.0,1188332.0,1420.0,6.0,849.2101028162717,606.2053800300757,1460.0,0.0,375.3417561591907,476.42749605287116,41566.51340267455,63.670286853059984,15707.969236811105,33578.65278991035,506614.0,0.0,1.19992904E8,26826.046054102357,42887.290510666106,507356.0,0.0,1.19990264E8,37911.61579778836,47710.41384109976,506614.0,17.0,1,0,0,0,89480,63320,37.2854533220668,26.384833530993184,0.0,1460.0,652.9297212406749,603.106368334988,363737.2915262182,0,0,0,3182,7640,0,0,0,0.0,653.0151832460733,849.2101028162718,375.3417561591914,0,0,0,4987698,5988,41566,0,0,0,0,65535,65535,4473,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 09:51:27 PM,119918373,4037,2722,3663992.0,697471.0,1420.0,6.0,907.6026752539033,580.4696064367239,1460.0,0.0,256.2347538574579,388.9452236334085,36370.264963484784,56.36333975278333,17744.654187629385,35742.98529020896,361317.0,-20.0,1.19918373E8,29712.183597621388,45359.7700757635,362260.0,0.0,1.19913558E8,44069.66482910699,50300.75231783146,379424.0,20.0,1,0,0,0,80740,54440,33.66456614617345,22.69877360660989,0.0,1460.0,645.3431952662726,603.4739728364062,364180.8358909556,0,0,0,2857,6759,0,0,0,0.0,645.4386743601125,907.6026752539015,256.23475385745775,0,0,0,4361463,5037,36370,0,0,0,0,65535,65535,4036,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 09:53:27 PM,119985769,6672,5523,5065536.0,3889785.0,1420.0,6.0,759.2230215827343,635.4939855167194,1460.0,0.0,704.2884302009801,574.2011690427009,74636.52627004457,101.63705330754682,9839.738313924889,21658.318345184885,556868.0,-1.0,1.19985769E8,17986.174336681193,28038.163369915204,556868.0,3.0,1.19960998E8,21724.193770373095,30449.67043108135,557539.0,17.0,1,0,0,0,133440,110460,55.606594478716886,46.03045882882994,0.0,1460.0,734.3701213512626,609.0721580808464,370968.8937492595,0,0,0,4843,12195,0,0,0,0.0,734.430340303403,759.2230215827338,704.2884302009777,0,0,0,8955321,10678,74636,0,0,0,0,65535,65535,6671,20,0,0,0,0,0,0,0,0,normal
195.154.107.23-10.0.2.15-443-37652-6,195.154.107.23,443,10.0.2.15,37652,6,24/02/2016 09:55:27 PM,119976778,6951,6234,4838387.0,5113616.0,1460.0,6.0,696.0706373183692,642.4824763522539,1460.0,0.0,820.2784728906017,558.2440707926714,82949.41042674109,109.89626675922236,9100.180370145672,18111.064129319235,198082.0,0.0,1.19975834E8,17262.70992805755,23247.004938784303,205761.0,0.0,1.19976573E8,19248.6078934702,25547.115087988866,234073.0,18.0,0,0,0,0,139020,124680,57.93621162255249,51.960055136669865,0.0,1460.0,754.8508266343109,607.2796263057509,368788.54452605237,0,0,0,5125,13185,0,0,0,0.0,754.9080773606371,696.0706373183715,820.2784728905999,0,0,0,9952003,11987,82950,0,0,0,0,65535,65535,6950,20,0,0,0,0,0,0,0,0,normal
