Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,23/05/2015 03:21:27 AM,90232376,71,37,31322.0,12138.0,965.0,0.0,441.1549295774648,463.57892371317575,1308.0,41.0,328.0540540540541,301.2688856178836,481.6453021252593,1.1969096325248045,843293.23364486,1163199.1101646048,2789537.0,7.0,9.0232376E7,1289033.9428571428,1222979.5688592498,2789537.0,14.0,9.0003909E7,2500108.583333334,971134.5584947941,3020506.0,20.0,1,0,0,0,2272,1184,0.7868572584190845,0.4100523741057201,0.0,1308.0,407.1284403669725,418.1570035843224,174855.27964661905,0,0,0,68,108,0,0,0,0.0,410.89814814814815,441.15492957746477,328.05405405405406,0,0,0,3492,5,2807,2,1044,1,404,565,988,33,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,23/05/2015 03:21:51 AM,119951862,24085,12997,3.0643843E7,166330.0,1308.0,0.0,1272.320656009965,205.38610576268346,1308.0,0.0,12.797568669692966,106.46647606904116,256854.47884085367,309.1406784498268,3234.860494592926,92608.53600771689,1.0193765E7,-3.0,1.19946511E8,4980.340101312101,115207.98739916913,1.0193765E7,0.0,1.19731842E8,9212.976454293623,164271.57285767078,1.0469518E7,2.0,0,0,0,0,789436,463636,200.78887979246207,108.35179865736472,0.0,1308.0,830.8435940997225,626.5210291255286,392528.59993651137,0,2,0,837,37081,0,0,0,0.0,830.8659996763929,1272.3206560099648,12.797568669693007,0,0,0,3851271,3033,394042,3440,4377691,1856,23761,29200,13364,23959,32,2.8127874666666664E7,3.374667381789988E7,6.7022948E7,6626574.0,9184218.0,1035264.2457696489,1.0193765E7,8125023.0,NeedManualLabel
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,23/05/2015 03:23:43 AM,15058431,2,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,3.5196229939228063,0.3320399050870572,3764607.7500000005,7366310.205660741,1.4812708E7,26.0,1.5058405E7,1.5058405E7,0.0,1.5058405E7,1.5058405E7,1.4812777E7,7406388.5,1.047411748416832E7,1.4812708E7,69.0,0,0,0,0,64,96,0.13281596203482288,0.19922394305223431,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,1,0,0,1,5,0,0,0,1.0,10.6,0.0,17.666666666666668,0,0,0,0,0,0,2,0,3,53,1266,988,0,32,245654.0,0.0,245654.0,245654.0,1.4812708E7,0.0,1.4812708E7,1.4812708E7,NeedManualLabel
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,23/05/2015 03:21:59 AM,90698307,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06615338475943107,1.81396614E7,2.4518311326273266E7,4.4999603E7,224418.0,9.0447999E7,4.52239995E7,30.405591591021544,4.5224021E7,4.5223978E7,9.0470973E7,4.52354865E7,20399.32353045071,4.5249911E7,4.5221062E7,0,0,0,0,96,96,0.033076692379715535,0.033076692379715535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,245,358,0,32,225876.0,2061.9233739399724,227334.0,224418.0,4.49981235E7,2092.328965530994,4.4999603E7,4.4996644E7,NeedManualLabel
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,23/05/2015 03:22:11 AM,90624447,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06620730055323813,1.81248894E7,2.453121498266824E7,4.4997888E7,208488.0,9.0415959E7,4.52079795E7,75.66042558696059,4.5208033E7,4.5207926E7,9.0413611E7,4.52068055E7,607.4047250392443,4.5207235E7,4.5206376E7,0,0,0,0,96,96,0.033103650276619066,0.033103650276619066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,237,350,0,32,210490.5,488.61078579990436,210836.0,210145.0,4.4997489E7,564.2712113868649,4.4997888E7,4.499709E7,NeedManualLabel
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,23/05/2015 03:24:27 AM,59141343,2,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.0652446631115564,0.10145187267729108,1.18282686E7,1.94536586540474E7,4.4998503E7,61.0,4.5207955E7,4.5207955E7,0.0,4.5207955E7,4.5207955E7,5.8931891E7,1.9643963666666664E7,2.3177558758271206E7,4.5207168E7,61.0,0,0,0,0,64,128,0.03381729089243036,0.06763458178486072,0.0,63.0,9.0,23.811761799581316,567.0,1,0,0,1,6,0,0,0,2.0,10.5,0.0,15.75,0,0,0,0,0,0,1,0,2,31,237,350,0,32,209058.5,556.4930367938128,209452.0,208665.0,2.93615825E7,2.211394504484988E7,4.4998503E7,1.3724662E7,NeedManualLabel
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,6,23/05/2015 03:23:10 AM,91414605,14,12,519.0,4293.0,210.0,0.0,37.07142857142857,61.552309568259204,1308.0,0.0,357.75,574.4398259490403,52.63929106295433,0.28441844713981973,3656584.1999999997,1.2442704992280902E7,4.4999415E7,19.0,9.1204277E7,7015713.615384615,1.6962993886899985E7,4.5260209E7,64.0,9.1202131E7,8291102.818181818,1.82532674691195E7,4.5209743E7,45.0,0,0,0,0,456,392,0.1531483946137491,0.13127005252607066,0.0,1308.0,178.22222222222217,410.27667337779354,168326.9487179487,0,2,0,11,25,0,0,0,0.0,185.07692307692307,37.07142857142857,357.75,0,0,0,4812,13,9271,7,259,6,2146,29200,341,6,32,604163.5,553844.9218982693,995791.0,212536.0,4.4997975E7,2036.467529817257,4.4999415E7,4.4996535E7,NeedManualLabel
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,23/05/2015 03:23:51 AM,98062000,19598,10218,2.504046E7,130780.0,1308.0,0.0,1277.7048678436638,186.11010399651553,1308.0,0.0,12.79898218829515,109.71290941747333,256686.99394260775,304.0525381901246,3289.015596176452,194271.00365190126,3.1596641E7,-4.0,9.8062E7,5003.929172832584,239763.3521884439,3.1596641E7,0.0,9.7774648E7,9569.800137026537,335799.56332861533,3.1875173E7,3.0,1,0,0,0,651568,340812,199.85315412698088,104.19938406314373,0.0,1308.0,844.1965321796278,622.3458891155296,387314.4056989992,0,0,0,536,29816,0,0,0,0.0,844.2248457204186,1277.7048678436574,12.798982188295165,0,0,0,6292722,4920,513743,4899,6260115,2554,32695,13364,13651,19508,32,7617116.5,3412307.114282139,1.0029982E7,5204251.0,2.06442025E7,1.5489087067757238E7,3.1596641E7,9691764.0,NeedManualLabel
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,23/05/2015 03:24:14 AM,90681571,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616559388897221,1.81363142E7,2.452095211368309E7,4.4998888E7,225176.0,9.0456098E7,4.5228049E7,5635.641046056784,4.5232034E7,4.5224064E7,9.0445991E7,4.52229955E7,1931.1086194204613,4.5224361E7,4.522163E7,0,0,0,0,96,96,0.033082796944486105,0.033082796944486105,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,245,358,0,32,230378.0,7356.73895146484,235580.0,225176.0,4.4997671E7,1721.0979054080567,4.4998888E7,4.4996454E7,NeedManualLabel
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,23/05/2015 03:24:28 AM,91286801,14,12,659.0,4344.0,262.0,0.0,47.07142857142857,84.09560885427626,1308.0,0.0,362.0,574.2017383843734,54.805294360134276,0.28481664068828527,3651472.04,1.2444526180975612E7,4.5E7,6.0,9.1082407E7,7006339.0,1.696226897434568E7,4.5246479E7,53.0,9.1082376E7,8280216.0,1.8255990069120597E7,4.5205724E7,52.0,0,0,0,0,456,392,0.1533628065244613,0.13145383416382397,0.0,1308.0,185.2962962962963,411.1537065020457,169047.37037037034,0,2,0,11,25,0,0,0,0.0,192.42307692307693,47.07142857142857,362.0,0,0,0,5003,13,11709,7,329,6,2172,29200,350,6,32,542049.0,475635.3763651312,878374.0,205724.0,4.49991545E7,1195.7175669864519,4.5E7,4.4998309E7,NeedManualLabel
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,6,23/05/2015 03:24:49 AM,98917264,5961,3262,7727755.0,43030.0,1308.0,0.0,1296.3856735447016,120.37351428935388,1008.0,0.0,13.191293684855927,80.45735304255369,78558.4304070521,93.23953804464304,10726.22684883967,628045.4215455035,5.9345303E7,0.0,9.8917264E7,16596.856375838834,781237.614275302,5.9345303E7,0.0,9.8639377E7,30248.199018705836,1061496.6504567426,5.9617491E7,5.0,0,0,0,0,190760,110772,60.2624836044798,32.97705444016324,0.0,1308.0,842.4528404163054,622.9959663907728,388123.9741391729,0,2,0,206,9222,0,0,0,0.0,842.544183020709,1296.3856735447073,13.191293684855916,0,0,0,2590261,2015,274221,2980,3863877,1631,21515,29200,8415,5933,32,5225991.5,3992700.3602800574,8049257.0,2402726.0,3.4991352E7,3.44416878015698E7,5.9345303E7,1.0637401E7,NeedManualLabel
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,23/05/2015 03:26:44 AM,245502,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146573144006974,245502.0,0.0,245502.0,245502.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.073286572003487,4.073286572003487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,317,350,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-131.202.244.3-34134-53-17,10.8.8.138,34134,131.202.244.3,53,17,23/05/2015 03:24:48 AM,254024,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,275.5645135892671,7.873271816836204,254024.0,0.0,254024.0,254024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.936635908418102,3.936635908418102,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,6,23/05/2015 03:26:50 AM,2127497,180,126,223456.0,1540.0,1308.0,0.0,1241.4222222222222,281.19191552774527,420.0,0.0,12.22222222222222,60.26566370846855,105756.20083130553,143.83099012595554,6975.400000000004,35960.390052861585,274066.0,0.0,2127497.0,11885.45810055866,53163.24788040568,344123.0,0.0,1859480.0,14875.839999999997,52862.930996328425,274176.0,4.0,1,0,0,0,5760,4764,84.60646477997383,59.22452534598169,0.0,1308.0,733.159609120521,644.2731202887823,415087.8535266437,0,0,0,11,306,0,0,0,0.0,735.5555555555555,1241.4222222222222,12.222222222222221,0,0,0,224996,181,107579,0,0,0,0,40456,8415,173,32,0,0,0,0,0,0,0,0,NeedManualLabel
