Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.152.152.11-131.202.240.3-52325-53-17,10.152.152.11,52325,131.202.240.3,53,17,14/07/2015 03:22:15 AM,453504,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,352.8083545018346,8.820208862545865,151168.0,253135.00627333234,443407.0,88.0,88.0,88.0,0.0,88.0,88.0,10009.0,10009.0,0.0,10009.0,10009.0,0,0,0,0,16,16,4.4101044312729325,4.4101044312729325,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,352,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-35310-53-17,10.152.152.11,35310,131.202.240.3,53,17,14/07/2015 03:24:26 AM,396032,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,404.00775694893343,10.100193923723335,132010.6666666667,228567.7778019757,395938.0,14.0,80.0,80.0,0.0,80.0,80.0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,16,16,5.050096961861668,5.050096961861668,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,404,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-52794-53-17,10.152.152.11,52794,131.202.240.3,53,17,14/07/2015 03:15:19 AM,555160,2,2,74.0,90.0,37.0,37.0,37.0,0.0,53.0,37.0,45.0,11.313708498984761,295.41033215649543,7.2051300525974495,185053.3333333333,320411.79100703105,555033.0,41.0,86.0,86.0,0.0,86.0,86.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,16,16,3.6025650262987248,3.6025650262987248,37.0,53.0,40.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,50.25,37.0,45.0,0,0,0,164,4,295,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-53206-53-17,10.152.152.11,53206,131.202.240.3,53,17,14/07/2015 03:24:48 AM,748721,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,213.69775924543322,5.342443981135831,249573.66666666666,323529.91889056156,615117.0,55.0,55.0,55.0,0.0,55.0,55.0,133549.0,133549.0,0.0,133549.0,133549.0,0,0,0,0,16,16,2.6712219905679153,2.6712219905679153,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,213,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-49656-53-17,10.152.152.11,49656,131.202.240.3,53,17,14/07/2015 03:22:32 AM,441527,2,2,74.0,90.0,37.0,37.0,37.0,0.0,53.0,37.0,45.0,11.313708498984761,371.43821329159937,9.059468616868278,147175.66666666666,176711.00652289132,343188.0,66.0,66.0,66.0,0.0,66.0,66.0,98273.0,98273.0,0.0,98273.0,98273.0,0,0,0,0,16,16,4.529734308434139,4.529734308434139,37.0,53.0,40.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,50.25,37.0,45.0,0,0,0,164,4,371,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-51045-53-17,10.152.152.11,51045,131.202.240.3,53,17,14/07/2015 03:23:25 AM,556063,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,287.7371808590034,7.193429521475085,185354.33333333334,177379.98839872927,353587.0,60.0,60.0,60.0,0.0,60.0,60.0,202416.0,202416.0,0.0,202416.0,202416.0,0,0,0,0,16,16,3.5967147607375427,3.5967147607375427,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,287,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-47885-53-17,10.152.152.11,47885,131.202.240.3,53,17,14/07/2015 03:21:27 AM,625613,2,2,74.0,90.0,37.0,37.0,37.0,0.0,53.0,37.0,45.0,11.313708498984761,262.1428902532396,6.393729030566821,208537.66666666666,258051.726214597,497156.0,78.0,78.0,78.0,0.0,78.0,78.0,128379.0,128379.0,0.0,128379.0,128379.0,0,0,0,0,16,16,3.1968645152834103,3.1968645152834103,37.0,53.0,40.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,50.25,37.0,45.0,0,0,0,164,4,262,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-58129-53-17,10.152.152.11,58129,131.202.240.3,53,17,14/07/2015 03:19:10 AM,590308,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,271.0449460281751,6.776123650704378,196769.33333333334,218854.12742357256,432560.0,139.0,139.0,139.0,0.0,139.0,139.0,157609.0,157609.0,0.0,157609.0,157609.0,0,0,0,0,16,16,3.388061825352189,3.388061825352189,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,271,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-42712-53-17,10.152.152.11,42712,131.202.240.3,53,17,14/07/2015 03:16:52 AM,289001,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,553.6313023138329,13.84078255784582,96333.66666666666,166751.75547001997,288882.0,10.0,109.0,109.0,0.0,109.0,109.0,10.0,10.0,0.0,10.0,10.0,0,0,0,0,16,16,6.92039127892291,6.92039127892291,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,553,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-52101-53-17,10.152.152.11,52101,131.202.240.3,53,17,14/07/2015 03:23:43 AM,471184,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,339.570104248022,8.48925260620055,157061.3333333333,271884.9234406596,471007.0,69.0,69.0,69.0,0.0,69.0,69.0,108.0,108.0,0.0,108.0,108.0,0,0,0,0,16,16,4.244626303100275,4.244626303100275,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,339,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-44326-53-17,10.152.152.11,44326,131.202.240.3,53,17,14/07/2015 03:17:44 AM,383916,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,416.75783244251346,10.418945811062837,127972.0,221544.89238752492,383790.0,13.0,113.0,113.0,0.0,113.0,113.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,16,16,5.209472905531419,5.209472905531419,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,416,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-59061-53-17,10.152.152.11,59061,131.202.240.3,53,17,14/07/2015 03:23:42 AM,463400,2,2,74.0,90.0,37.0,37.0,37.0,0.0,53.0,37.0,45.0,11.313708498984761,353.90591281829956,8.631851532153647,154466.6666666667,267463.57600677764,463307.0,17.0,76.0,76.0,0.0,76.0,76.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,16,16,4.315925766076823,4.315925766076823,37.0,53.0,40.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,50.25,37.0,45.0,0,0,0,164,4,353,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.152.152.11-131.202.240.3-54295-53-17,10.152.152.11,54295,131.202.240.3,53,17,14/07/2015 03:20:19 AM,488413,2,2,72.0,88.0,36.0,36.0,36.0,0.0,52.0,36.0,44.0,11.313708498984761,327.59160792198406,8.189790198049602,162804.3333333333,281907.4367896905,488323.0,11.0,79.0,79.0,0.0,79.0,79.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,16,16,4.094895099024801,4.094895099024801,36.0,52.0,39.2,7.155417527999327,51.2,0,0,0,0,0,0,0,0,1.0,49.0,36.0,44.0,0,0,0,160,4,327,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
