Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 01:10:34 AM,6994,2,1,1086.0,6.0,543.0,543.0,543.0,0.0,6.0,6.0,6.0,0.0,156133.82899628254,428.9390906491278,3497.0,4133.746242816557,6420.0,574.0,6420.0,6420.0,0.0,6420.0,6420.0,0,0,0,0,0,1,0,0,0,40,20,285.9593937660852,142.9796968830426,6.0,543.0,408.75,268.5,72092.25,0,0,0,2,3,0,0,0,0.0,545.0,543.0,6.0,0,0,0,0,0,0,0,0,0,0,65535,65535,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:22:56 AM,119697669,3101,4534,1068887.0,4025186.0,1460.0,0.0,344.6910673976141,437.54566288617883,1420.0,6.0,887.7781208645789,617.3442417442828,42557.82959315607,63.78570329552532,15679.547943411115,93180.37988969802,2619174.0,0.0,1.19697669E8,38612.15129032256,144530.62558289297,2619174.0,0.0,1.1969734E8,26405.766600485316,120528.16761440324,2621265.0,0.0,1,0,0,0,62020,90680,25.90693725205292,37.87876604347241,0.0,1460.0,667.2511786275516,612.5051594067226,375162.5702998546,0,0,0,3553,7635,0,0,0,1.0,667.3385723641127,344.69106739761366,887.7781208645787,0,0,0,462948,549,52578,238,82222,348,309629,65535,65535,1513,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:24:57 AM,116488426,154,150,42259.0,66093.0,1460.0,0.0,274.40909090909105,389.48374769781697,1420.0,6.0,440.6199999999999,426.3923842766512,930.1524942915788,2.60970132775251,384450.25082508277,966261.6210818191,7806432.0,13.0,1.16488133E8,761360.3464052287,1253908.273388592,7806432.0,54.0,1.1648801E8,781798.7248322149,1263670.5650596973,7806880.0,88.0,1,0,0,0,3080,3000,1.3220197515588372,1.2876815761936726,0.0,1460.0,357.0327868852456,415.3050783845657,172478.30813201028,0,0,0,145,304,0,0,0,0.0,358.20723684210526,274.40909090909093,440.62,0,0,0,4722,9,3330,4,1320,4,2065,65535,65535,62,20,3.2272112333333336E7,4.69425476112698E7,8.6476269E7,4983416.0,6376569.0,1238366.2499717118,7806432.0,5648606.0,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:26:58 AM,117297724,165,163,51975.0,67205.0,1460.0,0.0,315.00000000000006,395.7924591647842,1420.0,6.0,412.30061349693244,423.81340721527886,1016.0469950806547,2.796303191697053,358708.636085627,837408.1366686923,7824894.0,5.0,1.17297504E8,715228.6829268291,1076489.699270877,7865802.0,46.0,1.16867536E8,721404.5432098763,1078282.329563901,7824894.0,5.0,1,0,0,0,3300,3260,1.4066769104573589,1.389626281239694,0.0,1460.0,365.4620060790275,413.36269646213987,170868.7188264512,0,0,0,161,328,0,0,0,0.0,366.5762195121951,315.0,412.3006134969325,0,0,0,4809,10,3413,4,1367,4,1768,65535,65535,77,20,3.63975295E7,4.261373006413089E7,6.6529987E7,6265072.0,6443580.5,1953472.2855890482,7824894.0,5062267.0,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:28:59 AM,84933256,1958,3236,439663.0,3378524.0,1460.0,0.0,224.54698672114378,360.718342512617,1420.0,6.0,1044.0432632880068,554.2034399404014,44955.14689793595,61.15390183557781,16355.335259002526,196189.15335562004,5934008.0,4.0,8.4933011E7,43399.596831885545,318153.35621445207,5934203.0,28.0,8.4933048E7,26254.41978361669,248414.69313486427,5934680.0,4.0,1,0,0,0,39160,64720,23.05339618676576,38.10050564881205,0.0,1460.0,735.0779595765149,630.9199875533612,398060.0306943334,0,0,0,2061,5194,0,0,0,1.0,735.2194840200231,224.54698672114404,1044.04326328801,0,0,0,293541,300,106641,130,29310,215,225234,65535,65535,671,20,2.6435272E7,2.4883557148857314E7,4.4030604E7,8839940.0,5841773.5,130439.28081870124,5934008.0,5749539.0,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:31:06 AM,102584840,25,26,4887.0,10313.0,543.0,0.0,195.48000000000002,266.0145860662531,1057.0,6.0,396.6538461538462,320.42883045165485,148.17004149930926,0.4971494813463666,2051696.7999999998,6884041.23082887,3.481877E7,35.0,1.0258484E8,4274368.333333333,9542090.021419233,3.4818905E7,277.0,1.02584573E8,4103382.92,9385962.931307444,3.4819279E7,385.0,1,0,0,0,500,520,0.2437007261501797,0.25344875519618687,0.0,1057.0,302.74999999999994,308.0569641109496,94899.0931372549,0,0,0,26,51,0,0,0,1.0,308.6862745098039,195.48,396.65384615384613,0,0,0,2321,6,5104,2,488,2,1031,65535,65535,8,20,2042086.75,3527854.3788435464,7324970.0,45.0,2.137782025E7,1.4897364699609444E7,3.481877E7,5398698.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/07/2015 12:31:11 AM,93678873,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03202429644942462,4.68394365E7,1.863389780803685E7,6.0015592E7,3.3663281E7,9.3678873E7,4.68394365E7,1.863389780803685E7,6.0015592E7,3.3663281E7,0,0,0,0,0,0,0,0,0,0,0,0.03202429644942462,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.68394365E7,1.863389780803685E7,6.0015592E7,3.3663281E7,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:33:06 AM,119934636,53,51,12315.0,27845.0,1460.0,0.0,232.35849056603772,379.6223373473463,1086.0,6.0,545.9803921568626,440.18180290403086,334.8490589490762,0.8671389972784843,1164413.9417475727,3079937.1595368115,1.6490186E7,36.0,1.19934329E8,2306429.403846154,4035850.3772988203,1.6490186E7,135.0,1.19934516E8,2398690.3200000008,4091189.707634056,1.6490669E7,723.0,1,0,0,0,1060,1020,0.4419073736130737,0.42523162366541056,0.0,1460.0,387.6476190476191,435.9189008235798,190025.288095238,0,0,0,51,104,0,0,0,0.0,391.375,232.35849056603774,545.9803921568628,0,0,0,2991,6,4562,2,648,2,1465,65535,65535,18,20,2690653.222222222,4507500.436877676,1.4233432E7,51.0,1.0529101111111112E7,3037971.070677988,1.6490186E7,6643670.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,28/07/2015 12:33:11 AM,88879191,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03375368256896037,4.44395955E7,1.3881266254481703E7,5.4255133E7,3.4624058E7,8.8879191E7,4.44395955E7,1.3881266254481703E7,5.4255133E7,3.4624058E7,0,0,0,0,0,0,0,0,0,0,0,0.03375368256896037,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.44395955E7,1.3881266254481703E7,5.4255133E7,3.4624058E7,NeedManualLabel
10.0.2.15-82.161.239.177-33827-110-6,10.0.2.15,33827,82.161.239.177,110,6,28/07/2015 12:35:06 AM,109501357,2220,3074,871765.0,2576882.0,1460.0,0.0,392.68693693693655,470.72571924479223,1420.0,6.0,838.2830188679239,632.2123217017735,31494.102853903445,48.34643282091929,20687.957113168322,165558.22844164434,5815469.0,0.0,1.09501357E8,49347.16403785484,253687.58727910466,5815510.0,0.0,1.09496788E8,35631.88675561342,216429.01558147257,5815510.0,0.0,1,0,0,0,44400,61480,20.273721356713416,28.072711464205874,0.0,1460.0,651.4050991501423,610.9300489882344,373235.52475676645,0,0,0,2223,5294,0,0,0,1.0,651.5281450698905,392.68693693693695,838.2830188679245,0,0,0,286620,353,54131,116,45882,161,135625,65535,65535,1179,20,8.023352E7,0.0,8.023352E7,8.023352E7,5815469.0,0.0,5815469.0,5815469.0,NeedManualLabel
