Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 04:09:29 AM,49321242,1804,1479,569053.0,698363.0,1420.0,6.0,315.4395787139688,462.9854580216086,1460.0,0.0,472.1859364435433,317.1183553993304,25697.163100637248,66.56361167871644,15027.800731261454,20995.50851273975,268378.0,0.0,4.9321242E7,27355.09816971713,24517.38089077643,268378.0,6.0,4.930949E7,33362.30717185383,27767.314707817335,283678.0,0.0,1,0,0,0,36080,29580,36.5765322779179,29.987079400798546,0.0,1460.0,386.1020097442133,411.2005753113435,169085.9131363799,0,0,0,1784,3283,0,0,0,0.0,386.21961620469085,315.43957871396896,472.1859364435429,0,0,0,1267416,2974,25697,0,0,0,0,65535,65535,1803,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.2.15-148.251.190.229-53489-9010-6,10.0.2.15,53489,148.251.190.229,9010,6,25/07/2015 04:04:35 AM,235,2,1,6.0,6.0,6.0,0.0,3.0,4.242640687119285,6.0,6.0,6.0,0.0,51063.82978723404,12765.95744680851,117.5,40.30508652763321,146.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,40,20,8510.638297872341,4255.319148936171,0.0,6.0,4.5,3.0,9.0,2,0,0,0,3,0,0,0,0.0,6.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,65535,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:09:28 AM,119988967,5358,4383,1860902.0,2481791.0,1420.0,6.0,347.3128032848082,518.7775002647841,1460.0,0.0,566.2311202372794,379.8562457421244,36192.43592621312,81.18246405104895,12319.195790554424,41296.56558367081,1707073.0,0.0,1.19988967E8,22398.537801008006,54727.176987712024,1707112.0,0.0,1.19979324E8,27380.037425832943,60920.285179038176,1707109.0,0.0,1,0,0,0,107160,87660,44.65410557288988,36.52835847815908,0.0,1460.0,445.82590843769236,474.10754643083015,224777.96558266177,0,0,0,5004,9741,0,0,0,0.0,445.8716764192588,347.3128032848078,566.2311202372804,0,0,0,1085673,2269,37641,1786,620300,1461,827263,65535,65535,5357,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:11:28 AM,119999042,6091,4821,1218474.0,2686643.0,1420.0,0.0,200.04498440321825,373.6745837326851,1460.0,0.0,557.2791951877185,214.14295270111347,32542.901467496715,90.93405929024,10997.98753551464,13619.376518495588,123228.0,0.0,1.19999042E8,19704.276190476176,13695.256116390106,123228.0,7.0,1.19995832E8,24895.400829875616,14253.915962191968,127875.0,11.0,0,0,0,0,121820,96420,50.75873855726282,40.175320732977184,0.0,1460.0,357.8408320351879,360.09534347138725,129668.65638977634,0,0,0,6042,10912,0,0,0,0.0,357.8736253665689,200.04498440321785,557.2791951877203,0,0,0,3905117,10723,32543,0,0,0,0,65535,65535,6090,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:13:28 AM,119989555,5489,4352,1222047.0,2345286.0,1420.0,6.0,222.63563490617594,388.9854035588192,1460.0,0.0,538.8984374999998,236.9006694129912,29730.362780327006,82.01547209671709,12194.060467479678,15516.003653906802,114779.0,0.0,1.19989555E8,21863.98596938776,16621.244483251787,115058.0,7.0,1.19955492E8,27569.637324752894,18783.704944395067,133906.0,11.0,1,0,0,0,109780,87040,45.74564844414999,36.26982365256709,0.0,1460.0,362.51534241007835,365.8806051601035,133868.6172323236,0,0,0,5456,9841,0,0,0,0.0,362.55217965653895,222.635634906176,538.8984375,0,0,0,3567333,9520,29730,0,0,0,0,65535,65535,5488,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:15:28 AM,119977721,5824,4593,1192150.0,2543241.0,1420.0,6.0,204.69608516483518,374.209706849587,1460.0,0.0,553.721097322015,220.6180746688104,31134.038627054768,86.82445301657296,11518.59840629799,14601.161615957062,112626.0,0.0,1.19977721E8,20604.108019920994,15029.118077761683,112881.0,8.0,1.19948788E8,26121.251742160308,16216.04395020924,122366.0,1.0,1,0,0,0,116480,91860,48.54234562431803,38.282107392254936,0.0,1460.0,358.60376271837293,360.22942093112994,129765.23570437718,0,0,0,5785,10417,0,0,0,0.0,358.6381875779975,204.69608516483515,553.7210973220117,0,0,0,3735391,10204,31134,0,0,0,0,65535,65535,5823,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:17:28 AM,119994374,5191,4131,1222264.0,2193143.0,1420.0,6.0,235.45829319976843,397.98049949818505,1460.0,0.0,530.898813846528,262.1163437337431,28463.05944310356,77.68697555770407,12873.55155026283,16867.74650516157,119125.0,6.0,1.19994374E8,23120.30327552981,18556.574817823526,119125.0,6.0,1.19993155E8,29054.03268765134,21481.013648173455,134117.0,11.0,1,0,0,0,103820,82620,43.260361523282754,34.42661403442131,0.0,1460.0,366.4003003325107,374.3845287649906,140163.77537858408,0,0,0,5146,9322,0,0,0,0.0,366.43960523492814,235.45829319976883,530.8988138465263,0,0,0,3415407,8925,28463,0,0,0,0,65535,65535,5190,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:19:28 AM,119977464,6089,4819,1263087.0,2669607.0,1420.0,6.0,207.4375102644106,383.6060401413922,1460.0,0.0,553.9753060800994,220.21283624361155,32778.605822173406,90.91707422653974,11000.04254148713,13684.988609203278,98002.0,0.0,1.19977464E8,19707.204993429696,13871.552323182863,98497.0,7.0,1.19971027E8,24900.586757990786,14835.056953732152,124846.0,10.0,1,0,0,0,121780,96380,50.75119774160254,40.16587648493721,0.0,1460.0,360.54972958107714,364.9209598743285,133167.3069556013,0,0,0,6041,10908,0,0,0,0.0,360.58278327832784,207.43751026441123,553.9753060800996,0,0,0,3932694,10688,32778,0,0,0,0,65535,65535,6088,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:21:28 AM,119990573,5423,4327,1219241.0,2313291.0,1420.0,6.0,224.82777060667544,391.80163011679963,1460.0,0.0,534.6177490177965,252.1729650252285,29440.079430239908,81.25638336604993,12307.987793619874,15783.571962522848,109018.0,7.0,1.19990573E8,22130.315935079354,17069.61694519133,120575.0,7.0,1.19961193E8,27730.280397595983,19399.980962310416,123563.0,8.0,1,0,0,0,108460,86540,45.19521712759885,36.06116623845109,0.0,1460.0,362.329504666187,370.5051199759042,137274.0439283592,0,0,0,5368,9750,0,0,0,0.0,362.3666666666667,224.82777060667527,534.6177490177953,0,0,0,3532532,9378,29440,0,0,0,0,65535,65535,5422,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:23:28 AM,119990207,5583,4517,1242913.0,2411777.0,1420.0,6.0,222.62457460146894,398.32546281865604,1460.0,0.0,533.9333628514505,246.55333980132454,30458.235645847333,84.17353592864458,11881.394890583208,15375.052363325562,125077.0,0.0,1.19990207E8,21495.916696524542,16292.373941568536,125346.0,6.0,1.19971827E8,26565.949291408302,18393.307783328928,131500.0,10.0,1,0,0,0,111660,90340,46.5287971375864,37.644738791058174,0.0,1460.0,361.86842886843004,372.6001142814787,138830.84516257097,0,0,0,5534,10100,0,0,0,0.0,361.90425742574257,222.62457460146874,533.93336285145,0,0,0,3654690,9719,30458,0,0,0,0,65535,65535,5582,20,0,0,0,0,0,0,0,0,NeedManualLabel
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,25/07/2015 03:25:28 AM,119974050,5197,4170,1219734.0,2202237.0,1420.0,6.0,234.69963440446364,401.8410523536384,1460.0,0.0,528.1143884892085,259.93134619386467,28522.593010738572,78.075217099031,12809.529147982075,16751.603820068467,124043.0,0.0,1.1997405E8,23089.693995381036,18350.95277521374,124277.0,7.0,1.19936814E8,28768.72487407049,21206.894125958974,128556.0,11.0,1,0,0,0,103940,83400,43.317700786128334,34.757516312902666,0.0,1460.0,365.34094790777226,375.3821717252865,140911.7748491925,0,0,0,5148,9367,0,0,0,0.0,365.37995089142737,234.69963440446412,528.1143884892086,0,0,0,3421971,8946,28522,0,0,0,0,65535,65535,5196,20,0,0,0,0,0,0,0,0,NeedManualLabel
