Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:37:32.312683,112236099,26,27,11772.0,5886.0,1420.0,0.0,452.7692307692308,405.8626671860626,1460.0,0.0,218.00000000000003,379.63119755078895,157.32906041219414,0.4722188357597853,2158386.5192307695,6041018.311018486,2.901794E7,19.0,1.1223597E8,4489438.8,8173257.447218643,2.9057887E7,108.0,1.1219746E8,4315286.923076923,8055340.241679791,2.901794E7,78.0,16,8,0,0,0,0,520,540,0.23165452320291355,0.24056431255687175,0.0,1460.0,333.1698113207548,406.5630680495793,165293.5283018868,0,0,0,24,53,0,0,0,1.0384615384615385,333.1698113207547,452.7692307692308,218.0,2914,4,6607,0,0,0,0,222,0,111,65535,65535,17,20,403344.28571428574,321698.865280723,815303.0,54.0,1.5630365714285715E7,8088470.009844728,2.901794E7,6389702.0,112236099,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:39:52.190371,119987630,2287,1854,548521.0,941411.0,1420.0,0.0,239.84302579798853,419.9833083413299,1460.0,0.0,507.7729234088467,249.00431121822828,12417.380024924236,34.51189093409046,28982.519323671473,442556.6011521314,2.0234749E7,0.0,1.19987243E8,52487.857830271285,595327.9017498646,2.0235009E7,0.0,1.1998735E8,64753.02212628169,660360.9727972422,2.0234749E7,0.0,642,1584,0,0,0,0,45740,37080,19.060298132399147,15.451592801691309,0.0,1460.0,359.8000482975141,378.02388750787645,142902.05952656764,0,0,0,2226,4141,0,0,0,0.8106689986882378,359.80004829751266,239.84302579798864,507.7729234088457,9821,9,26341,3208,5,30148,0,132,0,227,0,65535,691,0,2975306.25,2657388.8686482417,5421637.0,522307.0,1.241222075E7,7567523.922324588,2.0234749E7,5097116.0,259865318,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:41:52.220785,119992431,5965,4704,864300.0,2544387.0,1420.0,0.0,144.89522212908582,296.4011636581057,1460.0,0.0,540.8985969387735,88.566511309434,28407.51680412242,88.91394158019851,11247.884420697383,13246.474057502204,96722.0,4.0,1.19992199E8,20119.41633132134,12232.864926066492,96722.0,4.0,1.19992188E8,25513.967254943655,10994.378628539314,124940.0,56.0,1320,4626,0,0,0,0,119300,94080,49.711468884233206,39.2024726959653,0.0,1460.0,319.49451682444334,302.0491693202109,91233.70068702946,0,0,0,5946,10669,0,0,0,0.7886001676445935,319.49451682444464,144.89522212908633,540.8985969387755,0,0,0,2700,4,28688,0,81,0,238,0,65535,1329,0,0,0,0,0,0,0,0,0,379900533,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:43:52.245846,119966444,5614,4482,769378.0,2376023.0,1420.0,0.0,137.04631278945476,278.3326549326019,1057.0,0.0,530.1256135653729,86.21362521064877,26219.006708242516,84.15686639840722,11883.748786527973,14281.61554350512,109402.0,7.0,1.19966235E8,21372.926242650952,13942.077339919357,115412.0,9.0,1.199662E8,26772.19370676188,13499.302035510997,133771.0,52.0,1240,4371,0,0,0,0,112280,89640,46.79641917201447,37.36044722639274,0.0,1420.0,311.5492274167981,290.72231909267066,84519.46681862063,0,0,0,5611,10096,0,0,0,0.7983612397577485,311.5492274167987,137.04631278945493,530.1256135653726,0,0,0,2750,5,27773,0,76,0,235,0,65535,1243,0,0,0,0,0,0,0,0,0,499899607,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:45:52.246197,119973819,4047,3325,611425.0,1770775.0,1420.0,0.0,151.08104768964668,312.7439565474996,1460.0,0.0,532.5639097744346,169.77174248230855,19855.99874919377,61.446739475718445,16276.464387464443,157257.5443317861,1.0343921E7,0.0,1.19973563E8,29652.38828472565,211465.14071004573,1.0344203E7,7.0,1.19973632E8,36093.150421179394,233013.18160449323,1.0344145E7,42.0,881,3120,0,0,0,0,80940,66500,33.73235955754647,27.71437991817198,0.0,1460.0,323.14161692892066,320.5056728543678,102723.88633183102,0,0,0,4001,7372,0,0,0,0.8215962441314554,323.14161692892026,151.08104768964665,532.5639097744361,7761,7,25451,3160,5,26491,0,82,0,240,0,65535,912,0,2.25591125E7,1.9667340025595237E7,3.6466022E7,8652203.0,8820027.0,2155111.562418985,1.0343921E7,7296133.0,619907333,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:47:52.252237,119987862,5202,4230,617607.0,2250590.0,1420.0,0.0,118.7249134948095,244.75587834192777,1460.0,0.0,532.05437352246,80.71986287460251,23904.05956229139,78.6079511942633,12722.70830240693,15911.294743191811,127985.0,0.0,1.19987651E8,23070.111709286673,15954.322336704876,128336.0,9.0,1.19987616E8,28372.574131000187,16258.090421618532,130008.0,74.0,1061,4140,0,0,0,0,104040,84600,43.35438529607269,35.2535658981906,0.0,1460.0,304.0921331636971,279.6775713997173,78219.54394404397,0,0,0,5201,9432,0,0,0,0.8131487889273357,304.09213316369807,118.72491349480968,532.0543735224586,0,0,0,2875,5,26507,0,65,0,238,0,65535,1062,0,0,0,0,0,0,0,0,0,739927416,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:49:52.287195,119992391,5662,4664,604111.0,2523566.0,1420.0,0.0,106.69569056870363,235.21337555370013,1460.0,0.0,541.07332761578,65.4505638441547,26065.627778014692,86.05545663307934,11621.539079903161,13761.232316687187,115928.0,0.0,1.19992127E8,21196.277512806955,12571.057422450836,116162.0,0.0,1.1999215E8,25732.822217456538,11268.173079781078,116128.0,57.0,1035,4619,0,0,0,0,113240,93280,47.18632533957924,38.869131293500104,0.0,1460.0,302.89337594421863,281.07534798559163,79003.35124522142,0,0,0,5654,10326,0,0,0,0.8237371953373366,302.89337594421846,106.69569056870364,541.0733276157805,0,0,0,2929,5,26815,0,58,0,244,0,65535,1040,0,0,0,0,0,0,0,0,0,859966903,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:51:52.313028,119999866,5510,4532,575311.0,2456756.0,1350.0,0.0,104.4121597096189,231.5536753185149,1460.0,0.0,542.0909090909086,42.28961466598318,25267.253215099423,83.68342677982658,11950.987551040693,14268.239929794006,186829.0,0.0,1.19974521E8,21777.912688328255,13021.297936376921,186829.0,11.0,1.19999866E8,26484.190244979032,11800.735093390269,188374.0,106.0,996,4514,0,0,0,0,110200,90640,45.91671794033503,37.766708839491535,0.0,1460.0,301.9385580561622,278.68481601918216,77665.22667964542,0,0,0,5510,10042,0,0,0,0.8225045372050817,301.9385580561641,104.41215970961888,542.0909090909091,0,0,0,2991,5,25660,0,57,0,244,0,65535,996,0,0,0,0,0,0,0,0,0,980000211,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:53:52.313167,119996567,5352,4462,538677.0,2399886.0,1420.0,0.0,100.64966367713026,227.0436901765806,1057.0,0.0,537.8498431196779,59.17231057798072,24488.72558162435,81.78567308513084,12228.326403750145,14772.355753766898,130943.0,0.0,1.19996567E8,22425.0732573351,13989.40393437541,131167.0,11.0,1.19967987E8,26892.622057834535,12896.08677628343,131202.0,213.0,935,4414,0,0,0,0,107040,89240,44.60127596816999,37.18439711696085,0.0,1420.0,299.4256164662713,277.66703897064644,77098.98453072649,0,0,0,5349,9814,0,0,0,0.8337070254110612,299.4256164662727,100.64966367713005,537.8498431196773,0,0,0,3109,5,25781,0,54,0,244,65535,65535,937,20,0,0,0,0,0,0,0,0,1099997051,0
198.52.200.39-10.0.2.15-443-49580-6,198.52.200.39,443,10.0.2.15,49580,6,2015-07-24 17:55:52.316810,119996774,5346,4451,531850.0,2390684.0,1420.0,0.0,99.48559670781898,219.25728930455185,1057.0,0.0,537.1116603010565,61.43170045921077,24355.104746399265,81.64386152581068,12249.568599428387,14875.984674694506,119354.0,11.0,1.19996774E8,22450.28512628626,14218.093906330827,120163.0,13.0,1.19967765E8,26959.048314606775,13182.540903302895,119977.0,128.0,947,4398,0,0,0,0,106920,89020,44.551197684697755,37.09266384111293,0.0,1420.0,298.3090742063889,274.6438999070537,75429.27175615575,0,0,0,5345,9797,0,0,0,0.8325851103628882,298.3090742063897,99.48559670781893,537.111660301056,0,0,0,3033,5,25965,0,54,0,244,65535,65535,947,20,0,0,0,0,0,0,0,0,1220000901,0
