Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,2015-04-02 12:47:00.174429,90150409,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06655543847837674,1.80300818E7,2.4636262310486857E7,4.5017821E7,38205.0,9.0112028E7,4.5056014E7,16.97056274847714,4.5056026E7,4.5056002E7,9.0112204E7,4.5056102E7,45.254833995939045,4.5056134E7,4.505607E7,0,0,0,0,0,0,96,96,0.03327771923918837,0.03327771923918837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,443,366,0,32,38259.0,76.36753236814714,38313.0,38205.0,4.5017755E7,93.33809511662427,4.5017821E7,4.5017689E7,90150409,normal
131.202.240.150-131.202.6.3-53-50989-17,131.202.240.150,53,131.202.6.3,50989,17,2015-04-02 12:49:16.259418,0,1,0,164.0,0.0,164.0,164.0,164.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,164.0,164.0,164.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,164.0,164.0,0.0,0,0,0,0,0,0,1,164,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-44107-53-17,131.202.240.150,44107,131.202.244.5,53,17,2015-04-02 12:47:34.348873,393,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,508905.8524173028,5089.058524173028,393.0,0.0,393.0,393.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2544.529262086514,2544.529262086514,36.0,164.0,100.0,90.50966799187809,8192.0,0,0,0,0,0,0,0,0,1.0,100.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-10421-53-17,131.202.240.150,10421,131.202.244.5,53,17,2015-04-02 12:47:34.346884,377,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,530503.9787798409,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2652.5198938992044,2652.5198938992044,36.0,164.0,100.0,90.50966799187809,8192.0,0,0,0,0,0,0,0,0,1.0,100.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.244.5-27652-53-17,131.202.240.150,27652,131.202.244.5,53,17,2015-04-02 12:49:16.258751,271,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,738007.3800738008,7380.073800738008,271.0,0.0,271.0,271.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3690.036900369004,3690.036900369004,36.0,164.0,100.0,90.50966799187809,8192.0,0,0,0,0,0,0,0,0,1.0,100.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.88-131.202.240.150-137-137-17,131.202.240.88,137,131.202.240.150,137,17,2015-04-02 12:48:28.214042,0,1,0,62.0,0.0,62.0,62.0,62.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0,0,0,0,0,0,1,62,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.6.3-50989-53-17,131.202.240.150,50989,131.202.6.3,53,17,2015-04-02 12:49:16.258136,1263,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,158353.12747426762,1583.5312747426763,1263.0,0.0,1263.0,1263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,791.7656373713381,791.7656373713381,36.0,164.0,100.0,90.50966799187809,8192.0,0,0,0,0,0,0,0,0,1.0,100.0,36.0,164.0,0,0,0,0,0,0,0,18,0,82,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.6.3-48400-53-17,131.202.240.150,48400,131.202.6.3,53,17,2015-04-02 12:47:25.403495,1108,1,1,45.0,189.0,45.0,45.0,45.0,0.0,189.0,189.0,189.0,0.0,211191.3357400722,1805.0541516245487,1108.0,0.0,1108.0,1108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,902.5270758122743,902.5270758122743,45.0,189.0,117.0,101.82337649086284,10368.0,0,0,0,0,0,0,0,0,1.0,117.0,45.0,189.0,0,0,0,0,0,0,0,22,0,94,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,2015-04-02 12:47:33.073346,53996824,4,0,764.0,0.0,191.0,191.0,191.0,0.0,0,0,0,0,14.148980317805359,0.07407843098327413,1.7998941333333332E7,2.784487832987051E7,5.0151265E7,1831613.0,5.3996824E7,1.7998941333333332E7,2.784487832987051E7,5.0151265E7,1831613.0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.07407843098327413,0.0,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,191.0,191.0,0.0,0,0,0,0,0,0,1,191,0,0,0,0,3,8,2013946.0,0.0,2013946.0,2013946.0,5.0151265E7,0.0,5.0151265E7,5.0151265E7,0,normal
131.202.240.150-131.202.243.255-137-137-17,131.202.240.150,137,131.202.243.255,137,17,2015-04-02 12:48:28.213691,0,1,0,50.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,Infinity,Infinity,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0,0,0,0,0,0,1,50,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,normal
131.202.240.86-131.202.240.150-1462-22-6,131.202.240.86,1462,131.202.240.150,22,6,2015-04-02 12:47:24.403399,111850008,36965,25945,456086.0,9.3971193E7,672.0,0.0,12.338320032463168,21.917147413952037,7300.0,0.0,3621.938446714205,2094.756114395335,844231.311990608,562.4496692034211,1777.9651242270747,106682.67508833736,1.3716117E7,-2.0,1.11850008E8,3025.9173249648143,139163.60304108477,1.3716117E7,1.0,1.11849717E8,4311.197849213676,168601.50934643103,1.37168E7,1.0,3070,5834,0,0,0,0,739432,518912,330.4872360849541,231.962433118467,0.0,7300.0,1500.9899697981211,2228.7488207494994,4967321.305992284,2,2,0,8904,62909,0,0,0,0.7018801569051806,1500.9899697981243,12.338320032463141,3621.938446714203,137,11,122306,25705,6,156999758,0,7,0,1493,65535,838,36954,20,4579299.0,6008136.311528767,1.9208402E7,206722.0,7848416.888888889,2820451.4128352064,1.3716117E7,5228935.0,111850008,normal
