Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-192.168.1.5-49253-5357-6,192.168.1.4,49253,192.168.1.5,5357,6,01/01/1970 08:00:22 AM,5070,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,2767850.0986193293,3353.0571992110454,316.875,792.5693975924128,3266.0,13.0,4878.0,975.6,1466.8381983027302,3594.0,196.0,4725.0,472.5,1006.8289328381461,3266.0,13.0,0,0,0,0,132,232,1183.4319526627219,2169.6252465483235,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,3236392,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,Crysis
192.168.1.5-192.168.1.4-49251-2869-6,192.168.1.5,49251,192.168.1.4,2869,6,01/01/1970 08:00:24 AM,3402,4,6,308.0,5895.0,308.0,0.0,77.0,154.0,1460.0,0.0,982.5,681.1489558092268,1823339.212228101,2939.4473838918284,377.99999999999994,410.0344497722112,1224.0,0.0,3280.0,1093.3333333333333,499.6862348847858,1659.0,712.0,2740.0,548.0,924.8078178735299,2183.0,0.0,0,0,0,0,88,128,1175.7789535567313,1763.668430335097,0.0,1460.0,563.9090909090909,686.1918761608089,470859.29090909084,1,2,0,3,9,0,0,0,1.0,620.3,77.0,982.5,0,0,0,6203,6,3482874,0,0,0,0,8192,64240,1,20,0,0,0,0,0,0,0,0,Crysis
192.168.1.4-192.168.1.5-49258-5357-6,192.168.1.4,49258,192.168.1.5,5357,6,01/01/1970 08:00:25 AM,6233,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,2251403.81838601,2727.4185785336117,389.5625,1020.0265335601161,4194.0,11.0,6036.0,1207.2,1914.2138595256279,4623.0,184.0,5887.0,588.7,1295.9511350527243,4194.0,11.0,0,0,0,0,132,232,962.6183218353923,1764.8002566982193,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,2603042,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,Crysis
192.168.1.4-192.168.1.5-49261-5357-6,192.168.1.4,49261,192.168.1.5,5357,6,01/01/1970 08:00:26 AM,6974,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,2012188.1273300832,2437.6254660166333,435.875,822.5819412070751,2907.0,15.0,6716.0,1343.2,2215.3868059551137,5298.0,192.0,6585.0,658.4999999999999,1175.6941448447474,3480.0,15.0,0,0,0,0,132,232,860.3383997705764,1577.2870662460568,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,2261927,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,Crysis
192.168.1.4-192.168.1.5-49262-5357-6,192.168.1.4,49262,192.168.1.5,5357,6,01/01/1970 08:00:27 AM,8482,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,1654444.706437161,2004.2442820089602,530.125,1369.4015176954738,5555.0,12.0,8271.0,1654.2,2449.0752744658544,5960.0,207.0,7300.0,730.0,1720.3781883967,5555.0,12.0,0,0,0,0,132,232,707.3803348266919,1296.8639471822682,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,2072209,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,Crysis
192.168.1.4-192.168.1.5-49259-139-6,192.168.1.4,49259,192.168.1.5,139,6,01/01/1970 08:00:26 AM,13151410,11,10,983.0,908.0,238.0,0.0,89.36363636363636,76.20272006598285,223.0,0.0,90.8,79.0917891510308,143.78686391801335,1.5967869604856058,657570.4999999998,2891768.3520978084,1.2941917E7,120.0,1.3148848E7,1314884.8,4085788.4259862336,1.2941917E7,359.0,1.3151171E7,1461241.2222222222,4379328.786495277,1.3139451E7,302.0,0,0,0,0,232,212,0.836412217397222,0.7603747430883837,0.0,238.0,85.95454545454547,76.25738201438804,5815.188311688313,2,2,0,16,20,0,0,0,0.0,90.04761904761905,89.36363636363636,90.8,0,0,0,945,8,211308,11,983,10,908,8192,253,8,20,205830.0,0.0,205830.0,205830.0,1.2941917E7,0.0,1.2941917E7,1.2941917E7,Crysis
192.168.1.4-192.168.1.5-49260-139-6,192.168.1.4,49260,192.168.1.5,139,6,01/01/1970 08:00:26 AM,13140682,12,11,973.0,1006.0,214.0,0.0,81.08333333333333,68.43239309159387,334.0,0.0,91.45454545454545,103.16817691164619,150.6010114239124,1.7502896729408717,597303.7272727274,2750763.8241513623,1.2911522E7,90.0,1.3140508E7,1194591.6363636362,3886553.617917866,1.2911522E7,291.0,1.3140481E7,1314048.1,4148092.207182008,1.3119724E7,272.0,0,0,0,0,252,232,0.9131946119691504,0.8370950609717213,0.0,334.0,82.45833333333333,84.86868586575208,7202.693840579708,2,2,0,18,22,0,0,0,0.0,86.04347826086956,81.08333333333333,91.45454545454545,0,0,0,989,9,86824,12,973,11,1006,8192,253,9,20,223852.0,0.0,223852.0,223852.0,1.2911522E7,0.0,1.2911522E7,1.2911522E7,Crysis
192.168.1.5-192.168.1.4-49250-2869-6,192.168.1.5,49250,192.168.1.4,2869,6,01/01/1970 08:00:22 AM,60009725,6,6,235.0,5876.0,235.0,0.0,39.166666666666664,95.93834825900781,1460.0,0.0,979.3333333333334,685.4113120358218,101.83349448776843,0.19996758858668323,5455429.545454545,1.809235222739315E7,6.0005924E7,0.0,6.0009725E7,1.2001945E7,2.6835040064469233E7,6.0005924E7,284.0,2805.0,561.0,952.8753853468984,2247.0,0.0,0,0,0,0,128,128,0.09998379429334162,0.09998379429334162,0.0,1460.0,470.07692307692304,663.7074482956153,440507.57692307694,0,2,1,3,11,0,0,0,1.0,509.25,39.166666666666664,979.3333333333334,0,0,0,6111,6,3376243,6,235,6,5876,8192,64240,1,20,3801.0,0.0,3801.0,3801.0,6.0005924E7,0.0,6.0005924E7,6.0005924E7,Crysis
192.168.1.4-192.168.1.5-49257-2869-6,192.168.1.4,49257,192.168.1.5,2869,6,01/01/1970 08:00:24 AM,62755010,6,6,235.0,5876.0,235.0,0.0,39.166666666666664,95.93834825900781,1460.0,0.0,979.3333333333334,685.4113120358218,97.37867940742899,0.19121979265081784,5705000.909090909,1.8919719663434993E7,6.2750102E7,17.0,6.275501E7,1.2551002E7,2.8062150031530093E7,6.2750102E7,302.0,4140.0,828.0,1481.0925021753367,3464.0,17.0,0,0,0,0,128,128,0.09560989632540892,0.09560989632540892,0.0,1460.0,470.07692307692304,663.7074482956153,440507.57692307694,0,2,1,3,11,0,0,0,1.0,509.25,39.166666666666664,979.3333333333334,0,0,0,6111,6,1666030,6,235,6,5876,8192,64240,1,20,4908.0,0.0,4908.0,4908.0,6.2750102E7,0.0,6.2750102E7,6.2750102E7,Crysis
192.168.1.4-192.168.1.5-49263-139-6,192.168.1.4,49263,192.168.1.5,139,6,01/01/1970 08:01:17 AM,16784464,11,10,983.0,908.0,238.0,0.0,89.36363636363636,76.20272006598285,223.0,0.0,90.8,79.0917891510308,112.66371091742936,1.2511570223511457,839223.2000000001,3687021.5895105503,1.6502319E7,130.0,1.6784287E7,1678428.7000000002,5209002.715702627,1.6502319E7,312.0,1.6784282E7,1864920.2222222222,5589098.631253943,1.6769183E7,283.0,0,0,0,0,232,212,0.6553679640886954,0.5957890582624503,0.0,238.0,85.95454545454547,76.25738201438804,5815.188311688313,2,2,0,16,20,0,0,0,0.0,90.04761904761905,89.36363636363636,90.8,0,0,0,945,8,27447,11,983,10,908,8192,253,8,20,223809.0,0.0,223809.0,223809.0,1.6502319E7,0.0,1.6502319E7,1.6502319E7,Crysis
