Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.5-10.0.2.4-49176-5357-6,10.0.2.5,49176,10.0.2.4,5357,6,01/01/1970 08:00:17 AM,62805,4,4,949.0,2358.0,733.0,0.0,237.25,345.82979917872893,1460.0,0.0,589.5,718.3228150815389,52655.043388265265,127.37839344001274,8972.142857142857,22452.526549949573,59857.0,0.0,2751.0,917.0,1504.595294423055,2654.0,18.0,62417.0,20805.666666666664,33843.66079982089,59857.0,0.0,0,0,0,0,92,92,63.68919672000637,63.68919672000637,0.0,1460.0,367.44444444444446,536.9834986084561,288351.27777777775,1,2,0,3,7,0,0,0,1.0,413.375,237.25,589.5,0,0,0,3307,4,55050,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,TeslaCrypt
10.0.2.4-216.58.210.142-49340-443-6,10.0.2.4,49340,216.58.210.142,443,6,01/01/1970 08:00:17 AM,1280766,14,12,1298.0,6051.0,777.0,0.0,92.71428571428571,206.1968546247562,1460.0,0.0,504.24999999999994,670.715781155408,5737.972432122651,20.300351508394193,51230.64,103773.24327063632,326572.0,37.0,1264454.0,97265.69230769231,143858.72980253035,326572.0,174.0,1264359.0,114941.72727272726,193833.64849637993,627037.0,464.0,0,0,0,0,292,244,10.930958504519952,9.369393003874244,0.0,1460.0,272.18518518518516,506.58927659070645,256632.69515669526,2,2,0,12,25,0,0,0,0.0,282.65384615384613,92.71428571428571,504.25,0,0,0,7349,14,5912,0,0,0,0,8192,31469,7,20,0,0,0,0,0,0,0,0,TeslaCrypt
10.0.2.5-10.0.2.4-49177-5357-6,10.0.2.5,49177,10.0.2.4,5357,6,01/01/1970 08:00:21 AM,1683719,4,4,949.0,2358.0,733.0,0.0,237.25,345.82979917872893,1460.0,0.0,589.5,718.3228150815389,1964.1044616114684,4.751386662501284,240531.28571428568,635324.2945304165,1681311.0,0.0,2035.0,678.3333333333333,1147.2228786654027,2003.0,8.0,1682602.0,560867.3333333333,970332.8935475358,1681311.0,0.0,0,0,0,0,92,92,2.375693331250642,2.375693331250642,0.0,1460.0,367.44444444444446,536.9834986084561,288351.27777777775,1,2,0,3,7,0,0,0,1.0,413.375,237.25,589.5,0,0,0,0,0,0,4,949,4,2358,8192,256,2,20,0,0,0,0,0,0,0,0,TeslaCrypt
10.0.2.4-10.0.2.5-49374-5357-6,10.0.2.4,49374,10.0.2.5,5357,6,01/01/1970 08:00:25 AM,33286,4,4,949.0,2358.0,733.0,0.0,237.25,345.82979917872893,1460.0,0.0,589.5,718.3228150815389,99351.07853151474,240.3412846241663,4755.142857142857,5947.818351535052,14273.0,57.0,18746.0,6248.666666666666,4998.333455596308,10664.0,822.0,32817.0,10939.0,9656.753698836892,18487.0,57.0,0,0,0,0,92,92,120.17064231208315,120.17064231208315,0.0,1460.0,367.44444444444446,536.9834986084561,288351.27777777775,1,2,0,3,7,0,0,0,1.0,413.375,237.25,589.5,0,0,0,3307,4,131209,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,TeslaCrypt
10.0.2.5-10.0.2.4-49178-5357-6,10.0.2.5,49178,10.0.2.4,5357,6,01/01/1970 08:00:25 AM,330017,4,4,949.0,2358.0,733.0,0.0,237.25,345.82979917872893,1460.0,0.0,589.5,718.3228150815389,10020.695903544363,24.241175454597794,47145.28571428571,123512.43577971448,327240.0,0.0,2366.0,788.6666666666667,1334.8641628770072,2330.0,9.0,329794.0,109931.33333333334,188199.15830134132,327240.0,0.0,0,0,0,0,92,92,12.120587727298897,12.120587727298897,0.0,1460.0,367.44444444444446,536.9834986084561,288351.27777777775,1,2,0,3,7,0,0,0,1.0,413.375,237.25,589.5,0,0,0,3307,4,10092,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,TeslaCrypt
10.0.2.4-216.58.214.163-49345-443-6,10.0.2.4,49345,216.58.214.163,443,6,01/01/1970 08:00:21 AM,9545246,9,7,501.0,4836.0,291.0,0.0,55.666666666666664,112.30093499165534,1460.0,0.0,690.8571428571429,722.2205177025063,559.1265012970855,1.6762270977615452,636349.7333333333,2306715.125358584,8969429.0,14.0,9545246.0,1193155.75,3143837.672731382,8969429.0,260.0,9528185.0,1588030.8333333333,3724199.908990086,9187451.0,346.0,0,0,0,0,192,144,0.9428777424908692,0.733349355270676,0.0,1460.0,313.94117647058823,554.7452648049638,307742.3088235294,1,2,1,5,15,0,0,0,0.0,333.5625,55.666666666666664,690.8571428571429,0,0,0,5337,7,15736,9,501,7,4836,8192,32266,2,20,575557.0,0.0,575557.0,575557.0,8969429.0,0.0,8969429.0,8969429.0,TeslaCrypt
10.0.2.4-216.58.210.131-49363-443-6,10.0.2.4,49363,216.58.210.131,443,6,01/01/1970 08:00:24 AM,9637331,9,7,503.0,4801.0,291.0,0.0,55.888888888888886,112.64595470371366,1460.0,0.0,685.8571428571428,736.7162340574622,550.3598454800401,1.6602106952640727,642488.7333333334,2325307.0916030016,9042500.0,57.0,9637331.0,1204666.3749999998,3168806.5662085256,9042500.0,601.0,9620053.0,1603342.1666666667,3743847.3499109666,9242303.0,57.0,0,0,0,0,192,144,0.9338685160860408,0.7263421791780318,0.0,1460.0,311.99999999999994,560.3616020035635,314005.1250000001,1,2,1,5,15,0,0,0,0.0,331.5,55.888888888888886,685.8571428571429,0,0,0,5304,7,14380,9,503,7,4801,8192,32264,2,20,594230.0,0.0,594230.0,594230.0,9042500.0,0.0,9042500.0,9042500.0,TeslaCrypt
10.0.2.4-216.58.210.174-49372-443-6,10.0.2.4,49372,216.58.210.174,443,6,01/01/1970 08:00:24 AM,9282713,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6463627605420958,1856542.6,4131417.9899095544,9247031.0,163.0,9266162.0,4633081.0,6525110.666111342,9247031.0,19131.0,9263745.0,4631872.5,6527287.847890615,9247362.0,16383.0,0,0,0,0,72,64,0.3231813802710479,0.3231813802710479,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,8192,32767,0,20,19131.0,0.0,19131.0,19131.0,9247031.0,0.0,9247031.0,9247031.0,TeslaCrypt
10.0.2.4-216.58.210.142-49361-443-6,10.0.2.4,49361,216.58.210.142,443,6,01/01/1970 08:00:24 AM,10038295,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39847404364984296,3346098.3333333335,5779672.740855259,1.0019883E7,1103.0,18412.0,18412.0,0.0,18412.0,18412.0,1.0020986E7,1.0020986E7,0.0,1.0020986E7,1.0020986E7,0,0,0,0,52,44,0.19923702182492148,0.19923702182492148,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,8192,32768,0,20,18412.0,0.0,18412.0,18412.0,1.0019883E7,0.0,1.0019883E7,1.0019883E7,TeslaCrypt
10.0.2.4-104.20.18.218-49360-443-6,10.0.2.4,49360,104.20.18.218,443,6,01/01/1970 08:00:24 AM,15033700,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26606889854127724,5011233.333333333,8664985.21277938,1.5016692E7,356.0,17008.0,17008.0,0.0,17008.0,17008.0,1.5017048E7,1.5017048E7,0.0,1.5017048E7,1.5017048E7,0,0,0,0,52,44,0.13303444927063862,0.13303444927063862,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,8192,32768,0,20,17008.0,0.0,17008.0,17008.0,1.5016692E7,0.0,1.5016692E7,1.5016692E7,TeslaCrypt
