Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-192.168.1.5-49252-5357-6,192.168.1.4,49252,192.168.1.5,5357,6,01/01/1970 08:00:16 AM,6657,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,2108006.6095838966,2553.7028691602827,416.0625,877.7948483747972,3446.0,12.0,6460.0,1292.0,1491.607857313711,3837.0,354.0,6292.0,629.2,1176.7787293190584,3446.0,12.0,0,0,0,0,132,232,901.3068949977468,1652.3959741625358,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,2954937,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.5-49253-5357-6,192.168.1.4,49253,192.168.1.5,5357,6,01/01/1970 08:00:17 AM,5773,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,2430798.544950632,2944.742768058202,360.8125,671.9638104094595,2322.0,11.0,5565.0,1113.0,1795.7064069607816,4319.0,168.0,5449.0,544.9,975.6977503305008,2855.0,11.0,0,0,0,0,132,232,1039.3209769617183,1905.4217910964835,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,2760228,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.5-192.168.1.4-49253-2869-6,192.168.1.5,49253,192.168.1.4,2869,6,01/01/1970 08:00:19 AM,3515,4,6,308.0,5895.0,308.0,0.0,77.0,154.0,1460.0,0.0,982.5,681.1489558092268,1764722.6173541963,2844.9502133712663,390.55555555555554,508.2423415830068,1643.0,0.0,3401.0,1133.6666666666665,950.7919506039864,2231.0,555.0,3125.0,625.0,1022.3020590803875,2423.0,0.0,0,0,0,0,88,128,1137.9800853485065,1706.9701280227596,0.0,1460.0,563.9090909090909,686.1918761608089,470859.29090909084,1,2,0,3,9,0,0,0,1.0,620.3,77.0,982.5,0,0,0,6203,6,2645202,0,0,0,0,8192,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.5-49256-5357-6,192.168.1.4,49256,192.168.1.5,5357,6,01/01/1970 08:00:20 AM,12475,6,11,952.0,13081.0,733.0,0.0,158.66666666666669,294.686047628093,1460.0,0.0,1189.1818181818182,588.2103056189712,1124889.7795591182,1362.7254509018037,779.6874999999999,1968.5821198263484,7981.0,11.0,11271.0,2254.2,4179.781298106397,9723.0,181.0,12089.0,1208.9000000000003,2474.9818607640564,7981.0,11.0,0,0,0,0,132,232,480.9619238476954,881.7635270541082,0.0,1460.0,779.6111111111111,713.7542944252298,509445.19281045755,1,2,0,3,16,0,0,0,1.0,825.4705882352941,158.66666666666666,1189.1818181818182,0,0,0,14033,11,1193993,0,0,0,0,8192,256,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.4-192.168.1.5-49257-2869-6,192.168.1.4,49257,192.168.1.5,2869,6,01/01/1970 08:00:26 AM,3555,4,6,308.0,5895.0,308.0,0.0,77.0,154.0,1460.0,0.0,982.5,681.1489558092268,1744866.3853727144,2812.9395218002815,395.0,510.08308146810754,1648.0,20.0,3339.0,1113.0,881.6229352733515,2003.0,240.0,3059.0,611.8,1055.9570067005568,2488.0,20.0,0,0,0,0,88,128,1125.1758087201126,1687.7637130801688,0.0,1460.0,563.9090909090909,686.1918761608089,470859.29090909084,1,2,0,3,9,0,0,0,1.0,620.3,77.0,982.5,0,0,0,6203,6,2795403,0,0,0,0,8192,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.5-192.168.1.4-49252-2869-6,192.168.1.5,49252,192.168.1.4,2869,6,01/01/1970 08:00:16 AM,60010225,6,6,235.0,5876.0,235.0,0.0,39.166666666666664,95.93834825900781,1460.0,0.0,979.3333333333334,685.4113120358218,101.83264601990744,0.19996592247404504,5455475.000000001,1.8091911641276404E7,6.0004641E7,0.0,6.0010225E7,1.2002045E7,2.683426697857097E7,6.0004641E7,359.0,4814.0,962.8,1486.981909775637,3540.0,0.0,0,0,0,0,128,128,0.09998296123702252,0.09998296123702252,0.0,1460.0,470.07692307692304,663.7074482956153,440507.57692307694,0,2,1,3,11,0,0,0,1.0,509.25,39.166666666666664,979.3333333333334,0,0,0,6111,6,1510380,6,235,6,5876,8192,64240,1,20,5584.0,0.0,5584.0,5584.0,6.0004641E7,0.0,6.0004641E7,6.0004641E7,NeedManualLabel
192.168.1.5-192.168.1.4-49254-2869-6,192.168.1.5,49254,192.168.1.4,2869,6,01/01/1970 08:00:19 AM,68604664,6,6,191.0,5615.0,191.0,0.0,31.833333333333336,77.97542347859783,1460.0,0.0,935.8333333333333,673.7852526337057,84.62981467265841,0.17491522150738906,6236787.636363637,2.0684151522821244E7,6.8601851E7,0.0,6.8604664E7,1.37209328E7,3.067936594390516E7,6.8601851E7,280.0,2470.0,494.0,862.7940078605089,2024.0,0.0,0,0,0,0,132,132,0.08745761075369453,0.08745761075369453,0.0,1460.0,446.61538461538464,643.4327909038025,414005.75641025644,0,2,1,3,11,0,0,0,1.0,483.8333333333333,31.833333333333332,935.8333333333334,0,0,0,5806,6,3770129,6,191,6,5615,8192,256,1,20,2813.0,0.0,2813.0,2813.0,6.8601851E7,0.0,6.8601851E7,6.8601851E7,NeedManualLabel
192.168.1.4-192.168.1.5-49259-139-6,192.168.1.4,49259,192.168.1.5,139,6,01/01/1970 08:01:48 AM,13867952,11,10,983.0,908.0,238.0,0.0,89.36363636363636,76.20272006598285,223.0,0.0,90.8,79.0917891510308,136.3575530114324,1.5142827145637654,693397.6,3048426.5409045545,1.3643222E7,136.0,1.3867577E7,1386757.7,4306975.055564715,1.3643222E7,347.0,1.3867741E7,1540860.111111111,4616875.800804545,1.3852528E7,342.0,0,0,0,0,232,212,0.793195707628639,0.7210870069351264,0.0,238.0,85.95454545454547,76.25738201438804,5815.188311688313,2,2,0,16,20,0,0,0,0.0,90.04761904761905,89.36363636363636,90.8,0,0,0,945,8,198342,11,983,10,908,8192,253,8,20,217805.0,0.0,217805.0,217805.0,1.3643222E7,0.0,1.3643222E7,1.3643222E7,NeedManualLabel
192.168.1.4-192.168.1.5-49260-139-6,192.168.1.4,49260,192.168.1.5,139,6,01/01/1970 08:01:48 AM,13854862,12,11,973.0,1033.0,214.0,0.0,81.08333333333333,68.43239309159387,334.0,0.0,93.9090909090909,103.58132509816095,144.78671819322344,1.6600670580479255,629766.4545454546,2889749.5770084714,1.3566339E7,91.0,1.3854639E7,1259512.6363636365,4082163.209816537,1.3566339E7,273.0,1.385468E7,1385468.0,4348875.601152606,1.3762419E7,270.0,0,0,0,0,252,232,0.8661219433293526,0.7939451147185731,0.0,334.0,83.58333333333334,85.22038777636266,7262.514492753622,2,2,0,18,22,0,0,0,0.0,87.21739130434783,81.08333333333333,93.9090909090909,0,0,0,1003,9,22354,12,973,11,1033,8192,253,9,20,282852.0,0.0,282852.0,282852.0,1.3566339E7,0.0,1.3566339E7,1.3566339E7,NeedManualLabel
192.168.1.4-192.168.1.5-49258-2869-6,192.168.1.4,49258,192.168.1.5,2869,6,01/01/1970 08:00:26 AM,107415883,7,6,191.0,5615.0,191.0,0.0,27.28571428571429,72.19121434476239,1460.0,0.0,935.8333333333333,673.7852526337057,54.05159682018348,0.12102493259772394,8951323.583333334,3.094176467447479E7,1.07204437E8,19.0,1.07415883E8,1.7902647166666664E7,4.374884338286662E7,1.07204437E8,282.0,1745.0,349.0,503.24695726849654,1225.0,19.0,0,0,0,0,152,132,0.06516727139877443,0.05585766119894951,0.0,1460.0,414.7142857142857,629.6083555025945,396406.68131868134,0,2,1,3,12,0,0,0,0.0,446.61538461538464,27.285714285714285,935.8333333333334,0,0,0,5806,6,4452453,7,191,6,5615,8192,256,1,20,211446.0,0.0,211446.0,211446.0,1.07204437E8,0.0,1.07204437E8,1.07204437E8,NeedManualLabel
