Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
10.0.2.4-10.0.2.5-49157-445-6,10.0.2.4,49157,10.0.2.5,445,6,1970-01-01 00:00:56.677115,48976001,14224,11483,1.7292933E7,1.3232259E7,1460.0,0.0,1215.757381889763,522.9509639830978,1460.0,0.0,1152.3346686405935,574.0794887801811,623268.3636216032,524.8897311971225,1905.2361705438416,102179.4249513932,1.3970493E7,0.0,4.8976001E7,3443.4367573648406,138147.95355384072,1.3970493E7,0.0,4.8774508E7,4247.910468559479,156553.88688700984,1.4183712E7,0.0,1541,1581,0,0,0,0,284492,232912,290.42795878740696,234.46177240971554,0.0,1460.0,1187.4272377173597,547.2792622947109,299514.5909378429,0,2,0,3122,25706,0,0,0,0.8072975253093363,1187.4272377173531,1215.7573818897638,1152.3346686405991,127708,90,24919181,92938,67,12571785,0,672,0,514,8192,15967,12944,20,8180196.666666667,1.371940861218476E7,2.402193E7,217064.0,8071236.333333333,5110008.697421594,1.3970493E7,5015462.0,48976001,Crysis
10.0.2.4-10.0.2.5-49167-445-6,10.0.2.4,49167,10.0.2.5,445,6,1970-01-01 00:01:37.152920,118184727,12355,10950,1.3804068E7,1.2192455E7,1460.0,0.0,1117.2859571023869,587.5172286723599,1460.0,0.0,1113.466210045663,591.1858881225545,219965.1652112375,197.1913003615095,5071.435247167844,196500.72596621673,2.1853173E7,0.0,1.18184727E8,9566.515055852326,272032.3547786942,2.1869213E7,0.0,1.17895289E8,10767.676408804517,290815.3034519987,2.2064136E7,0.0,1967,2079,0,0,0,0,251228,219024,104.5397346477773,92.6515657137322,0.0,1460.0,1115.4912250590032,589.2342479775609,347196.9989896817,0,2,0,4046,23304,0,0,0,0.8862808579522461,1115.4912250590003,1117.2859571023878,1113.4662100456621,106793,75,18688884,80251,57,2858208,0,592,0,523,8192,20831,10958,20,1.55075045E7,2.3090243224278294E7,4.9868748E7,1640986.0,1.2990918E7,6383719.736154358,2.1853173E7,6639363.0,118184727,Crysis
10.0.2.4-10.0.2.5-49157-445-6,10.0.2.4,49157,10.0.2.5,445,6,1970-01-01 00:03:22.950833,214920,2,1,72.0,72.0,72.0,0.0,36.0,50.91168824543142,72.0,72.0,72.0,0.0,670.0167504187605,13.958682300390842,107460.0,151367.52022147947,214493.0,427.0,214920.0,214920.0,0.0,214920.0,214920.0,0,0,0,0,0,1,1,0,0,0,0,40,20,9.305788200260562,4.652894100130281,0.0,72.0,48.0,41.569219381653056,1728.0,0,0,0,2,3,0,0,0,0.5,48.0,36.0,72.0,0,0,0,0,0,0,0,24,0,24,8025,15967,0,20,0,0,0,0,0,0,0,0,146488638,Crysis
10.0.2.4-10.0.2.5-49167-445-6,10.0.2.4,49167,10.0.2.5,445,6,1970-01-01 00:04:10.044875,114540235,1197,682,1592596.0,802736.0,1460.0,0.0,1330.489557226401,400.55162331801466,1460.0,0.0,1177.0322580645147,560.0477603011982,20912.58150465642,16.40471577520336,60990.540468583604,1412447.3955241188,4.6759271E7,0.0,1.14534326E8,95764.4866220736,1769623.4218361124,4.6759271E7,0.0,1.14540235E8,168194.17767988233,2356422.8295896812,4.6968404E7,9.0,79,82,0,0,0,0,23940,13640,10.450476201659619,5.954239573543743,0.0,1460.0,1274.7908461947834,470.49098185365943,221361.76400562047,0,0,0,161,1879,0,0,0,0.5697577276524645,1274.7908461947845,1330.4895572263993,1177.032258064516,112964,78,70785874,159004,112,8896025,0,847,0,427,0,24028,1138,0,4390343.666666667,7238394.170076698,1.274852E7,207200.0,3.3788884333333336E7,1.1958986916096125E7,4.6759271E7,2.3199526E7,267432190,Crysis
10.0.2.4-10.0.2.5-49157-445-6,10.0.2.4,49157,10.0.2.5,445,6,1970-01-01 00:05:23.203511,119997495,2,2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.016667014590596246,0.03333402918119249,3.9999165E7,6.928013051101117E7,1.19996969E8,186.0,1.19997309E8,1.19997309E8,0.0,1.19997309E8,1.19997309E8,1.19997155E8,1.19997155E8,0.0,1.19997155E8,1.19997155E8,0,0,0,0,0,0,64,40,0.016667014590596246,0.016667014590596246,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,4,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,15967,0,0,186.0,0.0,186.0,186.0,1.19996969E8,0.0,1.19996969E8,1.19996969E8,386523891,Crysis
10.0.2.4-10.0.2.5-49169-445-6,10.0.2.4,49169,10.0.2.5,445,6,1970-01-01 00:07:35.002623,119139450,59127,48443,7.07006E7,5.400205E7,1460.0,0.0,1195.7413702707831,533.624607389926,1460.0,0.0,1114.7544536878406,593.8425786872976,1046694.8605184932,902.8915275334913,1107.563052552323,53321.413902845925,1.3273278E7,0.0,1.19138906E8,2015.0002706085343,72798.51306424827,1.3274389E7,0.0,1.19139197E8,2459.4194500640087,80434.27840949087,1.3476605E7,0.0,8066,8856,0,0,0,0,1182644,968868,496.28397646623347,406.60755106725776,0.0,1460.0,1159.2697778190877,562.9840394290248,316951.02865182183,0,2,0,16922,107569,0,0,0,0.8193042095827625,1159.2697778190945,1195.7413702707731,1114.7544536878393,104372,73,36735713,98298,70,5961480,0,657,0,502,8192,63024,54435,20,7662042.5,2044803.6116606651,9107937.0,6216148.0,1.03295945E7,4162997.129033901,1.3273278E7,7385911.0,119139450,Crysis
10.0.2.4-10.0.2.5-49157-445-6,10.0.2.4,49157,10.0.2.5,445,6,1970-01-01 00:09:23.200770,172,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5813.953488372093,11627.906976744185,172.0,0.0,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,5813.953488372093,5813.953488372093,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,15967,0,0,0,0,0,0,0,0,0,0,506523827,Crysis
10.0.2.4-10.0.2.5-49169-445-6,10.0.2.4,49169,10.0.2.5,445,6,1970-01-01 00:09:36.117477,119824055,97537,85766,1.11874001E8,9.2952594E7,1460.0,0.0,1146.990383136654,567.509373612595,1460.0,0.0,1083.793041531599,609.2582566738124,1709394.6203039114,1529.7679585288613,653.6974773870578,14754.697616810787,2523740.0,0.0,1.1981698E8,1228.4385252624322,21388.103129930045,2525797.0,0.0,1.19824055E8,1397.1206785984853,22687.365506391903,2729861.0,0.0,15304,17459,0,0,0,0,1950764,1715320,814.0018295992403,715.766128929621,0.0,1460.0,1117.4208550869191,588.2569959128532,346046.29324041464,0,0,0,32763,183303,0,0,0,0.8793175922983073,1117.4208550869325,1146.9903831366557,1083.7930415316093,111742,78,26723228,84918,61,4526127,0,610,0,507,0,64240,88254,0,0,0,0,0,0,0,0,0,240938909,Crysis
10.0.2.4-10.0.2.5-49157-445-6,10.0.2.4,49157,10.0.2.5,445,6,1970-01-01 00:11:23.216070,198,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5050.505050505051,10101.010101010103,198.0,0.0,198.0,198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,5050.505050505051,5050.505050505051,0.0,1.0,0.5,0.7071067811865476,0.5,0,0,0,0,2,0,0,0,1.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,15967,0,0,0,0,0,0,0,0,0,0,626539153,Crysis
10.0.2.4-10.0.2.5-49169-445-6,10.0.2.4,49169,10.0.2.5,445,6,1970-01-01 00:11:36.134740,119769299,79012,66777,9.2320816E7,7.2829134E7,1460.0,0.0,1168.4404394269309,553.4152607282786,1460.0,0.0,1090.6320140168164,606.1999401802561,1378900.5310952016,1217.248503725483,821.5305717891777,23957.257009804423,4923859.0,0.0,1.1976876E8,1515.8491855564491,33917.526244604676,4925187.0,0.0,1.18668497E8,1777.1129896968919,36087.049308907575,4923859.0,0.0,11608,13237,0,0,0,0,1580276,1335540,659.701615186042,557.5468885394412,0.0,1460.0,1132.8011715561597,579.48729033143,335805.51965566305,0,0,0,24845,145789,0,0,0,0.8451501037817041,1132.8011715561531,1168.4404394269225,1090.6320140168023,116375,81,31007977,84584,61,3757646,0,633,0,499,64035,63348,71993,20,0,0,0,0,0,0,0,0,360901416,Crysis
