Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
134.221.96.0-0.0.0.104-0-0-0,134.221.96.0,0,0.0.0.104,0,0,1970-01-01 00:00:22.035947,118432658,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2110904240619171,4934694.083333333,2873704.945511523,7977597.0,1913044.0,1.18432658E8,4934694.083333333,2873704.945511523,7977597.0,1913044.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2110904240619171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2135020.8333333335,109577.86877984682,2344663.0,1913044.0,7734367.333333333,391961.83183346107,7977597.0,6518799.0,0,NeedManualLabel
134.221.96.0-0.0.0.28-0-0-0,134.221.96.0,0,0.0.0.28,0,0,1970-01-01 00:00:22.041597,118428711,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2279852560415016,4554950.423076923,3059826.8195038773,7977397.0,1921.0,1.18428711E8,4554950.423076923,3059826.8195038773,7977397.0,1921.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2279852560415016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2140973.5,118205.77087089201,2371919.0,1909706.0,7728085.75,392607.27780271607,7977397.0,6518370.0,0,NeedManualLabel
134.221.96.0-0.0.0.136-0-0-0,134.221.96.0,0,0.0.0.136,0,0,1970-01-01 00:00:22.042117,118428529,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4137516560726681,2467261.0208333335,3199984.607968903,7977169.0,140.0,1.18428529E8,2467261.0208333335,3199984.607968903,7977169.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4137516560726681,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2141260.4166666665,118223.3124445262,2372055.0,1909625.0,7727772.0,392573.6316873331,7977169.0,6518114.0,0,NeedManualLabel
134.221.96.0-0.0.1.146-0-0-0,134.221.96.0,0,0.0.1.146,0,0,1970-01-01 00:00:22.033943,119106510,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.6128968097545634,1654257.0833333335,963151.0035177122,4004273.0,30921.0,1.1910651E8,1654257.0833333335,963151.0035177122,4004273.0,30921.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6128968097545634,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.0-0.0.0.128-0-0-0,134.221.96.0,0,0.0.0.128,0,0,1970-01-01 00:00:23.950075,118763583,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2105022378787612,4948482.625,2859742.394374221,7977363.0,2021038.0,1.18763583E8,4948482.625,2859742.394374221,7977363.0,2021038.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2105022378787612,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2154723.6363636362,86216.49748078697,2334856.0,2021038.0,7734790.0,392085.0638503658,7977363.0,6518558.0,0,NeedManualLabel
134.221.96.0-0.0.0.116-0-0-0,134.221.96.0,0,0.0.0.116,0,0,1970-01-01 00:00:23.950700,118763507,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21050237258487153,4948479.458333333,2853660.124514419,7977508.0,2020903.0,1.18763507E8,4948479.458333333,2853660.124514419,7977508.0,2020903.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21050237258487153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2161444.1818181816,97627.02346975268,2371732.0,2020903.0,7728617.166666667,392669.6206020883,7977508.0,6518630.0,0,NeedManualLabel
134.221.96.0-0.0.0.32-0-0-0,134.221.96.0,0,0.0.0.32,0,0,1970-01-01 00:00:21.542120,116014236,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.14653374091089993,7250889.749999999,1.003718266103437E7,2.5002941E7,228.0,1.16014236E8,7250889.749999999,1.003718266103437E7,2.5002941E7,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14653374091089993,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1930998.4,2581671.702003336,4849236.0,290.0,2.12718032E7,3341035.6984007517,2.5002941E7,1.7664269E7,0,NeedManualLabel
192.168.1.4-192.168.1.5-49245-445-6,192.168.1.4,49245,192.168.1.5,445,6,1970-01-01 00:00:20.655943,14125559,22,19,3454.0,2300.0,513.0,0.0,157.00000000000003,131.79710235993883,292.0,0.0,121.05263157894736,72.69683906028325,407.3467110221974,2.9025399985940377,353138.975,2160748.1626792056,1.3674248E7,132.0,1.4125559E7,672645.6666666667,2979696.3766951384,1.3674248E7,311.0,1.3909072E7,772726.2222222221,3270525.2995317318,1.3877518E7,305.0,18,18,0,0,0,0,448,388,1.5574604870504594,1.3450795115435785,0.0,513.0,140.34146341463418,108.75215164678296,11827.030487804877,0,2,0,36,40,0,0,0,0.8636363636363636,140.34146341463415,157.0,121.05263157894737,0,0,0,0,0,0,0,84,0,56,8192,64076,18,20,234373.0,0.0,234373.0,234373.0,1.3674248E7,0.0,1.3674248E7,1.3674248E7,14125559,NeedManualLabel
134.221.96.0-0.0.0.194-0-0-0,134.221.96.0,0,0.0.0.194,0,0,1970-01-01 00:00:22.046705,105800150,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1323249541706699,8138473.076923079,2.195202360144293E7,7.579146E7,0.0,1.0580015E8,8138473.076923079,2.195202360144293E7,7.579146E7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1323249541706699,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5529.0,1364.7160876900368,6494.0,4564.0,5.2890748E7,3.2386497498400286E7,7.579146E7,2.9990036E7,0,NeedManualLabel
134.221.96.0-0.0.0.42-0-0-0,134.221.96.0,0,0.0.0.42,0,0,1970-01-01 00:00:22.048703,105798487,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13232703412856936,8138345.153846156,2.19525842496338E7,7.5792776E7,0.0,1.05798487E8,8138345.153846156,2.19525842496338E7,7.5792776E7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13232703412856936,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3872.0,1368.958728377156,4840.0,2904.0,5.289198E7,3.2386616292339526E7,7.5792776E7,2.9991184E7,0,NeedManualLabel
