,precision,recall,f1-score,support
0,0.6512605042016807,0.5344827586206896,0.5871212121212122,290.0
1,0.5102040816326531,0.4,0.4484304932735426,125.0
2,0.5265017667844523,0.5340501792114696,0.5302491103202847,279.0
3,0.6268656716417911,0.7368421052631579,0.6774193548387096,57.0
4,0.363019508057676,0.6109921484653819,0.45544027666932696,1401.0
5,0.6439393939393939,0.5985915492957746,0.6204379562043796,284.0
6,0.2967032967032967,0.22131147540983606,0.2535211267605634,122.0
7,0.4606741573033708,0.3106060606060606,0.3710407239819005,132.0
8,0.3125,0.24,0.27149321266968324,125.0
9,0.3173913043478261,0.22324159021406728,0.2621184919210054,327.0
10,0.10416666666666667,0.07142857142857142,0.0847457627118644,70.0
11,0.5437262357414449,0.5041128084606346,0.523170731707317,1702.0
12,0.3442622950819672,0.3,0.32061068702290074,70.0
13,0.3170731707317073,0.34513274336283184,0.33050847457627125,113.0
14,0.3173076923076923,0.24087591240875914,0.2738589211618257,137.0
15,0.5111111111111111,0.3458646616541353,0.41255605381165916,133.0
16,0.36477987421383645,0.29292929292929293,0.3249299719887955,198.0
17,0.39248704663212436,0.3117283950617284,0.3474770642201835,972.0
18,0.8774574049803407,0.9047297297297298,0.8908848968729207,1480.0
19,0.1111111111111111,0.07692307692307693,0.09090909090909093,26.0
20,0.3037037037037037,0.2546583850931677,0.277027027027027,161.0
21,0.1590909090909091,0.11864406779661017,0.13592233009708737,59.0
22,0.2962962962962963,0.22377622377622378,0.2549800796812749,143.0
23,0.5349794238683128,0.4642857142857143,0.497131931166348,280.0
24,0.3963963963963964,0.2838709677419355,0.3308270676691729,155.0
25,0.37894736842105264,0.23841059602649006,0.29268292682926833,151.0
26,0.2222222222222222,0.17647058823529413,0.19672131147540983,34.0
27,0.34,0.32567049808429116,0.3326810176125245,261.0
28,0.4342105263157895,0.23076923076923078,0.30136986301369867,143.0
29,0.25,0.2644628099173554,0.2570281124497992,121.0
30,0.32989690721649484,0.2782608695652174,0.3018867924528302,115.0
31,0.375,0.19736842105263158,0.2586206896551724,76.0
32,0.6170212765957447,0.7137950772753291,0.6618895966029724,1747.0
33,0.4077669902912621,0.3387096774193548,0.3700440528634361,124.0
34,0.1926605504587156,0.3181818181818182,0.24,66.0
35,0.5182072829131653,0.44047619047619047,0.4761904761904762,420.0
36,0.32786885245901637,0.22988505747126436,0.2702702702702703,435.0
37,0.36666666666666664,0.25,0.29729729729729726,44.0
38,0.9997175448126019,0.999847888915448,0.9997827126157055,46019.0
accuracy,0.8943802583750021,0.8943802583750021,0.8943802583750021,0.8943802583750021
macro avg,0.4113639797671409,0.36285608054176316,0.38023787612085147,58597.0
weighted avg,0.8937955388705278,0.8943802583750021,0.8925669309988398,58597.0
Total_training_time(s),393.7887983407127,,,
Input_size,71,,,
