,precision,recall,f1-score,support
0,0.0,0.0,0.0,289.0
1,0.0,0.0,0.0,125.0
2,0.5833333333333334,0.025089605734767026,0.048109965635738834,279.0
3,0.7692307692307693,0.3508771929824561,0.48192771084337344,57.0
4,0.2134004647560031,0.39357142857142857,0.2767453540934204,1400.0
5,0.7045454545454546,0.21830985915492956,0.33333333333333337,284.0
6,0.0,0.0,0.0,122.0
7,0.0,0.0,0.0,133.0
8,0.0,0.0,0.0,125.0
9,0.0,0.0,0.0,327.0
10,0.0,0.0,0.0,70.0
11,0.2231893068075847,0.4216089254257193,0.291869918699187,1703.0
12,0.2,0.014285714285714285,0.026666666666666665,70.0
13,0.0,0.0,0.0,113.0
14,1.0,0.0072992700729927005,0.014492753623188404,137.0
15,0.0,0.0,0.0,133.0
16,0.25,0.005050505050505051,0.009900990099009903,198.0
17,0.1895734597156398,0.0411522633744856,0.06762468300929839,972.0
18,0.6300768386388584,0.775151924375422,0.6951256433545263,1481.0
19,0.0,0.0,0.0,26.0
20,0.0,0.0,0.0,161.0
21,0.0,0.0,0.0,59.0
22,0.0,0.0,0.0,143.0
23,0.43902439024390244,0.06428571428571428,0.11214953271028037,280.0
24,0.0625,0.0064516129032258064,0.011695906432748537,155.0
25,1.0,0.006622516556291391,0.013157894736842105,151.0
26,0.0,0.0,0.0,34.0
27,0.0,0.0,0.0,261.0
28,0.0,0.0,0.0,143.0
29,0.5,0.008264462809917356,0.016260162601626018,121.0
30,0.0,0.0,0.0,115.0
31,0.0,0.0,0.0,76.0
32,0.31936610260542575,0.6798170383076043,0.4345760233918129,1749.0
33,0.0,0.0,0.0,124.0
34,0.0,0.0,0.0,66.0
35,0.08695652173913043,0.004761904761904762,0.009029345372460498,420.0
36,0.1896551724137931,0.02528735632183908,0.04462474645030425,435.0
37,0.0,0.0,0.0,44.0
38,0.9807634698506441,0.995893446897271,0.9882705534832575,46024.0
accuracy,0.846463612319768,0.846463612319768,0.846463612319768,0.846463612319768
macro avg,0.21388757138155226,0.10368668568903047,0.09937336370607884,58605.0
weighted avg,0.8286633157958911,0.846463612319768,0.826306502826421,58605.0
Total_training_time(s),409.0012495375704,,,
Input_size,24,,,
