,precision,recall,f1-score,support
0,0.5288461538461539,0.5045871559633027,0.5164319248826291,327.0
1,0.550561797752809,0.3333333333333333,0.41525423728813565,147.0
2,0.5598455598455598,0.43283582089552236,0.4882154882154882,335.0
3,0.6617647058823529,0.6716417910447762,0.6666666666666667,67.0
4,0.8241347997174856,0.9269178393100318,0.8725097473695455,8812.0
5,0.6726618705035972,0.6012861736334405,0.634974533106961,311.0
6,0.35294117647058826,0.18181818181818182,0.24000000000000002,132.0
7,0.21428571428571427,0.13138686131386862,0.16289592760180996,137.0
8,0.40540540540540543,0.20689655172413793,0.273972602739726,145.0
9,0.3550488599348534,0.27877237851662406,0.31232091690544417,391.0
10,0.23255813953488372,0.25,0.24096385542168675,80.0
11,0.5005086469989827,0.5017848036715962,0.5011459129106187,1961.0
12,0.14285714285714285,0.12,0.13043478260869565,25.0
13,0.46153846153846156,0.3076923076923077,0.3692307692307692,117.0
14,0.29896907216494845,0.19078947368421054,0.23293172690763053,152.0
15,0.32142857142857145,0.16981132075471697,0.2222222222222222,159.0
16,0.3081081081081081,0.19655172413793104,0.24,290.0
17,0.3700440528634361,0.3630077787381158,0.36649214659685864,1157.0
18,0.8821932681867535,0.9129213483146067,0.8972943125345113,1780.0
19,0.17391304347826086,0.16,0.16666666666666666,25.0
20,0.4108527131782946,0.292817679558011,0.3419354838709677,181.0
21,0.32653061224489793,0.2,0.24806201550387594,80.0
22,0.25862068965517243,0.21739130434782608,0.23622047244094485,138.0
23,0.4456824512534819,0.45325779036827196,0.44943820224719105,353.0
24,0.2962962962962963,0.24242424242424243,0.26666666666666666,165.0
25,0.3283582089552239,0.3142857142857143,0.32116788321167883,140.0
26,0.09375,0.07317073170731707,0.08219178082191779,41.0
27,0.4,0.2760942760942761,0.3266932270916335,297.0
28,0.4112903225806452,0.288135593220339,0.33887043189368776,177.0
29,0.9966282106376648,0.9966611570247934,0.9966446835589494,30250.0
30,0.38571428571428573,0.1875,0.25233644859813087,144.0
31,0.3333333333333333,0.18055555555555555,0.23423423423423426,72.0
32,0.5700876095118899,0.636617749825297,0.6015186530207989,1431.0
33,0.37349397590361444,0.21830985915492956,0.27555555555555555,142.0
34,0.3225806451612903,0.24096385542168675,0.27586206896551724,83.0
35,0.4216335540838852,0.38979591836734695,0.4050901378579003,490.0
36,0.32751091703056767,0.2994011976047904,0.31282586027111575,501.0
37,0.4186046511627907,0.34615384615384615,0.37894736842105264,52.0
38,0.9993053545586107,0.9981497542642382,0.9987272201330634,17295.0
accuracy,0.8952349012860518,0.8952349012860518,0.8952349012860518,0.8952349012860518
macro avg,0.4343048303093849,0.3665056684596201,0.3921439188266909,68582.0
weighted avg,0.8873981409356713,0.8952349012860518,0.8901600203238623,68582.0
Total_training_time(s),385.3999212849303,,,
Input_size,27,,,
