,precision,recall,f1-score,support
0,0.6446280991735537,0.47706422018348627,0.5483304042179262,327.0
1,0.5072463768115942,0.23809523809523808,0.324074074074074,147.0
2,0.4852941176470588,0.4925373134328358,0.4888888888888889,335.0
3,0.7884615384615384,0.6119402985074627,0.6890756302521007,67.0
4,0.8392857142857143,0.9280526554698139,0.8814399655098082,8812.0
5,0.6752767527675276,0.5884244372990354,0.6288659793814432,311.0
6,0.30120481927710846,0.1893939393939394,0.23255813953488372,132.0
7,0.26229508196721313,0.23357664233576642,0.2471042471042471,137.0
8,0.4027777777777778,0.2,0.2672811059907834,145.0
9,0.3413897280966767,0.289002557544757,0.31301939058171746,391.0
10,0.24358974358974358,0.2375,0.24050632911392406,80.0
11,0.5239118753358409,0.49719530851606325,0.5102040816326531,1961.0
12,0.1875,0.24,0.21052631578947367,25.0
13,0.38095238095238093,0.27350427350427353,0.318407960199005,117.0
14,0.3235294117647059,0.21710526315789475,0.2598425196850394,152.0
15,0.525,0.2641509433962264,0.3514644351464435,159.0
16,0.30739299610894943,0.27241379310344827,0.2888482632541134,290.0
17,0.40336134453781514,0.37337942955920483,0.3877917414721723,1157.0
18,0.8928376161837069,0.9174157303370787,0.9049598226655583,1780.0
19,0.19230769230769232,0.2,0.19607843137254902,25.0
20,0.3160377358490566,0.3701657458563536,0.34096692111959287,181.0
21,0.34545454545454546,0.2375,0.28148148148148144,80.0
22,0.15723270440251572,0.18115942028985507,0.16835016835016833,138.0
23,0.44881889763779526,0.48441926345609065,0.4659400544959128,353.0
24,0.3448275862068966,0.24242424242424243,0.2846975088967971,165.0
25,0.29508196721311475,0.2571428571428571,0.27480916030534347,140.0
26,0.15384615384615385,0.14634146341463414,0.15,41.0
27,0.3403361344537815,0.2727272727272727,0.30280373831775703,297.0
28,0.3381294964028777,0.2655367231638418,0.2974683544303797,177.0
29,0.9968252918416615,0.9964628099173554,0.9966440179206136,30250.0
30,0.3119266055045872,0.2361111111111111,0.26877470355731226,144.0
31,0.38181818181818183,0.2916666666666667,0.3307086614173228,72.0
32,0.5657346817370613,0.6645702306079665,0.6111825192802056,1431.0
33,0.3333333333333333,0.2323943661971831,0.27385892116182575,142.0
34,0.34782608695652173,0.2891566265060241,0.3157894736842105,83.0
35,0.5444444444444444,0.4,0.4611764705882353,490.0
36,0.3640552995391705,0.3153692614770459,0.33796791443850266,501.0
37,0.47368421052631576,0.34615384615384615,0.39999999999999997,52.0
38,0.9997108322248569,0.999479618386817,0.9995952119354653,17295.0
accuracy,0.8977428479776034,0.8977428479776034,0.8977428479776034,0.8977428479776034
macro avg,0.44326582708819157,0.3838341940855305,0.40644828223712653,68582.0
weighted avg,0.8917671302704898,0.8977428479776034,0.8937060806888291,68582.0
Total_training_time(s),394.6720472840825,,,
Input_size,78,,,
