,precision,recall,f1-score,support
0,0.48828125,0.382262996941896,0.4288164665523156,327.0
1,0.37254901960784315,0.1292517006802721,0.1919191919191919,147.0
2,0.5443037974683544,0.2551928783382789,0.3474747474747475,337.0
3,0.9,0.6923076923076923,0.7826086956521738,65.0
4,0.720691425637515,0.955525300658044,0.8216585365853658,8814.0
5,0.6724890829694323,0.49517684887459806,0.5703703703703704,311.0
6,0.1891891891891892,0.05223880597014925,0.08187134502923976,134.0
7,0.0684931506849315,0.0364963503649635,0.047619047619047616,137.0
8,0.25,0.03424657534246575,0.06024096385542168,146.0
9,0.21052631578947367,0.11224489795918367,0.14642262895174707,392.0
10,0.19148936170212766,0.11392405063291139,0.14285714285714288,79.0
11,0.4905897114178168,0.3985728848114169,0.4398200224971878,1962.0
12,0.30985915492957744,0.24175824175824176,0.2716049382716049,91.0
13,0.125,0.034482758620689655,0.05405405405405405,116.0
14,0.32432432432432434,0.0784313725490196,0.12631578947368421,153.0
15,0.7317073170731707,0.17341040462427745,0.2803738317757009,173.0
16,0.25,0.06593406593406594,0.10434782608695653,273.0
17,0.312157721796276,0.24653979238754326,0.2754954084098598,1156.0
18,0.8975801913337085,0.894559730790802,0.896067415730337,1783.0
19,0.17391304347826086,0.16,0.16666666666666666,25.0
20,0.391304347826087,0.23076923076923078,0.2903225806451613,195.0
21,0.375,0.16666666666666666,0.23076923076923078,72.0
22,0.2,0.04477611940298507,0.07317073170731708,134.0
23,0.3806646525679758,0.35694050991501414,0.36842105263157887,353.0
24,0.24390243902439024,0.18404907975460122,0.20979020979020976,163.0
25,0.28846153846153844,0.1048951048951049,0.15384615384615385,143.0
26,0.17391304347826086,0.10526315789473684,0.13114754098360656,38.0
27,0.46153846153846156,0.11764705882352941,0.1875,306.0
28,0.375,0.13714285714285715,0.20083682008368203,175.0
29,0.9975461750174089,0.9962907766186455,0.9969180805938495,30195.0
30,0.2916666666666667,0.05555555555555555,0.09333333333333334,126.0
31,0.3684210526315789,0.07954545454545454,0.1308411214953271,88.0
32,0.42470536883457005,0.6363636363636364,0.5094240837696336,1529.0
33,0.32608695652173914,0.10638297872340426,0.16042780748663105,141.0
34,0.3176470588235294,0.38571428571428573,0.3483870967741936,70.0
35,0.5057471264367817,0.2634730538922156,0.3464566929133858,501.0
36,0.29777777777777775,0.1342685370741483,0.1850828729281768,499.0
37,0.23728813559322035,0.3333333333333333,0.2772277227722772,42.0
38,0.9993669064748202,0.9993669064748202,0.9993669064748202,17375.0
accuracy,0.8821219788849141,0.8821219788849141,0.8821219788849141,0.8821219788849141
macro avg,0.40715850679684124,0.2818205552078651,0.31102243920080475,68766.0
weighted avg,0.867353067186005,0.8821219788849141,0.8684657055763322,68766.0
Total_training_time(s),332.5772413550876,,,
Input_size,88,,,
