,precision,recall,f1-score,support
0,0.5578947368421052,0.39114391143911437,0.45986984815618215,271.0
1,0.423728813559322,0.21929824561403508,0.2890173410404624,114.0
2,0.47619047619047616,0.4048582995951417,0.43763676148796504,247.0
3,0.7916666666666666,0.7037037037037037,0.7450980392156864,54.0
4,0.32358911896061715,0.5652482269503546,0.4115672605215595,1410.0
5,0.650375939849624,0.6091549295774648,0.629090909090909,284.0
6,0.38461538461538464,0.07751937984496124,0.12903225806451613,129.0
7,0.20930232558139536,0.08411214953271028,0.12000000000000001,107.0
8,0.3870967741935484,0.0916030534351145,0.14814814814814814,131.0
9,0.15920398009950248,0.09195402298850575,0.11657559198542805,348.0
10,0.18181818181818182,0.06060606060606061,0.09090909090909091,66.0
11,0.41509433962264153,0.48655110579796773,0.4479911942762796,1673.0
12,0.6296296296296297,0.2328767123287671,0.34,73.0
13,0.1951219512195122,0.05970149253731343,0.09142857142857141,134.0
14,0.22857142857142856,0.05161290322580645,0.08421052631578947,155.0
15,0.39655172413793105,0.34328358208955223,0.368,134.0
16,0.264,0.1506849315068493,0.19186046511627908,219.0
17,0.2982315112540193,0.3930084745762712,0.3391224862888483,944.0
18,0.9313367421475529,0.8959943780744906,0.913323782234957,1423.0
19,0.043478260869565216,0.041666666666666664,0.0425531914893617,24.0
20,0.27586206896551724,0.11678832116788321,0.1641025641025641,137.0
21,0.2857142857142857,0.1951219512195122,0.2318840579710145,41.0
22,0.16,0.06015037593984962,0.08743169398907104,133.0
23,0.4696132596685083,0.30141843971631205,0.36717062634989206,282.0
24,0.21052631578947367,0.10666666666666667,0.1415929203539823,150.0
25,0.2222222222222222,0.10256410256410256,0.14035087719298245,156.0
26,0.09090909090909091,0.034482758620689655,0.05,29.0
27,0.35106382978723405,0.11578947368421053,0.1741424802110818,285.0
28,0.16666666666666666,0.03937007874015748,0.06369426751592357,127.0
29,0.4,0.22033898305084745,0.28415300546448086,118.0
30,0.2653061224489796,0.09701492537313433,0.14207650273224043,134.0
31,0.3076923076923077,0.06153846153846154,0.10256410256410257,65.0
32,0.45185533114138093,0.6354029062087186,0.5281361515234696,1514.0
33,0.5238095238095238,0.19130434782608696,0.2802547770700637,115.0
34,0.19083969465648856,0.3968253968253968,0.25773195876288657,63.0
35,0.41358024691358025,0.32682926829268294,0.3651226158038148,410.0
36,0.3275862068965517,0.18673218673218672,0.2378716744913928,407.0
37,0.23214285714285715,0.40625,0.2954545454545454,32.0
38,0.9997923444313699,0.9995847750865052,0.9996885489843237,14450.0
accuracy,0.7441703023920566,0.7441703023920566,0.7441703023920566,0.7441703023920566
macro avg,0.36647898360731135,0.27048091408575015,0.28997073939250945,26588.0
weighted avg,0.7417455190523418,0.7441703023920566,0.7345540525956297,26588.0
Total_training_time(s),138.65228439116618,,,
Input_size,77,,,
