,precision,recall,f1-score,support
0,0.3843843843843844,0.4794007490636704,0.42666666666666664,267.0
1,0.875,0.056910569105691054,0.10687022900763359,123.0
2,0.47530864197530864,0.2916666666666667,0.36150234741784043,264.0
3,0.975,0.7358490566037735,0.8387096774193549,53.0
4,0.2569444444444444,0.7011661807580175,0.37607505863956214,1372.0
5,0.5775193798449613,0.5518518518518518,0.5643939393939393,270.0
6,0.5,0.008403361344537815,0.01652892561983471,119.0
7,0.0,0.0,0.0,118.0
8,0.14285714285714285,0.007518796992481203,0.014285714285714285,133.0
9,0.2857142857142857,0.04819277108433735,0.08247422680412372,332.0
10,0.21739130434782608,0.08064516129032258,0.11764705882352941,62.0
11,0.3263392857142857,0.4419588875453446,0.3754494093477145,1654.0
12,0.2222222222222222,0.030303030303030304,0.05333333333333334,66.0
13,0.0,0.0,0.0,109.0
14,0.07142857142857142,0.007575757575757576,0.013698630136986304,132.0
15,0.8461538461538461,0.08943089430894309,0.16176470588235295,123.0
16,0.23076923076923078,0.028985507246376812,0.05150214592274678,207.0
17,0.35,0.12646121147715197,0.185792349726776,941.0
18,0.8987252124645893,0.8830897703549061,0.8908388908388909,1437.0
19,0.045454545454545456,0.05555555555555555,0.049999999999999996,18.0
20,0.75,0.1111111111111111,0.19354838709677416,162.0
21,0.6,0.05660377358490566,0.10344827586206896,53.0
22,0.0,0.0,0.0,146.0
23,0.7936507936507936,0.1773049645390071,0.2898550724637681,282.0
24,0.125,0.00684931506849315,0.012987012987012986,146.0
25,0.0,0.0,0.0,154.0
26,0.2,0.07692307692307693,0.1111111111111111,39.0
27,0.5714285714285714,0.0684931506849315,0.12232415902140671,292.0
28,0.16666666666666666,0.007692307692307693,0.014705882352941178,130.0
29,0.6666666666666666,0.13533834586466165,0.225,133.0
30,0.21428571428571427,0.025210084033613446,0.045112781954887216,119.0
31,0.4,0.056338028169014086,0.09876543209876544,71.0
32,0.3894736842105263,0.631233595800525,0.48172258387581374,1524.0
33,0.30434782608695654,0.05737704918032787,0.09655172413793105,122.0
34,0.22988505747126436,0.3125,0.26490066225165565,64.0
35,0.4276729559748428,0.163855421686747,0.23693379790940766,415.0
36,0.20093457943925233,0.19724770642201836,0.1990740740740741,436.0
37,0.42857142857142855,0.25,0.3157894736842105,48.0
38,0.999950991202921,0.9999019872093308,0.9999264886057339,40811.0
accuracy,0.8613896915783709,0.8613896915783709,0.8613896915783709,0.8613896915783709
macro avg,0.3884550623956731,0.20407553069483303,0.2179305186860144,52947.0
weighted avg,0.8667981654472185,0.8613896915783709,0.8510870288316129,52947.0
Total_training_time(s),389.54284478595946,,,
Input_size,86,,,
