,precision,recall,f1-score,support
0,0.5755395683453237,0.5970149253731343,0.586080586080586,268.0
1,0.6111111111111112,0.35772357723577236,0.4512820512820513,123.0
2,0.5753424657534246,0.4772727272727273,0.5217391304347826,264.0
3,0.6666666666666666,0.7547169811320755,0.7079646017699115,53.0
4,0.36264693077927734,0.6075857038657914,0.4541984732824428,1371.0
5,0.6640316205533597,0.6222222222222222,0.6424474187380497,270.0
6,0.2911392405063291,0.19327731092436976,0.23232323232323235,119.0
7,0.3409090909090909,0.2542372881355932,0.2912621359223301,118.0
8,0.4069767441860465,0.2631578947368421,0.319634703196347,133.0
9,0.3532110091743119,0.2319277108433735,0.27999999999999997,332.0
10,0.2711864406779661,0.25806451612903225,0.2644628099173554,62.0
11,0.4707887049659202,0.5846432889963724,0.5215749730312839,1654.0
12,0.425531914893617,0.30303030303030304,0.35398230088495575,66.0
13,0.37333333333333335,0.25688073394495414,0.30434782608695654,109.0
14,0.17796610169491525,0.1590909090909091,0.168,132.0
15,0.48484848484848486,0.3902439024390244,0.4324324324324324,123.0
16,0.28346456692913385,0.17391304347826086,0.2155688622754491,207.0
17,0.4094292803970223,0.35069075451647186,0.3777904979965655,941.0
18,0.8926174496644296,0.9255393180236604,0.9087803211479331,1437.0
19,0.06451612903225806,0.1111111111111111,0.08163265306122448,18.0
20,0.3274336283185841,0.22839506172839505,0.2690909090909091,162.0
21,0.28125,0.16981132075471697,0.21176470588235294,53.0
22,0.29577464788732394,0.14383561643835616,0.19354838709677422,146.0
23,0.5076923076923077,0.46808510638297873,0.4870848708487085,282.0
24,0.3467741935483871,0.2945205479452055,0.3185185185185186,146.0
25,0.30392156862745096,0.2012987012987013,0.24218749999999997,154.0
26,0.2,0.05128205128205128,0.0816326530612245,39.0
27,0.38513513513513514,0.1952054794520548,0.25909090909090915,292.0
28,0.2727272727272727,0.2076923076923077,0.23580786026200873,130.0
29,0.3972602739726027,0.21804511278195488,0.2815533980582524,133.0
30,0.37333333333333335,0.23529411764705882,0.28865979381443296,119.0
31,0.2826086956521739,0.18309859154929578,0.2222222222222222,71.0
32,0.6384364820846905,0.6430446194225722,0.6407322654462243,1524.0
33,0.3333333333333333,0.3114754098360656,0.3220338983050847,122.0
34,0.35555555555555557,0.25,0.2935779816513761,64.0
35,0.5537974683544303,0.42168674698795183,0.478796169630643,415.0
36,0.31215469613259667,0.2591743119266055,0.2832080200501253,436.0
37,0.4782608695652174,0.4583333333333333,0.4680851063829787,48.0
38,0.999314196139904,0.999534530488253,0.9994243511702819,40819.0
accuracy,0.8857898215465961,0.8857898215465961,0.8857898215465961,0.8857898215465961
macro avg,0.41912873108929033,0.3541578766525605,0.37673139821658763,52955.0
weighted avg,0.8848201527195398,0.8857898215465961,0.8833158355763328,52955.0
Total_training_time(s),303.3544559251168,,,
Input_size,26,,,
