,precision,recall,f1-score,support
0,0.0,0.0,0.0,290.0
1,0.30434782608695654,0.112,0.16374269005847955,125.0
2,0.32142857142857145,0.0967741935483871,0.1487603305785124,279.0
3,0.9090909090909091,0.5263157894736842,0.6666666666666666,57.0
4,0.20955574182732606,0.5353319057815846,0.30120481927710846,1401.0
5,0.7211538461538461,0.2640845070422535,0.3865979381443299,284.0
6,0.0,0.0,0.0,122.0
7,0.0,0.0,0.0,132.0
8,0.0,0.0,0.0,125.0
9,0.0,0.0,0.0,327.0
10,0.0,0.0,0.0,70.0
11,0.24378109452736318,0.40305522914218567,0.30380868024800706,1702.0
12,0.08333333333333333,0.02857142857142857,0.0425531914893617,70.0
13,0.0,0.0,0.0,113.0
14,0.07142857142857142,0.0072992700729927005,0.01324503311258278,137.0
15,0.4444444444444444,0.03007518796992481,0.056338028169014086,133.0
16,0.09090909090909091,0.005050505050505051,0.009569377990430622,198.0
17,0.13357400722021662,0.03806584362139918,0.05924739791833467,972.0
18,0.6388482186432406,0.8844594594594595,0.7418532162085576,1480.0
19,0.0,0.0,0.0,26.0
20,0.5714285714285714,0.049689440993788817,0.09142857142857143,161.0
21,0.0,0.0,0.0,59.0
22,0.0,0.0,0.0,143.0
23,0.6,0.08571428571428572,0.15,280.0
24,0.0,0.0,0.0,155.0
25,0.0,0.0,0.0,151.0
26,0.0,0.0,0.0,34.0
27,0.5,0.0038314176245210726,0.007604562737642585,261.0
28,0.0,0.0,0.0,143.0
29,0.1,0.008264462809917356,0.015267175572519085,121.0
30,0.0,0.0,0.0,115.0
31,0.0,0.0,0.0,76.0
32,0.36261980830670926,0.6496851745850029,0.4654500717654296,1747.0
33,0.0,0.0,0.0,124.0
34,0.14285714285714285,0.015151515151515152,0.027397260273972608,66.0
35,0.3870967741935484,0.02857142857142857,0.05321507760532151,420.0
36,0.3076923076923077,0.009195402298850575,0.017857142857142856,435.0
37,0.3333333333333333,0.022727272727272728,0.04255319148936171,44.0
38,0.9909218631795094,0.9962189530411352,0.9935633479259677,46019.0
accuracy,0.8527399013601379,0.8527399013601379,0.8527399013601379,0.8527399013601379
macro avg,0.2171242424637177,0.12308032495516727,0.1219980454235209,58597.0
weighted avg,0.8399536232608074,0.8527399013601379,0.8353470686015395,58597.0
Total_training_time(s),757.3790299769025,,,
Input_size,30,,,
