,precision,recall,f1-score,support
0,0.6769911504424779,0.5275862068965518,0.5930232558139535,290.0
1,0.4,0.272,0.3238095238095238,125.0
2,0.5726495726495726,0.48028673835125446,0.5224171539961013,279.0
3,0.6557377049180327,0.7017543859649122,0.6779661016949152,57.0
4,0.3346139070303496,0.6216987865810135,0.4350649350649351,1401.0
5,0.75,0.5704225352112676,0.6480000000000001,284.0
6,0.3076923076923077,0.16393442622950818,0.21390374331550804,122.0
7,0.3925233644859813,0.3181818181818182,0.3514644351464435,132.0
8,0.3918918918918919,0.232,0.29145728643216084,125.0
9,0.2724252491694352,0.25076452599388377,0.2611464968152866,327.0
10,0.11363636363636363,0.07142857142857142,0.08771929824561403,70.0
11,0.509865005192108,0.5769682726204466,0.5413450937155457,1702.0
12,0.3076923076923077,0.2857142857142857,0.29629629629629634,70.0
13,0.5,0.23008849557522124,0.3151515151515151,113.0
14,0.25609756097560976,0.15328467153284672,0.19178082191780824,137.0
15,0.5764705882352941,0.3684210526315789,0.44954128440366964,133.0
16,0.2647058823529412,0.22727272727272727,0.24456521739130435,198.0
17,0.41717049576783555,0.3549382716049383,0.3835464146748194,972.0
18,0.9024221453287197,0.8810810810810811,0.8916239316239316,1480.0
19,0.3125,0.19230769230769232,0.2380952380952381,26.0
20,0.38202247191011235,0.2111801242236025,0.272,161.0
21,0.20754716981132076,0.1864406779661017,0.19642857142857145,59.0
22,0.4057971014492754,0.1958041958041958,0.2641509433962264,143.0
23,0.5756097560975609,0.42142857142857143,0.4865979381443299,280.0
24,0.41818181818181815,0.2967741935483871,0.3471698113207547,155.0
25,0.29914529914529914,0.23178807947019867,0.26119402985074625,151.0
26,0.16666666666666666,0.08823529411764706,0.11538461538461539,34.0
27,0.35175879396984927,0.2681992337164751,0.30434782608695654,261.0
28,0.2815533980582524,0.20279720279720279,0.2357723577235772,143.0
29,0.3300970873786408,0.2809917355371901,0.3035714285714286,121.0
30,0.2966101694915254,0.30434782608695654,0.30042918454935624,115.0
31,0.46511627906976744,0.2631578947368421,0.3361344537815126,76.0
32,0.6703877790834313,0.6531196336576989,0.6616410553783706,1747.0
33,0.3474576271186441,0.33064516129032256,0.33884297520661155,124.0
34,0.16981132075471697,0.2727272727272727,0.20930232558139536,66.0
35,0.5344827586206896,0.44285714285714284,0.484375,420.0
36,0.2849462365591398,0.24367816091954023,0.2627013630731103,435.0
37,0.4166666666666667,0.22727272727272727,0.29411764705882354,44.0
38,0.9996740264255911,0.9996088572111519,0.9996414407562341,46019.0
accuracy,0.8931344608085738,0.8931344608085738,0.8931344608085738,0.8931344608085738
macro avg,0.4235543057415435,0.34874842386022625,0.37517233361274854,58597.0
weighted avg,0.8953725303301739,0.8931344608085738,0.8922487842934764,58597.0
Total_training_time(s),894.3370184947271,,,
Input_size,30,,,
