,precision,recall,f1-score,support
0,0.0,0.0,0.0,289.0
1,0.0,0.0,0.0,125.0
2,0.2,0.017921146953405017,0.03289473684210526,279.0
3,0.8888888888888888,0.14035087719298245,0.24242424242424243,57.0
4,0.17899222862872902,0.51,0.26498422712933756,1400.0
5,0.3333333333333333,0.0035211267605633804,0.006968641114982579,284.0
6,0.0,0.0,0.0,122.0
7,0.0,0.0,0.0,133.0
8,0.0,0.0,0.0,125.0
9,0.0,0.0,0.0,327.0
10,0.0,0.0,0.0,70.0
11,0.24196350999131191,0.3270698766881973,0.27815230961298376,1703.0
12,1.0,0.02857142857142857,0.05555555555555556,70.0
13,0.0,0.0,0.0,113.0
14,0.0,0.0,0.0,137.0
15,0.0,0.0,0.0,133.0
16,0.0,0.0,0.0,198.0
17,0.23655913978494625,0.02263374485596708,0.04131455399061033,972.0
18,0.6110828673106253,0.8116137744767049,0.6972157772621811,1481.0
19,0.0,0.0,0.0,26.0
20,0.0,0.0,0.0,161.0
21,0.0,0.0,0.0,59.0
22,0.0,0.0,0.0,143.0
23,0.4444444444444444,0.05714285714285714,0.10126582278481011,280.0
24,0.0,0.0,0.0,155.0
25,0.0,0.0,0.0,151.0
26,0.0,0.0,0.0,34.0
27,0.0,0.0,0.0,261.0
28,0.0,0.0,0.0,143.0
29,0.07142857142857142,0.008264462809917356,0.014814814814814815,121.0
30,0.0,0.0,0.0,115.0
31,0.0,0.0,0.0,76.0
32,0.34155141310883946,0.649514008004574,0.4476847290640394,1749.0
33,0.0,0.0,0.0,124.0
34,0.0,0.0,0.0,66.0
35,0.0,0.0,0.0,420.0
36,0.1111111111111111,0.006896551724137931,0.012987012987012986,435.0
37,0.0,0.0,0.0,44.0
38,0.9785856254407899,0.9948939683643316,0.9866724128642999,46024.0
accuracy,0.8438870403549186,0.8438870403549186,0.8438870403549186,0.8438870403549186
macro avg,0.14456259316593822,0.09175368778320683,0.08161371375505067,58605.0
weighted avg,0.8170967392376363,0.8438870403549186,0.8220403976561735,58605.0
Total_training_time(s),647.4734213375486,,,
Input_size,19,,,
