,precision,recall,f1-score,support
0,0.444794952681388,0.48788927335640137,0.4653465346534653,289.0
1,0.5641025641025641,0.176,0.2682926829268293,125.0
2,0.4642857142857143,0.3727598566308244,0.4135188866799205,279.0
3,0.6307692307692307,0.7192982456140351,0.6721311475409837,57.0
4,0.2627450980392157,0.67,0.37746478873239436,1400.0
5,0.6593886462882096,0.5316901408450704,0.5886939571150097,284.0
6,0.1,0.00819672131147541,0.015151515151515154,122.0
7,0.0,0.0,0.0,133.0
8,0.2,0.024,0.04285714285714286,125.0
9,0.21052631578947367,0.03669724770642202,0.0625,327.0
10,0.16666666666666666,0.11428571428571428,0.13559322033898305,70.0
11,0.3715415019762846,0.4415736934820904,0.4035417225650657,1703.0
12,0.52,0.18571428571428572,0.2736842105263158,70.0
13,0.13636363636363635,0.02654867256637168,0.044444444444444446,113.0
14,0.11538461538461539,0.021897810218978103,0.03680981595092025,137.0
15,0.6486486486486487,0.18045112781954886,0.2823529411764706,133.0
16,0.2857142857142857,0.04040404040404041,0.07079646017699116,198.0
17,0.3603238866396761,0.1831275720164609,0.24283765347885403,972.0
18,0.7749857224443175,0.9162727886563133,0.8397277227722773,1481.0
19,0.5,0.038461538461538464,0.07142857142857144,26.0
20,0.46153846153846156,0.07453416149068323,0.1283422459893048,161.0
21,0.3125,0.0847457627118644,0.13333333333333333,59.0
22,0.08,0.013986013986013986,0.023809523809523808,143.0
23,0.5045045045045045,0.2,0.28644501278772383,280.0
24,0.20588235294117646,0.04516129032258064,0.07407407407407407,155.0
25,0.3125,0.033112582781456956,0.05988023952095809,151.0
26,0.16666666666666666,0.08823529411764706,0.11538461538461539,34.0
27,0.4186046511627907,0.06896551724137931,0.11842105263157894,261.0
28,0.1875,0.04195804195804196,0.06857142857142857,143.0
29,0.2076923076923077,0.2231404958677686,0.2151394422310757,121.0
30,0.4,0.034782608695652174,0.064,115.0
31,0.4,0.05263157894736842,0.09302325581395349,76.0
32,0.4578825347758887,0.6775300171526587,0.5464606871109061,1749.0
33,0.46,0.18548387096774194,0.26436781609195403,124.0
34,0.2631578947368421,0.15151515151515152,0.19230769230769232,66.0
35,0.41422594142259417,0.2357142857142857,0.30045523520485584,420.0
36,0.3,0.1103448275862069,0.16134453781512606,435.0
37,0.27906976744186046,0.2727272727272727,0.2758620689655172,44.0
38,0.999695824099422,0.999739266469668,0.9997175448126018,46024.0
accuracy,0.8753178056479822,0.8753178056479822,0.8753178056479822,0.8753178056479822
macro avg,0.36532467673785757,0.224860942803667,0.2417464929480097,58605.0
weighted avg,0.8729862598021317,0.8753178056479822,0.8658398699266435,58605.0
Total_training_time(s),296.993118600687,,,
Input_size,30,,,
