,precision,recall,f1-score,support
0,0.45294117647058824,0.532871972318339,0.4896661367249603,289.0
1,0.40816326530612246,0.32,0.35874439461883406,125.0
2,0.47928994082840237,0.2903225806451613,0.36160714285714285,279.0
3,0.78,0.6842105263157895,0.7289719626168225,57.0
4,0.2697516930022573,0.6828571428571428,0.3867313915857605,1400.0
5,0.5064516129032258,0.5528169014084507,0.5286195286195287,284.0
6,0.14285714285714285,0.03278688524590164,0.05333333333333333,122.0
7,0.2222222222222222,0.045112781954887216,0.075,133.0
8,0.25,0.096,0.13872832369942198,125.0
9,0.18181818181818182,0.024464831804281346,0.043126684636118594,327.0
10,0.21428571428571427,0.04285714285714286,0.07142857142857142,70.0
11,0.4057742782152231,0.453904873752202,0.4284922394678492,1703.0
12,0.4782608695652174,0.15714285714285714,0.23655913978494622,70.0
13,0.07142857142857142,0.008849557522123894,0.015748031496062992,113.0
14,0.16666666666666666,0.029197080291970802,0.049689440993788817,137.0
15,0.6888888888888889,0.23308270676691728,0.34831460674157305,133.0
16,0.13398692810457516,0.20707070707070707,0.16269841269841273,198.0
17,0.28622754491017965,0.24588477366255143,0.2645268400664084,972.0
18,0.8077388149939541,0.9020931802835922,0.8523125996810208,1481.0
19,0.0,0.0,0.0,26.0
20,0.36363636363636365,0.12422360248447205,0.1851851851851852,161.0
21,0.0967741935483871,0.05084745762711865,0.06666666666666668,59.0
22,0.14285714285714285,0.027972027972027972,0.046783625730994156,143.0
23,0.5564516129032258,0.24642857142857144,0.34158415841584155,280.0
24,0.4146341463414634,0.10967741935483871,0.17346938775510204,155.0
25,0.3225806451612903,0.06622516556291391,0.10989010989010989,151.0
26,0.2,0.11764705882352941,0.14814814814814817,34.0
27,0.3958333333333333,0.07279693486590039,0.12297734627831715,261.0
28,0.11538461538461539,0.02097902097902098,0.03550295857988166,143.0
29,0.4318181818181818,0.15702479338842976,0.23030303030303031,121.0
30,0.168,0.1826086956521739,0.17500000000000002,115.0
31,0.2916666666666667,0.09210526315789473,0.13999999999999999,76.0
32,0.5861878453038674,0.6066323613493425,0.596234897443102,1749.0
33,0.5853658536585366,0.1935483870967742,0.2909090909090909,124.0
34,0.28205128205128205,0.16666666666666666,0.20952380952380953,66.0
35,0.46402877697841727,0.30714285714285716,0.36962750716332377,420.0
36,0.22697368421052633,0.15862068965517243,0.1867388362652233,435.0
37,0.3,0.20454545454545456,0.24324324324324326,44.0
38,0.9997609579068605,0.999608899704502,0.9996849230234351,46024.0
accuracy,0.8770753348690384,0.8770753348690384,0.8770753348690384,0.8770753348690384
macro avg,0.356173302928905,0.24222635459891487,0.2632249155275657,58605.0
weighted avg,0.8769286368557266,0.8770753348690384,0.8711863372487433,58605.0
Total_training_time(s),320.1205114990007,,,
Input_size,83,,,
