,precision,recall,f1-score,support
0,0.5555555555555556,0.5677655677655677,0.5615942028985508,273.0
1,0.42857142857142855,0.37815126050420167,0.40178571428571425,119.0
2,0.5254237288135594,0.512396694214876,0.5188284518828452,242.0
3,0.6,0.6724137931034483,0.6341463414634146,58.0
4,0.36074766355140186,0.5635036496350365,0.4398860398860399,1370.0
5,0.7711864406779662,0.6232876712328768,0.6893939393939393,292.0
6,0.35714285714285715,0.18796992481203006,0.24630541871921183,133.0
7,0.3116883116883117,0.24,0.2711864406779661,100.0
8,0.4431818181818182,0.30952380952380953,0.36448598130841126,126.0
9,0.4295774647887324,0.17681159420289855,0.2505133470225872,345.0
10,0.2777777777777778,0.21428571428571427,0.24193548387096772,70.0
11,0.4989106753812636,0.5416913069189828,0.5194216047632548,1691.0
12,0.3125,0.2,0.24390243902439027,75.0
13,0.5060240963855421,0.3088235294117647,0.3835616438356164,136.0
14,0.33076923076923076,0.27741935483870966,0.3017543859649123,155.0
15,0.4339622641509434,0.33093525179856115,0.3755102040816326,139.0
16,0.3118811881188119,0.2916666666666667,0.3014354066985646,216.0
17,0.3712707182320442,0.36324324324324325,0.36721311475409835,925.0
18,0.8908716540837337,0.9304659498207886,0.9102384291725106,1395.0
19,0.07142857142857142,0.04,0.05128205128205128,25.0
20,0.40707964601769914,0.3333333333333333,0.3665338645418327,138.0
21,0.34,0.3617021276595745,0.3505154639175258,47.0
22,0.26881720430107525,0.18382352941176472,0.2183406113537118,136.0
23,0.5255813953488372,0.41697416974169743,0.46502057613168724,271.0
24,0.375886524822695,0.33544303797468356,0.35451505016722407,158.0
25,0.45977011494252873,0.26490066225165565,0.33613445378151263,151.0
26,0.08571428571428572,0.09090909090909091,0.08823529411764705,33.0
27,0.3894230769230769,0.3,0.3389121338912134,270.0
28,0.3595505617977528,0.24427480916030533,0.2909090909090909,131.0
29,0.28421052631578947,0.226890756302521,0.25233644859813087,119.0
30,0.34782608695652173,0.18461538461538463,0.2412060301507538,130.0
31,0.24285714285714285,0.27419354838709675,0.25757575757575757,62.0
32,0.5605555555555556,0.6655672823218998,0.6085645355850423,1516.0
33,0.390625,0.211864406779661,0.2747252747252747,118.0
34,0.3787878787878788,0.38461538461538464,0.38167938931297707,65.0
35,0.4770408163265306,0.4358974358974359,0.45554202192448234,429.0
36,0.4127659574468085,0.21748878923766815,0.28487518355359764,446.0
37,0.37209302325581395,0.38095238095238093,0.3764705882352941,42.0
38,0.9985729112610275,0.9991562276887129,0.9988644843136619,15407.0
accuracy,0.779269797488568,0.779269797488568,0.779269797488568,0.779269797488568
macro avg,0.4221956193315531,0.36520403433895976,0.3850086383018744,27554.0
weighted avg,0.777675550501496,0.779269797488568,0.7747413011592149,27554.0
Total_training_time(s),431.2520481329411,,,
Input_size,27,,,
